Index;Wert
0;1.12209996
1;1.12294756
2;1.12380582
3;1.13342222
4;1.14410918
5;1.15490274
6;1.16580451
7;1.17718509
8;1.18831195
9;1.20559374
10;1.15454122
11;1.11908193
12;1.11685167
13;1.11469133
14;1.11408988
15;1.11455552
16;1.1162729
17;1.11774071
18;1.11892498
19;1.11996015
20;1.12012693
21;1.12000764
22;1.12046535
23;1.12066169
24;1.12078553
25;1.12091023
26;1.12113692
27;1.12146949
28;1.12196681
29;1.12275278
30;1.12297556
31;1.12305978
32;1.12250528
33;1.12264237
34;1.12188737
35;1.12091023
36;1.11951541
37;1.11824707
38;1.11765783
39;1.11729002
40;1.11712922
41;1.11710923
42;1.11695024
43;1.1167147
44;1.11679282
45;1.11689102
46;1.11691073
47;1.11685167
48;1.11702953
49;1.11720942
50;1.11729002
51;1.11745245
52;1.1177615
53;1.11835456
54;1.11799193
55;1.11839775
56;1.11868126
57;1.11890267
58;1.11814028
59;1.11588023
60;1.1146063
61;1.11428761
62;1.11417194
63;1.11413906
64;1.11484563
65;1.11655961
66;1.11778231
67;1.11868126
68;1.12005526
69;1.12103581
70;1.1213665
71;1.12162507
72;1.12226102
73;1.12377659
74;1.12953007
75;1.13165132
76;1.12988332
77;1.12337186
78;1.12180829
79;1.12128965
80;1.12058781
81;1.1201989
82;1.11870327
83;1.11737103
84;1.11621619
85;1.1161785
86;1.11665636
87;1.11667578
88;1.11771995
89;1.11874738
90;1.11958487
91;1.12063703
92;1.12076069
93;1.12123859
94;1.12167723
95;1.12264237
96;1.12811823
97;1.14339342
98;1.16252252
99;1.17829272
100;1.18607757
101;1.18793924
102;1.16763211
103;1.14303571
104;1.12328624
105;1.12363106
106;1.1208353
107;1.11794979
108;1.11654033
109;1.11683203
110;1.11689102
111;1.11677325
112;1.11714923
113;1.11917227
114;1.12146949
115;1.12226102
116;1.12071112
117;1.12131523
118;1.12191381
119;1.122288
120;1.12266991
121;1.12337186
122;1.12776556
123;1.13804025
124;1.14769511
125;1.15526438
126;1.15237463
127;1.14410918
128;1.15635002
129;1.15273543
130;1.12297556
131;1.11835456
132;1.11697002
133;1.11774071
134;1.11835456
135;1.11967793
136;1.12118768
137;1.12297556
138;1.12459672
139;1.13555116
140;1.14877321
141;1.1845905
142;1.19017739
143;1.19167202
144;1.16946276
145;1.17681612
146;1.16873013
147;1.17792339
148;1.1845905
149;1.17019588
150;1.16543936
151;1.17460493
152;1.18199293
153;1.18310542
154;1.12565196
155;1.11865928
156;1.11640604
157;1.11547939
158;1.11567849
159;1.11835456
160;1.12139219
