Index;Wert
0;11.4742452
1;4.94537016
2;4.94537016
3;4.94537016
4;4.94537016
5;5.80341342
6;13.2397884
7;15.75672
8;15.62592
9;15.43496
10;16.02704
11;17.21732
12;16.3167026
13;11.8097163
14;10.6656586
15;10.0936297
16;10.3796442
17;12.0957307
18;17.24784
19;17.05164
20;17.02112
21;17.04292
22;16.96008
23;6.23643868
24;5.40565907
25;5.40565907
26;5.40565907
27;5.40565907
28;5.40565907
29;6.34492979
30;14.485276
31;16.52844
32;16.61564
33;16.59384
34;16.71592
35;16.8816
36;17.13448
37;14.9359845
38;11.6674639
39;11.0412834
40;11.3543736
41;13.2329151
42;17.65768
43;17.71
44;17.69256
45;17.67076
46;17.6664
47;8.09695058
48;4.17127421
49;4.17127421
50;4.17127421
51;4.17127421
52;4.17127421
53;4.89271231
54;11.1451758
55;14.5118869
56;15.4738044
57;15.4738044
58;13.7904488
59;12.1070933
60;10.6642171
61;9.94277898
62;8.98086152
63;8.49990279
64;8.74038215
65;10.1832583
66;14.7523663
67;16.4357218
68;15.7142838
69;15.4738044
70;10.4237377
71;4.41175358
72;4.98819145
73;4.98819145
74;4.98819145
75;4.98819145
76;4.98819145
77;5.85379142
78;13.3556578
79;16.8162
80;16.93828
81;17.00804
82;17.29144
83;17.3614987
84;12.7785911
85;11.9129912
86;10.7588579
87;10.1817912
88;10.4703245
89;12.2015245
90;17.1214
91;16.92956
92;16.90776
93;16.82492
94;16.7508
95;7.51634297
96;5.40635512
97;5.40635512
98;5.40635512
99;5.40635512
100;5.40635512
101;6.34574867
102;14.4871594
103;16.16656
104;16.49356
105;16.5557846
106;16.89468
107;17.44404
108;17.74924
109;13.7860197
110;11.6689788
111;11.0427164
112;11.3558476
113;13.2346347
114;16.78568
115;16.65488
116;17.0090469
117;16.81184
118;16.71156
119;9.04226193
120;5.44733888
121;5.44733888
122;5.44733888
123;5.44733888
124;5.44733888
125;6.39396486
126;14.5980567
127;16.15348
128;16.00524
129;17.7178475
130;16.54152
131;17.3612
132;17.65332
133;14.282618
134;11.7581787
135;11.1270947
136;11.4426367
137;13.3358887
138;16.39328
139;16.25812
140;17.9854295
141;18.0971675
142;15.60412
143;10.2815355
144;4.85032179
145;4.85032179
146;4.85032179
147;4.85032179
148;4.85032179
149;5.69159181
150;12.9825987
151;15.78724
152;15.70004
153;15.68696
154;16.3802
155;17.30016
156;14.4846684
157;11.580482
158;10.4587886
159;9.89794192
160;10.1783653
161;11.8609053
162;17.17372
163;17.93236
164;18.0806
165;18.00212
166;13.5819778
167;5.13074513
168;2.84482667
169;2.71332502
170;2.71332502
171;2.71332502
172;2.84482667
173;3.23933162
174;7.4473844
175;10.7349256
176;10.7349256
177;10.8664273
178;9.28840749
179;8.2363943
180;7.4473844
181;7.57888605
182;7.4473844
183;7.31588275
184;7.31588275
185;7.7103877
186;9.55141079
187;9.55141079
188;8.89390254
189;8.63089925
190;6.26386956
191;2.97632832
192;6.56827513
193;6.56827513
194;6.56827513
195;6.56827513
196;6.56827513
197;7.71271339
198;16.5546
199;16.45432
200;21.3797628
201;21.4713228
202;18.3300869
203;17.71
204;18.13728
205;18.62996
206;16.4566154
207;13.4349047
208;13.8163841
209;16.1052606
210;17.85388
211;19.7319923
212;21.2162423
213;21.1138028
214;16.63308
215;13.2520494
216;4.69082212
217;4.69082212
218;4.69082212
219;4.69082212
220;4.69082212
221;5.50394514
222;12.5510113
223;16.3455854
224;17.4297495
225;17.4297495
226;15.5324624
227;13.6351754
228;12.0089293
229;11.1958063
230;10.1116423
231;9.56956025
232;9.84060126
233;11.4668473
234;16.6166264
235;17.26964
236;17.37864
237;17.3176
238;13.3606618
239;4.96186313
240;5.13093055
241;5.13093055
242;5.13093055
243;5.13093055
244;5.13093055
245;6.02171976
246;13.7418929
247;16.96008
248;16.7072
249;16.4238
250;16.4456
251;16.52844
252;16.80748
253;13.2616932
254;11.0695253
255;10.4756658
256;10.7725956
257;12.554174
258;17.78412
259;17.65332
260;17.67948
261;17.50944
262;17.46148
263;6.93200724
264;5.23227714
265;5.23227714
266;5.23227714
267;5.23227714
268;5.23227714
269;6.14095104
270;14.0161249
271;16.79876
272;16.89032
273;16.8816
274;16.93828
275;17.05164
276;17.165
277;13.3815832
278;11.2901032
279;10.6843206
280;10.9872119
281;12.8045597
282;17.056
283;16.89468
284;16.9252
285;16.79876
286;16.729
287;8.405944
288;5.75669911
289;5.75669911
290;5.75669911
291;5.75669911
292;5.75669911
293;6.75791807
294;15.4351491
295;16.17528
296;16.2494
297;18.7647778
298;16.31044
299;16.41072
300;16.56332
301;16.97316
302;13.8800594
303;11.7640129
304;12.0977525
305;14.1001904
306;16.35404
307;16.17528
308;19.0985175
309;18.9871378
310;15.75672
311;11.2310738
312;5.63179917
313;5.36759257
314;5.36759257
315;5.36759257
316;5.63179917
317;6.42441897
318;14.37764
319;14.17172
320;20.1954701
321;20.5665967
322;16.8852775
323;16.08808
324;16.81184
325;17.22604
326;17.3036411
327;14.6148235
328;14.6148235
329;15.4074433
330;16.25812
331;16.15348
332;16.02268
333;15.93984
334;15.80468
335;9.08082272
336;6.9706846
337;6.9706846
338;6.9706846
339;6.9706846
340;6.9706846
341;8.1861363
342;15.4112
343;16.0257892
344;21.5068
345;21.44232
346;21.3533822
347;18.4064482
348;15.9161449
349;15.4112
350;15.36368
351;15.3122
352;15.3122
353;15.27656
354;21.36296
355;21.31832
356;21.32328
357;21.24392
358;15.9069943
359;13.9047102
360;7.2768642
361;7.2768642
362;7.2768642
363;7.2768642
364;7.2768642
365;8.54634759
366;14.8766
367;20.364602
368;20.80744
369;20.92152
370;21.11496
371;19.5406165
372;16.8115697
373;15.56488
374;15.53872
375;15.49832
376;15.28844
377;15.134
378;21.14472
379;21.05048
380;21.19432
381;21.12984
382;16.8358886
383;14.2289003
384;8.14970515
385;8.14970515
386;8.14970515
387;8.14970515
388;8.14970515
389;9.5732193
390;14.01728
391;19.78308
392;20.0036
393;20.27672
394;20.46024
395;20.62392
396;19.7280475
397;18.2015733
398;16.2599945
399;15.429785
400;16.1022897
401;19.329478
402;19.59144
403;18.99128
404;18.74824
405;19.66984
406;19.60136
407;13.8272
408;10.4418385
409;9.13262242
410;9.13262242
411;9.13262242
412;9.13262242
413;10.7295926
414;17.19572
415;17.09672
416;17.03336
417;17.00564
418;17.42144
419;18.44568
420;18.9516
421;19.36824
422;19.337805
423;18.2295982
424;19.0708016
425;18.28696
426;17.8412
427;17.61152
428;16.75176
429;16.67736
430;16.36076
431;12.3441408
432;10.54436
433;10.44536
434;8.80774335
435;8.67405299
436;8.67405299
437;10.1900991
438;13.1367304
439;15.85816
440;16.54344
441;17.13236
442;17.81348
443;18.6788
444;19.78308
445;19.8265369
446;17.5002221
447;16.3073647
448;16.6780734
449;19.7893656
450;20.87688
451;20.57928
452;19.62616
453;19.41288
454;19.24424
455;13.5302
456;10.4660754
457;8.31538113
458;8.31538113
459;8.31538113
460;8.31538113
461;9.76813221
462;16.5131216
463;17.73824
464;16.95016
465;16.722
466;17.13236
467;17.82932
468;19.2988
469;19.0288248
470;16.7235433
471;15.7986026
472;16.627373
473;19.398
474;18.8772
475;18.282
476;18.27704
477;18.43576
478;18.42584
479;12.86096
480;9.57728145
481;7.14075656
482;7.14075656
483;7.14075656
484;7.14075656
485;8.38622095
486;13.45496
487;19.08552
488;19.08056
489;19.29384
490;19.95592
491;19.6036199
492;16.8513311
493;15.4553867
494;15.26864
495;15.1934
496;15.08648
497;14.78156
498;20.49
499;20.37592
500;20.37096
501;19.8248
502;18.0399763
503;12.82136
504;8.60821402
505;7.54428597
506;7.54428597
507;7.54428597
508;7.54428597
509;8.86096143
510;11.02352
511;15.6052
512;17.00168
513;17.1086
514;17.63132
515;19.13016
516;18.1492002
517;16.2226847
518;15.76108
519;15.9224
520;15.65644
521;16.1875661
522;20.45528
523;20.15856
524;19.4972
525;19.50712
526;18.3082683
527;14.5120528
528;5.31049224
529;5.31049224
530;5.31049224
531;5.31049224
532;5.31049224
533;6.23296881
534;14.2277658
535;16.98188
536;16.72464
537;16.72464
538;16.7726
539;16.86416
540;16.92084
541;14.4182965
542;11.460336
543;10.8453517
544;11.1528439
545;12.997797
546;16.71156
547;16.55024
548;16.8443021
549;17.0282602
550;15.9006
551;9.50209648
552;5.73866085
553;5.73866085
554;5.73866085
555;5.73866085
556;5.73866085
557;6.73669659
558;13.87868
559;13.847
560;20.2679891
561;20.0224691
562;17.384839
563;16.07064
564;17.2522
565;17.6703463
566;12.3922324
567;11.7268753
568;12.0595539
569;14.0556253
570;17.50072
571;17.54868
572;17.6125477
573;17.64024
574;17.64024
575;9.30708119
576;2.55479774
577;2.43710615
578;2.43710615
579;2.43710615
580;2.55479774
581;2.90787249
582;6.67400314
583;9.61629271
584;9.61629271
585;9.7339843
586;8.3216853
587;7.38015264
588;6.67400314
589;6.79169472
590;6.67400314
591;6.55631156
592;6.55631156
593;6.90938631
594;8.55706847
595;8.55706847
596;7.96861055
597;7.73322739
598;5.61477889
599;2.67248932
600;2.77019251
601;2.64224465
602;2.64224465
603;2.64224465
604;2.77019251
605;3.15403608
606;7.24836749
607;10.4470639
608;10.4470639
609;10.5750118
610;9.03963748
611;8.01605463
612;7.24836749
613;7.37631535
614;7.24836749
615;7.12041964
616;7.12041964
617;7.5042632
618;9.2955332
619;9.2955332
620;8.65579391
621;8.3998982
622;6.09683678
623;2.89814037
624;3.13288695
625;3.13288695
626;3.13288695
627;3.13288695
628;3.13288695
629;3.67108024
630;8.33542205
631;10.8469907
632;11.5645818
633;11.5645818
634;10.3087974
635;9.0530131
636;7.97662653
637;7.43843324
638;6.72084219
639;6.36204667
640;6.54144443
641;7.617831
642;11.0263885
643;12.2821728
644;11.7439795
645;11.5645818
646;7.79722876
647;3.31228472
648;3.57569617
649;3.57569617
650;3.57569617
651;3.57569617
652;3.57569617
653;4.19203226
654;9.5336117
655;12.4098468
656;13.2316282
657;13.2316282
658;11.7935107
659;10.3553932
660;9.12272098
661;8.50638489
662;7.68460344
663;7.27371271
664;7.47915807
665;8.71183025
666;12.6152922
667;14.0534097
668;13.4370736
669;13.2316282
670;8.91727561
671;3.78114154
672;2.93521834
673;2.79941259
674;2.79941259
675;2.79941259
676;2.93521834
677;3.3426356
678;7.68841973
679;11.0835636
680;11.0835636
681;11.2193693
682;9.58970029
683;8.50325426
684;7.68841973
685;7.82422549
686;7.68841973
687;7.55261398
688;7.55261398
689;7.96003124
690;9.8613118
691;9.8613118
692;9.18228303
693;8.91067152
694;6.46616795
695;3.0710241
696;5.51607009
697;5.51607009
698;5.51607009
699;5.51607009
700;5.51607009
701;6.4748251
702;14.7840352
703;17.09524
704;17.08216
705;17.38736
706;18.06752
707;18.64304
708;18.0434392
709;13.1861102
710;11.9077702
711;11.2686002
712;11.5881852
713;13.5056952
714;18.55148
715;18.32476
716;18.35528
717;18.05444
718;17.74488
719;8.41212692
720;5.06191524
721;5.06191524
722;5.06191524
723;5.06191524
724;5.06191524
725;5.94052529
726;13.5551457
727;16.48048
728;16.71592
729;16.99932
730;17.3176
731;17.47456
732;14.597622
733;12.0907956
734;10.9193155
735;10.3335755
736;10.6264455
737;12.3836656
738;17.9481959
739;19.06596
740;18.87412
741;18.68228
742;13.9562682
743;5.35478526
744;5.66957697
745;5.66957697
746;5.66957697
747;5.66957697
748;5.66957697
749;6.65542143
750;15.1994068
751;16.76824
752;16.5764
753;18.2187886
754;16.4674
755;16.71156
756;16.87724
757;17.12576
758;12.5359872
759;11.5846438
760;11.9132586
761;13.8849475
762;16.76388
763;16.47176
764;18.9354434
765;18.7594286
766;15.71312
767;10.9642813
768;5.89344545
769;5.89344545
770;5.89344545
771;5.89344545
772;5.89344545
773;6.91879612
774;14.8172
775;14.81324
776;20.5735076
777;20.2527476
778;17.1617827
779;16.52408
780;17.04728
781;17.2958
782;14.0579743
783;12.0455495
784;12.387333
785;14.4380344
786;16.12296
787;17.3693807
788;20.1009711
789;19.9359476
790;15.332
791;12.1367839
792;6.50797338
793;6.50797338
794;6.50797338
795;6.50797338
796;6.50797338
797;7.64177015
798;15.39932
799;15.27656
800;21.70024
801;21.61592
802;19.2658587
803;16.3587329
804;16.4456
805;16.75952
806;16.7072
807;15.9174564
808;13.6886863
809;15.9562798
810;15.83956
811;21.51176
812;21.19928
813;21.08024
814;15.02708
815;13.4147806
816;6.83922025
817;6.83922025
818;6.83922025
819;6.83922025
820;6.83922025
821;8.03147236
822;14.96768
823;16.2974958
824;20.48008
825;21.0852
826;20.35035
827;17.1716684
828;16.50664
829;16.65488
830;16.7508
831;16.62436
832;15.895843
833;15.857
834;15.54308
835;21.60104
836;21.14472
837;21.1348
838;15.8754268
839;13.7655126
840;5.73292226
841;5.73292226
842;5.73292226
843;5.73292226
844;5.73292226
845;6.72994531
846;14.3024
847;14.29052
848;19.822665
849;19.751385
850;17.0527579
851;16.00088
852;16.49792
853;16.9252
854;13.822807
855;11.7150605
856;12.0474016
857;14.0414476
858;16.00524
859;16.1274606
860;20.056006
861;19.905825
862;14.83304
863;12.0585806
864;5.6841646
865;5.41746456
866;5.41746456
867;5.41746456
868;5.6841646
869;6.48426472
870;14.39744
871;14.37764
872;20.41064
873;20.375062
874;16.5718215
875;16.23196
876;16.73336
877;17.30888
878;17.67076
879;14.7951431
880;14.7519659
881;15.5520661
882;16.23196
883;15.62156
884;16.3706014
885;16.1262813
886;14.48456
887;10.5549268
888;6.70478555
889;6.70478555
890;6.70478555
891;6.70478555
892;6.70478555
893;7.87331388
894;14.54
895;16.2937643
896;20.14664
897;20.4156
898;20.7350783
899;17.6323122
900;15.8352
901;16.2058
902;16.30172
903;16.24504
904;15.9851932
905;15.74364
906;15.45476
907;21.37288
908;21.07032
909;20.90168
910;15.4957861
911;13.62317
912;6.03464381
913;6.03464381
914;6.03464381
915;6.03464381
916;6.03464381
917;7.08491184
918;14.33408
919;14.34596
920;20.70328
921;20.9612
922;18.3257725
923;15.5543871
924;15.80032
925;16.05756
926;16.19708
927;13.6191827
928;12.6863413
929;14.7868774
930;15.7044
931;20.0752567
932;21.1304472
933;20.89176
934;14.65088
935;12.9136082
936;6.41304844
937;6.41304844
938;6.41304844
939;6.41304844
940;6.41304844
941;7.53009375
942;14.34596
943;14.321981
944;20.7628
945;21.02072
946;18.9214209
947;16.64616
948;17.07344
949;17.34376
950;17.59228
951;13.1868001
952;13.4876687
953;15.7217594
954;16.5546
955;22.1771218
956;21.8104
957;21.4324
958;15.134
959;13.3142719
960;6.84590016
961;6.84590016
962;6.84590016
963;6.84590016
964;6.84590016
965;8.03933107
966;14.41328
967;17.5664679
968;20.9116
969;21.54648
970;20.2855473
971;16.9297152
972;16.75952
973;16.89032
974;16.80312
975;16.838
976;15.4646159
977;16.31044
978;15.82212
979;21.49688
980;21.31832
981;21.33816
982;15.385443
983;13.7725855
984;5.87235634
985;5.87235634
986;5.87235634
987;5.87235634
988;5.87235634
989;6.8939854
990;15.2726
991;15.35576
992;17.791762
993;19.4312733
994;16.6594321
995;16.49356
996;16.71156
997;17.04292
998;14.4856648
999;12.0021307
1000;12.3426737
1001;14.3859318
1002;16.71156
1003;16.511
1004;19.5232963
1005;19.2655933
1006;16.11424
1007;11.289376
1008;6.08403127
1009;6.08403127
1010;6.08403127
1011;6.08403127
1012;6.08403127
1013;7.14301473
1014;15.4904
1015;15.25676
1016;21.0454871
1017;20.9148071
1018;18.1016457
1019;15.9006
1020;16.1622
1021;16.28428
1022;16.31044
1023;13.3848098
1024;12.7909265
1025;14.9088934
1026;15.431
1027;21.12488
1028;20.72808
1029;20.61896
1030;14.43308
1031;12.9659008
1032;4.33040328
1033;4.12816417
1034;4.12816417
1035;4.12816417
1036;4.33040328
1037;4.93712062
1038;11.4087723
1039;13.55
1040;13.48664
1041;14.4203003
1042;15.0746
1043;15.82648
1044;13.7968996
1045;11.6110114
1046;11.4087723
1047;11.2065331
1048;11.2065331
1049;11.8132505
1050;14.6445981
1051;14.6445981
1052;13.6334025
1053;13.2289243
1054;9.58862024
1055;4.53264239
1056;5.34889928
1057;5.09816329
1058;5.09816329
1059;5.09816329
1060;5.34889928
1061;6.10110725
1062;13.451
1063;13.3718
1064;18.41592
1065;19.68176
1066;16.2511978
1067;15.51812
1068;16.1186
1069;16.57204
1070;16.3772554
1071;13.8739229
1072;13.8739229
1073;14.6261309
1074;15.39932
1075;14.837
1076;14.64692
1077;15.4845978
1078;14.31428
1079;9.63093911
1080;7.1388298
1081;7.1388298
1082;7.1388298
1083;7.1388298
1084;7.1388298
1085;8.38395418
1086;15.02708
1087;18.494147
1088;21.234
1089;21.41752
1090;21.6601232
1091;18.4016729
1092;16.37148
1093;16.62436
1094;16.9034
