Index;Wert
0;70.8126452
1;70.8126452
2;70.8126452
3;70.8126452
4;27.2237574
5;27.2237574
6;27.2237574
7;27.2237574
8;22.9262358
9;22.9262358
10;22.9262358
11;22.9262358
12;24.2457801
13;24.2457801
14;24.2457801
15;24.2457801
16;25.6659353
17;25.6659353
18;25.6659353
19;25.6659353
20;24.8138752
21;24.8138752
22;24.8138752
23;24.8138752
24;60.9257121
25;60.9257121
26;60.9257121
27;60.9257121
28;71.0600494
29;71.0600494
30;71.0600494
31;71.0600494
32;58.3415474
33;58.3415474
34;58.3415474
35;58.3415474
36;109.367791
37;109.367791
38;109.367791
39;109.367791
40;186.692556
41;186.692556
42;186.692556
43;186.692556
44;152.469678
45;152.469678
46;152.469678
47;152.469678
48;106.461726
49;106.461726
50;106.461726
51;106.461726
52;34.1374412
53;34.1374412
54;34.1374412
55;34.1374412
56;59.3083482
57;59.3083482
58;59.3083482
59;59.3083482
60;54.208962
61;54.208962
62;54.208962
63;54.208962
64;30.5682228
65;30.5682228
66;30.5682228
67;30.5682228
68;91.4663356
69;91.4663356
70;91.4663356
71;91.4663356
72;213.061009
73;213.061009
74;213.061009
75;213.061009
76;110.837208
77;110.837208
78;110.837208
79;110.837208
80;214.395618
81;214.395618
82;214.395618
83;214.395618
84;118.708346
85;118.708346
86;118.708346
87;118.708346
88;271.191878
89;271.191878
90;271.191878
91;271.191878
92;310.153317
93;310.153317
94;310.153317
95;310.153317
96;176.390094
97;176.390094
98;176.390094
99;176.390094
100;29.3371943
101;29.3371943
102;29.3371943
103;29.3371943
104;25.2626115
105;25.2626115
106;25.2626115
107;25.2626115
108;25.3511822
109;25.3511822
110;25.3511822
111;25.3511822
112;25.9592468
113;25.9592468
114;25.9592468
115;25.9592468
116;25.3880729
117;25.3880729
118;25.3880729
119;25.3880729
120;65.2963004
121;65.2963004
122;65.2963004
123;65.2963004
124;67.0893763
125;67.0893763
126;67.0893763
127;67.0893763
128;73.329461
129;73.329461
130;73.329461
131;73.329461
132;51.4508996
133;51.4508996
134;51.4508996
135;51.4508996
136;45.562184
137;45.562184
138;45.562184
139;45.562184
140;75.25674
141;75.25674
142;75.25674
143;75.25674
144;206.435909
145;206.435909
146;206.435909
147;206.435909
148;28.5569913
149;28.5569913
150;28.5569913
151;28.5569913
152;45.3207724
153;45.3207724
154;45.3207724
155;45.3207724
156;155.699732
157;155.699732
158;155.699732
159;155.699732
160;46.951991
161;46.951991
162;46.951991
163;46.951991
164;68.4302523
165;68.4302523
166;68.4302523
167;68.4302523
168;67.7612163
169;67.7612163
170;67.7612163
171;67.7612163
172;93.9127237
173;93.9127237
174;93.9127237
175;93.9127237
176;83.2011649
177;83.2011649
178;83.2011649
179;83.2011649
180;74.1481491
181;74.1481491
182;74.1481491
183;74.1481491
184;137.969151
185;137.969151
186;137.969151
187;137.969151
188;154.820238
189;154.820238
190;154.820238
191;154.820238
192;164.276358
193;164.276358
194;164.276358
195;164.276358
196;51.2953098
197;51.2953098
198;51.2953098
199;51.2953098
200;42.177694
201;42.177694
202;42.177694
203;42.177694
204;33.9980702
205;33.9980702
206;33.9980702
207;33.9980702
208;24.7954023
209;24.7954023
210;24.7954023
211;24.7954023
212;24.4565135
213;24.4565135
214;24.4565135
215;24.4565135
216;27.7918525
217;27.7918525
218;27.7918525
219;27.7918525
220;29.7985757
221;29.7985757
222;29.7985757
223;29.7985757
224;65.7357453
225;65.7357453
226;65.7357453
227;65.7357453
228;64.1602751
229;64.1602751
230;64.1602751
231;64.1602751
232;44.4962566
233;44.4962566
234;44.4962566
235;44.4962566
236;47.2633905
237;47.2633905
238;47.2633905
239;47.2633905
240;149.070344
241;149.070344
242;149.070344
243;149.070344
244;185.878651
245;185.878651
246;185.878651
247;185.878651
248;176.504669
249;176.504669
250;176.504669
251;176.504669
252;53.1140059
253;53.1140059
254;53.1140059
255;53.1140059
256;45.939338
257;45.939338
258;45.939338
259;45.939338
260;117.929407
261;117.929407
262;117.929407
263;117.929407
264;142.394827
265;142.394827
266;142.394827
267;142.394827
268;136.530357
269;136.530357
270;136.530357
271;136.530357
272;166.090875
273;166.090875
274;166.090875
275;166.090875
276;215.003517
277;215.003517
278;215.003517
279;215.003517
280;280.703032
281;280.703032
282;280.703032
283;280.703032
284;312.608942
285;312.608942
286;312.608942
287;312.608942
288;46.4022038
289;46.4022038
290;46.4022038
291;46.4022038
292;25.9132846
293;25.9132846
294;25.9132846
295;25.9132846
296;25.3360081
297;25.3360081
298;25.3360081
299;25.3360081
300;24.9879928
301;24.9879928
302;24.9879928
303;24.9879928
304;22.7522831
305;22.7522831
306;22.7522831
307;22.7522831
308;23.5584911
309;23.5584911
310;23.5584911
311;23.5584911
312;25.4553119
313;25.4553119
314;25.4553119
315;25.4553119
316;53.2561259
317;53.2561259
318;53.2561259
319;53.2561259
320;98.3479669
321;98.3479669
322;98.3479669
323;98.3479669
324;84.5024562
325;84.5024562
326;84.5024562
327;84.5024562
328;82.6514327
329;82.6514327
330;82.6514327
331;82.6514327
332;31.7779195
333;31.7779195
334;31.7779195
335;31.7779195
336;81.7396106
337;81.7396106
338;81.7396106
339;81.7396106
340;44.5910399
341;44.5910399
342;44.5910399
343;44.5910399
344;42.8788926
345;42.8788926
346;42.8788926
347;42.8788926
348;32.3505779
349;32.3505779
350;32.3505779
351;32.3505779
352;44.1477465
353;44.1477465
354;44.1477465
355;44.1477465
356;50.2412578
357;50.2412578
358;50.2412578
359;50.2412578
360;117.30375
361;117.30375
362;117.30375
363;117.30375
364;149.423142
365;149.423142
366;149.423142
367;149.423142
368;152.43768
369;152.43768
370;152.43768
371;152.43768
372;97.9538795
373;97.9538795
374;97.9538795
375;97.9538795
376;219.566806
377;219.566806
378;219.566806
379;219.566806
380;143.311268
381;143.311268
382;143.311268
383;143.311268
384;29.3219102
385;29.3219102
386;29.3219102
387;29.3219102
388;29.6519475
389;29.6519475
390;29.6519475
391;29.6519475
392;29.9086431
393;29.9086431
394;29.9086431
395;29.9086431
396;28.6715669
397;28.6715669
398;28.6715669
399;28.6715669
400;29.8076472
401;29.8076472
402;29.8076472
403;29.8076472
404;29.8259551
405;29.8259551
406;29.8259551
407;29.8259551
408;48.5553904
409;48.5553904
410;48.5553904
411;48.5553904
412;77.1626872
413;77.1626872
414;77.1626872
415;77.1626872
416;99.3925076
417;99.3925076
418;99.3925076
419;99.3925076
420;178.664178
421;178.664178
422;178.664178
423;178.664178
424;75.9349574
425;75.9349574
426;75.9349574
427;75.9349574
428;57.2786438
429;57.2786438
430;57.2786438
431;57.2786438
432;109.292965
433;109.292965
434;109.292965
435;109.292965
436;45.9165768
437;45.9165768
438;45.9165768
439;45.9165768
440;44.8764894
441;44.8764894
442;44.8764894
443;44.8764894
444;46.2506825
445;46.2506825
446;46.2506825
447;46.2506825
448;34.696135
449;34.696135
450;34.696135
451;34.696135
452;59.7069439
453;59.7069439
454;59.7069439
455;59.7069439
456;178.882279
457;178.882279
458;178.882279
459;178.882279
460;165.733404
461;165.733404
462;165.733404
463;165.733404
464;122.620851
465;122.620851
466;122.620851
467;122.620851
468;90.220133
469;90.220133
470;90.220133
471;90.220133
472;126.194578
473;126.194578
474;126.194578
475;126.194578
476;176.729092
477;176.729092
478;176.729092
479;176.729092
480;83.1095703
481;83.1095703
482;83.1095703
483;83.1095703
484;25.9590819
485;25.9590819
486;25.9590819
487;25.9590819
488;26.4814897
489;26.4814897
490;26.4814897
491;26.4814897
492;25.8584708
493;25.8584708
494;25.8584708
495;25.8584708
496;28.0207838
497;28.0207838
498;28.0207838
499;28.0207838
500;24.8677543
501;24.8677543
502;24.8677543
503;24.8677543
504;42.6636509
505;42.6636509
506;42.6636509
507;42.6636509
508;112.306239
509;112.306239
510;112.306239
511;112.306239
512;119.523735
513;119.523735
514;119.523735
515;119.523735
516;86.3258254
517;86.3258254
518;86.3258254
519;86.3258254
520;66.8999197
521;66.8999197
522;66.8999197
523;66.8999197
524;30.288711
525;30.288711
526;30.288711
527;30.288711
528;88.7815598
529;88.7815598
530;88.7815598
531;88.7815598
532;82.7702966
533;82.7702966
534;82.7702966
535;82.7702966
536;84.4424744
537;84.4424744
538;84.4424744
539;84.4424744
540;66.6800048
541;66.6800048
542;66.6800048
543;66.6800048
544;57.5901533
545;57.5901533
546;57.5901533
547;57.5901533
548;78.7860988
549;78.7860988
550;78.7860988
551;78.7860988
552;217.046966
553;217.046966
554;217.046966
555;217.046966
556;120.430719
557;120.430719
558;120.430719
559;120.430719
560;76.328715
561;76.328715
562;76.328715
563;76.328715
564;76.1546524
565;76.1546524
566;76.1546524
567;76.1546524
568;104.780092
569;104.780092
570;104.780092
571;104.780092
572;249.410904
573;249.410904
574;249.410904
575;249.410904
576;115.757748
577;115.757748
578;115.757748
579;115.757748
580;52.9110794
581;52.9110794
582;52.9110794
583;52.9110794
584;31.8143155
585;31.8143155
586;31.8143155
587;31.8143155
588;29.3678724
589;29.3678724
590;29.3678724
591;29.3678724
592;31.2919626
593;31.2919626
594;31.2919626
595;31.2919626
596;29.6059303
597;29.6059303
598;29.6059303
599;29.6059303
600;40.335907
601;40.335907
602;40.335907
603;40.335907
604;72.7916591
605;72.7916591
606;72.7916591
607;72.7916591
608;64.1783081
609;64.1783081
610;64.1783081
611;64.1783081
612;97.3399321
613;97.3399321
614;97.3399321
615;97.3399321
616;93.6088013
617;93.6088013
618;93.6088013
619;93.6088013
620;45.9303215
621;45.9303215
622;45.9303215
623;45.9303215
624;82.5232773
625;82.5232773
626;82.5232773
627;82.5232773
628;116.962717
629;116.962717
630;116.962717
631;116.962717
632;241.750444
633;241.750444
634;241.750444
635;241.750444
636;149.63371
637;149.63371
638;149.63371
639;149.63371
640;217.175177
641;217.175177
642;217.175177
643;217.175177
644;116.380932
645;116.380932
646;116.380932
647;116.380932
648;82.4132648
649;82.4132648
650;82.4132648
651;82.4132648
652;118.277533
653;118.277533
654;118.277533
655;118.277533
656;219.869079
657;219.869079
658;219.869079
659;219.869079
660;93.1340051
661;93.1340051
662;93.1340051
663;93.1340051
664;300.385523
665;300.385523
666;300.385523
667;300.385523
668;185.50716
669;185.50716
670;185.50716
671;185.50716
672;70.8126452
673;70.8126452
674;70.8126452
675;70.8126452
676;27.2237574
677;27.2237574
678;27.2237574
679;27.2237574
680;22.9262358
681;22.9262358
682;22.9262358
683;22.9262358
684;24.2457801
685;24.2457801
686;24.2457801
687;24.2457801
688;25.6659353
689;25.6659353
690;25.6659353
691;25.6659353
692;24.8138752
693;24.8138752
694;24.8138752
695;24.8138752
696;60.9257121
697;60.9257121
698;60.9257121
699;60.9257121
700;71.0600494
701;71.0600494
702;71.0600494
703;71.0600494
704;58.3415474
705;58.3415474
706;58.3415474
707;58.3415474
708;109.367791
709;109.367791
710;109.367791
711;109.367791
712;186.692556
713;186.692556
714;186.692556
715;186.692556
716;152.469678
717;152.469678
718;152.469678
719;152.469678
720;106.461726
721;106.461726
722;106.461726
723;106.461726
724;34.1374412
725;34.1374412
726;34.1374412
727;34.1374412
728;59.3083482
729;59.3083482
730;59.3083482
731;59.3083482
732;54.208962
733;54.208962
734;54.208962
735;54.208962
736;30.5682228
737;30.5682228
738;30.5682228
739;30.5682228
740;91.4663356
741;91.4663356
742;91.4663356
743;91.4663356
744;213.061009
745;213.061009
746;213.061009
747;213.061009
748;110.837208
749;110.837208
750;110.837208
751;110.837208
752;214.395618
753;214.395618
754;214.395618
755;214.395618
756;118.708346
757;118.708346
758;118.708346
759;118.708346
760;271.191878
761;271.191878
762;271.191878
763;271.191878
764;310.153317
765;310.153317
766;310.153317
767;310.153317
768;176.390094
769;176.390094
770;176.390094
771;176.390094
772;29.3371943
773;29.3371943
774;29.3371943
775;29.3371943
776;25.2626115
777;25.2626115
778;25.2626115
779;25.2626115
780;25.3511822
781;25.3511822
782;25.3511822
783;25.3511822
784;25.9592468
785;25.9592468
786;25.9592468
787;25.9592468
788;25.3880729
789;25.3880729
790;25.3880729
791;25.3880729
792;65.2963004
793;65.2963004
794;65.2963004
795;65.2963004
796;67.0893763
797;67.0893763
798;67.0893763
799;67.0893763
800;73.329461
801;73.329461
802;73.329461
803;73.329461
804;51.4508996
805;51.4508996
806;51.4508996
807;51.4508996
808;45.562184
809;45.562184
810;45.562184
811;45.562184
812;75.25674
813;75.25674
814;75.25674
815;75.25674
816;206.435909
817;206.435909
818;206.435909
819;206.435909
820;28.5569913
821;28.5569913
822;28.5569913
823;28.5569913
824;45.3207724
825;45.3207724
826;45.3207724
827;45.3207724
828;155.699732
829;155.699732
830;155.699732
831;155.699732
832;46.951991
833;46.951991
834;46.951991
835;46.951991
836;68.4302523
837;68.4302523
838;68.4302523
839;68.4302523
840;67.7612163
841;67.7612163
842;67.7612163
843;67.7612163
844;93.9127237
845;93.9127237
846;93.9127237
847;93.9127237
848;83.2011649
849;83.2011649
850;83.2011649
851;83.2011649
852;74.1481491
853;74.1481491
854;74.1481491
855;74.1481491
856;137.969151
857;137.969151
858;137.969151
859;137.969151
860;154.820238
861;154.820238
862;154.820238
863;154.820238
864;164.276358
865;164.276358
866;164.276358
867;164.276358
868;51.2953098
869;51.2953098
870;51.2953098
871;51.2953098
872;42.177694
873;42.177694
874;42.177694
875;42.177694
876;33.9980702
877;33.9980702
878;33.9980702
879;33.9980702
880;24.7954023
881;24.7954023
882;24.7954023
883;24.7954023
884;24.4565135
885;24.4565135
886;24.4565135
887;24.4565135
888;27.7918525
889;27.7918525
890;27.7918525
891;27.7918525
892;29.7985757
893;29.7985757
894;29.7985757
895;29.7985757
896;65.7357453
897;65.7357453
898;65.7357453
899;65.7357453
900;64.1602751
901;64.1602751
902;64.1602751
903;64.1602751
904;44.4962566
905;44.4962566
906;44.4962566
907;44.4962566
908;47.2633905
909;47.2633905
910;47.2633905
911;47.2633905
912;149.070344
913;149.070344
914;149.070344
915;149.070344
916;185.878651
917;185.878651
918;185.878651
919;185.878651
920;176.504669
921;176.504669
922;176.504669
923;176.504669
924;53.1140059
925;53.1140059
926;53.1140059
927;53.1140059
928;45.939338
929;45.939338
930;45.939338
931;45.939338
932;117.929407
933;117.929407
934;117.929407
935;117.929407
936;142.394827
937;142.394827
938;142.394827
939;142.394827
940;136.530357
941;136.530357
942;136.530357
943;136.530357
944;166.090875
945;166.090875
946;166.090875
947;166.090875
948;215.003517
949;215.003517
950;215.003517
951;215.003517
952;280.703032
953;280.703032
954;280.703032
955;280.703032
956;312.608942
957;312.608942
958;312.608942
959;312.608942
960;46.4022038
961;46.4022038
962;46.4022038
963;46.4022038
964;25.9132846
965;25.9132846
966;25.9132846
967;25.9132846
968;25.3360081
969;25.3360081
970;25.3360081
971;25.3360081
972;24.9879928
973;24.9879928
974;24.9879928
975;24.9879928
976;22.7522831
977;22.7522831
978;22.7522831
979;22.7522831
980;23.5584911
981;23.5584911
982;23.5584911
983;23.5584911
984;25.4553119
985;25.4553119
986;25.4553119
987;25.4553119
988;53.2561259
989;53.2561259
990;53.2561259
991;53.2561259
992;98.3479669
993;98.3479669
994;98.3479669
995;98.3479669
996;84.5024562
997;84.5024562
998;84.5024562
999;84.5024562
1000;82.6514327
1001;82.6514327
1002;82.6514327
1003;82.6514327
1004;31.7779195
1005;31.7779195
1006;31.7779195
1007;31.7779195
1008;81.7396106
1009;81.7396106
1010;81.7396106
1011;81.7396106
1012;44.5910399
1013;44.5910399
1014;44.5910399
1015;44.5910399
1016;42.8788926
1017;42.8788926
1018;42.8788926
1019;42.8788926
1020;32.3505779
1021;32.3505779
1022;32.3505779
1023;32.3505779
1024;44.1477465
1025;44.1477465
1026;44.1477465
1027;44.1477465
1028;50.2412578
1029;50.2412578
1030;50.2412578
1031;50.2412578
1032;117.30375
1033;117.30375
1034;117.30375
1035;117.30375
1036;149.423142
1037;149.423142
1038;149.423142
1039;149.423142
1040;152.43768
1041;152.43768
1042;152.43768
1043;152.43768
1044;97.9538795
1045;97.9538795
1046;97.9538795
1047;97.9538795
1048;219.566806
1049;219.566806
1050;219.566806
1051;219.566806
1052;143.311268
1053;143.311268
1054;143.311268
1055;143.311268
1056;29.3219102
1057;29.3219102
1058;29.3219102
1059;29.3219102
1060;29.6519475
1061;29.6519475
1062;29.6519475
1063;29.6519475
1064;29.9086431
1065;29.9086431
1066;29.9086431
1067;29.9086431
1068;28.6715669
1069;28.6715669
1070;28.6715669
1071;28.6715669
1072;29.8076472
1073;29.8076472
1074;29.8076472
1075;29.8076472
