Index;Wert
0;13.8928635
1;13.7101027
2;13.8836872
3;14.7875502
4;19.2326905
5;22.20198
6;21.0507399
7;20.2156989
8;19.7714143
9;18.6557323
10;18.3246217
11;18.323857
12;18.5513521
13;18.0149224
14;18.2882989
15;19.1504864
16;20.7230704
17;22.3468887
18;22.7491154
19;21.9454267
20;21.197178
21;18.3544446
22;12.5210104
23;13.408815
24;12.9040284
25;12.7342758
26;12.8955053
27;13.7350352
28;17.8637893
29;20.6217373
30;19.5524376
31;18.7768313
32;18.364169
33;17.3278964
34;17.0203529
35;17.0196426
36;17.2309456
37;16.7326967
38;16.9866155
39;17.7874361
40;19.2480903
41;20.756332
42;21.1299299
43;20.3834444
44;19.6884528
45;17.0480531
46;11.6298181
47;12.4544324
48;8.27596776
49;8.05225225
50;8.26473518
51;9.37114408
52;14.8123919
53;18.4470668
54;17.0378464
55;16.0156818
56;15.4718378
57;14.1061436
58;13.7008348
59;13.6998987
60;13.978373
61;13.3217353
62;13.6563725
63;14.7117667
64;16.6367497
65;18.624448
66;19.1168093
67;18.1330227
68;17.2170996
69;13.7373406
70;6.59669739
71;7.68344928
72;9.1449005
73;8.89769605
74;9.13248856
75;10.3550645
76;16.3676145
77;20.3839111
78;18.8267299
79;17.6972435
80;17.0962988
81;15.5872139
82;15.1393498
83;15.1383154
84;15.4460281
85;14.7204468
86;15.0902192
87;16.2564243
88;18.3835203
89;20.5799163
90;21.1239729
91;20.0368939
92;19.0248038
93;15.1796886
94;7.28931565
95;8.49017072
96;12.6024592
97;12.4366737
98;12.5941352
99;13.4140452
100;17.4463096
101;20.139804
102;19.095494
103;18.3380137
104;17.9349954
105;16.9229407
106;16.6225845
107;16.6218909
108;16.8282557
109;16.3416509
110;16.5896355
111;17.3717408
112;18.7982593
113;20.2712532
114;20.6361201
115;19.90708
116;19.2283305
117;16.6496374
118;11.3580273
119;12.1633704
120;12.7636534
121;12.5957474
122;12.755223
123;13.5856202
124;17.6694601
125;20.3974061
126;19.3397387
127;18.5725697
128;18.1643965
129;17.1393969
130;16.835199
131;16.8344964
132;17.0435008
133;16.550672
134;16.8018285
135;17.5939375
136;19.0387021
137;20.5305366
138;20.9000704
139;20.1617054
140;19.4742743
141;16.8625979
142;11.5033044
143;12.3189483
144;12.0559578
145;11.8973616
146;12.0479948
147;12.8323497
148;16.6897563
149;19.2664483
150;18.2674244
151;17.542792
152;17.1572504
153;16.1890831
154;15.9017518
155;15.9010882
156;16.0985041
157;15.6330008
158;15.8702316
159;16.6184212
160;17.9830792
161;19.3921972
162;19.7412417
163;19.0438162
164;18.3945005
165;15.9276315
166;10.8654903
167;11.6359099
168;8.9336263
169;8.81610433
170;8.92772561
171;9.50894306
172;12.3673331
173;14.2766963
174;13.5364062
175;12.9994439
176;12.7137524
177;11.9963275
178;11.7834112
179;11.7829194
180;11.9292072
181;11.584263
182;11.7600543
183;12.3144728
184;13.3257026
185;14.369878
186;14.6285246
187;14.111723
188;13.6305713
189;11.8025884
190;8.05147393
191;8.62236518
192;12.4487917
193;12.2850277
194;12.4405693
195;13.2504817
196;17.2335789
197;19.8942303
198;18.862654
199;18.1144101
200;17.7163059
201;16.7165917
202;16.4198979
203;16.4192127
204;16.6230612
205;16.1423898
206;16.3873506
207;17.1599194
208;18.5690436
209;20.0240767
210;20.3844945
211;19.664344
212;18.9938708
213;16.4466209
214;11.2195338
215;12.0150569
216;9.05346485
217;8.80873209
218;9.04117701
219;10.251529
220;16.2039623
221;20.1801017
222;18.6384901
223;17.5202969
224;16.9253608
225;15.4313645
226;14.9879784
227;14.9869544
228;15.2915904
229;14.5732639
230;14.939339
231;16.0938838
232;18.1997119
233;20.3741472
234;20.9127641
235;19.8365543
236;18.8345835
237;15.0279139
238;7.21643314
239;8.40528142
240;9.42593356
241;9.17113224
242;9.41314019
243;10.6732873
244;16.8706097
245;21.0103316
246;19.4052965
247;18.2410997
248;17.6216872
249;16.0662265
250;15.604599
251;15.6035329
252;15.9207019
253;15.1728227
254;15.5539586
255;16.7560024
256;18.9484665
257;21.2123602
258;21.7731363
259;20.6526502
260;19.6094574
261;15.6461774
262;7.51332451
263;8.75108321
264;12.1046219
265;11.9453854
266;12.0966268
267;12.8841477
268;16.7571248
269;19.3442176
270;18.3411611
271;17.6136038
272;17.2265059
273;16.2544306
274;15.9659395
275;15.9652732
276;16.163486
277;15.6961036
278;15.9342921
279;16.6855017
280;18.0556682
281;19.4704741
282;19.8209276
283;19.1206869
284;18.4687502
285;15.9919237
286;10.9093491
287;11.6828785
288;13.0858247
289;12.9136805
290;13.0771815
291;13.9285389
292;18.1154603
293;20.9122632
294;19.8278989
295;19.0413656
296;18.6228895
297;17.5720176
298;17.2601413
299;17.2594211
300;17.473701
301;16.9684325
302;17.2259286
303;18.0380314
304;19.5192638
305;21.0487541
306;21.4276154
307;20.6706131
308;19.9658303
309;17.2882318
310;11.7936628
311;12.6298947
312;11.634289
313;11.4812398
314;11.6266046
315;12.3835258
316;16.106016
317;18.5925856
318;17.6285035
319;16.9292159
320;16.557159
321;15.6228543
322;15.3455726
323;15.3449323
324;15.5354433
325;15.0862214
326;15.3151549
327;16.0371758
328;17.3541036
329;18.7139363
330;19.0507727
331;18.3777403
332;17.751135
333;15.3705472
334;10.4854593
335;11.2289327
336;16.0204319
337;15.8096829
338;16.0098504
339;17.052132
340;22.178006
341;25.6020158
342;24.2744735
343;23.3115534
344;22.7992306
345;21.5126917
346;21.1308745
347;21.1299927
348;21.3923267
349;20.7737476
350;21.0889893
351;22.0832131
352;23.8966244
353;25.7691159
354;26.2329401
355;25.3061736
356;24.4433372
357;21.1652645
358;14.4384918
359;15.4622557
360;16.6580103
361;16.438874
362;16.6470077
363;17.7307699
364;23.0606425
365;26.6209204
366;25.2405448
367;24.2393026
368;23.7065904
369;22.3688502
370;21.9718375
371;21.9709206
372;22.2436949
373;21.6004976
374;21.9282853
375;22.962077
376;24.8476581
377;26.7946708
378;27.2769541
379;26.3133044
380;25.416129
381;22.0075961
382;15.0131124
383;16.0776199
384;14.3849404
385;13.9960875
386;14.3654165
387;16.2885301
388;25.7462791
389;32.0639188
390;29.6144708
391;27.8377872
392;26.8925004
393;24.5187078
394;23.814217
395;23.81259
396;24.2966224
397;23.1552821
398;23.7369345
399;25.5713766
400;28.9173014
401;32.3722352
402;33.228037
403;31.5180604
404;29.9260412
405;23.87767
406;11.4661031
407;13.3550497
408;15.5642732
409;15.1435407
410;15.5431486
411;17.6239264
412;27.8570582
413;34.6926423
414;32.0423791
415;30.1200361
416;29.0972511
417;26.5288459
418;25.7665982
419;25.7648378
420;26.288553
421;25.0536413
422;25.6829798
423;27.6678165
424;31.2880531
425;35.0262357
426;35.9521994
427;34.1020323
428;32.3794933
429;25.8352533
430;12.4061383
431;14.449948
432;20.2664109
433;19.999806
434;20.2530249
435;21.5715479
436;28.0559591
437;32.3874521
438;30.7080643
439;29.4899365
440;28.84183
441;27.2143131
442;26.7313009
443;26.7301854
444;27.0620471
445;26.2795227
446;26.6783145
447;27.9360427
448;30.2300719
449;32.5988397
450;33.1855936
451;32.0132013
452;30.9216829
453;26.7748054
454;18.2652009
455;19.5602984
456;19.3445321
457;19.0900545
458;19.331755
459;20.590301
460;26.7797492
461;30.9142112
462;29.3112155
463;28.1484978
464;27.5298724
465;25.976388
466;25.5153471
467;25.5142823
468;25.8310483
469;25.0841194
470;25.464771
471;26.6652876
472;28.8549659
473;31.1159832
474;31.6760468
475;30.5569843
476;29.5151169
477;25.5568727
478;17.4343532
479;18.6705392
480;17.4747438
481;17.2448633
482;17.4632017
483;18.6001002
484;24.1912937
485;27.9261301
486;26.4780755
487;25.4277429
488;24.8689121
489;23.4655831
490;23.0491051
491;23.0481432
492;23.3342915
493;22.6595586
494;23.0034175
495;24.0878955
496;26.0659257
497;28.1083994
498;28.6143288
499;27.6034318
500;26.6622684
501;23.0866169
502;15.7491974
503;16.8658972
504;17.3090369
505;17.0813363
506;17.2976042
507;18.4237219
508;23.961896
509;27.6613163
510;26.2269931
511;25.1866204
512;24.6330888
513;23.2430671
514;22.8305384
515;22.8295857
516;23.1130205
517;22.4446859
518;22.7852841
519;23.8594784
520;25.8187516
521;27.8418572
522;28.3429891
523;27.341678
524;26.4094394
525;22.8676946
526;15.5998533
527;16.7059637
528;14.0467062
529;13.8619216
530;14.0374283
531;14.9513003
532;19.4456639
533;22.4478338
534;21.2838454
535;20.4395576
536;19.9903532
537;18.8623166
538;18.5275395
539;18.5267664
540;18.7567807
541;18.2144108
542;18.4908145
543;19.3625494
544;20.9525475
545;22.5943471
546;23.0010279
547;22.1884395
548;21.4319051
549;18.5576927
550;12.6596619
551;13.5572976
552;10.6072817
553;10.3205462
554;10.5928849
555;12.0109657
556;18.9849958
557;23.6435472
558;21.8373537
559;20.5272486
560;19.8302056
561;18.0797996
562;17.5603165
563;17.5591168
564;17.9160364
565;17.0744259
566;17.5033293
567;18.8560248
568;21.3232695
569;23.870896
570;24.5019539
571;23.2410378
572;22.067102
573;17.607106
574;8.45496616
575;9.84785261
576;6.11963452
577;5.9542089
578;6.11132863
579;6.92945871
580;10.9529698
