Index;Wert
0;36.3887968
1;35.5449588
2;36.560425
3;41.4206457
4;64.7969775
5;80.4578473
6;76.066738
7;74.8226073
8;72.6379734
9;67.7645594
10;66.1405729
11;64.9807753
12;66.4271512
13;62.3753852
14;63.6195046
15;69.0154489
16;79.8870796
17;93.173959
18;99.9977746
19;98.9819475
20;93.6130975
21;70.5374091
22;33.4266675
23;33.6366852
24;33.1633828
25;32.2707625
26;33.1818102
27;37.7579079
28;60.0961846
29;75.0765405
30;70.8270499
31;69.6330481
32;67.3352097
33;62.5083874
34;61.4934194
35;61.3427884
36;62.9604003
37;59.2660454
38;60.5068447
39;65.4882257
40;75.5640003
41;88.1626812
42;94.6090644
43;93.5061356
44;88.2865052
45;65.8761581
46;29.9535367
47;29.91953
48;6.17562697
49;5.04405608
50;6.17653303
51;12.0143857
52;40.6125898
53;60.8868576
54;55.596666
55;53.5898331
56;55.1516721
57;53.4790098
58;54.4580355
59;53.9489677
60;50.7414795
61;46.1126064
62;48.9195467
63;56.6195862
64;69.105158
65;81.0064624
66;81.6881565
67;71.2813705
68;59.1364586
69;36.7221211
70;0
71;3.98017185
72;12.0429429
73;10.9327342
74;12.2598396
75;18.7395215
76;50.4474456
77;71.5002443
78;64.9101479
79;61.6269119
80;62.914275
81;60.3756984
82;61.3792128
83;62.0004778
84;59.6988812
85;53.1118126
86;56.0832907
87;64.0750654
88;77.3720325
89;88.2676761
90;87.6430128
91;76.6092679
92;66.708396
93;44.6673508
94;2.17098915
95;8.63804018
96;30.985282
97;30.3024844
98;31.3826679
99;35.9355576
100;57.4502085
101;71.780157
102;67.4694795
103;66.1118972
104;63.6471975
105;59.0593743
106;57.8212573
107;57.2379728
108;58.7609296
109;55.4964311
110;56.8274431
111;61.6988024
112;71.5974214
113;84.3265287
114;91.1576329
115;90.3719156
116;85.0432727
117;63.259081
118;28.5325253
119;28.3925878
120;31.1997272
121;30.4035459
122;31.3606327
123;35.8767366
124;57.5547923
125;72.0490565
126;67.9194071
127;66.7433133
128;64.7454401
129;60.0343313
130;58.6856984
131;57.8851905
132;59.4247577
133;56.2538106
134;57.7127745
135;62.9094748
136;73.0529383
137;85.6358554
138;92.1786481
139;91.402977
140;86.4556742
141;64.9310332
142;30.0124586
143;29.8676447
144;28.0459213
145;27.3029499
146;27.994798
147;32.2392378
148;52.630357
149;66.0166208
150;62.186551
151;61.4652372
152;59.5274534
153;55.1887607
154;53.6893057
155;52.8152121
156;54.1005946
157;50.6981561
158;51.9926595
159;57.2720733
160;67.2750958
161;79.298616
162;85.0809041
163;83.6108881
164;78.5622859
165;57.4579041
166;24.2580484
167;24.05307
168;9.4163104
169;8.99847701
170;9.5190309
171;12.4581617
172;27.3796233
173;37.4725984
174;35.1451502
175;35.5022172
176;34.1364181
177;31.3773775
178;30.7564343
179;30.0086776
180;31.059009
181;28.1597811
182;28.9401346
183;32.6033847
184;40.5331504
185;50.8966362
186;56.9210734
187;57.2955621
188;53.1711537
189;35.5950705
190;9.54617746
191;8.18436673
192;30.6148146
193;29.6838915
194;30.4650043
195;34.7645252
196;56.2405627
197;70.6724999
198;66.7736921
199;65.8120505
200;63.545532
201;58.9905639
202;57.717182
203;56.9498978
204;58.3849018
205;54.4989422
206;55.6873026
207;60.5764902
208;70.4875477
209;83.3035326
210;90.0485327
211;89.4251632
212;84.7862256
213;63.1931935
214;28.5922175
215;28.5599179
216;12.2267386
217;10.8474979
218;12.0845441
219;18.3423035
220;49.7046952
221;71.5304412
222;65.1670981
223;62.3157128
224;63.8204155
225;61.0478114
226;61.7504147
227;61.4965451
228;58.4558971
229;53.4284712
230;56.4713344
231;64.9897373
232;78.7178453
233;91.731081
234;92.6871369
235;81.8030088
236;68.7370291
237;44.1892671
238;1.43245899
239;7.66277805
240;13.1534381
241;11.8689252
242;13.1128484
243;19.870941
244;53.0596036
245;75.3178777
246;68.6971496
247;65.310451
248;66.8283473
249;64.2707489
250;65.4583289
251;66.30077
252;64.0948138
253;56.7909826
254;59.0844131
255;66.8588777
256;80.4704672
257;91.9771923
258;91.523643
259;80.1823939
260;70.0118683
261;47.2335977
262;3.01886706
263;9.70362761
264;27.2516247
265;26.41783
266;27.5588986
267;31.7694183
268;52.2452814
269;66.0102984
270;62.2890886
271;61.3765161
272;59.239628
273;54.8473564
274;54.0049654
275;53.8818382
276;55.5562479
277;52.3648599
278;53.3314246
279;57.9333888
280;67.6464486
281;79.8252552
282;86.2038012
283;85.6456429
284;80.6727522
285;59.493453
286;25.9419268
287;25.6517234
288;33.6906202
289;32.7517761
290;33.6193661
291;38.1484945
292;60.4758661
293;75.403404
294;71.1522847
295;70.1562636
296;67.8482778
297;63.0809427
298;62.0120328
299;61.904395
300;63.6648282
301;59.8585071
302;61.3363354
303;66.4403769
304;76.7263237
305;89.4520322
306;96.0865892
307;95.2203196
308;89.9848411
309;67.7608365
310;31.9795853
311;32.1972666
312;26.2250833
313;25.6202618
314;26.5135622
315;30.6396285
316;50.4063513
317;63.7467806
318;60.371036
319;59.9259594
320;57.2415871
321;53.2213313
322;51.8022078
323;50.7946877
324;51.8693898
325;48.3366113
326;49.3124435
327;53.9054203
328;63.3898715
329;75.3896749
330;81.9749347
331;81.5325818
332;76.893383
333;56.2982191
334;24.1062943
335;23.6129063
336;50.465719
337;49.3053093
338;50.2020725
339;55.7909539
340;83.3234682
341;101.933935
342;96.4903091
343;94.4085781
344;91.6423429
345;85.5611066
346;84.247627
347;84.1107465
348;86.1889833
349;82.2178073
350;83.9620413
351;90.0904885
352;102.032311
353;116.566915
354;123.565173
355;121.625065
356;115.511943
357;89.847416
358;47.2127579
359;48.3224955
360;55.0560179
361;53.9196307
362;55.0941905
363;60.832257
364;89.4741278
365;108.633139
366;102.746303
367;100.510024
368;97.6101335
369;91.041628
370;89.4318719
371;89.2235896
372;91.2060863
373;86.7922645
374;88.5795831
375;94.9211003
376;107.527976
377;122.63259
378;129.792727
379;127.706782
380;121.235091
381;94.8194091
382;50.7392424
383;52.2756885
384;43.4892303
385;41.4915299
386;43.7287476
387;54.2595331
388;105.195886
389;140.359283
390;129.409465
391;123.092095
392;122.185125
393;114.633702
394;113.933887
395;113.769374
396;111.93039
397;104.556677
398;108.711526
399;120.929506
400;141.346942
401;161.476614
402;164.225202
403;150.154474
404;134.201795
405;96.4337561
406;28.6302272
407;38.8922281
408;50.0460225
409;48.072259
410;50.8587701
411;62.5855707
412;117.22499
413;153.464303
414;141.357177
415;133.94886
416;133.134302
417;124.989873
418;124.301597
419;124.343076
420;122.981441
421;113.266287
422;117.285132
423;129.624582
424;151.083607
425;171.010475
426;172.610357
427;157.465027
428;144.429697
429;107.855419
430;35.80503
431;47.0946189
432;79.4390083
433;78.1246046
434;79.4756485
435;86.6116738
436;121.436688
437;144.751234
438;136.93444
439;133.203235
440;129.064155
441;120.547136
442;118.128863
443;117.39063
444;118.889358
445;113.430608
446;115.20178
447;122.440805
448;136.805616
449;154.114885
450;161.964224
451;158.955146
452;152.41317
453;122.14453
454;69.882883
455;72.4863562
456;71.043529
457;69.8185072
458;71.220589
459;78.0692996
460;111.354194
461;133.770184
462;126.613174
463;123.720255
464;121.050083
465;113.698009
466;111.627786
467;111.043368
468;112.171937
469;106.561401
470;108.152595
471;115.381062
472;129.744352
473;147.063296
474;155.024272
475;152.580425
476;145.519974
477;115.993949
478;65.8315705
479;68.1114437
480;61.1199557
481;59.7968204
482;60.5876476
483;66.5470303
484;96.0327734
485;115.891132
486;109.523976
487;106.875365
488;103.913691
489;97.0062328
490;94.9595928
491;94.2700872
492;96.1591796
493;91.6165162
494;93.2860335
495;99.8770325
496;112.75031
497;128.500694
498;135.953249
499;133.674451
500;127.193922
501;100.475282
502;55.6364351
503;57.7663062
504;59.8987543
505;58.6930248
506;59.9172322
507;66.0541643
508;95.7080942
509;115.486184
510;109.973662
511;108.070007
512;103.820176
513;97.1475166
514;95.286641
515;93.9617275
516;94.7737129
517;89.6711483
518;91.0049891
519;97.2547502
520;110.120795
521;126.065952
522;133.839633
523;131.797152
524;125.930029
525;99.0170758
526;53.5581248
527;54.3770207
528;40.5629108
529;38.9551682
530;39.3981886
531;43.9662793
532;67.6997354
533;83.5460474
