Index;Wert
0;80
1;25.941368
2;80
3;22.2088472
4;80
5;80
6;80
7;80
8;80
9;80
10;80
11;80
12;80
13;80
14;80
15;80
16;80
17;80
18;80
19;80
20;80
21;80
22;80
23;40.9741705
24;61.1575171
25;26.6269146
26;61.1355168
27;32.3881836
28;80
29;80
30;80
31;80
32;80
33;80
34;80
35;80
36;80
37;80
38;80
39;80
40;80
41;80
42;80
43;80
44;80
45;80
46;80
47;25.6528276
48;43.261443
49;0.538020192
50;16.2705525
51;20.9089137
52;50.9954302
53;71.090297
54;79.2687755
55;80
56;80
57;80
58;75.0995186
59;65.2982025
60;63.7810356
61;57.097067
62;57.2870994
63;60.8044671
64;72.707015
65;80
66;80
67;80
68;80
69;80
70;48.59225
71;2.25405622
72;36.7863092
73;9.69815441
74;36.7535519
75;17.4544705
76;74.7455779
77;71.8420721
78;80
79;80
80;80
81;80
82;80
83;80
84;80
85;71.6538472
86;73.6988039
87;65.073085
88;80
89;80
90;80
91;80
92;80
93;80
94;73.1616304
95;1.9358166
96;51.8619883
97;34.1373288
98;52.6832141
99;40.1564231
100;79.0695657
101;79.1442172
102;80
103;80
104;80
105;80
106;80
107;80
108;80
109;80
110;80
111;80
112;80
113;80
114;80
115;80
116;80
117;80
118;80
119;28.2115814
120;68.2196867
121;18.064217
122;68.4885623
123;23.9972908
124;80
125;80
126;80
127;80
128;80
129;80
130;80
131;80
132;80
133;80
134;80
135;80
136;80
137;80
138;80
139;80
140;80
141;80
142;80
143;40.1535627
144;55.63451
145;24.6901739
146;55.0849781
147;30.1710404
148;80
149;66.5775646
150;80
151;80
152;80
153;80
154;80
155;80
156;80
157;80
158;72.3621368
159;80
160;79.0781566
161;80
162;80
163;80
164;80
165;80
166;80
167;16.3283317
168;48.595685
169;0.443330757
170;23.5959568
171;15.8609714
172;42.3961353
173;44.2505822
174;66.3567198
175;66.2687383
176;74.2349909
177;60.3737331
178;61.0948134
179;46.8060308
180;55.635658
181;43.7158433
182;54.0930043
183;46.4027132
184;62.0841369
185;59.8973795
186;78.9407261
187;66.6565241
188;71.4135049
189;50.9646194
190;32.707403
191;15.3946759
192;46.7780374
193;35.2603936
194;46.4800887
195;40.2817508
196;72.7487675
197;79.6097383
198;80
199;80
200;80
201;80
202;80
203;80
204;80
205;80
206;80
207;80
208;80
209;80
210;80
211;80
212;80
213;80
214;80
215;25.686465
216;50.5024089
217;0.538020192
218;37.8557342
219;13.5093153
220;74.6146343
221;66.9679436
222;80
223;80
224;80
225;80
226;80
227;80
228;77.5919452
229;70.2844967
230;60.3915979
231;74.7047283
232;77.5686885
233;80
234;80
235;80
236;80
237;80
238;65.3989217
239;1.14673798
240;30.8911082
241;14.8131621
242;30.3719087
243;22.8915279
244;70.6624893
245;80
246;80
247;80
248;80
249;80
250;80
251;80
252;80
253;80
254;67.6108329
255;80
256;80
257;80
258;80
259;80
260;80
261;80
262;71.2366487
263;1.9358166
264;47.6887732
265;27.3626893
266;48.8709334
267;32.5736881
268;73.6671928
269;70.1526831
270;80
271;80
272;80
273;80
274;80
275;80
276;80
277;80
278;80
279;75.5740272
280;80
281;80
282;80
283;80
284;80
285;80
286;80
287;18.2025128
288;78.1602488
289;13.2382363
290;77.840637
291;18.8654185
292;80
293;80
294;80
295;80
296;80
297;80
298;80
299;80
300;80
301;80
302;80
303;80
304;80
305;80
306;80
307;80
308;80
309;80
310;80
311;47.1828309
312;52.1109575
313;27.8840535
314;51.828361
315;33.1787643
316;76.8121279
317;70.3314615
318;80
319;80
320;80
321;80
322;80
323;80
324;80
325;80
326;80
327;80
328;80
329;80
330;80
331;80
332;80
333;80
334;80
335;18.4599687
336;80
337;66.3373551
338;63.093293
339;72.570473
340;80
341;80
342;80
343;80
344;80
345;80
346;80
347;80
348;80
349;80
350;80
351;80
352;80
353;80
354;80
355;80
356;80
357;80
358;80
359;80
360;80
361;72.0526457
362;71.0324465
363;77.3435871
364;80
365;80
366;80
367;80
368;80
369;80
370;80
371;80
372;80
373;80
374;80
375;80
376;80
377;80
378;80
379;80
380;80
381;80
382;80
383;80
384;80
385;51.6891643
386;76.606774
387;58.2841452
388;80
389;80
390;80
391;80
392;80
393;80
394;80
395;80
396;80
397;80
398;80
399;80
400;80
401;80
402;80
403;80
404;80
405;80
406;80
407;80
408;61.6033593
409;80
410;69.861799
411;80
412;80
413;80
414;80
415;80
416;80
417;80
418;80
419;80
420;80
421;80
422;80
423;80
424;80
425;80
426;80
427;80
428;80
429;80
430;80
431;80
432;80
433;80
434;80
435;80
436;80
437;80
438;80
439;80
440;80
441;80
442;80
443;80
444;80
445;80
446;80
447;80
448;80
449;80
450;80
451;80
452;80
453;80
454;80
455;80
456;80
457;80
458;80
459;80
460;80
461;80
462;80
463;80
464;80
465;80
466;80
467;80
468;80
469;80
470;80
471;80
472;80
473;80
474;80
475;80
476;80
477;80
478;80
479;80
480;80
481;80
