Index;Wert
0;100
1;99.0716105
2;94.8214186
3;94.3324445
4;94.1972248
5;91.7484632
6;91.6096438
7;91.2714804
8;90.7058029
9;90.5272993
10;90.3426957
11;90.1820338
12;90.1697533
13;90.0681053
14;90.0067729
15;89.2365524
16;88.4558608
17;88.3667209
18;87.5720583
19;87.3045148
20;86.9547215
21;86.776951
22;86.7582963
23;86.7493168
24;86.7260668
25;86.6715715
26;86.5888319
27;86.0625695
28;85.3201214
29;85.2894041
30;84.6356124
31;83.8026827
32;83.7848987
33;83.6534143
34;83.1647711
35;83.1578
36;82.9670938
37;82.9302412
38;82.6781159
39;82.6748759
40;82.6680772
41;82.56111
42;82.3715924
43;82.2852789
44;82.206378
45;82.1476245
46;82.0840314
47;82.0536988
48;81.8793113
49;81.7690251
50;81.7042779
51;81.6193334
52;81.6023721
53;81.4724672
54;81.4620116
55;81.3668088
56;81.2441167
57;81.0738889
58;80.8867449
59;80.7889648
60;80.551831
61;80.4775302
62;80.3298543
63;80.0455604
64;80.0070412
65;79.988915
66;79.9376869
67;79.9321068
68;79.8861876
69;79.7990647
70;79.7300404
71;79.6934857
72;79.5240723
73;79.4949426
74;79.4448468
75;79.4375136
76;79.1005499
77;79.0103822
78;78.9761295
79;78.8919771
80;78.8001157
81;78.6958642
82;78.6603427
83;78.6259205
84;78.6139698
85;78.5277642
86;78.4202336
87;78.3946673
88;78.3500845
89;78.3306861
90;78.2945991
91;78.2231534
92;78.1888511
93;78.1441042
94;78.1035352
95;77.9665414
96;77.90137
97;77.7123049
98;77.5928149
99;77.5723628
100;77.5025095
101;77.4998602
102;77.3186245
103;77.2128048
104;77.1814888
105;76.9323062
106;76.882923
107;76.7901186
108;76.7688415
109;76.6365326
110;76.5915725
111;76.581724
112;76.5744374
113;76.4207555
114;76.3237543
115;76.2717644
116;76.2669414
117;76.2160315
118;76.0916891
119;75.955809
120;75.9485822
121;75.8857125
122;75.816038
123;75.7991795
124;75.7677951
125;75.5822475
126;75.5812191
127;75.5151921
128;75.5044678
129;75.2848289
130;75.2831149
131;75.2401422
132;75.1747148
133;75.1167119
134;75.0693112
135;75.0195357
136;74.9619945
137;74.8254444
138;74.7847419
139;74.7561388
140;74.7371147
141;74.7269403
142;74.6834328
143;74.5270577
144;74.3880689
145;74.30457
146;74.1705538
147;74.14909
148;73.986943
149;73.9825572
150;73.9752839
151;73.8627722
152;73.8268543
153;73.8198078
154;73.8097877
155;73.701119
156;73.698924
157;73.6780721
158;73.6697649
159;73.5664405
160;73.5580433
161;73.4740419
162;73.4546156
163;73.436093
164;73.4018873
165;73.4002274
166;73.3727208
167;73.298016
168;73.2393542
169;73.2307446
170;73.1605443
171;73.1184455
172;73.0952972
173;73.0519249
174;72.9993618
175;72.9566921
176;72.9360865
177;72.8367585
178;72.8363609
179;72.7768379
180;72.6244236
181;72.5987343
182;72.5401868
183;72.5081879
184;72.5048644
185;72.4455467
186;72.4244269
187;72.3667972
188;72.3634694
189;72.2712965
190;72.2483578
191;72.1360282
192;72.1287089
193;72.0940323
194;71.9833108
195;71.9717849
196;71.8927202
197;71.876925
198;71.8355503
199;71.7304142
200;71.7119101
201;71.6996107
202;71.5331916
203;71.4784454
204;71.4730314
205;71.3988259
206;71.3028301
207;71.2905817
208;71.2621803
209;71.1787301
210;71.1697502
211;71.0892969
212;71.0612623
213;71.0036724
214;70.9901761
215;70.9839976
216;70.9363681
217;70.8955165
218;70.8738049
219;70.8097832
220;70.803021
221;70.8011458
222;70.7928465
223;70.7126726
224;70.6951277
225;70.6657376
226;70.6540061
227;70.642868
228;70.6307258
229;70.5713693
230;70.5451396
231;70.5316197
232;70.3961643
233;70.3576884
234;70.3505407
235;70.3469463
236;70.2778106
237;70.2324431
238;70.1446001
239;70.1162994
240;70.0479097
241;69.9887
242;69.9800955
243;69.9755199
244;69.9388588
