Index;Wert
0;83041.4037
1;82085.9657
2;82993.4319
3;87718.6527
4;110956.984
5;128317.302
6;138223.394
7;142432.72
8;142560.018
9;136727.448
10;130709.087
11;126417.71
12;123932.114
13;119290.315
14;118269.543
15;121551.927
16;130385.574
17;142549.478
18;156289.413
19;156375.264
20;150626.116
21;135152.375
22;91794.1738
23;81123.3749
24;79837.2447
25;78921.6244
26;79791.2721
27;84319.5698
28;106589.447
29;123271.554
30;133157.231
31;137402.438
32;137584.802
33;131995.304
34;126122.106
35;121903.92
36;119431.352
37;114937.721
38;113899.117
39;117014.522
40;125495.121
41;137242.653
42;150696.747
43;150884.672
44;145329.84
45;130485.872
46;88617.6644
47;78014.2426
48;52589.8723
49;51416.9014
50;52530.9784
51;58332.0311
52;86861.2351
53;107541.48
54;114220.038
55;116435.386
56;115748.137
57;108587.616
58;102675.178
59;98882.9226
60;97096.703
61;92030.7125
62;91621.0621
63;96072.5387
64;106706.537
65;120374.608
66;133236.07
67;131865.291
68;125439.832
69;106653.932
70;57852.5218
71;50024.2669
72;58225.0435
73;56920.4347
74;58159.5401
75;64611.622
76;96342.5461
77;119296.574
78;126316.62
79;128560.884
80;127733.735
81;119769.617
82;113303.502
83;109195.508
84;107302.986
85;101715.539
86;101322.688
87;106305.122
88;118116.839
89;133224.665
90;147231.349
91;145596.881
92;138497.398
93;117618.923
94;63670.2788
95;55355.8172
96;77489.0675
97;76608.4698
98;77444.8534
99;81799.943
100;103217.994
101;119386.528
102;129973.242
103;134637.158
104;134978.573
105;129602.874
106;123663.782
107;119316.397
108;116689.367
109;112243.099
110;111078.196
111;113991.423
112;122189.145
113;133736.371
114;147464.465
115;147935.746
116;142468.868
117;128151.177
118;87012.8008
119;75777.3018
120;78245.3572
121;77359.176
122;78200.8628
123;82583.5666
124;104137.422
125;120455.233
126;131514.302
127;136425.99
128;136831.912
129;131422.128
130;125336.278
131;120852.229
132;118115.027
133;113593.809
134;112359.178
135;115259.705
136;123524.991
137;135238.949
138;149350.217
139;149933.586
140;144385.287
141;129961.227
142;88234.7056
143;76538.3235
144;73804.4269
145;72969.4556
146;73762.5037
147;77891.9434
148;98200.2627
149;113589.345
150;124132.686
151;128826.958
152;129228.399
153;124131.231
154;118363.857
155;114105.72
156;111498.229
157;107224.048
158;106041.786
159;108765.212
160;116557.615
161;127623.12
162;141009.073
163;141591.939
164;136350.029
165;122754.751
166;83339.8632
167;72200.7819
168;55262.5449
169;54231.8305
170;54812.1844
171;57834.1152
172;73115.4578
173;84301.876
174;93882.6696
175;101582.86
176;100097.461
177;96787.0264
178;90643.8355
179;87283.8307
180;85526.3405
181;84152.5491
182;84646.8615
183;87109.7752
184;92367.4747
185;99055.5111
186;106275.83
187;103588.817
188;98988.7545
189;88645.1387
190;61587.666
191;54063.8823
192;76881.5378
193;76001.0147
194;76837.3275
195;81192.0484
196;102608.286
197;118669.398
198;128336.086
199;132504.692
200;132704.673
201;127329.429
202;121638.298
203;117538.739
204;115124.038
205;110784.2
206;109760.8
207;112744.483
208;120906.159
209;132240.301
210;145295.561
211;145519.345
212;140158.983
213;125877.856
214;85485.3355
215;75134.566
216;57522.9018
217;56220.4611
218;57457.5073
219;63898.8668
220;95577.0584
221;118386.109
222;124468.613
223;126210.6
224;125242.383
225;117291.5
226;111085.405
227;107233.512
228;105557.799
229;100086.469
230;99836.7123
231;104882.088
232;116638.564
233;131507.62
234;144814.427
235;142933.401
236;135952.548
237;115144.381
238;62033.2131
239;54622.8333
240;59953.7431
241;58595.6301
242;59885.5533
243;66602.2459
244;99634.5085
245;123413.589
246;129713.339
247;131506.768
248;130490.589
249;122199.849
250;115739.986
251;111734.954
252;109997.479
253;104297.211
254;104043.356
255;109307.682
256;121565.04
257;137059.802
258;150904.164
259;148931.225
260;141656.91
261;119960.951
262;64614.0972
263;56928.0681
264;74224.5556
265;73381.561
266;74182.2295
267;78351.3493
268;98854.8123
269;114340.758
270;124543.316
271;129044.644
272;129381.927
273;124235.78
274;118532.013
275;114351.985
276;111821.461
277;107557.22
278;106431.612
279;109215.215
280;117065.492
281;128135.304
282;141326.814
283;141796.255
284;136554.986
285;122846.074
286;83409.5232
287;72588.4974
288;80759.3297
289;79842.0856
290;80713.2756
291;85249.6041
292;107558.976
293;124408.403
294;135505.313
295;140400.809
296;140767.144
297;135167.733
298;128962.738
299;124415.69
300;121663.268
301;117023.933
302;115799.841
303;118828.947
304;127370.498
305;139414.334
306;153764.608
307;154274.246
308;148571.829
309;133655.624
310;90749.0216
311;78979.0061
312;72579.0701
313;71226.8501
314;71989.5905
315;75961.2168
316;96042.5782
317;110737.283
318;123251.741
319;133311.486
320;131359.274
321;127006.061
322;118961.24
323;114564.611
324;112269.287
325;110461.342
326;111113.416
327;114352.759
328;121262.784
329;130045.41
330;139501.037
331;135969.583
332;129935.942
333;116346.491
334;80829.1908
335;71001.2917
336;98665.9721
337;97537.7624
338;98609.3255
339;104189.007
340;131629.521
341;152236.433
342;164864.043
343;170335.419
344;170628.843
345;163741.572
346;156384.472
347;151066.648
348;147916.92
349;142328.414
350;140979.949
351;144784.331
352;155251.142
353;169829.303
354;186733.592
355;187085.405
356;180189.31
357;161881.678
358;109931.706
359;96436.8835
360;102859.039
361;101682.612
362;102799.972
363;108618.118
364;137231.389
365;158714.813
366;171845.807
367;177531.474
368;177831.854
369;170650.234
370;162988.478
371;157453.152
372;154177.187
373;148354.027
374;146953.515
375;150923.282
376;161836.028
377;177028.857
378;194629.078
379;194986.155
380;187799.522
381;168710.851
382;114569.952
383;100533.287
384;92141.149
385;90049.0486
386;92036.1063
387;102382.812
388;153267.244
389;189859.813
390;199236.36
391;201822.491
392;200206.678
393;187435.237
394;177572.438
395;171491.177
396;168890.354
397;160147.23
398;159806.622
399;167941.257
400;186810.45
401;210603.637
402;231690.529
403;228563.048
404;217395.188
405;183986.335
406;98992.2946
407;87467.6479
408;100009.384
409;97771.3005
410;99897.0116
411;110965.692
412;165400.751
413;204800.589
414;217031.913
415;220983.382
416;219593.358
417;205930.748
418;194787.3
419;187689.257
420;184399.146
421;174792.038
422;174089.126
423;182622.112
424;202892.599
425;228853.84
426;253020.194
427;250266.924
428;238065.887
429;202241.188
430;109539.088
431;95094.4086
432;125733.209
433;124300.805
434;125661.289
435;132745.394
436;167584.569
437;193829.578
438;210572.145
439;217901.175
440;218382.981
441;209638.725
442;200106.749
443;193163.887
444;189001.013
445;181823.755
446;180002.442
447;184777.949
448;198094.195
449;216766.899
450;238748.029
451;239385.917
452;230548.509
453;207277.357
454;140746.703
455;122930.418
456;119838.726
457;118476.824
458;119770.346
459;126505.776
460;159630.191
461;184635.324
462;201003.509
463;208213.942
464;208741.214
465;200427.345
466;191243.459
467;184521.254
468;180459.502
469;173583.618
470;171782.769
471;176288.638
472;188966.763
473;206824.18
474;228052.023
475;228779.581
476;220325.258
477;198182.201
478;134562.941
479;117191.182
480;107565.633
481;106345.378
482;107504.365
483;113539.268
484;143218.531
485;165656.659
486;180614.416
487;187232.132
488;187749.482
489;180300.309
490;171992.999
491;165891.34
492;162184.659
493;155990.222
494;154331.754
495;158346.525
496;169717.273
497;185784.782
498;205018.155
499;205748.649
500;198139.942
501;178288.675
502;121050.404
503;105204.68
504;106730.661
505;105527.652
506;106670.259
507;112619.871
508;141879.681
509;164121.619
510;179915.994
511;187004.498
512;187675.77
513;180331.874
514;171859.813
515;165562.23
516;161666.086
517;155438.269
518;153642.007
519;157519.421
520;168769.776
521;184852.055
522;204579.461
523;205581.789
524;197959.69
525;178348.67
526;121072.868
527;104443.384
528;86047.2112
529;85057.7086
530;85997.5291
531;90891.2197
532;114958.076
533;132945.307
534;143273.565
535;147670.112
536;147812.561
537;141772.041
538;135520.533
539;131057.582
540;128467.447
541;123652.193
542;122584.415
543;125978.52
544;135129.769
545;147743.276
546;162023.496
547;162130.979
548;156168.896
549;140140.81
550;95181.0285
551;84063.4513
552;67018.8863
553;65510.3996
554;66943.1463
555;74403.5282
556;111093.207
557;137580.505
558;145230.705
559;147574.282
560;146546.039
561;137337.327
562;129986.424
563;125362.157
564;123281.629
565;116874.876
566;116492.463
567;122289.444
568;135929.08
569;153290.137
570;169144.519
571;167128.919
572;158973.836
573;134850.533
574;72848.1719
575;63683.3134
576;39876.0858
577;38626.6486
578;39436.5318
579;43653.6326
580;64789.8039
581;79833.6661
582;87158.0982
583;93180.6165
584;91107.7438
585;86299.1123
586;79993.3795
587;76815.8853
588;75496.8513
589;73390.8034
590;74269.5394
591;77895.456
592;85232.5692
593;93998.9452
594;101429.962
595;97680.2386
596;92205.4744
597;78148.8184
598;43790.7723
599;38014.43
600;32834.8091
601;32178.5956
602;32507.5369
603;34220.3503
604;42953.7398
605;49510.1699
606;57244.8414
607;63409.5255
608;62567.6096
609;60763.284
610;56417.2336
611;53936.7188
612;52508.5211
613;51801.8742
614;52010.0373
615;53333.9926
616;56314.0271
617;60320.7997
618;65421.381
619;63898.3972
620;60931.0557
621;54924.3317
622;38292.1216
623;32227.4242
624;38417.3123
625;37989.9527
626;38395.8549
627;40509.4073
628;50903.7225
629;58893.5986
630;65272.3306
631;68203.953
632;68560.5563
633;65951.6959
634;62735.3196
635;60291.4093
636;58730.126
637;56429.1392
638;55672.892
639;56991.243
640;61017.377
641;66907.6879
642;74476.8541
643;75039.667
644;72243.3722
645;65247.1784
646;44280.1729
647;37634.3098
648;49661.3681
649;49098.125
650;49633.0881
651;52418.6668
652;66117.9636
653;76476.9286
654;83398.5845
655;86462.5912
656;86704.0787
657;83265.7037
658;79426.5247
659;76605.4253
660;74890.4681
661;72029.2346
662;71261.0324
663;73112.8177
664;78361.978
665;85782.4225
666;94672.9017
667;95014.789
668;91500.7591
669;82337.1774
670;55903.126
671;48572.2763
672;39750.137
673;38968.0982
674;39370.8062
675;41467.7262
676;52138.2862
677;60101.0259
678;68887.5563
679;75901.3578
680;74870.6383
681;72640.3504
682;67575.6817
683;64709.5693
684;63089.0936
685;62202.644
686;62478.8224
687;64121.0147
688;67769.3362
689;72610.6455
690;78556.3849
691;76691.8646
692;73165.7511
693;65854.6579
694;45876.6019
695;38985.2094
696;64756.1448
697;64019.6071
698;64719.1638
699;68361.7893
700;86275.9875
701;99789.5344
702;108558.349
703;112412.981
704;112685.314
705;108189.045
706;103244.698
707;99631.6662
708;97454.2432
709;93745.276
710;92784.1721
711;95227.4281
712;102080.749
713;111719.083
714;123138.517
715;123509.551
716;118946.939
717;106974.836
718;72635.8754
719;63321.1058
720;58747.8605
721;57412.4587
722;58680.8111
723;65285.1834
724;97765.0621
725;121110.619
726;126994.088
727;128590.1
728;127543.078
729;119390.981
730;113122.855
731;109268.511
732;107631.845
733;102062.777
734;101861.003
735;107061.214
736;119101.639
737;134265.535
738;147651.162
739;145627.504
740;138510.711
741;117189.523
742;63019.3483
743;55760.8236
744;63604.2703
745;62166.8438
746;63532.0982
747;70641.0443
748;105602.384
749;130796.495
750;137692.4
751;139713.469
752;138673.061
753;129898.144
754;122999.573
755;118699.197
756;116807.58
757;110748.081
758;110444.285
759;115998.489
760;128980.453
761;145432.78
762;160252.447
763;158225.742
764;150500.272
765;127528.495
766;68765.0392
767;60410.6754
768;81178.4247
769;80267.8008
770;81132.703
771;85636.2907
772;107784.645
773;124689.282
774;137238.527
775;142923.844
776;143523.292
777;137964.295
778;131391.507
779;126464.701
780;123378.508
781;118595.838
782;117144.823
783;120034.188
784;128573.03
785;140883.577
786;156250.129
787;157168.666
788;151330.586
789;136463.099
790;92628.4437
791;79469.89
792;93395.4485
793;92329.1382
794;93341.9099
795;98615.461
796;124550.446
797;144051.957
798;156205.155
799;161493.946
800;161804.872
801;155295.472
802;148283.22
803;143198.357
804;140171.039
805;134863.947
806;133555.865
807;137134.718
808;147035.666
809;160864.395
810;177000.83
811;177392.143
812;170849.202
813;153537.621
814;104261.49
815;91297.0594
816;97006.0193
817;95898.4965
818;96950.4114
819;102427.783
820;129365.145
821;149620.535
822;162244.788
823;167738.709
824;168061.858
825;161300.872
826;154017.24
827;148735.489
828;145590.857
829;140078.494
830;138719.649
831;142436.72
832;152720.387
833;167083.9
834;183844.979
835;184251.776
836;177455.799
837;159475.082
838;108293.367
839;94826.5798
840;82144.481
841;81223.742
842;82098.2515
843;86651.8645
844;109046.241
845;126150.005
846;138937.042
847;144738.493
848;145359.738
849;139738.992
850;133066.703
851;128058.68
852;124915.498
853;120068.35
854;118586.079
855;121499.97
856;130137.444
857;142607.442
858;158216.589
859;159171.821
860;153257.539
861;138221.121
862;93820.0816
863;80420.7526
864;74665.5413
865;73280.5166
866;74067.3841
867;78164.6414
868;98871.2502
869;114000.873
870;126592.185
871;136720.919
872;134706.954
873;130206.071
874;122026.402
875;117570.45
876;115262.333
877;113387.23
878;114069.899
879;117421.678
880;124550.282
881;133580.815
882;143195.979
883;139552.817
884;133378.164
885;119378.787
886;82917.4396
887;73027.8855
888;78211.1002
889;76449.0645
890;78122.6298
891;86836.9657
892;129693.509
893;160620.056
894;169445.328
895;172123.164
896;170905.048
897;160148.52
898;151591.891
899;146220.196
900;143815.536
901;136344.708
902;135915.062
903;142694.932
904;158622.881
905;178876.448
906;197314.702
907;194930.49
908;185417.47
909;157243.741
910;84909.3962
911;74310.6175
912;72988.6123
913;71358.8987
914;72906.7857
915;80966.7081
916;120604.889
917;149323.829
918;158481.801
919;161494.55
920;160521.055
921;150572.301
922;142390.238
923;137153.933
924;134700.135
925;127675.479
926;127124.953
927;133319.108
928;148089.215
929;167051.534
930;184832.586
931;182895.423
932;173981.936
933;147885.66
934;80179.3362
935;69419.3273
936;94870.5487
937;93787.3536
938;94816.1623
939;100173.219
940;126518.88
941;146328.523
942;158668.354
943;164037.763
944;164352.719
945;157740.243
946;150618.518
947;145454.702
948;142380.787
949;136990.33
950;135662.428
951;139298.399
952;149355.903
953;163402.266
954;179789.972
955;180185.917
956;173540.04
957;155954.558
958;105902.841
959;92738.7085
960;97664.9306
961;96548.7998
962;97608.8905
963;103128.834
964;130275.562
965;150671.61
966;163248.61
967;168706.953
968;169010.249
969;162196.714
970;154895.609
971;149611.946
972;146476.421
973;140937.988
974;139590.946
975;143348.091
976;153706.094
977;168147.697
978;184932.815
979;185303.635
980;178471.611
981;160356.733
982;108894.634
983;95462.9605
984;88140.4017
985;87130.9161
986;88089.7162
987;93082.2349
988;117635.121
989;136048.334
990;147128.828
991;151906.901
992;152135.865
993;145973.357
994;139449.231
995;134749.782
996;131981.88
997;127006.652
998;125833.671
999;129254.5
1000;138611.469
1001;151605.164
1002;166571.06
1003;166827.083
1004;160681.866
1005;144309.184
1006;98002.3325
1007;86137.4896
1008;85684.474
1009;84722.5639
1010;85636.1772
1011;90393.4061
1012;113789.152
1013;131634.224
1014;144789.447
1015;150740.687
1016;151358.39
1017;145486.311
