Index;Wert
0;6.27337421
1;6.24237421
2;6.21237421
3;6.15537421
4;6.09537421
5;5.0840873
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0.561461509
15;1.13965278
16;0.707557144
17;0
18;0
19;0
20;0
21;0
22;0
23;6.03227857
24;6.3216046
25;6.3116046
26;6.2936046
27;6.2796046
28;6.2606046
29;5.27718189
30;0
31;0
32;0
33;0
34;0
35;0
36;0
37;0
38;0.234786487
39;0.907068299
40;0.604927393
41;0
42;0
43;0
44;0
45;0
46;0
47;6.3594637
48;7.2911432
49;7.2731432
50;7.2651432
51;7.2491432
52;7.2191432
53;1.11228876
54;0
55;0
56;0
57;0
58;0
59;0
60;0
61;0.749345373
62;1.88731168
63;2.45329483
64;2.08830325
65;0.306353797
66;0
67;0
68;0
69;0
70;0
71;6.62415163
72;6.46865321
73;6.41465321
74;6.37865321
75;6.36665321
76;6.37665321
77;4.11490745
78;0
79;0
80;0
81;0
82;0
83;0
84;0
85;0
86;0.808539333
87;1.41805072
88;1.01079503
89;0
90;0
91;0
92;0
93;0
94;0
95;6.14939751
96;6.052178
97;5.966178
98;5.860178
99;5.774178
100;5.732178
101;4.74738589
102;0
103;0
104;0
105;0
106;0
107;0
108;0
109;0
110;0.059563892
111;0.721425303
112;0.358494598
113;0
114;0
115;0
116;0
117;0
118;0
119;5.8082473
120;5.96480806
121;5.93980806
122;5.89980806
123;5.84180806
124;5.78780806
125;4.74377419
126;0
127;0
128;0
129;0
130;0
131;0
132;0
133;0
134;0
135;0.131604825
136;0
137;0
138;0
139;0
140;0
141;0
142;0
143;5.21379677
144;5.95070742
145;5.91070742
146;5.95470742
147;5.90470742
148;5.86870742
149;4.99459696
150;0
151;0
152;0
153;0
154;0
155;0
156;0
157;0
158;0.412304383
159;0.832044687
160;0.265674535
161;0
162;0
163;0
164;0
165;0
166;0
167;6.35133727
168;7.48556777
169;7.61595634
170;7.64195634
171;7.67795634
172;6.07935964
173;0.600639345
174;0
175;0
176;0
177;0
178;0
179;0
180;0.184967938
181;0.105579371
182;0.371967938
183;0.572356505
184;0.404356505
185;0
186;0
187;0
188;0
189;0
190;1.80346504
191;7.10317921
192;6.43619586
193;6.45019586
194;6.47419586
195;6.49819586
196;6.47219586
197;3.97011306
198;0
199;0
200;0
201;0
202;0
203;0
204;0
205;0
206;0.97395569
207;1.59157971
208;1.2827677
209;0
210;0
211;0
212;0
213;0
214;0
215;6.05038385
216;6.66879272
217;6.69879272
218;6.69879272
219;6.74979272
220;6.86279272
221;3.98906776
222;0
223;0
224;0
225;0
226;0
227;0
228;0
229;0.564970675
230;1.71960768
231;2.24092619
232;1.81826693
233;0
234;0
235;0
236;0
237;0
238;0
239;6.80813347
240;6.90784474
241;6.87584474
242;6.89584474
243;6.87784474
244;6.80984474
245;1.60862055
246;0
247;0
248;0
249;0
250;0
251;0
252;0
253;0
254;1.05795621
255;1.81944506
256;1.48320064
257;0
258;0
259;0
260;0
261;0
262;0
263;6.54360032
264;6.59055965
265;6.58655965
266;6.43855965
267;6.42055965
268;6.43255965
269;3.93889004
270;0
271;0
272;0
273;0
274;0
275;0
276;0
277;0
278;0.41015923
279;1.08679927
280;0.676479251
281;0
282;0
283;0
284;0
285;0
286;0
287;6.03023963
288;5.84540602
289;5.85140602
290;5.85240602
291;5.85440602
292;5.84940602
293;4.82565414
294;0
295;0
296;0
297;0
298;0
299;0
300;0
301;0
302;0
303;0
304;0
305;0
306;0
307;0
308;0
309;0
310;0
311;5.10348873
312;5.36198102
313;5.55053687
314;5.48253687
315;5.40153687
316;5.00598102
317;4.05831348
318;0
319;0
320;0
321;0
322;0
323;0
324;0
325;0
326;0
327;0
328;0
329;0
330;0
331;0
332;0
333;0
334;0
335;5.29742518
336;4.52417878
337;4.53817878
338;4.61417878
339;4.61017878
340;4.57017878
341;3.25421033
342;0
343;0
344;0
345;0
346;0
347;0
348;0
349;0
350;0
351;0
352;0
353;0
354;0
355;0
356;0
357;0
358;0
359;3.7491893
360;3.83313502
361;3.81213502
362;3.78213502
363;3.82413502
364;3.80913502
365;2.54315885
366;0
367;0
368;0
369;0
370;0
371;0
372;0
373;0
374;0
375;0
376;0
377;0
378;0
379;0
380;0
381;0
382;0
383;3.24414296
384;2.94072563
385;2.90072563
386;2.79472563
387;2.71672563
388;2.69472563
389;1.30003016
390;0
391;0
392;0
393;0
394;0
395;0
396;0
397;0
398;0
399;0
400;0
401;0
402;0
403;0
404;0
405;0
406;0
407;2.08782714
408;0.858928941
409;0.746928941
410;0.466928941
411;0.341928941
412;0.308928941
413;0
414;0
415;0
416;0
417;0
418;0
419;0
420;0
421;0
422;0
423;0
424;0
425;0
426;0
427;0
428;0
429;0
430;0
431;0
432;0.158548855
433;0.108548855
434;0.112548855
435;0.0905488551
436;0.0965488551
437;0
438;0
439;0
440;0
441;0
442;0
443;0
444;0
445;0
446;0
447;0
448;0
449;0
450;0
451;0
452;0
453;0
454;0
455;0.747522317
456;1.51409851
457;1.45609851
458;1.41009851
459;1.36209851
460;1.29409851
461;0
462;0
463;0
464;0
465;0
466;0
467;0
468;0
469;0
470;0
471;0
472;0
473;0
474;0
475;0
476;0
477;0
478;0
479;0.726692536
480;2.31052322
481;2.33452322
482;2.49052322
483;2.52252322
484;2.60452322
485;1.28649791
486;0
487;0
488;0
489;0
490;0
491;0
492;0
493;0
494;0
495;0
496;0
497;0
498;0
499;0
500;0
501;0
502;0
503;1.90784812
504;1.4566956
505;1.4566956
506;1.4566956
507;1.4216956
508;1.3566956
509;0
510;0
511;0
512;0
513;0
514;0
515;0
516;0
517;0
518;0
519;0
520;0
521;0
522;0
523;0
524;0
525;0
526;0
527;1.90379534
528;5.38245964
529;5.64645964
530;5.86245964
531;5.99045964
532;6.09245964
533;5.19830545
534;0
535;0
536;0
537;0
538;0
539;0
540;0
541;0
542;0
543;0.171534544
544;0
545;0
546;0
547;0
548;0
549;0
550;0
551;5.32707491
552;5.29101594
553;5.09301594
554;4.86801594
555;4.74701594
556;4.56301594
557;3.39907757
558;0
559;0
560;0
561;0
562;0
563;0
564;0
565;0
566;0
567;0.0993857561
568;0
569;0
570;0
571;0
572;0
573;0
574;0
575;5.84836982
576;7.85342889
577;7.96096782
578;7.88096782
579;7.74896782
580;5.0297542
581;0.489087016
582;0.163566128
583;0
584;0
585;0
586;0
587;0.00233251264
588;1.32556613
589;1.18502719
590;1.46456613
591;1.69310506
592;1.49510506
593;0.768488256
594;0
595;0
596;0
597;0
598;2.36341655
599;7.27888995
600;8.45360231
601;8.58718345
602;8.56818345
603;8.57718345
604;0.92926034
605;0.609677554
606;1.37383181
607;0
608;0
609;0
610;1.66312659
611;3.03977569
612;4.11526251
613;4.00268138
614;4.20426251
615;4.33384365
616;4.30784365
617;3.68010024
618;1.47596432
619;1.41396432
620;2.17687001
621;2.48203228
622;5.22849275
623;9.04302117
624;6.1971235
625;0.427814814
626;0.375412035
627;0.375456659
628;0.375456621
629;0.610608496
630;1.37382775
631;1.63332144
632;0.915542874
633;0.937542874
634;2.27165537
635;3.58476787
636;4.77843573
637;5.34276965
638;6.06054822
639;1.71781496
640;1.66150158
641;2.24701896
642;1.6038768
643;0.297764304
644;0.858098231
645;1.07654287
646;4.84388037
647;9.32799643
648;8.69008027
649;0.424881234
650;0.375414534
651;0.375456657
652;0.375456621
653;0.610608496
654;1.37382775
655;0
656;0
657;0
658;0.51317614
659;1.98524223
660;3.23301316
661;3.81189863
662;4.62007925
663;5.03966956
664;4.8293744
665;3.56760347
666;0
667;0
668;0
669;0
670;3.14330832
671;8.3996872
672;8.47159486
673;8.62984153
674;1.14558764
675;0.374797314
676;0.375457182
677;0.610608495
678;1.37382775
679;0
680;0
681;0
682;0
683;1.19948154
684;2.47396153
685;2.34371487
686;2.57196153
687;2.7512082
688;2.7152082
689;2.1194682
690;0
691;0
692;0.212248203
693;0.472741536
694;3.57318153
695;7.92434819
696;7.19063907
697;7.15263907
698;7.13663907
699;6.43844809
700;0.370053607
701;0.610617541
702;0
703;0
704;0
705;0
706;0
707;0
708;0.52994818
709;1.36624717
710;2.44897915
711;2.99784514
712;2.71841215
713;1.04181417
714;0
715;0
716;0
717;0
718;0.479381176
719;7.12420607
720;6.99751535
721;6.90351535
722;6.84351535
723;6.81551535
724;6.75251535
725;2.33350036
726;0
727;0
728;0
729;0
730;0
731;0
732;0
733;0.164478187
734;1.29765105
735;1.87323748
736;1.63144426
737;0.327684972
738;0
739;0
740;0
741;0
742;0
743;7.05372213
744;6.72426265
745;6.68026265
746;6.63626265
747;6.55126265
748;6.46326265
749;2.68895748
750;0
751;0
752;0
753;0
754;0
755;0
756;0
757;0
758;0.045806954
759;0.732952524
760;0.385379739
761;0
762;0
763;0
764;0
765;0
766;0
767;5.42968987
768;5.12507766
769;5.06907766
770;5.02107766
771;4.95207766
772;4.85907766
773;3.70338548
774;0
775;0
776;0
777;0
778;0
779;0
780;0
781;0
782;0
783;0
784;0
785;0
786;0
787;0
788;0
789;0
790;0
791;4.63184693
792;4.5849403
793;4.6389403
794;4.6929403
795;4.6929403
796;4.7149403
797;3.57440035
798;0
799;0
800;0
801;0
802;0
803;0
804;0
805;0
806;0
807;0
808;0
809;0
810;0
811;0
812;0
813;0
814;0
815;4.04576031
816;4.13496448
817;4.06296448
818;4.05996448
819;4.11096448
820;4.15596448
821;2.96954645
822;0
823;0
824;0
825;0
826;0
827;0
828;0
829;0
830;0
831;0
832;0
833;0
834;0
835;0
836;0
837;0
838;0
839;3.5654918
840;4.3631199
841;4.3591199
842;4.3671199
843;4.2711199
844;4.2251199
845;3.12131753
846;0
847;0
848;0
849;0
850;0
851;0
852;0
853;0
854;0
855;0
856;0
857;0
858;0
859;0
860;0
861;0
862;0
863;4.09518578
864;4.71058676
865;4.94292257
866;4.88892257
867;4.85492257
868;4.55258676
869;3.71357932
870;0
871;0
872;0
873;0
874;0
875;0
876;0
877;0
878;0
879;0
880;0
881;0
882;0
883;0
884;0
885;0
886;0
887;4.27625095
888;3.71372712
889;3.74572712
890;3.90772712
891;3.91772712
892;3.88972712
893;2.64991426
894;0
895;0
896;0
897;0
898;0
899;0
900;0
901;0
902;0
903;0
904;0
905;0
906;0
907;0
908;0
909;0
910;0
911;3.49512283
912;4.04106179
913;4.04506179
914;4.08506179
915;4.14906179
916;4.09106179
917;2.83571975
918;0
919;0
920;0
921;0
922;0
923;0
924;0
925;0
926;0
927;0
928;0
929;0
930;0
931;0
932;0
933;0
934;0
935;3.65394777
936;3.9739873
937;3.9639873
938;3.9399873
939;3.9919873
940;3.8659873
941;2.69880858
942;0
943;0
944;0
945;0
946;0
947;0
948;0
949;0
950;0
951;0
952;0
953;0
954;0
955;0
956;0
957;0
958;0
959;3.78692772
960;3.86627821
961;3.74827821
962;3.70427821
963;3.69027821
964;3.67627821
965;2.53244495
966;0
967;0
968;0
969;0
970;0
971;0
972;0
973;0
974;0
975;0
976;0
977;0
978;0
979;0
980;0
981;0
982;0
983;3.96300045
984;4.86723953
985;4.83123953
986;4.81323953
987;4.71123953
988;4.74123953
989;3.72569357
990;0
991;0
992;0
993;0
994;0
995;0
996;0
997;0
998;0
999;0
1000;0
1001;0
1002;0
1003;0
1004;0
1005;0
1006;0
1007;4.91672421
1008;5.04472048
1009;5.00872048
1010;4.90672048
1011;4.87672048
1012;4.88272048
1013;3.74696527
1014;0
1015;0
1016;0
1017;0
1018;0
1019;0
1020;0
1021;0
1022;0
1023;0
1024;0
1025;0
1026;0
1027;0
1028;0
1029;0
1030;0
1031;3.74346874
1032;4.32957386
1033;4.55452893
1034;4.49852893
1035;4.45652893
1036;4.09757386
1037;3.18670864
1038;0
1039;0
1040;0
1041;0
1042;0
1043;0
1044;0
1045;0
1046;0
1047;0
1048;0
1049;0
1050;0
1051;0
1052;0
1053;0
1054;0
1055;4.01661879
1056;4.11462554
1057;4.24924459
1058;4.15324459
1059;4.14124459
1060;3.86262554
1061;2.97876836
1062;0
1063;0
1064;0
1065;0
1066;0
1067;0
1068;0
1069;0
1070;0
1071;0
1072;0
1073;0
1074;0
1075;0
1076;0
1077;0
1078;0
1079;4.02200648
1080;4.4552538
1081;4.4492538
1082;4.4732538
1083;4.5652538
1084;4.6442538
1085;3.70600448
1086;0
1087;0
1088;0
1089;0
1090;0
1091;0
1092;0
1093;0
1094;0
1095;0
1096;0
1097;0
1098;0
1099;0
1100;0
1101;0
1102;0
1103;5.55850403
1104;6.79891145
1105;6.79291145
1106;6.77091145
1107;6.74891145
1108;6.72291145
1109;3.58120869
1110;0
1111;0
1112;0
1113;0
1114;0
1115;0
1116;0
1117;0
1118;1.1441014
1119;1.7265824
1120;1.3333419
1121;0
1122;0
1123;0
1124;0
1125;0
1126;0
1127;5.36767095
1128;4.32912282
1129;4.45112282
1130;4.57712282
1131;4.66312282
1132;4.71912282
1133;3.52496802
1134;0
1135;0
1136;0
1137;0
1138;0
1139;0
1140;0
1141;0
1142;0
1143;0
1144;0
1145;0
1146;0
