Index;Wert
0;9.46782448
1;9.46782448
2;9.46782448
3;9.46782448
4;5.61099241
5;5.61099241
6;5.61099241
7;5.61099241
8;5.23826816
9;5.23826816
10;5.23826816
11;5.23826816
12;5.23297001
13;5.23297001
14;5.23297001
15;5.23297001
16;5.34784336
17;5.34784336
18;5.34784336
19;5.34784336
20;5.69297822
21;5.69297822
22;5.69297822
23;5.69297822
24;7.54152847
25;7.54152847
26;7.54152847
27;7.54152847
28;8.91510757
29;8.91510757
30;8.91510757
31;8.91510757
32;7.79090825
33;7.79090825
34;7.79090825
35;7.79090825
36;7.43506636
37;7.43506636
38;7.43506636
39;7.43506636
40;7.99786188
41;7.99786188
42;7.99786188
43;7.99786188
44;7.5855778
45;7.5855778
46;7.5855778
47;7.5855778
48;7.2949946
49;7.2949946
50;7.2949946
51;7.2949946
52;6.14371706
53;6.14371706
54;6.14371706
55;6.14371706
56;6.31077218
57;6.31077218
58;6.31077218
59;6.31077218
60;6.23164061
61;6.23164061
62;6.23164061
63;6.23164061
64;6.33773424
65;6.33773424
66;6.33773424
67;6.33773424
68;5.88808492
69;5.88808492
70;5.88808492
71;5.88808492
72;7.29164053
73;7.29164053
74;7.29164053
75;7.29164053
76;6.03869054
77;6.03869054
78;6.03869054
79;6.03869054
80;7.26592872
81;7.26592872
82;7.26592872
83;7.26592872
84;6.13079456
85;6.13079456
86;6.13079456
87;6.13079456
88;7.93087467
89;7.93087467
90;7.93087467
91;7.93087467
92;12.230517
93;12.230517
94;12.230517
95;12.230517
96;8.58703157
97;8.58703157
98;8.58703157
99;8.58703157
100;5.17524405
101;5.17524405
102;5.17524405
103;5.17524405
104;5.11612736
105;5.11612736
106;5.11612736
107;5.11612736
108;5.1309095
109;5.1309095
110;5.1309095
111;5.1309095
112;5.2832069
113;5.2832069
114;5.2832069
115;5.2832069
116;5.68858664
117;5.68858664
118;5.68858664
119;5.68858664
120;7.57198395
121;7.57198395
122;7.57198395
123;7.57198395
124;8.83314384
125;8.83314384
126;8.83314384
127;8.83314384
128;7.97154026
129;7.97154026
130;7.97154026
131;7.97154026
132;6.83891158
133;6.83891158
134;6.83891158
135;6.83891158
136;6.26116001
137;6.26116001
138;6.26116001
139;6.26116001
140;6.58808041
141;6.58808041
142;6.58808041
143;6.58808041
144;8.36566998
145;8.36566998
146;8.36566998
147;8.36566998
148;6.13959128
149;6.13959128
150;6.13959128
151;6.13959128
152;6.20390343
153;6.20390343
154;6.20390343
155;6.20390343
156;7.53663051
157;7.53663051
158;7.53663051
159;7.53663051
160;6.58242395
161;6.58242395
162;6.58242395
163;6.58242395
164;7.51375335
165;7.51375335
166;7.51375335
167;7.51375335
168;5.70555515
169;5.70555515
170;5.70555515
171;5.70555515
172;5.95800859
173;5.95800859
174;5.95800859
175;5.95800859
176;5.82729003
177;5.82729003
178;5.82729003
179;5.82729003
180;5.71551604
181;5.71551604
182;5.71551604
183;5.71551604
184;6.47448985
185;6.47448985
186;6.47448985
187;6.47448985
188;10.5685486
189;10.5685486
190;10.5685486
191;10.5685486
192;8.62545979
193;8.62545979
194;8.62545979
195;8.62545979
196;5.6589681
197;5.6589681
198;5.6589681
199;5.6589681
200;5.5038321
201;5.5038321
202;5.5038321
203;5.5038321
204;5.35839794
205;5.35839794
206;5.35839794
207;5.35839794
208;5.2970469
209;5.2970469
210;5.2970469
211;5.2970469
