Index;Wert
0;7.795
1;9.19
2;10.585
3;11.98
4;12.0040629
5;12.0281258
6;12.1769785
7;13.5719785
8;14.4
9;14.4
10;14.4
11;14.4
12;14.4
13;14.4
14;14.4
15;14.4
16;14.4
17;14.4
18;14.4
19;14.4
20;14.4
21;14.4
22;14.4
23;14.4
24;14.4
25;14.4
26;14.4
27;14.4
28;14.4
29;14.4
30;14.4
31;14.4
32;14.4
33;14.4
34;14.4
35;14.4
36;14.4
37;14.4
38;14.4
39;14.4
40;14.4
41;14.4
42;14.4
43;14.4
44;14.4
45;14.4
46;14.4
47;14.4
48;14.4
49;14.4
50;14.4
51;14.4
52;14.4
53;14.4
54;14.4
55;14.4
56;14.4
57;14.4
58;14.4
59;14.4
60;14.4
61;14.4
62;14.4
63;14.4
64;14.4
65;14.4
66;14.4
67;14.4
68;14.4
69;14.4
70;14.4
71;14.4
72;14.4
73;14.4
74;14.4
75;14.4
76;14.4
77;14.4
78;14.4
79;14.4
80;14.4
81;14.4
82;14.4
83;14.4
84;14.4
85;14.4
86;14.4
87;14.4
88;14.4
89;14.4
90;14.4
91;14.4
92;14.4
93;14.4
94;14.4
95;14.4
96;14.4
97;14.4
98;14.4
99;14.4
100;14.4
101;14.4
102;14.4
103;14.4
104;14.4
105;14.4
106;14.4
107;14.4
108;14.4
109;14.4
110;14.4
111;14.4
112;14.4
113;14.4
114;14.4
115;14.4
116;14.4
117;14.4
118;14.4
119;14.4
120;14.374119
121;14.348238
122;14.322357
123;14.296476
124;13.9483844
125;13.6002927
126;13.252201
127;12.9041094
128;12.496112
129;12.0881147
130;11.6801173
131;11.2721199
132;10.9396188
133;10.6071176
134;10.2746164
135;9.94211529
136;9.5888859
137;9.23565652
138;8.88242713
139;8.52919775
140;8.23364761
141;7.93809748
142;7.64254735
143;7.34699722
144;7.42798005
145;7.50896289
146;7.58994572
147;7.67092856
148;8.26262785
149;8.85432715
150;9.44602644
151;10.0377257
152;10.8358595
153;11.6339933
154;12.4321271
155;13.2302608
156;14.1067577
157;14.4
158;14.4
159;14.4
160;14.4
161;14.4
162;14.4
163;14.4
164;14.4
165;14.4
166;14.4
167;14.4
168;14.4
169;14.4
170;14.4
171;14.4
172;14.4
173;14.4
174;14.4
175;14.4
176;14.4
177;14.4
178;14.4
179;14.4
180;14.4
181;14.4
182;14.4
183;14.4
184;14.4
185;14.4
186;14.4
187;14.4
188;14.4
189;14.4
190;14.4
191;14.4
192;14.4
193;14.4
194;14.4
195;14.4
196;14.4
197;14.4
198;14.4
199;14.4
200;14.4
201;14.4
202;14.4
203;14.4
204;14.4
205;14.4
206;14.4
207;14.4
208;14.4
209;14.4
210;14.4
211;14.4
212;14.4
213;14.4
214;14.4
215;14.4
216;14.4
217;14.4
218;14.4
219;14.4
220;14.4
221;14.4
222;14.4
223;14.4
224;14.4
225;14.4
226;14.4
227;14.4
228;14.4
229;14.4
230;14.4
231;14.4
232;14.4
233;14.4
234;14.4
235;14.4
236;14.4
237;14.4
238;14.4
239;14.4
240;14.4
241;14.4
242;14.4
243;14.4
244;14.4
245;14.4
246;14.4
247;14.4
248;14.4
249;14.4
250;14.4
251;14.4
252;14.4
253;14.4
254;14.4
255;14.4
256;14.4
257;14.4
258;14.4
259;14.4
260;14.4
261;14.4
262;14.4
263;14.4
264;14.4
265;14.4
266;14.4
267;14.4
268;14.4
269;14.4
270;14.4
271;14.4
272;14.4
273;14.4
274;14.4
275;14.4
276;14.4
277;14.4
278;14.4
279;14.4
280;14.4
281;14.4
282;14.4
283;14.4
284;14.4
285;14.4
286;14.4
287;14.4
288;14.4
289;14.4
290;14.4
291;14.4
292;14.4
293;14.4
294;14.4
295;14.4
296;14.4
297;14.4
298;14.4
299;14.4
300;14.4
301;14.4
302;14.4
303;14.4
