Groesse;Wert
Lauf.ID_Projekt;1018
Sim.Restwaerme;0
Sim.Reststrom;-14.7323621
Sim.bSimulationWP;False
Sim.bSimulationKessel;True
Sim.bSimulationSolarthermie;False
Sim.bSimulationBHKW;True
Sim.bSimulationPV;False
Sim.bSimulationSSP;False
Sim.PufferWP_vorhanden;True
Puffer.Q_max;11.194
Puffer.Ladung_gesamt;33505.3337
Puffer.Entladung_gesamt;32337.2124
Puffer.Verluste_gesamt;1157.61923
Puffer.SOC_Mittel;10.497324
Puffer.SOC_Max;10.5020917
Puffer.Vollzyklen;2993.15112
Sim.Speicher_Anzahl;1
Em.Kessel.Co2T;4.02143886
Em.Kessel.So2Kg;0.00502679857
Em.Kessel.NoxKg;1.84315948
Em.Kessel.CoKg;0
Em.Kessel.StaubKg;0.00837799762
Em.Bhkw.Co2T;0.374448255
Em.Bhkw.So2Kg;0.000468060319
Em.Bhkw.NoxKg;0.171622117
Em.Bhkw.CoKg;0
Em.Bhkw.StaubKg;0.000780100531
Ergebnis.ID_Projekt;1018
Ergebnis.Bezeichner;Simulation BHKW Test München
Ergebnis.ID_Klimaregion;1018047
Ergebnis.Sim_Energiebedarf;True
Ergebnis.Sim_Waermepumpe;False
Ergebnis.Sim_Heizkessel;True
Ergebnis.Sim_Solarthermie;False
Ergebnis.Sim_BHKW;True
Ergebnis.Sim_PV;False
Ergebnis.Sim_Stromspeicher;False
Energiebedarf.Waermebedarf_Gesamt;46.88
Energiebedarf.Waermelast_Max;34.1
Energiebedarf.Strombedarf_Gesamt;0
Energiebedarf.Strombedarf_Max;0
Energiebedarf.Waermerestbedarf;0
Energiebedarf.Stromrestbedarf;-14.73
Energiebedarf.Waermebedarf_Heizung;46.88
Energiebedarf.Waermebedarf_Brauchwasser;0
Energiebedarf.Waermebedarf_Prozess;0
BHKW.Waermebedarf;46.88
BHKW.Restwaermebedarf;15.89
BHKW.Strombedarf;0
BHKW.Reststrombedarf;-14.73
BHKW.Waermeproduktion;31.29
BHKW.Waermeueberschuss;0
BHKW.Stromproduktion;14.73
BHKW.Betriebsstunden_Gesamt;1016.02
BHKW.Betriebsstunden_Durchschnitt;1016.02
BHKW.Waermebedarfsdeckung;66.11
BHKW.Strombedarfsdeckung;0
BHKW.Gasverbrauch;1.56
BHKW.Oelverbrauch;0
BHKW.Koks;0
BHKW.Rapsoelverbrauch;0
BHKW.Holzverbrauch;0
BHKW.Kohle;0
BHKW.Sonstigverbrauch;0
BHKW.Pellets;0
BHKW.TierischeFette;0
BHKW.VbhElektrisch;1016.02
BHKW.Deckung_Heizung;66.11
BHKW.Deckung_Brauchwasser;0
BHKW.Deckung_Prozess;0
