Index;Wert
0;4.86224516
1;4.86224516
2;4.86224516
3;4.86224516
4;4.86224516
5;5.72028842
6;13.1566634
7;17.1608653
8;18.3049229
9;18.3049229
10;16.302822
11;14.300721
12;12.5846345
13;11.7265913
14;10.5825336
15;10.0105047
16;10.2965192
17;12.0126057
18;17.4468797
19;19.4489806
20;18.5909374
21;18.3049229
22;12.2986201
23;5.14825958
24;5.32253407
25;5.32253407
26;5.32253407
27;5.32253407
28;5.32253407
29;6.26180479
30;14.402151
31;18.7854144
32;20.0377753
33;20.0377753
34;17.8461437
35;15.654512
36;13.7759705
37;12.8366998
38;11.5843389
39;10.9581584
40;11.2712486
41;13.1497901
42;19.0985046
43;21.2901363
44;20.3508656
45;20.0377753
46;13.4628803
47;5.63562431
48;4.08814921
49;4.08814921
50;4.08814921
51;4.08814921
52;4.08814921
53;4.80958731
54;11.0620508
55;14.4287619
56;15.3906794
57;15.3906794
58;13.7073238
59;12.0239683
60;10.5810921
61;9.85965398
62;8.89773652
63;8.41677779
64;8.65725715
65;10.1001333
66;14.6692413
67;16.3525968
68;15.6311588
69;15.3906794
70;10.3406127
71;4.32862858
72;4.90506645
73;4.90506645
74;4.90506645
75;4.90506645
76;4.90506645
77;5.77066642
78;13.2725328
79;17.3119992
80;18.4661325
81;18.4661325
82;16.4463993
83;14.426666
84;12.6954661
85;11.8298662
86;10.6757329
87;10.0986662
88;10.3871995
89;12.1183995
90;17.6005326
91;19.6202658
92;18.7546659
93;18.4661325
94;12.4069328
95;5.19359977
96;5.32323012
97;5.32323012
98;5.32323012
99;5.32323012
100;5.32323012
101;6.26262367
102;14.4040344
103;18.787871
104;20.0403957
105;20.0403957
106;17.8484775
107;15.6565592
108;13.7777721
109;12.8383785
110;11.5858538
111;10.9595914
112;11.2727226
113;13.1515097
114;19.1010022
115;21.2929205
116;20.3535269
117;20.0403957
118;13.4646409
119;5.6363613
120;5.36421388
121;5.36421388
122;5.36421388
123;5.36421388
124;5.36421388
125;6.31083986
126;14.5149317
127;18.9325196
128;20.1946875
129;20.1946875
130;17.9858936
131;15.7770996
132;13.8838477
133;12.9372217
134;11.6750537
135;11.0439697
136;11.3595117
137;13.2527637
138;19.2480616
