Index;Wert
0;13892.8635
1;13710.1027
2;13883.6872
3;14787.5502
4;19232.6905
5;22201.98
6;21050.7399
7;20215.6989
8;19771.4143
9;18655.7323
10;18324.6217
11;18323.857
12;18551.3521
13;18014.9224
14;18288.2989
15;19150.4864
16;20723.0704
17;22346.8887
18;22749.1154
19;21945.4267
20;21197.178
21;18354.4446
22;12521.0104
23;13408.815
24;12904.0284
25;12734.2758
26;12895.5053
27;13735.0352
28;17863.7893
29;20621.7373
30;19552.4376
31;18776.8313
32;18364.169
33;17327.8964
34;17020.3529
35;17019.6426
36;17230.9456
37;16732.6967
38;16986.6155
39;17787.4361
40;19248.0903
41;20756.332
42;21129.9299
43;20383.4444
44;19688.4528
45;17048.0531
46;11629.8181
47;12454.4324
48;8275.96776
49;8052.25225
50;8264.73518
51;9371.14408
52;14812.3919
53;18447.0668
54;17037.8464
55;16015.6818
56;15471.8378
57;14106.1436
58;13700.8348
59;13699.8987
60;13978.373
61;13321.7353
62;13656.3725
63;14711.7667
64;16636.7497
65;18624.448
66;19116.8093
67;18133.0227
68;17217.0996
69;13737.3406
70;6596.69739
71;7683.44928
72;9144.9005
73;8897.69605
74;9132.48856
75;10355.0645
76;16367.6145
77;20383.9111
78;18826.7299
79;17697.2435
80;17096.2988
81;15587.2139
82;15139.3498
83;15138.3154
84;15446.0281
85;14720.4468
86;15090.2192
87;16256.4243
88;18383.5203
89;20579.9163
90;21123.9729
91;20036.8939
92;19024.8038
93;15179.6886
94;7289.31565
95;8490.17072
96;12602.4592
97;12436.6737
98;12594.1352
99;13414.0452
100;17446.3096
101;20139.804
102;19095.494
103;18338.0137
104;17934.9954
105;16922.9407
106;16622.5845
107;16621.8909
108;16828.2557
109;16341.6509
110;16589.6355
111;17371.7408
112;18798.2593
113;20271.2532
114;20636.1201
115;19907.08
116;19228.3305
117;16649.6374
118;11358.0273
119;12163.3704
120;12763.6534
121;12595.7474
122;12755.223
123;13585.6202
124;17669.4601
125;20397.4061
126;19339.7387
127;18572.5697
128;18164.3965
129;17139.3969
130;16835.199
131;16834.4964
132;17043.5008
133;16550.672
134;16801.8285
135;17593.9375
136;19038.7021
137;20530.5366
138;20900.0704
139;20161.7054
140;19474.2743
141;16862.5979
142;11503.3044
143;12318.9483
144;12055.9578
145;11897.3616
146;12047.9948
147;12832.3497
148;16689.7563
149;19266.4483
150;18267.4244
151;17542.792
152;17157.2504
153;16189.0831
154;15901.7518
155;15901.0882
156;16098.5041
157;15633.0008
158;15870.2316
159;16618.4212
160;17983.0792
161;19392.1972
162;19741.2417
163;19043.8162
164;18394.5005
165;15927.6315
166;10865.4903
167;11635.9099
168;8933.6263
169;8816.10433
170;8927.72561
171;9508.94306
172;12367.3331
173;14276.6963
174;13536.4062
175;12999.4439
176;12713.7524
177;11996.3275
178;11783.4112
179;11782.9194
180;11929.2072
181;11584.263
182;11760.0543
183;12314.4728
184;13325.7026
185;14369.878
186;14628.5246
187;14111.723
188;13630.5713
189;11802.5884
190;8051.47393
191;8622.36518
192;12448.7917
193;12285.0277
194;12440.5693
195;13250.4817
196;17233.5789
197;19894.2303
198;18862.654
199;18114.4101
200;17716.3059
201;16716.5917
202;16419.8979
203;16419.2127
204;16623.0612
205;16142.3898
206;16387.3506
207;17159.9194
208;18569.0436
209;20024.0767
210;20384.4945
211;19664.344
212;18993.8708
213;16446.6209
214;11219.5338
215;12015.0569
216;9053.46485
217;8808.73209
218;9041.17701
219;10251.529
220;16203.9623
221;20180.1017
222;18638.4901
223;17520.2969
224;16925.3608
225;15431.3645
226;14987.9784
227;14986.9544
228;15291.5904
229;14573.2639
230;14939.339
231;16093.8838
232;18199.7119
233;20374.1472
234;20912.7641
235;19836.5543
236;18834.5835
237;15027.9139
238;7216.43314
239;8405.28142
240;9425.93356
241;9171.13224
242;9413.14019
243;10673.2873
244;16870.6097
245;21010.3316
246;19405.2965
247;18241.0997
248;17621.6872
249;16066.2265
250;15604.599
251;15603.5329
252;15920.7019
253;15172.8227
254;15553.9586
255;16756.0024
256;18948.4665
257;21212.3602
258;21773.1363
259;20652.6502
260;19609.4574
261;15646.1774
262;7513.32451
263;8751.08321
264;12104.6219
265;11945.3854
266;12096.6268
267;12884.1477
268;16757.1248
269;19344.2176
270;18341.1611
271;17613.6038
272;17226.5059
273;16254.4306
274;15965.9395
275;15965.2732
276;16163.486
277;15696.1036
278;15934.2921
279;16685.5017
280;18055.6682
281;19470.4741
282;19820.9276
283;19120.6869
284;18468.7502
285;15991.9237
286;10909.3491
287;11682.8785
288;13085.8247
289;12913.6805
290;13077.1815
291;13928.5389
292;18115.4603
293;20912.2632
294;19827.8989
295;19041.3656
296;18622.8895
297;17572.0176
298;17260.1413
299;17259.4211
300;17473.701
301;16968.4325
302;17225.9286
303;18038.0314
304;19519.2638
305;21048.7541
306;21427.6154
307;20670.6131
308;19965.8303
309;17288.2318
310;11793.6628
311;12629.8947
312;11634.289
313;11481.2398
314;11626.6046
315;12383.5258
316;16106.016
317;18592.5856
318;17628.5035
319;16929.2159
320;16557.159
321;15622.8543
322;15345.5726
323;15344.9323
324;15535.4433
325;15086.2214
326;15315.1549
327;16037.1758
328;17354.1036
329;18713.9363
330;19050.7727
331;18377.7403
332;17751.135
333;15370.5472
334;10485.4593
335;11228.9327
336;16020.4319
337;15809.6829
338;16009.8504
339;17052.132
340;22178.006
341;25602.0158
342;24274.4735
343;23311.5534
344;22799.2306
345;21512.6917
346;21130.8745
347;21129.9927
348;21392.3267
349;20773.7476
350;21088.9893
351;22083.2131
352;23896.6244
353;25769.1159
354;26232.9401
355;25306.1736
356;24443.3372
357;21165.2645
358;14438.4918
359;15462.2557
360;16658.0103
361;16438.874
362;16647.0077
363;17730.7699
364;23060.6425
365;26620.9204
366;25240.5448
367;24239.3026
368;23706.5904
369;22368.8502
370;21971.8375
371;21970.9206
372;22243.6949
373;21600.4976
374;21928.2853
375;22962.077
376;24847.6581
377;26794.6708
378;27276.9541
379;26313.3044
380;25416.129
381;22007.5961
382;15013.1124
383;16077.6199
384;14384.9404
385;13996.0875
386;14365.4165
387;16288.5301
388;25746.2791
389;32063.9188
390;29614.4708
391;27837.7872
392;26892.5004
393;24518.7078
394;23814.217
395;23812.59
396;24296.6224
397;23155.2821
398;23736.9345
399;25571.3766
400;28917.3014
401;32372.2352
402;33228.037
403;31518.0604
404;29926.0412
405;23877.67
406;11466.1031
407;13355.0497
408;15564.2732
409;15143.5407
410;15543.1486
411;17623.9264
412;27857.0582
413;34692.6423
414;32042.3791
415;30120.0361
416;29097.2511
417;26528.8459
418;25766.5982
419;25764.8378
420;26288.553
421;25053.6413
422;25682.9798
423;27667.8165
424;31288.0531
425;35026.2357
426;35952.1994
427;34102.0323
428;32379.4933
429;25835.2533
430;12406.1383
431;14449.948
432;20266.4109
433;19999.806
434;20253.0249
435;21571.5479
436;28055.9591
437;32387.4521
438;30708.0643
439;29489.9365
440;28841.83
441;27214.3131
442;26731.3009
443;26730.1854
444;27062.0471
445;26279.5227
446;26678.3145
447;27936.0427
448;30230.0719
449;32598.8397
450;33185.5936
451;32013.2013
452;30921.6829
453;26774.8054
454;18265.2009
455;19560.2984
456;19344.5321
457;19090.0545
458;19331.755
459;20590.301
460;26779.7492
461;30914.2112
462;29311.2155
463;28148.4978
464;27529.8724
465;25976.388
466;25515.3471
467;25514.2823
468;25831.0483
469;25084.1194
470;25464.771
471;26665.2876
472;28854.9659
473;31115.9832
474;31676.0468
475;30556.9843
476;29515.1169
477;25556.8727
478;17434.3532
479;18670.5392
480;17474.7438
481;17244.8633
482;17463.2017
483;18600.1002
484;24191.2937
485;27926.1301
486;26478.0755
487;25427.7429
488;24868.9121
489;23465.5831
490;23049.1051
491;23048.1432
492;23334.2915
493;22659.5586
494;23003.4175
495;24087.8955
496;26065.9257
497;28108.3994
498;28614.3288
499;27603.4318
500;26662.2684
501;23086.6169
502;15749.1974
503;16865.8972
504;17309.0369
505;17081.3363
506;17297.6042
507;18423.7219
508;23961.896
509;27661.3163
510;26226.9931
511;25186.6204
512;24633.0888
513;23243.0671
514;22830.5384
515;22829.5857
516;23113.0205
517;22444.6859
518;22785.2841
519;23859.4784
520;25818.7516
521;27841.8572
522;28342.9891
523;27341.678
524;26409.4394
525;22867.6946
526;15599.8533
527;16705.9637
528;14046.7062
529;13861.9216
530;14037.4283
531;14951.3003
532;19445.6639
533;22447.8338
534;21283.8454
535;20439.5576
536;19990.3532
537;18862.3166
538;18527.5395
539;18526.7664
540;18756.7807
541;18214.4108
542;18490.8145
543;19362.5494
544;20952.5475
545;22594.3471
546;23001.0279
547;22188.4395
548;21431.9051
549;18557.6927
550;12659.6619
551;13557.2976
552;10607.2817
553;10320.5462
554;10592.8849
555;12010.9657
556;18984.9958
557;23643.5472
558;21837.3537
559;20527.2486
560;19830.2056
561;18079.7996
562;17560.3165
563;17559.1168
564;17916.0364
565;17074.4259
566;17503.3293
567;18856.0248
568;21323.2695
569;23870.896
570;24501.9539
571;23241.0378
572;22067.102
573;17607.106
574;8454.96616
575;9847.85261
576;6119.63452
577;5954.2089
578;6111.32863
579;6929.45871
580;10952.9698
