Index;Wert
0;1219.15861
1;1201.27155
2;1036.21284
3;1194.06178
4;1189.01059
5;1123.20874
6;1240.99072
7;1267.08146
8;1256.22158
9;1267.57794
10;1267.89673
11;1344.77557
12;1269.95705
13;1256.3384
14;1212.27595
15;1200.31205
16;1199.92789
17;1111.98372
18;1087.86465
19;1218.34293
20;1101.90282
21;1185.96068
22;1144.30948
23;1220.38208
24;1124.15691
25;1197.40952
26;1222.0915
27;1431.23557
28;1525.74909
29;1274.06432
30;1301.21382
31;1225.15164
32;1211.37304
33;1233.22936
34;1321.35021
35;1423.29423
36;1348.727
37;1402.57704
38;1370.68284
39;1447.07874
40;1326.87196
41;1346.42883
42;1291.40425
43;1279.27614
44;1289.61853
45;1289.8984
46;1289.9096
47;1289.91005
48;1301.5812
49;1368.13142
50;1325.01659
51;1412.69355
52;1337.76914
53;1369.12008
54;1391.3425
55;1358.7243
56;1347.21956
57;1346.92161
58;1303.09485
59;1368.19162
60;1424.50654
61;1338.05373
62;1413.04778
63;1680.44387
64;1353.75317
65;1413.51194
66;1359.23826
67;1402.83697
68;1325.86594
69;1390.27288
70;1591.51159
71;1473.28027
72;1570.90691
73;1672.99076
74;1563.90654
75;1572.76306
76;1562.11616
77;1551.13087
78;1561.70053
79;1561.90142
80;1583.48545
81;1617.26178
82;1707.30859
83;1631.21702
84;1396.88769
85;1669.34017
86;1497.16641
87;1549.85923
88;1528.33257
89;1472.11878
90;1437.7067
91;1415.44423
92;1448.15215
93;1437.15192
94;1459.40347
95;1459.89086
96;1748.42476
97;1676.03492
98;1564.0026
99;1884.618
100;1667.22596
101;1708.25338
102;1786.6388
103;1620.6905
104;1573.8407
105;1918.33316
106;1578.3267
107;1573.0898
108;1907.45474
109;1622.34615
110;1540.56022
111;1561.51111
112;1517.79429
113;1461.15119
114;1449.19754
115;1459.6753
116;1459.9006
117;1459.90867
118;1470.66818
119;1449.38509
120;1703.92484
121;1763.85723
122;1509.53983
123;1538.37582
124;1806.2011
125;1510.12647
126;1738.75175
127;1854.08677
128;1477.57742
129;1537.72764
130;1794.35827
131;1743.63585
132;1732.1055
133;1843.20032
134;1566.56456
135;1517.96442
136;1438.67059
137;1536.79788
138;1494.76106
139;1471.4314
140;1470.9275
141;1549.25201
142;1450.99104
143;1437.25428
144;1580.86752
145;1761.69717
146;1509.47504
147;1594.26992
148;1818.10953
149;1378.35926
150;1612.94758
151;1651.13785
152;1574.33257
153;1518.0677
154;1538.50278
155;1572.22799
156;1572.88558
157;1539.57382
158;1517.37705
159;1483.63763
160;1516.22129
161;1350.77068
162;1446.61885
163;1437.09663
164;1359.80177
165;1480.07608
166;1405.58619
167;1392.25783
168;1635.76193
169;1684.96226
170;1453.47203
171;1659.83643
172;1630.37822
173;1584.77249
174;1773.64192
175;1532.18755
176;1649.71499
177;1930.54339
178;1413.08098
179;1703.20926
180;1909.70054
181;1611.60958
182;1596.26695
183;1650.90522
184;1530.21133
185;1716.49434
186;1431.47631
187;1548.44718
188;1649.94454
189;1375.70538
190;1635.43017
191;1563.19949
192;1561.95193
193;1561.90989
194;1572.69576
195;1572.90125
196;1595.47209
197;1617.4875
198;1573.73626
199;1506.29571
200;1705.16985
201;1453.76784
202;1593.07502
203;1773.74582
204;1421.6343
205;1669.94996
206;1618.75723
207;1552.20533
208;1716.92022
209;1398.2843
210;1558.46368
211;1517.69169
212;1494.41471
213;1516.44733
214;1527.66823
215;1450.58011
216;1482.2253
217;1482.8847
218;1482.90799
219;1493.67482
220;1527.19679
221;1571.99577
222;1583.66782
223;1539.77632
224;1561.48432
225;1551.10958
226;1528.37495
227;1406.63708
228;1669.54266
229;1563.79774
230;1539.42572
231;1760.937
232;1377.49975
233;1557.97458
234;1495.15381
235;1460.68576
236;1470.69602
237;1581.60433
238;1595.60562
239;1518.44531
240;1749.69736
241;1676.07345
242;1730.99946
243;1387.80555
244;1227.46453
245;1211.47006
246;1222.56577
247;1222.89611
248;1464.50972
249;2094.7569
250;1624.56777
251;1663.3081
252;1863.72687
253;1722.03043
254;1675.72364
255;1697.54527
256;1619.2903
257;1596.3594
258;1462.68014
