Index;Wert
0;83.3525262
1;82.3970881
2;83.3045544
3;88.0297751
4;111.579229
5;129.872915
6;141.956863
7;148.032924
8;147.537976
9;140.149795
10;133.198066
11;128.595567
12;126.421093
13;121.468172
14;120.136278
15;123.418661
16;132.563431
17;145.660702
18;160.645127
19;161.353223
20;155.292953
21;138.885844
22;94.5942756
23;83.3012319
24;80.1483671
25;79.2327469
26;80.1023946
27;84.6306922
28;107.211691
29;124.827167
30;136.8907
31;143.002641
32;142.562761
33;135.417651
34;128.611086
35;124.081777
36;121.920332
37;117.115578
38;115.765852
39;118.881256
40;127.672978
41;140.353878
42;155.052461
43;155.862631
44;149.996677
45;134.219341
46;91.4177663
47;80.1920996
48;53.0633195
49;51.8227133
50;52.8691549
51;58.6702076
52;87.3346823
53;108.353104
54;115.910921
55;119.478975
56;120.482609
57;114.336617
58;108.086003
59;103.279218
60;100.816645
61;95.0743015
62;94.3264745
63;98.7779511
64;109.750126
65;124.09455
66;137.632365
67;136.599763
68;129.836127
69;110.373874
70;60.4226636
71;51.0387966
72;58.8021981
73;57.425445
74;58.5202618
75;64.9723437
76;96.7032678
77;119.873729
78;127.398785
79;130.725214
80;131.701674
81;125.541164
82;119.796492
83;114.967054
84;111.992368
85;105.322756
86;104.569183
87;109.190895
88;121.363334
89;137.192603
90;151.920731
91;150.646985
92;143.18678
93;121.370429
94;66.1953304
95;57.1594255
96;77.8001899
97;76.9195923
98;77.7559758
99;82.1110655
100;103.840239
101;120.94214
102;133.706711
103;140.237362
104;139.956531
105;133.025221
106;126.152761
107;121.494254
108;119.178347
109;114.420956
110;112.944931
111;115.858158
112;124.367002
113;136.847595
114;151.820179
115;152.913705
116;147.135705
117;131.884647
118;89.8129026
119;77.9551588
120;78.5564797
121;77.6702984
122;78.5119852
123;82.894689
124;104.759667
125;122.010845
126;135.247771
127;142.026194
128;141.809871
129;134.844475
130;127.825258
131;123.030086
132;120.604007
133;115.771666
134;114.225912
135;117.12644
136;125.702848
137;138.350173
138;153.705931
139;154.911545
140;149.052124
141;133.694696
142;91.0348075
143;78.7161805
144;74.1155493
145;73.280578
146;74.0736261
147;78.2030659
148;98.8225075
149;115.144957
150;127.866155
151;134.427161
152;134.206358
153;127.553577
154;120.852836
155;116.283577
156;113.987209
157;109.401905
158;107.908521
159;110.631947
160;118.735472
161;130.734344
162;145.364787
163;146.569898
164;141.016866
165;126.48822
166;86.139965
167;74.3786389
168;55.5736673
169;54.5429529
170;55.1233068
171;58.1452376
172;73.7377026
173;85.8574881
174;97.6161387
175;107.183064
176;105.07542
177;100.209373
178;93.1328149
179;89.4616877
180;88.0153199
181;86.330406
182;86.5135961
183;88.9765098
184;94.5453317
185;102.166735
186;110.631544
187;108.566776
188;103.655591
189;92.3786079
190;64.3877679
191;56.2417392
192;77.1926602
193;76.3121372
194;77.1484499
195;81.5031708
196;103.230531
197;120.22501
198;132.069556
199;138.104895
200;137.682632
201;130.751776
