Groesse;Wert
Lauf.ID_Projekt;1041
Sim.Restwaerme;0
Sim.Reststrom;18.2467835
Sim.bSimulationWP;True
Sim.bSimulationKessel;True
Sim.bSimulationSolarthermie;False
Sim.bSimulationBHKW;False
Sim.bSimulationPV;True
Sim.bSimulationSSP;False
Sim.PufferWP_vorhanden;False
Sim.Speicher_Anzahl;2
Em.Kessel.Co2T;31.9990418
Em.Kessel.So2Kg;0.0399988023
Em.Kessel.NoxKg;14.6662275
Em.Kessel.CoKg;0
Em.Kessel.StaubKg;0.0666646705
Ergebnis.ID_Projekt;1041
Ergebnis.Bezeichner;Simulation Prozesswärme mit eigenem Puffer
Ergebnis.ID_Klimaregion;1020051
Ergebnis.Sim_Energiebedarf;True
Ergebnis.Sim_Waermepumpe;True
Ergebnis.Sim_Heizkessel;True
Ergebnis.Sim_Solarthermie;False
Ergebnis.Sim_BHKW;False
Ergebnis.Sim_PV;True
Ergebnis.Sim_Stromspeicher;False
Energiebedarf.Waermebedarf_Gesamt;159.78
Energiebedarf.Waermelast_Max;78.53
Energiebedarf.Strombedarf_Gesamt;8
Energiebedarf.Strombedarf_Max;3.72
Energiebedarf.Waermerestbedarf;0
Energiebedarf.Stromrestbedarf;18.25
Energiebedarf.Waermebedarf_Heizung;124.78
Energiebedarf.Waermebedarf_Brauchwasser;5
Energiebedarf.Waermebedarf_Prozess;30
Waermepumpe.Waermebedarf;159.78
Waermepumpe.Restwaermebedarf;129.78
Waermepumpe.Waermeproduktion_WP;30.01
Waermepumpe.Stromverbrauch_WP;10.25
Waermepumpe.Stromverbrauch_Heizstab;0
Waermepumpe.Kapazitaet_Pufferspeicher;80.79
Waermepumpe.Min_Spitzenkesselleistung;0
Waermepumpe.Waermebedarfsdeckung;18.78
Waermepumpe.Vollbenutzungsstunden;2487.44
Waermepumpe.Bivalenzpunkt;
Waermepumpe.Deckung_Heizung;0
Waermepumpe.Deckung_Brauchwasser;0
Waermepumpe.Deckung_Prozess;18.78
WaermepumpeModul[0].Modul;CS6800iAW MB + AW 10 OR-T
WaermepumpeModul[0].Leistung;11
WaermepumpeModul[0].Waermeproduktion;30.01
WaermepumpeModul[0].Stromverbrauch;10.25
WaermepumpeModul[0].Heizstab;0
WaermepumpeModul[0].Betriebsstunden;2487.44
Heizkessel.Waermebedarf;159.78
Heizkessel.Restwaermebedarf;30.01
Heizkessel.Waermeproduktion;133.33
Heizkessel.Strombedarf;18.25
Heizkessel.Reststrombedarf;18.25
Heizkessel.Waermebedarfsdeckung;81.22
Heizkessel.Stromverbrauch;0
Heizkessel.Maximale_Kesselleistung;80
Heizkessel.Gasspitze;76.81
Heizkessel.Gasverbrauch;133.33
Heizkessel.Oelverbrauch;0
Heizkessel.Koks;0
Heizkessel.Rapsoelverbrauch;0
Heizkessel.Holzverbrauch;0
Heizkessel.Kohle;0
Heizkessel.Sonstigverbrauch;0
Heizkessel.Pellets;0
Heizkessel.TierischeFette;0
Heizkessel.Quellwaerme;0
Heizkessel.Deckung_Heizung;78.09
Heizkessel.Deckung_Brauchwasser;3.13
Heizkessel.Deckung_Prozess;0
HeizkesselModul[0].Modul;Vitocrossal 200 CM2 raumluftabh�ngig
HeizkesselModul[0].Waerme_Gas;133.33
HeizkesselModul[0].Waerme_Oel;0
HeizkesselModul[0].Brennstoff;
HeizkesselModul[0].Verbrauch;0
HeizkesselModul[0].Jahresnutzungsgrad;100
HeizkesselModul[0].carrier_id;63
HeizkesselModul[0].Waermeproduktion;0
HeizkesselModul[0].Hilfsenergie;0
Photovoltaik.Strombedarf;18.25
Photovoltaik.Reststrombedarf;18.25
Photovoltaik.Stromproduktion;0
Photovoltaik.Strombedarfsdeckung;0
Photovoltaik.Ueberschuss;0
Photovoltaik.MaxSolareLeistung;0
Pufferspeicher[0].ID_Pufferspeicher;1054191
Pufferspeicher[0].Bezeichner;Puffer 3000Ltr
Pufferspeicher[0].Verwendung;Kombi
Pufferspeicher[0].Q_max;45.99
Pufferspeicher[0].Ladung_gesamt;129423.85
Pufferspeicher[0].Entladung_gesamt;127064.13
Pufferspeicher[0].Verluste_gesamt;2316.29
Pufferspeicher[0].SOC_Ende;43.43
Pufferspeicher[0].SOC_Mittel;43.43
Pufferspeicher[0].SOC_Max;43.43
Pufferspeicher[0].Vollzyklen;2813.93
Pufferspeicher[0].Entladung_Heizung;122064.13
Pufferspeicher[0].Entladung_Brauchwasser;5000
Pufferspeicher[0].Entladung_Prozess;0
Pufferspeicher[0].Durchsatz_Geladen;0
Pufferspeicher[0].Durchsatz_Entladen;0
Pufferspeicher[0].ID_Anlage;
Pufferspeicher[0].T_oben_Mittel;9.44
Pufferspeicher[0].T_oben_Min;9.44
Pufferspeicher[1].ID_Pufferspeicher;1054192
Pufferspeicher[1].Bezeichner;Puffer 3000Ltr (2)
Pufferspeicher[1].Verwendung;Kombi
Pufferspeicher[1].Q_max;34.8
Pufferspeicher[1].Ladung_gesamt;3905.49
Pufferspeicher[1].Entladung_gesamt;2714.42
Pufferspeicher[1].Verluste_gesamt;1158.14
Pufferspeicher[1].SOC_Ende;32.93
Pufferspeicher[1].SOC_Mittel;32.93
Pufferspeicher[1].SOC_Max;32.93
Pufferspeicher[1].Vollzyklen;112.23
Pufferspeicher[1].Entladung_Heizung;2714.42
Pufferspeicher[1].Entladung_Brauchwasser;0
Pufferspeicher[1].Entladung_Prozess;0
Pufferspeicher[1].Durchsatz_Geladen;0
Pufferspeicher[1].Durchsatz_Entladen;0
Pufferspeicher[1].ID_Anlage;
Pufferspeicher[1].T_oben_Mittel;9.46
Pufferspeicher[1].T_oben_Min;9.46
Vektor.waermebedarf.Summe;159783.939
Vektor.waermebedarf_gebaeude.Summe;59354116
Vektor.waermebedarf_brauchwasser.Summe;5000
Vektor.waermebedarf_prozess.Summe;30000
Vektor.waermebedarf_extern.Summe;65429.823
Vektor.waermebedarf_dauerlinie.Summe;203471.016
Vektor.stundentemperatur.Summe;86493.64
Vektor.restwaerme.Summe;0
Vektor.strombedarf_viertelstunde.Summe;32000
Vektor.reststrom_viertelstunde.Summe;72987.1342
Vektor.wp_waermebedarf.Summe;159783.939
Vektor.wp_produktion.Summe;30005.3906
Vektor.wp_strom.Summe;10246.7835
Vektor.heizstab.Summe;0
Vektor.wp_restwaerme.Summe;0
Vektor.wp_quellentemperatur.Summe;86493.64
Vektor.wp_warmwasserbedarf.Summe;5000
Vektor.kessel_waermebedarf.Summe;159783.939
Vektor.kessel_leistung.Summe;133329.341
Vektor.kessel_restwaerme.Summe;0.0579862244
Vektor.kessel_strom.Summe;0
Vektor.pv_produktion.Summe;0
Vektor.pv_produktion_theoretisch.Summe;0
Vektor.pv_ueberschuss.Summe;0
Vektor.pv_reststrom.Summe;18246.7835
Vektor.pv_strombedarf.Summe;18246.7835
