Index;Wert
0;5.44861202
1;5.43411546
2;5.43411546
3;5.43411546
4;5.80110169
5;10.3606884
6;22.1321361
7;29.9164706
8;31.2694737
9;31.253577
10;29.1784592
11;25.8443675
12;21.5404319
13;20.9476623
14;20.0177969
15;19.7986057
16;20.6686669
17;23.2011718
18;32.7702473
19;35.4438823
20;34.6436299
21;34.3096031
22;21.9904573
23;14.2575837
24;13.6943816
25;13.9288851
26;14.1678851
27;14.3958851
28;14.6708713
29;18.8805938
30;30.2202186
31;37.5881869
32;38.5393711
33;37.8864744
34;35.3130397
35;31.6466311
36;26.9464239
37;25.9615184
38;24.718472
39;24.2801902
40;24.9532966
41;27.2500732
42;36.6090088
43;39.0779607
44;38.0775725
45;37.5595004
46;25.045404
47;17.1233985
48;15.800722
49;15.8940778
50;15.9924336
51;16.0917894
52;16.2410778
53;20.141118
54;29.8714744
55;36.3933737
56;38.2008868
57;37.6297707
58;35.0143877
59;30.9291405
60;25.9346836
61;24.7942669
62;23.9750797
63;23.6630965
64;24.40853
65;26.4221424
66;34.9354898
67;36.9654308
68;36.1022351
69;35.5736481
70;23.7301846
71;16.4295113
72;16.4951313
73;16.5308763
74;16.5463665
75;16.5781116
76;16.6423665
77;20.5147429
78;30.7825637
79;37.5121007
80;39.3167711
81;39.7134188
82;37.4129036
83;33.232593
84;27.9541158
85;26.7547995
86;25.4465021
87;24.7597161
88;25.383521
89;27.481879
90;36.3984056
91;38.5211955
92;37.4108792
93;36.8207996
94;24.3926622
95;16.5909755
96;16.2188082
97;16.2033117
98;16.2063117
99;16.2133117
100;16.2792979
101;20.3003898
102;31.6185493
103;38.8925749
104;39.6819182
105;39.1430216
106;36.5400583
107;32.6951211
108;27.8621751
109;26.7369002
110;25.3336946
111;24.6898331
112;25.2227294
113;27.4522448
114;36.8431866
115;39.2676671
116;38.1589095
117;37.5580476
118;24.8223654
119;16.6546149
120;42.8101782
121;42.0256816
122;41.2946816
123;40.6286816
124;40.0636678
125;43.5290015
126;54.5222563
127;61.39641
128;57.6360757
129;54.089179
130;49.8786516
131;44.4181503
132;38.9347208
133;37.8352042
134;35.8926762
135;39.4326536
136;40.3596305
137;42.5306293
138;51.9881023
139;54.3851469
140;53.1741475
141;52.5022051
142;39.5278305
143;31.1000655
144;30.0712788
145;30.2157822
146;30.4017822
147;30.4937822
148;30.6537685
149;34.7681787
150;45.9797639
151;53.2449417
152;50.0010428
153;46.6731461
154;42.6961067
155;38.1500934
156;32.7405107
157;31.3819175
158;30.0609541
159;34.3952138
160;35.9235495
161;38.3477015
162;47.8189928
163;50.4155495
164;49.5434735
165;49.1421722
166;36.7722616
167;28.999525
168;4.56041845
169;4.33153333
170;4.33153333
171;4.33153333
172;4.60390812
173;8.2943736
174;18.033769
175;26.5764788
176;26.6620993
177;26.5565912
178;23.8624801
179;20.7999492
180;16.9952561
181;17.4921619
182;17.7122905
183;18.0799019
184;18.7688675
185;20.0739643
186;26.6436627
187;27.1206283
188;26.2207199
189;25.7900116
190;16.28188
191;11.122683
192;11.3967904
193;11.6342938
194;11.8702938
195;12.0962938
196;12.36828
197;16.5460158
198;27.6380893
199;34.867453
200;35.7743216
201;35.4634249
202;33.1862925
