Index;Wert
0;100
1;96.0896586
2;94.6615269
3;92.1625831
4;91.8003563
5;90.5962427
6;90.0935693
7;90.0575043
8;89.5398138
9;88.385672
10;88.3658447
11;88.2289746
12;87.4981981
13;87.460269
14;87.3321939
15;87.2870949
16;86.6249343
17;86.5208378
18;86.4587799
19;85.720015
20;85.6839549
21;85.6609805
22;85.2301172
23;85.2076211
24;84.991605
25;84.8451381
26;84.8393458
27;84.5901398
28;83.7933048
29;83.6226495
30;83.2841335
31;83.0841605
32;82.8651976
33;82.8169553
34;82.8070211
35;82.6309045
36;82.6053609
37;82.4229135
38;82.2509859
39;82.0878952
40;81.9316653
41;81.8604087
42;81.6816759
43;81.5369271
44;81.4685012
45;81.432751
46;81.0875241
47;80.7749916
48;80.6828628
49;80.6302991
50;80.6046004
51;80.4711507
52;80.3147095
53;80.2119171
54;80.1743548
55;80.1327069
56;80.0260557
57;79.7186898
58;79.699542
59;79.4700262
60;79.4481524
61;79.2211778
62;79.1212814
63;78.9752679
64;78.8767662
65;78.7887545
66;78.7499185
67;78.5163863
68;78.2686507
69;78.183014
70;78.153802
71;77.934885
72;77.9010243
73;77.8794464
74;77.7990471
75;77.3318243
76;77.3060503
77;77.2794407
78;77.1155017
79;77.1110729
80;77.0258799
81;77.0162039
82;76.9926947
83;76.7813368
84;76.7163091
85;76.7155294
86;76.6592414
87;76.449303
88;76.2277161
89;76.0504859
90;76.0407392
91;76.0319104
92;75.8270837
93;75.7950494
94;75.6635061
95;75.4753359
96;75.3816543
97;75.3683987
98;75.3511654
99;75.2824145
100;75.1314977
101;74.9905416
102;74.5963179
103;74.5662766
104;74.53039
105;74.5164002
106;74.4272028
107;74.3988934
108;74.3781415
109;74.3062114
110;74.2681677
111;74.2659424
112;74.2529805
113;74.1447318
114;73.9297461
115;73.7677501
116;73.7410229
117;73.6824897
118;73.6796028
119;73.6572877
120;73.6386264
121;73.5439911
122;73.4744989
123;73.4643317
124;73.3945537
125;73.2409896
126;73.2155774
127;73.0892699
128;72.9573431
129;72.9553484
130;72.9084826
131;72.7772464
132;72.5862534
133;72.4947767
134;72.3453428
135;72.327167
136;72.2049812
137;72.0392347
138;72.0288613
139;71.9466358
140;71.9314817
141;71.6416144
142;71.6390246
143;71.6069066
144;71.591899
145;71.5114217
146;71.4624239
147;71.4618312
148;71.3502758
149;71.3226109
150;71.3088683
151;71.2058663
152;71.166781
