Index;Wert
0;2.2997
1;5.39062579
2;5.39062579
3;5.39062579
4;5.39062579
5;6.3419127
6;14.5863992
7;19.0257381
8;20.2941206
9;20.2941206
10;18.0744512
11;15.8547817
12;13.9522079
13;13.000921
14;11.7325385
15;11.0983472
16;11.4154429
17;13.3180167
18;19.3428337
19;21.5625032
20;20.6112163
21;20.2941206
22;13.6351123
23;5.70772143
24;5.4083954
25;5.4083954
26;5.4083954
27;5.4083954
28;5.4083954
29;6.36281811
30;14.6344817
31;19.0884543
32;20.361018
33;20.361018
34;18.1340316
35;15.9070453
36;13.9981999
37;13.0437771
38;11.7712135
39;11.1349317
40;11.4530726
41;13.361918
42;19.4065953
43;21.6335816
44;20.6791589
45;20.361018
46;13.6800589
47;5.7265363
48;4.7768568
49;4.7768568
50;4.7768568
51;4.7768568
52;4.7768568
53;5.61983153
54;12.9256125
55;16.8594946
56;17.9834609
57;17.9834609
58;16.0165198
59;14.0495788
60;12.3636294
61;11.5206546
62;10.3966883
63;9.83470517
64;10.1156967
65;11.8016462
66;17.1404862
67;19.1074272
68;18.2644525
69;17.9834609
70;12.0826378
71;5.05784837
72;5.18934679
73;5.18934679
74;5.18934679
75;5.18934679
76;5.18934679
77;6.10511387
78;14.0417619
79;18.3153416
80;19.5363644
81;19.5363644
82;17.3995745
83;15.2627847
84;13.4312505
85;12.5154834
86;11.2944607
87;10.6839493
88;10.989205
89;12.8207391
90;18.6205973
91;20.7573872
92;19.8416201
93;19.5363644
94;13.1259948
95;5.49460249
96;5.523822
97;5.523822
98;5.523822
99;5.523822
100;5.523822
101;6.49861411
102;14.9468125
103;19.4958423
104;20.7955652
105;20.7955652
106;18.5210502
107;16.2465353
108;14.296951
109;13.3221589
110;12.0224361
111;11.3725747
112;11.6975054
113;13.6470896
114;19.820773
115;22.095288
116;21.1204959
117;20.7955652
118;13.9720203
119;5.8487527
120;5.67819194
121;5.67819194
122;5.67819194
123;5.67819194
124;5.67819194
125;6.68022581
126;15.3645194
127;20.0406774
128;21.3767226
129;21.3767226
130;19.0386436
131;16.7005645
132;14.6964968
133;13.6944629
134;12.3584178
135;11.6903952
136;12.0244065
137;14.0284742
138;20.3746887
139;22.7127678
140;21.7107339
141;21.3767226
142;14.3624855
143;6.01220323
144;5.39529258
145;5.39529258
146;5.39529258
147;5.39529258
148;5.39529258
149;6.34740304
150;14.599027
151;19.0422091
152;20.3116897
153;20.3116897
154;18.0900987
155;15.8685076
156;13.9642867
157;13.0121762
158;11.7426956
159;11.1079553
160;11.4253255
161;13.3295464
162;19.3595793
163;21.5811703
164;20.6290599
165;20.3116897
166;13.6469165
167;5.71266273
168;4.50243223
169;4.28804366
170;4.28804366
171;4.28804366
172;4.50243223
173;5.14559793
174;12.0060321
175;17.3657462
176;17.3657462
177;17.5801348
178;15.007472
179;13.2923635
180;12.0060321
181;12.2204206
182;12.0060321
183;11.7916435
184;11.7916435
185;12.4348092
186;15.4362491
187;15.4362491
188;14.3643063
189;13.9355292
190;10.076535
191;4.71682079
192;5.24980414
193;5.24980414
194;5.24980414
195;5.24980414
196;5.24980414
197;6.17624017
198;14.2053524
199;18.5287205
200;19.7639685
201;19.7639685
