Index;Wert
0;4.73376623
1;2.396523
2;2.42644214
3;2.42947519
4;2.45363612
5;2.92852867
6;4.73583333
7;4.71
8;4.685
9;4.64666667
10;4.76166667
11;4.7496
12;4.8344
13;4.70076923
14;4.72846154
15;4.56053312
16;4.80499405
17;4.7992
18;4.7552
19;4.7192
20;4.7136
21;4.7176
22;4.7024
23;2.67368347
24;2.34520265
25;2.33940402
26;2.33940402
27;2.35068732
28;2.39226257
29;2.8890878
30;4.78289474
31;4.7875669
32;4.75663536
33;4.76432079
34;4.72168285
35;4.688
36;4.7344
37;4.78
38;4.8024
39;4.75758824
40;4.8232
41;4.824
42;4.8304
43;4.84
44;4.8368
45;4.8328
46;4.832
47;2.68120942
48;2.10933878
49;2.1026811
50;2.09602343
51;2.08936575
52;2.1026811
53;2.47315938
54;4.7896
55;4.7744
56;4.764
57;4.756
58;4.784
59;4.77358491
60;4.70461538
61;4.71923077
62;4.37533081
63;4.15918344
64;4.33127326
65;4.8277512
66;4.7976
67;4.764
68;4.716
69;4.684
70;4.6918138
71;2.29820156
72;2.32455502
73;2.36917692
74;2.35791312
75;2.3503069
76;2.35791312
77;2.74173835
78;4.71717172
79;4.68737475
80;4.6984
81;4.7112
82;4.7632
83;4.8136
84;4.80047506
85;4.79746835
86;4.83539752
87;4.68405138
88;4.8
89;4.7616
90;4.732
91;4.6968
92;4.6928
93;4.68442131
94;4.70967742
95;2.5972179
96;2.49101384
97;2.48497361
98;2.48497361
99;2.48497361
100;2.50913453
101;2.99382093
102;4.73166667
103;4.78833333
104;4.80008261
105;4.81901204
106;4.6904
107;4.7912
108;4.82622559
109;4.8352
110;4.8328
111;4.8376
112;4.8224
113;4.7464
114;4.6977492
115;4.74288039
116;4.6944
117;4.68885325
118;4.72318899
119;2.77787543
120;2.51035741
121;2.53031704
122;2.54929442
123;2.54929442
124;2.57345534
125;3.06949247
126;4.76666667
127;4.78583333
128;4.7575
129;4.76583333
130;4.78289474
131;4.776
132;4.8296
133;4.7992
134;4.776
135;4.7288
136;4.68147259
137;4.78289474
138;4.83166667
139;4.80583333
140;4.775
141;4.69333333
142;4.68083333
143;2.91195436
144;2.43745992
145;2.43141968
146;2.43141968
147;2.43141968
148;2.45558061
149;2.93081631
150;4.73666667
151;4.71583333
152;4.69916667
153;4.69666667
154;4.82916667
155;4.7648
156;4.81558029
157;4.74123149
158;4.75733855
159;4.74679768
160;4.69329587
161;4.75050958
162;4.7416
163;4.76323011
164;4.71373308
165;4.73977406
166;4.7944664
167;2.67565999
168;1.98281738
169;1.89126333
170;1.89126333
171;1.89126333
172;2.00021324
173;2.33286162
174;4.7416
175;4.712
176;4.6912
177;4.74745418
178;4.6968
179;4.8264
180;4.70513315
181;4.74076923
182;4.76076923
183;4.75538462
184;4.69799692
185;4.828
186;4.7912
187;4.7768
188;4.8
189;4.7792
190;4.45020199
191;2.27732321
192;2.29461599
193;2.27596752
194;2.27596752
195;2.27596752
196;2.29916201
197;2.76837284
198;4.77823409
199;4.81426202
200;4.75970576
201;4.79225062
202;4.7072
203;4.84
204;4.69515012
205;4.74913826
206;4.59467693
207;4.35685845
208;4.58301058
209;4.70153846
210;4.78997236
211;4.8168
212;4.7376
213;4.6864
214;4.75050958
215;2.71278679
216;2.2515406
217;2.239008
218;2.23209021
219;2.17898448
220;2.1548213
221;2.53450079
222;4.84
223;4.77952756
224;4.8136
225;4.79897111
226;4.72670807
227;4.71461538
228;4.76076923
229;4.73463154
230;4.45531681
231;4.26240215
232;4.43744107
233;4.80801269
234;4.8088
235;4.7592
236;4.7792
237;4.768
238;4.7848
239;2.33686177
240;2.25142588
241;2.24412391
242;2.22951998
243;2.22221801
244;2.22951998
245;2.61171919
246;4.7144
247;4.7024
248;4.72469636
249;4.82536383
250;4.81742739
251;4.7875669
252;4.69033293
253;4.7744
254;4.73977406
255;4.44003931
256;4.62572918
257;4.73395566
258;4.81406436
259;4.8296
260;4.8344
261;4.8032
262;4.7944
263;2.5029591
264;2.30562063
265;2.29982201
266;2.29982201
267;2.29982201
268;2.3230165
269;2.77318261
270;4.70967742
271;4.69329587
272;4.6896
273;4.688
274;4.6984
275;4.7192
276;4.74
277;4.7352
278;4.7864
279;4.67609585
280;4.768
281;4.7296
282;4.72
283;4.6904
284;4.696
285;4.69329587
286;4.71717172
287;2.69096558
288;2.58255305
289;2.57012376
290;2.56905909
291;2.56693238
292;2.59630646
293;3.10520049
294;4.82916667
295;4.79
296;4.80416667
297;4.78833333
298;4.81583333
299;4.83014155
300;4.77513336
301;4.7048
302;4.6864
303;4.6808
304;4.74440374
305;4.79068809
306;4.82416667
307;4.79
308;4.78833333
309;4.74583333
310;4.71
311;2.94874938
312;2.57442925
313;2.45482408
314;2.47753482
315;2.505988
316;2.69355838
317;3.14271419
318;4.57304348
319;4.52782609
320;4.64502165
321;4.6373913
322;4.59333333
323;4.77333333
324;4.68885325
325;4.7512
326;4.7904
327;4.78
328;4.7208
329;4.74745418
330;4.80583333
331;4.78583333
332;4.76083333
333;4.745
334;4.71916667
335;2.90544253
336;3.00851352
337;3.00247328
338;3.00247328
339;3.00247328
340;3.02663421
341;3.60264408
342;4.64166667
343;4.625
344;4.62916667
345;4.61833333
346;4.62083333
347;4.64416667
348;4.65666667
349;4.64166667
350;4.63166667
351;4.62083333
352;4.62083333
353;4.61333333
354;4.605
355;4.5975
356;4.59833333
357;4.585
358;4.59128978
359;3.43327623
360;3.17881892
361;3.182119
362;3.1957178
363;3.17671183
364;3.20815916
365;3.83015688
366;4.62740899
367;4.64716081
368;4.64217805
369;4.62601626
370;4.5993266
371;4.595
372;4.635
373;4.67333333
374;4.66833333
375;4.66
376;4.61583333
377;4.58333333
378;4.59529807
379;4.60812526
380;4.58862876
381;4.59730979
382;4.61770966
383;3.66449751
384;3.56337588
385;3.55613927
386;3.54890267
387;3.54166606
388;3.55613927
389;4.18305947
390;4.49391304
391;4.49826087
392;4.53043478
393;4.57130435
394;4.60347826
395;4.63217391
396;4.64869565
397;4.63652024
398;4.62880411
399;4.65002171
400;4.61130435
401;4.52782609
402;4.46869565
403;4.42504409
404;4.47859396
405;4.48173913
406;4.47043478
407;3.82541772
408;4.26760022
409;4.31786055
410;4.43545455
411;4.37863636
412;4.36363636
413;4.36863636
414;4.36363636
415;4.36363636
416;4.36363636
417;4.36363636
418;4.37
419;4.46181818
420;4.43362832
421;4.42956522
422;4.47478261
423;4.48434783
424;4.41652174
425;4.43272727
426;4.40909091
427;4.39181818
428;4.32363636
429;4.31
430;4.24681818
431;4.14727273
432;4.19523587
433;4.22117202
434;4.2190746
435;4.23065971
436;4.22748815
437;4.23702999
438;4.17491902
439;4.14025501
440;4.28545455
441;4.36363636
442;4.40909091
443;4.49433107
444;4.49826087
445;4.59217391
446;4.64644714
447;4.61427358
448;4.59128978
449;4.60472973
450;4.63230241
451;4.62434783
452;4.47478261
453;4.4373913
454;4.40782609
455;4.39651416
456;3.95703513
457;4.00179293
458;4.04330905
459;4.0745528
460;4.10091017
461;4.40909091
462;4.42
463;4.40636364
464;4.36
465;4.31818182
466;4.36363636
467;4.40909091
468;4.4173913
469;4.5773913
470;4.64716081
471;4.64869565
472;4.57304348
473;4.43478261
474;4.44988864
475;4.43181818
476;4.43090909
477;4.46
478;4.45818182
479;4.43272727
480;3.56549454
481;3.5589052
482;3.5589052
483;3.54922549
484;3.51027043
485;4.18752598
486;4.41652021
487;4.40489725
488;4.40594926
489;4.41652174
490;4.52347826
491;4.64956522
492;4.60812526
493;4.58416667
