Index;Wert
0;3.03076164
1;0.324092342
2;0.272931372
3;0.288640232
4;0.305546842
5;1.4865885
6;2.80988023
7;3.82391602
8;3.67250529
9;4.27996056
10;5.20049345
11;4.10219081
12;2.41093929
13;1.5059537
14;1.80560734
15;1.74490037
16;1.49702058
17;2.23242274
18;4.82351617
19;3.60656618
20;4.83940436
21;3.7002702
22;3.22847467
23;3.69230131
24;2.09988202
25;0.349252305
26;0.300745368
27;0.301799781
28;0.309038645
29;1.47389656
30;2.83448244
31;3.741092
32;3.79134925
33;3.53686069
34;3.43363322
35;3.18298919
36;3.6011081
37;1.48350199
38;1.68307081
39;2.99710602
40;1.70249008
41;1.95818366
42;3.09375677
43;3.40508423
44;3.27756568
45;3.16979168
46;1.64248985
47;1.84309803
48;1.95567088
49;0.610658436
50;0.502115394
51;0.404738921
52;0.295183354
53;1.43468678
54;2.33204656
55;3.21358949
56;3.64141293
57;3.62265733
58;3.38856188
59;2.8101787
60;2.8742025
61;3.31239663
62;3.20080161
63;1.73186518
64;1.64645246
65;2.54381166
66;3.98225212
67;3.912437
68;4.26434792
69;4.84664126
70;3.34170268
71;3.72153493
72;0.552407176
73;0.308491476
74;0.301619136
75;0.297476097
76;0.270860507
77;1.46277607
78;2.32444466
79;3.49857518
80;4.02965365
81;3.86482615
82;3.84279015
83;2.6653842
84;2.10485802
85;1.66171775
86;1.65263022
87;1.52774964
88;1.66910622
89;1.74164802
90;3.68354882
91;4.06592253
92;4.10180989
93;3.45594101
94;2.61389049
95;1.70608648
96;0.349070351
97;0.352999366
98;0.356055267
99;0.34132817
100;0.354852934
101;1.54625612
102;2.6626145
103;3.89656647
104;4.13537603
105;5.09379189
106;3.76283212
107;2.96896424
108;2.44054255
109;1.69016372
110;1.67778173
111;1.69414117
112;1.55658704
113;1.85433475
114;4.42765744
115;4.29917171
116;3.74684765
117;3.366627
118;1.50231637
119;2.10391772
120;0.989399624
121;0.309036682
122;0.315255822
123;0.307838931
124;0.333580752
125;1.48722992
126;2.59247475
127;4.31494208
128;4.40086465
129;4.00565145
130;3.73520695
131;2.64765552
132;2.20046113
133;2.12889847
134;2.14880535
135;1.93734738
136;1.82959246
137;2.11344147
138;4.96626286
139;3.81606946
140;3.29104562
141;3.28897344
142;1.24738202
143;2.96917736
144;1.3780684
145;0.629893788
146;0.378741842
147;0.349617521
148;0.372523356
149;1.54363677
150;2.56476351
151;3.84453042
152;3.74199053
153;4.13677176
154;4.09235354
155;2.83386517
156;2.11868566
157;2.50653818
158;3.99690296
159;2.92489147
160;3.73308814
161;2.5509355
162;3.26818591
163;3.64941789
164;4.82936097
165;3.33611994
166;3.57601805
167;2.20841852
168;0.843007661
169;0.324092342
170;0.272931372
171;0.288640232
172;0.305546842
173;1.43894109
174;2.72649727
175;3.7047975
176;3.55338677
177;4.21324448
178;5.08137493
179;4.10219081
180;2.37077644
181;1.5059537
182;1.80560734
183;1.74490037
184;1.46515723
185;2.23242274
186;4.82351617
187;3.60656618
188;4.83940436
189;3.7002702
190;3.22847467
191;3.69230131
192;2.09988202
193;0.349252305
194;0.300745368
195;0.301799781
196;0.309038645
197;1.45546387
198;2.83194796
199;3.76183037
200;3.79373452
201;3.55855825
202;3.40125149
203;3.18298919
204;3.55797234
205;1.4348874
206;1.61752868
207;2.93034581
208;1.64886631
209;1.91420144
210;3.06396068
211;3.40508423
212;3.27756568
213;3.16979168
214;1.64248985
215;1.84309803
216;1.95567088
217;0.610658436
218;0.502115394
219;0.404738921
220;0.295183354
221;1.43468678
222;2.33204656
223;3.16856832
224;3.64141293
225;3.5921117
226;3.30421709
227;2.76177059
228;2.8742025
229;3.30441971
230;3.19365891
231;1.73186518
232;1.64645246
233;2.5379336
234;3.98225212
235;3.912437
236;4.26434792
237;4.84664126
238;3.34170268
239;3.72153493
240;0.552407176
241;0.308491476
242;0.301619136
243;0.297476097
244;0.270860507
245;1.42399604
246;2.30423061
247;3.49284603
248;4.06437646
249;3.97775348
250;3.94955198
251;2.73223573
252;2.1198393
253;1.67438352
254;1.6241539
255;1.48468151
256;1.62512399
257;1.71006841
258;3.66810174
259;4.06592253
260;4.10180989
261;3.45319323
262;2.61389049
263;1.70608648
264;0.349070351
265;0.352999366
266;0.356055267
267;0.34132817
268;0.354852934
269;1.49860871
270;2.59537017
271;3.78777697
272;4.04208866
273;4.98579901
274;3.76283212
275;2.96896424
276;2.44464452
277;1.69016372
278;1.67778173
279;1.69414117
280;1.55658704
281;1.85433475
282;4.41662653
283;4.2600923
284;3.74684765
285;3.36938804
286;1.50231637
287;2.10391772
