Index;Wert
0;3.03076164
1;3.03076164
2;3.03076164
3;3.03076164
4;0.324092342
5;0.324092342
6;0.324092342
7;0.324092342
8;0.272931372
9;0.272931372
10;0.272931372
11;0.272931372
12;0.288640232
13;0.288640232
14;0.288640232
15;0.288640232
16;0.305546842
17;0.305546842
18;0.305546842
19;0.305546842
20;1.4865885
21;1.4865885
22;1.4865885
23;1.4865885
24;2.80988023
25;2.80988023
26;2.80988023
27;2.80988023
28;3.82391602
29;3.82391602
30;3.82391602
31;3.82391602
32;3.67250529
33;3.67250529
34;3.67250529
35;3.67250529
36;4.27996056
37;4.27996056
38;4.27996056
39;4.27996056
40;5.20049345
41;5.20049345
42;5.20049345
43;5.20049345
44;4.10219081
45;4.10219081
46;4.10219081
47;4.10219081
48;2.41093929
49;2.41093929
50;2.41093929
51;2.41093929
52;1.5059537
53;1.5059537
54;1.5059537
55;1.5059537
56;1.80560734
57;1.80560734
58;1.80560734
59;1.80560734
60;1.74490037
61;1.74490037
62;1.74490037
63;1.74490037
64;1.49702058
65;1.49702058
66;1.49702058
67;1.49702058
68;2.23242274
69;2.23242274
70;2.23242274
71;2.23242274
72;4.82351617
73;4.82351617
74;4.82351617
75;4.82351617
76;3.60656618
77;3.60656618
78;3.60656618
79;3.60656618
80;4.83940436
81;4.83940436
82;4.83940436
83;4.83940436
84;3.7002702
85;3.7002702
86;3.7002702
87;3.7002702
88;3.22847467
89;3.22847467
90;3.22847467
91;3.22847467
92;3.69230131
93;3.69230131
94;3.69230131
95;3.69230131
96;2.09988202
97;2.09988202
98;2.09988202
99;2.09988202
100;0.349252305
101;0.349252305
102;0.349252305
103;0.349252305
104;0.300745368
105;0.300745368
106;0.300745368
107;0.300745368
108;0.301799781
109;0.301799781
110;0.301799781
111;0.301799781
112;0.309038645
113;0.309038645
114;0.309038645
115;0.309038645
116;1.47389656
117;1.47389656
118;1.47389656
119;1.47389656
120;2.83448244
121;2.83448244
122;2.83448244
123;2.83448244
124;3.741092
125;3.741092
126;3.741092
127;3.741092
128;3.79134925
129;3.79134925
130;3.79134925
131;3.79134925
132;3.53686069
133;3.53686069
134;3.53686069
135;3.53686069
136;3.43363322
137;3.43363322
138;3.43363322
139;3.43363322
140;3.18298919
141;3.18298919
142;3.18298919
143;3.18298919
144;3.6011081
145;3.6011081
146;3.6011081
147;3.6011081
148;1.48350199
149;1.48350199
150;1.48350199
151;1.48350199
152;1.68307081
153;1.68307081
154;1.68307081
155;1.68307081
156;2.99710602
157;2.99710602
158;2.99710602
159;2.99710602
160;1.70249008
161;1.70249008
162;1.70249008
163;1.70249008
164;1.95818366
165;1.95818366
166;1.95818366
167;1.95818366
168;3.09375677
169;3.09375677
170;3.09375677
171;3.09375677
172;3.40508423
173;3.40508423
174;3.40508423
175;3.40508423
176;3.27756568
177;3.27756568
178;3.27756568
179;3.27756568
180;3.16979168
181;3.16979168
182;3.16979168
183;3.16979168
184;1.64248985
185;1.64248985
186;1.64248985
187;1.64248985
188;1.84309803
189;1.84309803
190;1.84309803
191;1.84309803
192;1.95567088
193;1.95567088
194;1.95567088
195;1.95567088
196;0.610658436
197;0.610658436
198;0.610658436
199;0.610658436
200;0.502115394
201;0.502115394
202;0.502115394
203;0.502115394
204;0.404738921
205;0.404738921
206;0.404738921
207;0.404738921
208;0.295183354
209;0.295183354
210;0.295183354
211;0.295183354
212;1.43468678
213;1.43468678
214;1.43468678
215;1.43468678
216;2.33204656
217;2.33204656
218;2.33204656
219;2.33204656
220;3.21358949
221;3.21358949
222;3.21358949
223;3.21358949
224;3.64141293
225;3.64141293
226;3.64141293
227;3.64141293
228;3.62265733
229;3.62265733
230;3.62265733
231;3.62265733
232;3.38856188
233;3.38856188
234;3.38856188
235;3.38856188
236;2.8101787
237;2.8101787
238;2.8101787
239;2.8101787
240;2.8742025
241;2.8742025
242;2.8742025
243;2.8742025
244;3.31239663
245;3.31239663
246;3.31239663
247;3.31239663
248;3.20080161
249;3.20080161
250;3.20080161
251;3.20080161
252;1.73186518
253;1.73186518
254;1.73186518
255;1.73186518
256;1.64645246
257;1.64645246
258;1.64645246
259;1.64645246
260;2.54381166
261;2.54381166
262;2.54381166
263;2.54381166
264;3.98225212
265;3.98225212
266;3.98225212
267;3.98225212
268;3.912437
269;3.912437
270;3.912437
271;3.912437
272;4.26434792
273;4.26434792
274;4.26434792
275;4.26434792
276;4.84664126
277;4.84664126
278;4.84664126
279;4.84664126
280;3.34170268
281;3.34170268
282;3.34170268
283;3.34170268
284;3.72153493
285;3.72153493
286;3.72153493
287;3.72153493
288;0.552407176
289;0.552407176
290;0.552407176
291;0.552407176
292;0.308491476
293;0.308491476
294;0.308491476
295;0.308491476
296;0.301619136
297;0.301619136
298;0.301619136
299;0.301619136
300;0.297476097
301;0.297476097
302;0.297476097
303;0.297476097
304;0.270860507
305;0.270860507
306;0.270860507
307;0.270860507
308;1.46277607
309;1.46277607
310;1.46277607
311;1.46277607
312;2.32444466
313;2.32444466
314;2.32444466
315;2.32444466
316;3.49857518
317;3.49857518
318;3.49857518
319;3.49857518
320;4.02965365
321;4.02965365
322;4.02965365
323;4.02965365
324;3.86482615
325;3.86482615
326;3.86482615
327;3.86482615
328;3.84279015
329;3.84279015
330;3.84279015
331;3.84279015
332;2.6653842
333;2.6653842
334;2.6653842
335;2.6653842
336;2.10485802
337;2.10485802
338;2.10485802
339;2.10485802
340;1.66171775
341;1.66171775
342;1.66171775
343;1.66171775
344;1.65263022
345;1.65263022
346;1.65263022
347;1.65263022
348;1.52774964
349;1.52774964
350;1.52774964
351;1.52774964
352;1.66910622
353;1.66910622
354;1.66910622
355;1.66910622
356;1.74164802
357;1.74164802
358;1.74164802
359;1.74164802
360;3.68354882
361;3.68354882
362;3.68354882
363;3.68354882
364;4.06592253
365;4.06592253
366;4.06592253
367;4.06592253
368;4.10180989
369;4.10180989
370;4.10180989
371;4.10180989
372;3.45594101
373;3.45594101
374;3.45594101
375;3.45594101
376;2.61389049
377;2.61389049
378;2.61389049
379;2.61389049
380;1.70608648
381;1.70608648
382;1.70608648
383;1.70608648
384;0.349070351
385;0.349070351
386;0.349070351
387;0.349070351
388;0.352999366
389;0.352999366
390;0.352999366
391;0.352999366
392;0.356055267
393;0.356055267
394;0.356055267
395;0.356055267
396;0.34132817
397;0.34132817
398;0.34132817
399;0.34132817
400;0.354852934
401;0.354852934
402;0.354852934
403;0.354852934
404;1.54625612
405;1.54625612
406;1.54625612
407;1.54625612
408;2.6626145
409;2.6626145
410;2.6626145
411;2.6626145
412;3.89656647
413;3.89656647
414;3.89656647
415;3.89656647
416;4.13537603
417;4.13537603
418;4.13537603
419;4.13537603
420;5.09379189
421;5.09379189
422;5.09379189
423;5.09379189
424;3.76283212
425;3.76283212
426;3.76283212
427;3.76283212
428;2.96896424
429;2.96896424
430;2.96896424
431;2.96896424
432;2.44054255
433;2.44054255
434;2.44054255
435;2.44054255
436;1.69016372
437;1.69016372
438;1.69016372
439;1.69016372
440;1.67778173
441;1.67778173
442;1.67778173
443;1.67778173
444;1.69414117
445;1.69414117
446;1.69414117
447;1.69414117
448;1.55658704
449;1.55658704
450;1.55658704
451;1.55658704
452;1.85433475
453;1.85433475
454;1.85433475
455;1.85433475
456;4.42765744
457;4.42765744
458;4.42765744
459;4.42765744
460;4.29917171
461;4.29917171
462;4.29917171
463;4.29917171
464;3.74684765
465;3.74684765
466;3.74684765
467;3.74684765
468;3.366627
469;3.366627
470;3.366627
471;3.366627
472;1.50231637
473;1.50231637
474;1.50231637
475;1.50231637
476;2.10391772
477;2.10391772
478;2.10391772
479;2.10391772
480;0.989399624
481;0.989399624
482;0.989399624
483;0.989399624
484;0.309036682
485;0.309036682
486;0.309036682
487;0.309036682
488;0.315255822
489;0.315255822
490;0.315255822
491;0.315255822
492;0.307838931
493;0.307838931
494;0.307838931
495;0.307838931
496;0.333580752
497;0.333580752
498;0.333580752
499;0.333580752
500;1.48722992
501;1.48722992
502;1.48722992
503;1.48722992
504;2.59247475
505;2.59247475
506;2.59247475
507;2.59247475
508;4.31494208
509;4.31494208
510;4.31494208
511;4.31494208
512;4.40086465
513;4.40086465
514;4.40086465
515;4.40086465
516;4.00565145
517;4.00565145
518;4.00565145
519;4.00565145
520;3.73520695
521;3.73520695
522;3.73520695
523;3.73520695
524;2.64765552
525;2.64765552
526;2.64765552
527;2.64765552
528;2.20046113
529;2.20046113
530;2.20046113
531;2.20046113
532;2.12889847
533;2.12889847
534;2.12889847
535;2.12889847
536;2.14880535
537;2.14880535
538;2.14880535
539;2.14880535
540;1.93734738
541;1.93734738
542;1.93734738
543;1.93734738
