Index;Wert
0;5390.62579
1;5390.62579
2;5390.62579
3;5390.62579
4;5390.62579
5;6341.9127
6;14586.3992
7;19025.7381
8;20294.1206
9;20294.1206
10;18074.4512
11;15854.7817
12;13952.2079
13;13000.921
14;11732.5385
15;11098.3472
16;11415.4429
17;13318.0167
18;19342.8337
19;21562.5032
20;20611.2163
21;20294.1206
22;13635.1123
23;5707.72143
24;5408.3954
25;5408.3954
26;5408.3954
27;5408.3954
28;5408.3954
29;6362.81811
30;14634.4817
31;19088.4543
32;20361.018
33;20361.018
34;18134.0316
35;15907.0453
36;13998.1999
37;13043.7771
38;11771.2135
39;11134.9317
40;11453.0726
41;13361.918
42;19406.5953
43;21633.5816
44;20679.1589
45;20361.018
46;13680.0589
47;5726.5363
48;4776.8568
49;4776.8568
50;4776.8568
51;4776.8568
52;4776.8568
53;5619.83153
54;12925.6125
55;16859.4946
56;17983.4609
57;17983.4609
58;16016.5198
59;14049.5788
60;12363.6294
61;11520.6546
62;10396.6883
63;9834.70517
64;10115.6967
65;11801.6462
66;17140.4862
67;19107.4272
68;18264.4525
69;17983.4609
70;12082.6378
71;5057.84837
72;5189.34679
73;5189.34679
74;5189.34679
75;5189.34679
76;5189.34679
77;6105.11387
78;14041.7619
79;18315.3416
80;19536.3644
81;19536.3644
82;17399.5745
83;15262.7847
84;13431.2505
85;12515.4834
86;11294.4607
87;10683.9493
88;10989.205
89;12820.7391
90;18620.5973
91;20757.3872
92;19841.6201
93;19536.3644
94;13125.9948
95;5494.60249
96;5523.822
97;5523.822
98;5523.822
99;5523.822
100;5523.822
101;6498.61411
102;14946.8125
103;19495.8423
104;20795.5652
105;20795.5652
106;18521.0502
107;16246.5353
108;14296.951
109;13322.1589
110;12022.4361
111;11372.5747
112;11697.5054
113;13647.0896
114;19820.773
115;22095.288
116;21120.4959
117;20795.5652
118;13972.0203
119;5848.7527
120;5678.19194
121;5678.19194
122;5678.19194
123;5678.19194
124;5678.19194
125;6680.22581
126;15364.5194
127;20040.6774
128;21376.7226
129;21376.7226
130;19038.6436
131;16700.5645
132;14696.4968
133;13694.4629
134;12358.4178
135;11690.3952
136;12024.4065
137;14028.4742
138;20374.6887
139;22712.7678
140;21710.7339
141;21376.7226
142;14362.4855
143;6012.20323
144;5395.29258
145;5395.29258
146;5395.29258
147;5395.29258
148;5395.29258
149;6347.40304
150;14599.027
151;19042.2091
152;20311.6897
153;20311.6897
154;18090.0987
155;15868.5076
156;13964.2867
157;13012.1762
158;11742.6956
159;11107.9553
160;11425.3255
161;13329.5464
162;19359.5793
163;21581.1703
164;20629.0599
165;20311.6897
166;13646.9165
167;5712.66273
168;4502.43223
169;4288.04366
170;4288.04366
171;4288.04366
172;4502.43223
173;5145.59793
174;12006.0321
175;17365.7462
176;17365.7462
177;17580.1348
178;15007.472
179;13292.3635
180;12006.0321
181;12220.4206
182;12006.0321
183;11791.6435
184;11791.6435
185;12434.8092
186;15436.2491
187;15436.2491
188;14364.3063
189;13935.5292
190;10076.535
191;4716.82079
192;5249.80414
193;5249.80414
194;5249.80414
195;5249.80414
196;5249.80414
197;6176.24017
198;14205.3524
199;18528.7205
200;19763.9685
201;19763.9685
202;17602.2845
203;15440.6004
204;13587.7284
205;12661.2923
206;11426.0443
207;10808.4203
208;11117.2323
209;12970.1044
210;18837.5325
211;20999.2166
212;20072.7805
213;19763.9685
214;13278.9164
215;5558.61615
216;4907.20728
217;4907.20728
218;4907.20728
219;4907.20728
220;4907.20728
221;5773.18504
222;13278.3256
223;17319.5551
224;18474.1921
225;18474.1921
226;16453.5774
227;14432.9626
228;12701.0071
229;11835.0293
230;10680.3923
231;10103.0738
232;10391.7331
233;12123.6886
234;17608.2144
235;19628.8291
236;18762.8514
237;18474.1921
238;12412.3478
239;5195.86653
240;5104.15526
241;5104.15526
242;5104.15526
243;5104.15526
244;5104.15526
245;6004.88854
246;13811.2436
247;18014.6656
248;19215.6433
249;19215.6433
250;17113.9323
251;15012.2213
252;13210.7548
253;12310.0215
254;11109.0438
255;10508.5549
256;10808.7994
257;12610.2659
258;18314.91
259;20416.621
260;19515.8877
261;19215.6433
262;12910.5104
263;5404.39968
264;5309.44035
265;5309.44035
266;5309.44035
267;5309.44035
268;5309.44035
269;6246.40042
270;14366.721
271;18739.2012
272;19988.4813
273;19988.4813
274;17802.2412
275;15616.001
276;13742.0809
277;12805.1209
278;11555.8408
279;10931.2007
280;11243.5207
281;13117.4409
282;19051.5213
283;21237.7614
284;20300.8014
285;19988.4813
286;13429.7609
287;5621.76037
288;5761.59398
289;5761.59398
290;5761.59398
291;5761.59398
292;5761.59398
293;6778.34586
294;15590.1955
295;20335.0376
296;21690.7067
297;21690.7067
298;19318.2857
299;16945.8646
300;14912.3609
301;13895.609
302;12539.9398
303;11862.1052
304;12201.0225
305;14234.5263
306;20673.9549
307;23046.3759
308;22029.624
309;21690.7067
310;14573.4436
311;6100.51127
312;5724.01898
313;5451.46313
314;5451.46313
315;5451.46313
316;5724.01898
317;6541.68652
318;15263.4736
319;22077.3697
320;22077.3697
321;22349.9256
322;19079.2554
323;16898.8087
324;15263.4736
325;15536.0294
326;15263.4736
327;14990.9177
328;14990.9177
329;15808.5853
330;19624.3671
331;19624.3671
332;18261.5879
333;17716.4762
334;12810.471
335;5996.57482
336;6765.82122
337;6765.82122
338;6765.82122
339;6765.82122
340;6765.82122
341;7959.78967
342;18307.5162
343;23879.369
344;25471.3269
345;25471.3269
346;22685.4006
347;19899.4742
348;17511.5373
349;16317.5688
350;14725.6109
351;13929.6319
352;14327.6214
353;16715.5583
354;24277.3585
355;27063.2849
356;25869.3164
357;25471.3269
358;17113.5478
359;7163.8107
360;7037.86498
361;7037.86498
362;7037.86498
363;7037.86498
364;7037.86498
365;8279.84115
366;19043.6346
367;24839.5235
368;26495.4917
369;26495.4917
370;23597.5473
371;20699.6029
372;18215.6505
373;16973.6744
374;15317.7061
375;14489.722
376;14903.7141
377;17387.6664
378;25253.5155
379;28151.4599
380;26909.4837
381;26495.4917
382;17801.6585
383;7451.85704
384;7699.27437
385;7699.27437
386;7699.27437
387;7699.27437
388;7699.27437
389;9057.96984
390;20833.3306
391;27173.9095
392;28985.5035
393;28985.5035
394;25815.2141
395;22644.9246
396;19927.5337
397;18568.8382
398;16757.2442
399;15851.4472
400;16304.3457
401;19021.7367
402;27626.808
403;30797.0975
404;29438.402
405;28985.5035
406;19474.6352
407;8152.17286
408;9291.07106
409;9291.07106
410;9291.07106
411;9291.07106
412;9291.07106
413;10930.6718
414;25140.5452
415;32792.0155
416;34978.1499
417;34978.1499
418;31152.4147
419;27326.6796
420;24047.478
421;22407.8773
422;20221.7429
423;19128.6757
424;19675.2093
425;22954.4109
426;33338.5491
427;37164.2842
428;35524.6835
429;34978.1499
430;23500.9444
431;9837.60465
432;8823.45114
433;8823.45114
434;8823.45114
435;8823.45114
436;8823.45114
437;10380.5308
438;23875.2207
439;31141.5923
440;33217.6984
441;33217.6984
442;29584.5127
443;25951.3269
444;22837.1677
445;21280.0881
446;19203.9819
447;18165.9288
448;18684.9554
449;21799.1146
450;31660.6188
451;35293.8046
452;33736.725
453;33217.6984
454;22318.1411
455;9342.47768
456;8523.90149
457;8523.90149
458;8523.90149
459;8523.90149
460;8523.90149
461;10028.1194
462;23064.6746
463;30084.3582
464;32089.9821
465;32089.9821
466;28580.1403
467;25070.2985
468;22061.8627
469;20557.6448
470;18552.0209
471;17549.209
472;18050.6149
473;21059.0508
474;30585.7642
475;34095.606
476;32591.3881
477;32089.9821
478;21560.4567
479;9025.30746
480;7389.47678
481;7389.47678
482;7389.47678
483;7389.47678
484;7389.47678
485;8693.50209
486;19995.0548
487;26080.5063
488;27819.2067
489;27819.2067
490;24776.481
491;21733.7552
492;19125.7046
493;17821.6793
494;16082.9789
495;15213.6287
496;15648.3038
497;18256.3544
498;26515.1814
499;29557.9071
500;28253.8818
501;27819.2067
502;18691.0295
503;7824.15188
504;8243.3044
505;8243.3044
506;8243.3044
507;8243.3044
508;8243.3044
509;9698.00518
510;22305.4119
511;29094.0155
512;31033.6166
513;31033.6166
514;27639.3148
515;24245.0129
516;21335.6114
517;19880.9106
518;17941.3096
519;16971.5091
520;17456.4093
521;20365.8109
522;29578.9158
523;32973.2176
524;31518.5168
525;31033.6166
526;20850.7111
527;8728.20466
528;5633.54036
529;5633.54036
530;5633.54036
531;5633.54036
532;5633.54036
533;6627.69455
534;15243.6975
535;19883.0836
536;21208.6225
537;21208.6225
538;18888.9295
539;16569.2364
540;14580.928
541;13586.7738
542;12261.2349
543;11598.4655
544;11929.8502
