Index;Wert
0;11.664
1;5.83074045
2;5.83074045
3;5.83074045
4;5.88872668
5;7.02846881
6;11.366
7;11.304
8;11.244
9;11.152
10;11.428
11;11.874
12;12.086
13;12.222
14;12.294
15;11.8573861
16;12.123
17;11.998
18;11.888
19;11.798
20;11.784
21;11.794
22;11.756
23;6.68420867
24;5.86300662
25;5.84851006
26;5.84851006
27;5.84851006
28;5.90649628
29;7.04937423
30;11.632
31;11.629
32;11.649
33;11.644
34;11.672
35;11.72
36;11.836
37;11.95
38;12.006
39;11.8939706
40;12.058
41;12.06
42;12.076
43;12.1
44;12.092
45;12.082
46;12.08
47;6.70302354
48;5.27334695
49;5.25670276
50;5.24005857
51;5.22341437
52;5.25670276
53;6.18289846
54;11.974
55;11.936
56;11.91
57;11.89
58;11.96
59;12.144
60;12.232
61;12.27
62;11.3758601
63;10.813877
64;11.2613105
65;12.108
66;11.994
67;11.91
68;11.79
69;11.71
70;11.692
71;5.70413628
72;5.71375624
73;5.69550132
74;5.65899148
75;5.64073655
76;5.65899148
77;6.62952332
78;11.675
79;11.695
80;11.746
81;11.778
82;11.908
83;12.034
84;12.126
85;12.128
86;12.103
87;11.7194966
88;12
89;11.904
90;11.83
91;11.742
92;11.732
93;11.697
94;11.68
95;6.34760054
96;5.97843321
97;5.96393666
98;5.96393666
99;5.96393666
100;6.02192288
101;7.18517023
102;11.356
103;11.492
104;11.621
105;11.609
106;11.726
107;11.978
108;12.109
109;12.088
110;12.082
111;12.094
112;12.056
113;11.866
114;11.688
115;11.658
116;11.736
117;11.694
118;11.671
119;6.82523994
120;6.13280316
121;6.1183066
122;6.1183066
123;6.1183066
124;6.17629283
125;7.36678193
126;11.44
127;11.486
128;11.418
129;11.438
130;11.632
131;11.94
132;12.074
133;11.998
134;11.94
135;11.822
136;11.699
137;11.632
138;11.596
139;11.534
140;11.46
141;11.264
142;11.234
143;6.98869047
144;5.8499038
145;5.83540724
146;5.83540724
147;5.83540724
148;5.89339347
149;7.03395915
150;11.368
151;11.318
152;11.278
153;11.272
154;11.59
155;11.912
156;12.116
157;12.166
158;12.155
159;11.8669942
160;11.691
161;11.653
162;11.854
163;12.151
164;12.185
165;12.167
166;12.13
167;6.68914997
168;4.95704344
169;4.72815832
170;4.72815832
171;4.72815832
172;5.00053311
173;5.83215404
174;11.854
175;11.78
176;11.728
177;11.655
178;11.742
179;12.066
180;12.191
181;12.326
182;12.378
183;12.364
184;12.196
185;12.07
186;11.978
187;11.942
188;12
189;11.948
190;11.125505
191;5.69330803
192;5.70441536
193;5.6899188
194;5.6899188
195;5.6899188
196;5.74790503
197;6.86279628
198;11.635
199;11.612
200;11.647
201;11.626
202;11.768
203;12.1
204;12.198
205;12.4
206;12.1850832
207;11.5674592
208;12.0212368
209;12.224
210;12.133
211;12.042
212;11.844
213;11.716
214;11.653
215;6.53510339
216;5.40369744
217;5.38705324
218;5.37040905
219;5.35376486
220;5.38705324
221;6.33625197
222;12.1
223;12.14
224;12.034
225;12.127
226;12.176
227;12.258
228;12.378
229;12.4
230;11.6595641
231;11.0822456
232;11.5373468
233;12.121
234;12.022
235;11.898
236;11.948
237;11.92
238;11.962
239;5.84215444
240;5.62856471
241;5.61030978
242;5.57379994
243;5.55554502
244;5.57379994
245;6.52929799
246;11.786
247;11.756
248;11.67
249;11.605
250;11.61
251;11.629
252;11.693
253;11.936
254;12.167
255;11.5441022
256;12.0268959
257;12.171
258;12.117
259;12.074
260;12.086
261;12.008
262;11.986
263;6.25739774
264;5.76405157
265;5.74955502
266;5.74955502
267;5.74955502
268;5.80754124
269;6.93295653
270;11.68
271;11.691
272;11.724
273;11.72
274;11.746
275;11.798
276;11.85
277;11.838
278;11.966
279;11.6902396
280;11.92
281;11.824
282;11.8
283;11.726
284;11.74
285;11.691
286;11.675
287;6.59824761
288;6.21620519
289;6.20170864
290;6.20170864
291;6.20170864
292;6.25969486
293;7.46490197
294;11.59
295;11.496
296;11.53
297;11.492
298;11.558
299;11.602
300;11.637
301;11.762
302;11.716
303;11.702
304;11.657
305;11.627
306;11.578
307;11.496
308;11.492
309;11.39
310;11.304
311;7.07699851
312;6.1786302
313;5.89157779
314;5.89157779
315;5.89157779
316;6.22211986
317;7.22824263
318;10.518
319;10.414
320;10.73
321;10.666
322;11.024
323;11.456
324;11.694
325;11.878
326;11.976
327;11.95
328;11.802
329;11.655
330;11.534
331;11.486
332;11.426
333;11.388
334;11.326
335;6.97306206
336;7.22043244
337;7.20593588
338;7.20593588
339;7.20593588
340;7.26392211
341;8.64634579
342;11.14
343;11.1
344;11.11
345;11.084
346;11.09
347;11.146
348;11.176
349;11.14
350;11.116
351;11.09
352;11.09
353;11.072
354;11.052
355;11.034
356;11.036
357;11.004
358;10.964
359;8.14029794
360;7.4924762
361;7.47797964
362;7.47797964
363;7.47797964
364;7.53596586
365;8.96639727
366;10.805
367;10.721
368;10.742
369;10.811
370;10.928
371;11.028
372;11.124
373;11.216
374;11.204
375;11.184
376;11.078
377;11
378;10.946
379;10.889
380;10.976
381;10.937
382;10.847
383;8.42834427
384;8.19576452
385;8.17912033
386;8.16247614
387;8.14583194
388;8.17912033
389;9.62103678
390;10.336
391;10.346
392;10.42
393;10.514
394;10.588
395;10.654
396;10.692
397;10.766
398;10.799
399;10.709
400;10.606
401;10.414
402;10.278
403;10.036
404;9.938
405;10.308
406;10.282
407;8.79846076
408;9.81548051
409;9.79722559
410;9.758
411;9.633
412;9.6
413;9.611
414;9.6
415;9.6
416;9.6
417;9.6
418;9.614
419;9.816
420;10.02
421;10.188
422;10.292
423;10.314
424;10.158
425;9.752
426;9.7
427;9.662
428;9.512
429;9.482
430;9.343
431;9.124
432;8.982
433;8.932
434;8.936
435;8.914
436;8.92
437;8.902
438;9.022
439;9.092
440;9.428
441;9.6
442;9.7
443;9.91
444;10.346
445;10.562
446;10.724
447;10.862
448;10.964
449;10.904
450;10.784
451;10.636
452;10.292
453;10.206
454;10.138
455;10.09
456;8.97851271
457;8.96401616
458;8.96401616
459;8.96401616
460;9.02200238
461;9.7
462;9.724
463;9.694
464;9.592
465;9.5
466;9.6
467;9.7
468;10.16
469;10.528
470;10.721
471;10.692
472;10.518
473;10.2
474;9.99
475;9.75
476;9.748
477;9.812
478;9.808
479;9.752
480;7.84408799
481;7.82959144
482;7.82959144
483;7.82959144
484;7.88757766
485;9.3800582
486;10.052
487;10.074
488;10.072
489;10.158
490;10.404
491;10.694
492;10.889
493;11.002
494;11.068
495;11.03
496;10.964
497;10.733
498;10.6
499;10.554
500;10.552
501;10.36
502;10.016
503;8.80063912
504;8.69791562
505;8.68341906
506;8.68341906
507;8.68341906
508;8.74140529
509;9.552
510;9.286
511;8.99
512;9.6
513;9.6
514;9.667
515;10.092
516;10.698
517;11.106
518;11.306
519;11.38
520;11.258
521;10.904
522;10.586
523;10.472
524;10.24
525;10.244
526;10.396
527;9.7046919
528;6.08815158
529;6.07365503
530;6.07365503
531;6.07365503
532;6.13164125
533;7.31425066
534;11.81
535;11.766
536;11.674
537;11.674
538;11.685
539;11.712
540;11.738
541;11.804
542;11.794
543;11.77
544;11.846
545;11.742
546;11.671
547;11.634
548;11.641
549;11.518
550;11.37
551;6.94141233
552;6.35547422
553;6.33883002
554;6.32218583
555;6.30554164
556;6.33883002
557;7.45598936
558;10.266
559;10.25
560;10.628
561;10.778
562;11.008
563;11.448
564;11.89
565;12.1
566;12.168
567;12.162
568;12.082
569;12.03
570;12.004
571;12.026
572;12.042
573;12.068
574;12.068
575;6.84991809
576;4.71498057
577;4.49718671
578;4.46067686
579;4.44242194
580;4.6602158
581;5.31359737
582;11.338
583;11.244
584;11.466
585;11.528
586;11.918
587;12.374
588;12.5
589;12.559
590;12.3012558
591;12.0104422
592;12.1929914
593;12.342
594;12.136
595;11.994
596;11.866
597;11.79
598;10.3958758
599;5.24310811
600;3.65900891
601;3.49193122
602;3.49193122
603;3.49193122
604;3.70249858
605;4.34869722
606;9.95612141
607;11.894
608;12.022
609;12.092
610;11.5123951
611;10.291746
612;9.44874194
613;9.5288403
614;9.30377638
615;9.15119525
616;9.29616081
617;10.0438353
618;12.462
619;12.4
620;11.7794795
621;11.1843861
622;8.22047727
623;4.33346607
624;3.50517014
625;3.49067359
626;3.49067359
627;3.49067359
628;3.54865981
629;4.27544897
630;9.66583748
631;12.4
632;12.4
633;12.422
634;11.0598663
635;9.80375381
636;8.79956873
637;8.18875202
638;7.39849067
639;7.03960139
640;7.36401159
641;8.73061057
642;12.5024727
643;12.5
644;12.522
645;12.561
646;8.76508965
647;4.2064908
648;4.02962886
649;4.0151323
650;4.0151323
651;4.0151323
652;4.07311853
653;4.89245922
654;11.0849611
655;12.5
656;12.58
657;12.529
658;12.5
659;11.3462794
660;10.1569913
661;9.45362305
662;8.53995965
663;8.11936934
664;8.47463005
665;10.0263321
666;12.4
667;12.266
668;12.186
669;12.188
670;10.0916617
671;4.76180004
672;4.17701636
673;3.98527313
674;3.98527313
675;3.98527313
676;4.22050603
677;4.94070125
678;11.3374224
679;11.623
680;11.607
681;11.608
682;11.908
683;11.8210401
684;10.8300429
685;10.9348068
686;10.6850774
687;10.5078307
688;10.6527963
689;11.4744674
690;12.272
691;12.157
692;12.088
693;11.994
694;9.37978849
695;4.87613904
696;5.05197215
697;5.03747559
698;5.03747559
699;5.03747559
700;5.09546182
701;6.09521603
702;11.82
703;11.818
704;11.812
705;11.952
706;12.182
707;12.4
708;12.429
709;11.9192745
710;10.7650597
711;10.2241938
712;10.6395923
713;12.4
714;12.386
715;12.282
716;12.296
717;12.179
718;12.108
719;5.84428116
720;5.42297481
721;5.40633062
722;5.38968642
723;5.37304223
724;5.40633062
725;6.35893123
726;11.582
727;11.618
728;11.672
729;11.774
730;11.92
731;11.992
732;12.103
733;12.046
734;11.7015207
735;11.1219343
736;11.5781695
737;12.499
738;12.455
739;12.411
740;12.4
741;12.4
742;12.358
743;5.86256577
744;5.99291039
745;5.97440353
746;5.9373898
747;5.91888293
748;5.9373898
749;6.95762875
750;11.756
751;11.684
752;11.64
753;11.592
754;11.615
755;11.671
756;11.718
757;11.832
758;11.944
759;11.988
760;11.962
761;11.844
762;11.683
763;11.616
764;11.414
765;11.344
766;11.284
767;6.64760675
768;6.49433385
769;6.47963722
770;6.47963722
771;6.47963722
772;6.53842373
773;7.79517207
774;10.76
775;10.757
776;10.802
777;11.03
778;11.366
779;11.628
780;11.796
781;11.91
782;11.926
783;11.828
784;11.699
785;11.632
786;11.472
787;11.362
788;11.272
789;11.19
790;11.1
791;7.37864318
792;6.91847121
793;6.90377458
794;6.90377458
795;6.90377458
796;6.96256109
797;8.29415721
798;11.134
799;11.072
800;11.188
801;11.154
802;11.346
803;11.466
804;11.61
805;11.682
806;11.67
807;11.673
808;11.662
809;11.572
810;11.342
811;11.112
812;10.979
813;10.907
814;10.919
815;7.8277298
816;7.16144703
817;7.1467504
818;7.1467504
819;7.1467504
820;7.20553691
821;8.58001111
822;10.874
823;10.724
824;10.596
825;10.91
826;11.358
827;11.54
828;11.624
829;11.658
830;11.68
831;11.651
832;11.54
833;11.35
834;11.206
835;11.148
836;10.946
837;10.94
838;10.736
839;8.08499831
840;6.7102916
841;6.69559498
842;6.69559498
843;6.69559498
844;6.75438149
845;8.04924002
846;10.48
847;10.474
848;10.913
849;10.967
850;11.166
851;11.416
852;11.622
853;11.74
854;11.848
855;11.848
856;11.776
857;11.637
858;11.418
859;11.222
860;10.988
861;10.85
862;10.772
863;7.60730434
864;6.42682474
865;6.1277923
866;6.1277923
867;6.1277923
868;6.47091463
869;7.51497823
870;10.528
871;10.518
872;10.568
873;10.949
874;11.264
875;11.522
876;11.676
877;11.916
878;12.082
879;12.123
880;12.07
881;11.79
882;11.522
883;11.242
884;10.952
885;10.733
886;10.572
887;7.24023917
888;7.27414131
889;7.2572674
890;7.2403935
891;7.22351959
892;7.2572674
893;8.5374498
894;10.6
895;10.542
896;10.468
897;10.57
898;10.928
899;11.142
900;11.34
901;11.51
902;11.554
903;11.528
904;11.438
905;11.298
906;11.162
907;11.056
908;10.901
909;10.799
910;10.766
911;7.82461075
912;7.10711126
913;7.0886044
914;7.05159067
