Index;Wert
0;100
1;98.1038218
2;97.5138671
3;95.1553212
4;94.4995718
5;94.0565372
6;93.725331
7;93.7129396
8;93.2839273
9;92.5931625
10;92.0083946
11;91.9325237
12;91.7621781
13;91.7156503
14;91.6769605
15;91.4973241
16;90.6851103
17;90.2008794
18;89.764924
19;89.3296333
20;89.1972054
21;88.5970095
22;88.4062255
23;87.7575482
24;87.6813963
25;87.0595001
26;87.02633
27;86.5455956
28;86.288685
29;86.1964743
30;85.6940618
31;85.6729606
32;85.6373999
33;85.0911354
34;85.0352713
35;84.5625939
36;84.5394772
37;84.3525366
38;84.2764539
39;84.065935
40;83.8285421
41;83.8129642
42;83.6278292
43;83.6261678
44;83.3823874
45;83.3168814
46;83.0896298
47;82.9586293
48;82.7827398
49;82.744604
50;82.6312818
51;82.5811831
52;82.5785837
53;82.5389047
54;82.4622379
55;82.3405178
56;82.1319624
57;82.0358404
58;81.5694995
59;80.9420879
60;80.9228844
61;80.9102144
62;80.8974104
63;80.4205909
64;80.4136366
65;80.052985
66;79.9105922
67;79.9084581
68;79.8750314
69;79.7586596
70;79.7433602
71;79.6863173
72;79.6665112
73;79.5585156
74;79.54817
75;79.5295952
76;79.328767
77;79.0677878
78;78.842842
79;78.8413288
80;78.720697
81;78.6943768
82;78.5924073
83;78.4642813
84;78.3455167
85;78.1524167
86;77.9917983
87;77.9234062
88;77.8901299
89;77.7150894
90;77.672939
91;77.5885528
92;77.5351304
93;77.5126819
94;77.4878503
95;77.2571186
96;77.1861606
97;77.0130407
98;76.7031145
99;76.3853623
100;76.3542817
101;76.0681514
102;75.9923175
103;75.9246806
104;75.9016369
105;75.8605284
106;75.8461691
107;75.8411269
108;75.7845897
109;75.7681386
110;75.706644
111;75.6414762
112;75.6401719
113;75.5752584
114;75.515771
115;75.4562018
116;75.3984087
117;75.3204338
118;75.1828915
119;75.1113019
120;75.0704525
121;74.5876474
122;74.5797942
123;74.5749102
124;74.5522785
125;74.5321542
126;74.5196433
127;74.5062377
128;74.2905789
129;74.2144023
130;74.0761458
131;74.0345673
132;73.9374846
133;73.839465
134;73.8306912
135;73.7955664
136;73.7641269
137;73.7248989
138;73.6662408
139;73.603203
140;73.4571484
141;73.4496378
142;73.1396041
143;73.0333804
144;72.8995035
145;72.862544
146;72.8596889
147;72.8544787
148;72.8526382
149;72.8472504
150;72.7778172
151;72.6778726
152;72.6463344
153;72.4505387
154;72.4473113
155;72.4254378
156;72.328203
157;72.2929975
158;72.2268177
159;72.1370032
160;72.1309301
161;72.0976951
162;72.0700405
163;72.0672961
164;72.0201571
165;71.9300568
166;71.8827671
167;71.8319886
168;71.7356658
169;71.7131408
170;71.6985348
171;71.6842411
172;71.6734829
173;71.6416094
174;71.5585105
175;71.4771507
176;71.3686556
177;71.3588096
178;71.3288324
179;71.3002571
180;71.1519859
181;71.1411261
182;71.1174405
183;71.0787091
184;71.0665778
185;70.8638344
186;70.8017584
187;70.6519683
188;70.6322341
189;70.6006945
190;70.5996716
191;70.5066681
192;70.4529471
193;70.432435
194;70.386694
195;70.3111977
196;70.2884334
197;70.2451907
198;70.2285623
199;70.2001414
200;70.1311308
201;70.0304893
202;69.8808162
203;69.8708898
204;69.8602377
205;69.8580519
206;69.8240612
207;69.8012895
208;69.7359936
209;69.7171235
210;69.6881609
211;69.6849538
212;69.5704644
213;69.5282773
214;69.5036253
215;69.4761114
216;69.3806765
217;69.3528361
218;69.2892908
219;69.2649079
220;69.243254
221;69.1583145
222;69.1555252
223;69.1083189
224;69.0024279
225;68.9959623
226;68.8908061
227;68.8569122
228;68.8482148
229;68.8461971
230;68.7880318
231;68.7063933
232;68.6861079
233;68.6404928
234;68.6183232
235;68.6135765
236;68.5010976
237;68.490545
238;68.4256524
239;68.3512387
240;68.2080463
241;68.1992572
242;68.1834324
243;68.1683233
244;68.13321
245;68.1170583
246;68.1164131
247;68.0815486
248;68.0275851
249;68.0195806
250;67.989109
251;67.9758851
252;67.9657321
