Index;Wert
0;1310.06277
1;1310.06277
2;1310.06277
3;1310.06277
4;1279.86669
5;1279.86669
6;1279.86669
7;1279.86669
8;1293.88288
9;1293.88288
10;1293.88288
11;1293.88288
12;1277.95243
13;1277.95243
14;1277.95243
15;1277.95243
16;1302.06873
17;1302.06873
18;1302.06873
19;1302.06873
20;1869.61134
21;1869.61134
22;1869.61134
23;1869.61134
24;2155.29384
25;2155.29384
26;2155.29384
27;2155.29384
28;2339.65703
29;2339.65703
30;2339.65703
31;2339.65703
32;2317.2405
33;2317.2405
34;2317.2405
35;2317.2405
36;2244.26685
37;2244.26685
38;2244.26685
39;2244.26685
40;2130.17402
41;2130.17402
42;2130.17402
43;2130.17402
44;2294.72445
45;2294.72445
46;2294.72445
47;2294.72445
48;2232.27792
49;2232.27792
50;2232.27792
51;2232.27792
52;2232.65308
53;2232.65308
54;2232.65308
55;2232.65308
56;2339.8533
57;2339.8533
58;2339.8533
59;2339.8533
60;2257.02732
61;2257.02732
62;2257.02732
63;2257.02732
64;2126.01433
65;2126.01433
66;2126.01433
67;2126.01433
68;1940.41007
69;1940.41007
70;1940.41007
71;1940.41007
72;2142.57188
73;2142.57188
74;2142.57188
75;2142.57188
76;1979.66523
77;1979.66523
78;1979.66523
79;1979.66523
80;1936.17945
81;1936.17945
82;1936.17945
83;1936.17945
84;1589.93998
85;1589.93998
86;1589.93998
87;1589.93998
88;1483.08838
89;1483.08838
90;1483.08838
91;1483.08838
92;1528.82377
93;1528.82377
94;1528.82377
95;1528.82377
96;1454.609
97;1454.609
98;1454.609
99;1454.609
100;1407.93341
101;1407.93341
102;1407.93341
103;1407.93341
104;1261.93843
105;1261.93843
106;1261.93843
107;1261.93843
108;1259.99859
109;1259.99859
110;1259.99859
111;1259.99859
112;1304.10847
113;1304.10847
114;1304.10847
115;1304.10847
116;1869.6571
117;1869.6571
118;1869.6571
119;1869.6571
120;2093.36496
121;2093.36496
122;2093.36496
123;2093.36496
124;2361.51685
125;2361.51685
126;2361.51685
127;2361.51685
128;2333.05968
129;2333.05968
130;2333.05968
131;2333.05968
132;2354.08257
133;2354.08257
134;2354.08257
135;2354.08257
136;2246.05486
137;2246.05486
138;2246.05486
139;2246.05486
140;2246.77503
141;2246.77503
142;2246.77503
143;2246.77503
144;2184.64539
145;2184.64539
146;2184.64539
147;2184.64539
148;2243.54278
149;2243.54278
150;2243.54278
151;2243.54278
152;2252.26259
153;2252.26259
154;2252.26259
155;2252.26259
156;2197.37178
157;2197.37178
158;2197.37178
159;2197.37178
160;2046.26612
161;2046.26612
162;2046.26612
163;2046.26612
164;1984.62114
165;1984.62114
166;1984.62114
167;1984.62114
168;2020.51472
169;2020.51472
170;2020.51472
171;2020.51472
172;1871.57209
173;1871.57209
174;1871.57209
175;1871.57209
176;1522.08402
177;1522.08402
178;1522.08402
179;1522.08402
180;1053.85076
181;1053.85076
182;1053.85076
183;1053.85076
184;990.987147
185;990.987147
186;990.987147
187;990.987147
188;1063.12151
189;1063.12151
190;1063.12151
191;1063.12151
192;1097.5037
193;1097.5037
194;1097.5037
195;1097.5037
196;1103.81488
197;1103.81488
198;1103.81488
199;1103.81488
200;1107.60598
201;1107.60598
202;1107.60598
203;1107.60598
204;1161.94976
205;1161.94976
206;1161.94976
207;1161.94976
208;1295.80287
209;1295.80287
210;1295.80287
211;1295.80287
212;1767.89549
213;1767.89549
214;1767.89549
215;1767.89549
216;1931.7317
217;1931.7317
218;1931.7317
219;1931.7317
220;2132.06377
221;2132.06377
222;2132.06377
223;2132.06377
224;2113.8231
225;2113.8231
226;2113.8231
227;2113.8231
228;2207.05304
229;2207.05304
230;2207.05304
231;2207.05304
232;2040.02491
233;2040.02491
234;2040.02491
235;2040.02491
236;2279.18381
237;2279.18381
238;2279.18381
239;2279.18381
240;2203.29487
241;2203.29487
242;2203.29487
243;2203.29487
244;2246.70166
245;2246.70166
246;2246.70166
247;2246.70166
248;2298.80295
249;2298.80295
250;2298.80295
251;2298.80295
252;2184.77663
253;2184.77663
254;2184.77663
255;2184.77663
256;2212.92137
257;2212.92137
258;2212.92137
259;2212.92137
260;2066.36146
261;2066.36146
262;2066.36146
263;2066.36146
264;2156.07729
265;2156.07729
266;2156.07729
267;2156.07729
268;2104.57459
269;2104.57459
270;2104.57459
271;2104.57459
272;1852.68431
273;1852.68431
274;1852.68431
275;1852.68431
276;1440.43129
277;1440.43129
278;1440.43129
279;1440.43129
280;1505.17875
281;1505.17875
282;1505.17875
283;1505.17875
284;1337.86621
285;1337.86621
286;1337.86621
287;1337.86621
288;1297.91306
289;1297.91306
290;1297.91306
291;1297.91306
292;1284.98683
293;1284.98683
294;1284.98683
295;1284.98683
296;1269.42015
297;1269.42015
298;1269.42015
299;1269.42015
300;1251.0403
301;1251.0403
302;1251.0403
303;1251.0403
304;1303.61503
305;1303.61503
306;1303.61503
307;1303.61503
308;1693.20114
309;1693.20114
310;1693.20114
311;1693.20114
312;2079.25009
313;2079.25009
314;2079.25009
315;2079.25009
316;2114.6112
317;2114.6112
318;2114.6112
319;2114.6112
320;2024.6563
321;2024.6563
322;2024.6563
323;2024.6563
324;2084.23867
325;2084.23867
326;2084.23867
327;2084.23867
328;1992.60394
329;1992.60394
330;1992.60394
331;1992.60394
332;2092.59614
333;2092.59614
334;2092.59614
335;2092.59614
336;2139.24435
337;2139.24435
338;2139.24435
339;2139.24435
340;2038.6848
341;2038.6848
342;2038.6848
343;2038.6848
344;1861.1141
345;1861.1141
346;1861.1141
347;1861.1141
348;1793.6169
349;1793.6169
350;1793.6169
351;1793.6169
352;1815.24546
353;1815.24546
354;1815.24546
355;1815.24546
356;1638.32134
357;1638.32134
358;1638.32134
359;1638.32134
360;1595.11841
361;1595.11841
362;1595.11841
363;1595.11841
364;1310.52688
365;1310.52688
366;1310.52688
367;1310.52688
368;1280.61291
369;1280.61291
370;1280.61291
371;1280.61291
372;1102.01674
373;1102.01674
374;1102.01674
375;1102.01674
376;971.83048
377;971.83048
378;971.83048
379;971.83048
380;4179.97913
381;4179.97913
382;4179.97913
383;4179.97913
384;958.681267
385;958.681267
386;958.681267
387;958.681267
388;962.029334
389;962.029334
390;962.029334
391;962.029334
392;936.063451
393;936.063451
394;936.063451
395;936.063451
396;968.145361
397;968.145361
398;968.145361
399;968.145361
400;740.259242
401;740.259242
402;740.259242
