Index;Wert
0;35.6232
1;35.3504
2;35.0864
3;34.8224
4;34.5584
5;34.2944
6;34.0304
7;33.7576
8;33.4936
9;33.09216
10;34.3032
11;36.7056
12;37.6384
13;37.7
14;37.7
15;37.7
16;37.7
17;37.2512
18;36.7672
19;36.3712
20;36.3096
21;36.3536
22;36.1864
23;36.116
24;36.072
25;36.028
26;35.9488
27;35.8344
28;35.6672
29;35.412
30;35.3416
31;35.3152
32;35.4912
33;35.4472
34;35.6936
35;36.028
36;36.5384
37;37.04
38;37.2864
39;37.4448
40;37.5152
41;37.524
42;37.5944
43;37.7
44;37.6648
45;37.6208
46;37.612
47;37.6384
48;37.5592
49;37.48
50;37.4448
51;37.3744
52;37.2424
53;36.996
54;37.1456
55;36.9784
56;36.864
57;36.776
58;37.084
59;37.7
60;37.7
61;37.7
62;37.7
63;37.7
64;37.7
65;37.7
66;37.2336
67;36.864
68;36.336
69;35.984
70;35.8696
71;35.7816
72;35.5704
73;35.0952
74;34.9192
75;34.8664
76;34.9104
77;35.2184
78;35.72
79;35.896
80;36.1424
81;36.2832
82;36.8552
83;37.4096
84;37.7
85;37.7
86;37.7
87;37.7
88;37.26
89;36.8376
90;36.512
91;36.1248
92;36.0808
93;35.9136
94;35.764
95;35.4472
96;34.9544
97;34.576
98;34.1096
99;33.7312
100;33.5464
101;33.5024
102;33.9864
103;34.5848
104;35.2448
105;35.1392
106;36.0544
107;37.1632
108;37.7
109;37.6472
110;37.6208
111;37.6736
112;37.5064
113;36.6704
114;35.8344
115;35.5704
116;36.0984
117;35.8872
118;35.6848
119;35.5616
120;35.4384
121;35.2184
122;34.9632
123;34.708
124;34.4704
125;34.2856
126;34.356
127;34.5584
128;34.2592
129;34.3472
130;35.3416
131;36.996
132;37.5856
133;37.2512
134;36.996
135;36.4768
136;35.9312
137;35.3416
138;35.0424
139;34.7696
140;34.444
141;33.5816
142;33.4496
143;33.4144
144;33.9424
145;33.7664
146;33.96
147;33.74
148;33.5816
149;33.9248
150;34.0392
151;33.8192
152;33.6432
153;33.6168
154;35.016
155;36.8728
156;37.7
157;37.7
158;37.7
159;36.996
160;35.8608
161;35.5264
162;36.6176
163;37.7
164;37.7
165;37.7
166;37.7
167;37.5416
168;37.2072
169;36.8376
170;36.952
171;37.1104
172;36.996
173;36.6792
174;36.6176
175;36.292
176;36.0632
177;35.544
178;36.1248
179;37.5504
180;37.7
181;37.7
182;37.7
183;37.7
184;37.7
185;37.568
186;37.1632
187;37.0048
188;37.26
189;37.0312
190;36.732
191;36.468
192;35.8168
193;35.94
194;36.0456
195;36.1512
196;36.0368
197;35.7552
198;35.368
199;35.1656
200;35.4736
201;35.2888
202;36.2392
203;37.7
204;37.7
205;37.7
206;37.7
207;37.7
208;37.7
209;37.7
210;37.7
211;37.4448
212;36.5736
213;36.0104
214;35.5264
215;35.1392
216;34.9544
217;35.1128
218;35.1128
219;35.5616
220;36.248
221;37.0576
222;37.7
223;37.7
224;37.4096
225;37.7
226;37.7
227;37.7
228;37.7
229;37.7
230;37.7
231;37.7
232;37.7
233;37.7
234;37.3568
235;36.8112
236;37.0312
237;36.908
238;37.0928
239;37.2776
240;37.3128
241;37.172
242;37.26
243;37.1808
244;36.8816
245;36.512
246;36.3184
247;36.1864
248;35.676
249;35.104
250;35.148
251;35.3152
252;35.8784
253;36.9784
254;37.7
255;37.7
256;37.7
257;37.7
258;37.7
259;37.5856
260;37.6384
261;37.2952
262;37.1984
263;37.0312
264;36.82
265;36.8024
266;36.1512
267;36.072
268;36.1248
269;35.9928
270;35.764
271;35.8608
272;36.0456
273;36.028
274;36.1424
275;36.3712
276;36.6
277;36.5472
278;37.1104
279;37.3392
280;36.908
281;36.4856
282;36.38
283;36.0544
284;36.116
285;35.8608
286;35.72
287;35.5176
288;35.1216
289;35.1744
290;35.1832
291;35.2008
292;35.1568
293;35.0952
294;35.016
295;34.6024
296;34.752
297;34.5848
298;34.8752
299;35.0776
300;35.3856
301;36.2128
302;36.0104
303;35.9488
304;35.5616
305;35.2976
306;34.9632
307;34.6024
308;34.5848
309;34.136
310;33.7576
311;33.3176
312;32.80638
313;32.44266
314;32.24348
315;32.00966
316;31.6546
317;31.135
318;30.77994
319;30.32962
320;31.6546
321;31.42078
322;32.53792
323;34.4264
324;35.8872
325;36.7232
326;37.1544
327;37.04
328;36.3888
329;35.544
330;34.7696
331;34.5584
332;34.2944
333;34.1272
334;33.8544
335;33.7136
336;33.696
337;33.7576
338;34.092
339;34.0744
340;33.8984
341;33.3616
342;33.0402
343;32.867
344;32.9103
345;32.79772
346;32.8237
347;33.06618
348;33.19608
349;33.0402
350;32.93628
351;32.8237
352;32.8237
353;32.74576
354;32.65916
355;32.58122
356;32.58988
357;32.45132
358;32.33008
359;32.18286
360;32.06162
361;32.001
362;31.9144
363;32.03564
364;31.99234
365;31.92306
366;31.8711
367;31.62862
368;31.68924
369;31.88842
370;32.22616
371;32.55524
372;32.97092
373;33.3704
374;33.3176
375;33.23072
376;32.77174
377;32.434
378;32.27812
379;32.11358
380;32.36472
381;32.25214
382;31.99234
383;31.55068
384;31.3082
385;31.135
386;30.67602
387;30.33828
388;30.24302
389;30.08714
390;29.99188
391;30.03518
392;30.3556
393;30.76262
394;31.08304
395;31.36882
396;31.53336
397;31.75852
398;31.85378
399;31.59398
400;31.16098
401;30.32962
402;29.74074
403;28.69288
404;28.26854
405;29.87064
406;29.75806
407;29.5762
408;29.1865
409;28.70154
410;27.48914
411;25.79178
412;25.2462
413;25.60126
414;25.13362
415;24.91712
416;24.77856
417;24.71794
418;25.62724
419;27.74028
420;28.6236
421;29.35104
422;29.80136
423;29.89662
424;29.22114
425;27.46316
426;26.5452
427;26.04292
428;24.25896
429;24.12906
430;23.60946
431;22.97728
432;22.39706
433;22.18056
434;22.19788
435;22.10262
436;22.1286
437;22.05066
438;22.57026
439;22.87336
440;23.89524
441;24.99506
442;26.48458
443;28.1473
444;30.03518
445;30.97046
446;31.63728
447;32.03564
448;32.33008
449;32.15688
450;31.81048
451;31.29088
452;29.80136
453;29.42898
454;29.13454
455;28.9267
456;28.70154
457;28.4504
458;28.25122
459;28.04338
460;27.74894
461;27.20336
462;27.34192
463;26.32004
464;24.60536
465;24.207
466;24.99506
467;26.51922
468;29.2298
469;30.82324
470;31.62862
471;31.53336
472;30.77994
473;29.403
474;28.4937
475;27.4545
476;27.44584
477;27.72296
478;27.70564
479;27.46316
480;27.09078
481;27.34192
482;28.0174
483;28.15596
484;28.51102
485;28.4504
486;28.76216
487;28.85742
488;28.84876
489;29.22114
490;30.28632
491;31.54202
492;32.11358
493;32.44266
494;32.72844
495;32.5639
496;32.33008
497;31.66326
498;31.135
499;30.93582
500;30.92716
501;30.0958
502;28.60628
503;27.37656
504;26.805
505;26.81366
506;26.55386
507;26.0689
508;25.02104
509;24.43216
510;23.44492
511;22.4317
512;24.70928
513;24.9431
514;26.08622
515;28.93536
516;31.55934
517;32.89298
518;33.7664
519;34.092
520;33.5552
521;32.15688
522;31.07438
523;30.58076
524;29.5762
525;29.59352
526;30.25168
527;31.27356
528;32.50328
529;33.652
530;34.6024
531;35.2712
532;36.0544
533;36.4944
534;36.424
535;36.2304
536;35.7112
537;35.7112
538;35.808
539;35.9928
540;36.1072
541;36.3976
542;36.3536
543;36.248
544;36.5824
545;36.1248
546;35.6848
547;35.3592
548;35.4208
549;34.6992
550;34.048
551;33.7048
552;33.0835
553;32.29544
554;31.64594
555;31.16098
556;30.36426
557;29.80136
558;29.68878
559;29.6195
560;31.25624
561;31.79316
562;32.46864
563;34.3912
564;36.776
565;37.7
566;37.7
567;37.7
568;37.6208
569;37.392
570;37.2776
571;37.3744
572;37.4448
573;37.5592
574;37.5592
575;37.4888
576;37.4536
577;37.0488
578;36.6968
579;36.116
580;35.3944
581;34.8312
582;33.9072
583;33.4936
584;34.4704
585;34.7432
586;36.8992
587;37.7
588;37.7
589;37.7
590;37.7
591;37.7
592;37.7
593;37.7
594;37.7
595;37.2336
596;36.6704
597;36.336
598;36.1248
599;35.6672
600;35.5704
601;35.4032
602;35.236
603;35.3152
604;35.8784
605;36.116
606;36.4768
607;36.7936
608;37.3568
609;37.6648
610;37.7
611;37.7
612;37.7
613;37.7
614;37.7
615;37.7
616;37.7
617;37.7
618;37.7
619;37.7
620;37.7
621;37.7
622;37.7
623;37.7
624;37.7
625;37.7
626;37.7
627;37.7
628;37.7
629;37.7
630;37.7
631;37.7
632;37.7
633;37.7
634;37.7
635;37.7
636;37.7
637;37.7
638;37.7
639;37.7
640;37.7
641;37.7
642;37.7
643;37.7
644;37.7
645;37.7
646;37.7
647;37.7
648;37.7
649;37.7
650;37.7
651;37.7
652;37.7
653;37.7
654;37.7
655;37.7
656;37.7
657;37.7
658;37.7
659;37.7
660;37.7
661;37.7
662;37.7
663;37.7
664;37.7
665;37.7
666;37.7
667;37.7
668;37.7
669;37.7
670;37.7
671;37.7
672;37.7
673;37.7
674;37.7
675;37.7
676;37.4712
677;36.6264
678;35.9048
679;35.2624
680;35.1216
681;35.1304
682;36.8552
683;37.7
684;37.7
685;37.7
686;37.7
687;37.7
688;37.7
689;37.7
690;37.7
691;37.7
692;37.6472
693;37.2336
694;36.8376
695;36.4856
696;36.3272
697;36.16
698;36.0896
699;36.3096
700;36.5032
701;36.4504
702;36.468
703;36.4592
704;36.4328
705;37.0488
706;37.7
707;37.7
708;37.7
709;37.7
710;37.7
711;37.7
712;37.7
713;37.7
714;37.7
715;37.7
716;37.7
717;37.7
718;37.7
719;37.2248
720;36.9256
721;36.512
722;36.248
723;36.1248
724;35.7552
725;35.2888
726;34.9808
727;35.2184
728;35.6936
729;36.2656
730;36.908
731;37.2248
732;37.7
733;37.4624
734;37.348
735;37.3304
736;37.5416
737;37.7
738;37.7
739;37.7
740;37.7
741;37.7
742;37.7
743;37.7
744;37.7
745;37.7
746;37.7
747;37.3392
748;36.952
749;36.5736
750;36.1864
751;35.7992
752;35.412
753;35.0248
754;35.192
755;35.6848
756;36.0192
757;36.5208
758;37.0136
759;37.2072
760;37.0928
761;36.5736
762;35.7904
763;35.2008
764;34.2416
765;33.9336
766;33.6696
767;33.3792
768;33.14412
769;32.90164
770;32.6938
771;32.40802
772;32.13956
