Groesse;Wert
Lauf.ID_Projekt;1008
Sim.Restwaerme;0.31317553
Sim.Reststrom;10325.8027
Sim.bSimulationWP;True
Sim.bSimulationKessel;True
Sim.bSimulationSolarthermie;False
Sim.bSimulationBHKW;False
Sim.bSimulationPV;False
Sim.bSimulationSSP;False
Sim.PufferWP_vorhanden;True
Puffer.Q_max;6.96
Puffer.Ladung_gesamt;28940.7109
Puffer.Entladung_gesamt;28354.3726
Puffer.Verluste_gesamt;579.80946
Puffer.SOC_Mittel;5.19861776
Puffer.SOC_Max;6.528875
Puffer.Vollzyklen;4158.14812
Sim.Speicher_Anzahl;1
Em.Kessel.Co2T;5.10716363
Em.Kessel.So2Kg;0.00638395453
Em.Kessel.NoxKg;2.34078333
Em.Kessel.CoKg;0
Em.Kessel.StaubKg;0.0106399242
Ergebnis.ID_Projekt;1008
Ergebnis.Bezeichner;Simulation Heinestr 15
Ergebnis.ID_Klimaregion;1008001
Ergebnis.Sim_Energiebedarf;True
Ergebnis.Sim_Waermepumpe;True
Ergebnis.Sim_Heizkessel;True
Ergebnis.Sim_Solarthermie;False
Ergebnis.Sim_BHKW;False
Ergebnis.Sim_PV;False
Ergebnis.Sim_Stromspeicher;False
Energiebedarf.Waermebedarf_Gesamt;77.32
Energiebedarf.Waermelast_Max;51.37
Energiebedarf.Strombedarf_Gesamt;10310.17
Energiebedarf.Strombedarf_Max;4178.2
Energiebedarf.Waermerestbedarf;0.31
Energiebedarf.Stromrestbedarf;10325.8
Energiebedarf.Waermebedarf_Heizung;77.32
Energiebedarf.Waermebedarf_Brauchwasser;0
Energiebedarf.Waermebedarf_Prozess;0
Waermepumpe.Waermebedarf;77.32
Waermepumpe.Restwaermebedarf;11.99
Waermepumpe.Waermeproduktion_WP;65.92
Waermepumpe.Stromverbrauch_WP;15.63
Waermepumpe.Stromverbrauch_Heizstab;0
Waermepumpe.Kapazitaet_Pufferspeicher;6.96
Waermepumpe.Min_Spitzenkesselleistung;32.45
Waermepumpe.Waermebedarfsdeckung;84.49
Waermepumpe.Vollbenutzungsstunden;2292.97
Waermepumpe.Bivalenzpunkt;10.1
Waermepumpe.Deckung_Heizung;84.49
Waermepumpe.Deckung_Brauchwasser;0
Waermepumpe.Deckung_Prozess;0
WaermepumpeModul[0].Modul;CS7800iLW 16
WaermepumpeModul[0].Leistung;15
WaermepumpeModul[0].Waermeproduktion;59.28
WaermepumpeModul[0].Stromverbrauch;13.24
WaermepumpeModul[0].Heizstab;0
WaermepumpeModul[0].Betriebsstunden;3496.31
WaermepumpeModul[1].Modul;CS5800i AW 12 M + AW 5 OR-S
WaermepumpeModul[1].Leistung;3
WaermepumpeModul[1].Waermeproduktion;6.64
WaermepumpeModul[1].Stromverbrauch;2.39
WaermepumpeModul[1].Heizstab;0
WaermepumpeModul[1].Betriebsstunden;1089.63
Heizkessel.Waermebedarf;11.99
Heizkessel.Restwaermebedarf;0.31
Heizkessel.Waermeproduktion;11.68
Heizkessel.Strombedarf;10325.8
Heizkessel.Reststrombedarf;10325.8
Heizkessel.Waermebedarfsdeckung;15.1
Heizkessel.Stromverbrauch;0
Heizkessel.Maximale_Kesselleistung;22.1
Heizkessel.Gasspitze;25.23
Heizkessel.Gasverbrauch;21.28
Heizkessel.Oelverbrauch;0
Heizkessel.Koks;0
Heizkessel.Rapsoelverbrauch;0
Heizkessel.Holzverbrauch;0
Heizkessel.Kohle;0
Heizkessel.Sonstigverbrauch;0
Heizkessel.Pellets;0
Heizkessel.TierischeFette;0
Heizkessel.Quellwaerme;0
Heizkessel.Deckung_Heizung;15.1
Heizkessel.Deckung_Brauchwasser;0
Heizkessel.Deckung_Prozess;0
HeizkesselModul[0].Modul;ecoTEC plus VCI 20/26CS/1-5
HeizkesselModul[0].Waerme_Gas;11.68
HeizkesselModul[0].Waerme_Oel;0
HeizkesselModul[0].Brennstoff;Gas
HeizkesselModul[0].Verbrauch;21.28
HeizkesselModul[0].Jahresnutzungsgrad;54.88
HeizkesselModul[0].carrier_id;
HeizkesselModul[0].Waermeproduktion;11.68
HeizkesselModul[0].Hilfsenergie;0
Pufferspeicher[0].ID_Pufferspeicher;1008007
Pufferspeicher[0].Bezeichner;Vitocell 140-E 600 Liter
Pufferspeicher[0].Verwendung;Heizung
Pufferspeicher[0].Q_max;6.96
Pufferspeicher[0].Ladung_gesamt;28940.71
Pufferspeicher[0].Entladung_gesamt;28354.37
Pufferspeicher[0].Verluste_gesamt;579.81
Pufferspeicher[0].SOC_Ende;6.53
Pufferspeicher[0].SOC_Mittel;5.2
Pufferspeicher[0].SOC_Max;6.53
Pufferspeicher[0].Vollzyklen;4158.15
Pufferspeicher[0].Entladung_Heizung;28354.37
Pufferspeicher[0].Entladung_Brauchwasser;0
Pufferspeicher[0].Entladung_Prozess;0
Pufferspeicher[0].Durchsatz_Geladen;36979.03
Pufferspeicher[0].Durchsatz_Entladen;36979.03
Pufferspeicher[0].ID_Anlage;
Pufferspeicher[0].T_oben_Mittel;7.47
Pufferspeicher[0].T_oben_Min;0
Vektor.waermebedarf.Summe;77324.0815
Vektor.waermebedarf_gebaeude.Summe;77324081.5
Vektor.waermebedarf_brauchwasser.Summe;0
Vektor.waermebedarf_prozess.Summe;0
Vektor.waermebedarf_extern.Summe;0
Vektor.waermebedarf_dauerlinie.Summe;150522.274
Vektor.stundentemperatur.Summe;86493.64
Vektor.restwaerme.Summe;313.17553
Vektor.strombedarf_viertelstunde.Summe;41240688
Vektor.reststrom_viertelstunde.Summe;41303210.7
Vektor.wp_waermebedarf.Summe;77324.0815
Vektor.wp_produktion.Summe;65919.7452
Vektor.wp_strom.Summe;15630.6697
Vektor.heizstab.Summe;0
Vektor.wp_restwaerme.Summe;11990.6746
Vektor.wp_quellentemperatur.Summe;86493.64
Vektor.wp_warmwasserbedarf.Summe;0
Vektor.puffer_soc.Summe;45539.8916
Vektor.puffer_ladung.Summe;28940.7109
Vektor.puffer_entladung.Summe;28354.3726
Vektor.kessel_waermebedarf.Summe;11990.6746
Vektor.kessel_leistung.Summe;11677.4991
Vektor.kessel_restwaerme.Summe;313.17553
Vektor.kessel_strom.Summe;0
