Index;Wert
0;0.348
1;6.876875
2;0.348
3;6.876875
4;0.348
5;6.876875
6;13.488875
7;6.96
8;6.96
9;6.96
10;6.96
11;6.96
12;6.96
13;6.96
14;6.96
15;6.96
16;6.96
17;6.96
18;6.96
19;6.96
20;6.96
21;6.96
22;6.96
23;0.348
24;6.876875
25;6.876875
26;6.876875
27;0.348
28;6.876875
29;0.348
30;6.04761799
31;6.96
32;6.96
33;6.96
34;6.96
35;6.96
36;6.96
37;6.96
38;6.96
39;6.23579771
40;5.96751591
41;6.96
42;6.96
43;6.96
44;6.96
45;6.96
46;6.96
47;0.348
48;6.82304777
49;6.82304777
50;6.82304777
51;6.82304777
52;6.82304777
53;6.876875
54;7.98704455
55;6.96
56;6.96
57;6.96
58;6.96
59;6.96
60;6.40389305
61;4.56787014
62;1.1189864
63;0.348
64;6.876875
65;0.348
66;6.96
67;6.96
68;6.96
69;6.96
70;6.96
71;0.348
72;6.876875
73;6.876875
74;6.876875
75;6.876875
76;6.876875
77;6.876875
78;10.51672
79;6.96
80;6.96
81;6.96
82;6.96
83;6.96
84;6.96
85;6.96
86;5.55369476
87;3.28744153
88;1.71739319
89;3.02232672
90;6.96
91;6.96
92;6.96
93;6.96
94;6.96
95;0.348
96;6.876875
97;0.348
98;6.876875
99;0.348
100;6.876875
101;0.348
102;13.0804161
103;6.96
104;6.96
105;6.96
106;6.96
107;6.96
108;6.96
109;6.96
110;6.96
111;5.99497924
112;5.60298483
113;6.96
114;6.96
115;6.96
116;6.96
117;6.96
118;6.96
119;0.348
120;6.876875
121;0.348
122;6.876875
123;0.348
124;6.876875
125;0.348
126;6.76364317
127;6.96
128;6.96
129;6.96
130;6.96
131;6.96
132;6.96
133;6.96
134;6.96
135;6.88865165
136;6.96
137;6.96
138;6.96
139;6.96
140;6.96
141;6.96
142;6.96
143;0.348
144;6.876875
145;6.876875
146;6.876875
147;6.876875
148;6.876875
149;6.876875
150;12.1908464
151;6.96
152;6.96
153;6.96
154;6.96
155;6.96
156;6.96
157;6.96
158;6.00372603
159;4.7295052
160;4.49302816
161;6.96
162;6.96
163;6.96
164;6.96
165;6.96
166;6.96
167;0.348
168;6.02791643
169;5.74089015
170;5.74089015
171;5.74089015
172;6.02791643
173;6.876875
174;6.876875
175;13.1970931
176;6.96
177;6.96
178;6.96
179;6.96
180;4.92707617
181;2.89281621
182;0.483744355
183;0.348
184;6.876875
185;6.876875
186;3.65334162
187;6.96
188;6.96
189;6.96
190;3.22019966
191;0.348
192;0.348
193;6.876875
194;6.876875
195;6.876875
196;6.876875
197;6.876875
198;11.8137227
199;6.96
200;6.96
201;6.96
202;6.96
203;6.96
204;6.96
205;6.96
206;5.37101785
207;2.85813548
208;0.981762989
209;2.40532987
210;6.96
211;6.96
212;6.96
213;6.96
214;6.96
215;0.348
216;6.876875
217;6.876875
218;6.876875
219;6.876875
220;6.876875
221;6.876875
222;8.98154181
223;6.96
224;6.96
225;6.96
226;6.96
227;6.96
228;6.96
229;5.881969
230;3.1104246
231;0.348
232;6.876875
233;7.17419557
234;6.96
235;6.96
236;6.96
237;6.96
238;6.96
239;0.348
240;6.876875
241;6.876875
242;6.876875
243;6.876875
244;6.876875
245;6.876875
246;3.94269928
247;6.96
248;6.96
249;6.96
250;6.96
251;6.96
252;6.96
253;6.96
254;5.47681496
255;2.69644088
256;0.47595892
257;1.28913871
258;6.96
259;6.96
260;6.96
261;6.96
262;6.96
263;0.348
264;6.876875
265;6.876875
266;6.876875
267;6.876875
268;6.876875
269;6.876875
270;4.79177523
271;6.96
272;6.96
273;6.96
274;6.96
275;6.96
276;6.96
277;6.96
278;6.5230691
279;5.06038208
280;4.2886683
281;6.48960381
282;6.96
283;6.96
284;6.96
285;6.96
286;6.96
287;0.348
288;6.876875
289;6.876875
290;6.876875
291;6.876875
292;6.876875
293;6.876875
294;13.488875
295;6.96
296;6.96
297;6.96
298;6.96
299;6.96
300;6.96
301;6.96
302;6.96
303;6.96
304;6.96
305;6.96
306;6.96
307;6.96
308;6.96
309;6.96
310;6.96
311;0.395128993
312;0.348
313;6.876875
314;6.876875
315;6.876875
316;6.876875
317;6.876875
318;13.488875
319;6.96
320;6.96
321;6.96
322;6.96
323;6.96
324;6.96
325;6.96
326;6.96
327;6.96
328;6.96
329;6.96
330;6.96
331;6.96
332;6.96
333;6.96
334;6.96
335;0.348
336;6.876875
337;0.348
338;6.876875
339;6.876875
340;6.876875
341;0.348
342;13.488875
343;6.96
344;6.96
345;6.96
346;6.96
347;6.96
348;6.96
349;6.96
350;6.96
351;6.96
352;6.96
353;6.96
354;6.96
355;6.96
356;6.96
357;6.96
358;6.96
359;2.7280796
360;0.348
361;6.876875
362;6.876875
363;6.876875
364;0.348
365;6.876875
366;6.96
367;6.96
368;6.96
369;6.96
370;6.96
371;6.96
372;6.96
373;6.96
374;6.96
375;6.96
