Index;Wert
0;1311.0104
1;1311.0104
2;1311.0104
3;1311.0104
4;1280.82749
5;1280.82749
6;1280.82749
7;1280.82749
8;1294.85676
9;1294.85676
10;1294.85676
11;1294.85676
12;1278.93976
13;1278.93976
14;1278.93976
15;1278.93976
16;1303.06987
17;1303.06987
18;1303.06987
19;1303.06987
20;1870.80588
21;1870.80588
22;1870.80588
23;1870.80588
24;2155.97108
25;2155.97108
26;2155.97108
27;2155.97108
28;2341.84918
29;2341.84918
30;2341.84918
31;2341.84918
32;2319.44532
33;2319.44532
34;2319.44532
35;2319.44532
36;2246.47256
37;2246.47256
38;2246.47256
39;2246.47256
40;2132.35126
41;2132.35126
42;2132.35126
43;2132.35126
44;2296.4992
45;2296.4992
46;2296.4992
47;2296.4992
48;2232.98109
49;2232.98109
50;2232.98109
51;2232.98109
52;2233.94318
53;2233.94318
54;2233.94318
55;2233.94318
56;2341.38141
57;2341.38141
58;2341.38141
59;2341.38141
60;2258.66532
61;2258.66532
62;2258.66532
63;2258.66532
64;2127.57817
65;2127.57817
66;2127.57817
67;2127.57817
68;1941.77263
69;1941.77263
70;1941.77263
71;1941.77263
72;2144.77429
73;2144.77429
74;2144.77429
75;2144.77429
76;1981.88599
77;1981.88599
78;1981.88599
79;1981.88599
80;1938.4031
81;1938.4031
82;1938.4031
83;1938.4031
84;1592.16157
85;1592.16157
86;1592.16157
87;1592.16157
88;1483.8236
89;1483.8236
90;1483.8236
91;1483.8236
92;1531.0694
93;1531.0694
94;1531.0694
95;1531.0694
96;1455.26759
97;1455.26759
98;1455.26759
99;1455.26759
100;1408.59342
101;1408.59342
102;1408.59342
103;1408.59342
104;1262.60103
105;1262.60103
106;1262.60103
107;1262.60103
108;1260.66495
109;1260.66495
110;1260.66495
111;1260.66495
112;1304.7804
113;1304.7804
114;1304.7804
115;1304.7804
116;1870.45784
117;1870.45784
118;1870.45784
119;1870.45784
120;2093.85499
121;2093.85499
122;2093.85499
123;2093.85499
124;2363.73375
125;2363.73375
126;2363.73375
127;2363.73375
128;2335.28347
129;2335.28347
130;2335.28347
131;2335.28347
132;2356.30464
133;2356.30464
134;2356.30464
135;2356.30464
136;2248.28659
137;2248.28659
138;2248.28659
139;2248.28659
140;2248.11304
141;2248.11304
142;2248.11304
143;2248.11304
144;2184.81307
145;2184.81307
146;2184.81307
147;2184.81307
148;2244.07952
149;2244.07952
150;2244.07952
151;2244.07952
152;2253.52844
153;2253.52844
154;2253.52844
155;2253.52844
156;2198.78009
157;2198.78009
158;2198.78009
159;2198.78009
160;2047.6102
161;2047.6102
162;2047.6102
163;2047.6102
164;1985.56269
165;1985.56269
166;1985.56269
167;1985.56269
168;2022.74405
169;2022.74405
170;2022.74405
171;2022.74405
172;1873.80543
173;1873.80543
174;1873.80543
175;1873.80543
176;1524.31602
177;1524.31602
178;1524.31602
179;1524.31602
180;1056.0811
181;1056.0811
182;1056.0811
183;1056.0811
184;990.987147
185;990.987147
186;990.987147
187;990.987147
188;1064.65465
189;1064.65465
190;1064.65465
191;1064.65465
192;1098.08935
193;1098.08935
194;1098.08935
195;1098.08935
196;1104.40265
197;1104.40265
198;1104.40265
199;1104.40265
200;1108.1947
201;1108.1947
202;1108.1947
203;1108.1947
204;1162.5404
205;1162.5404
206;1162.5404
207;1162.5404
208;1296.39713
209;1296.39713
210;1296.39713
211;1296.39713
212;1768.6027
213;1768.6027
214;1768.6027
215;1768.6027
216;1933.10463
217;1933.10463
218;1933.10463
219;1933.10463
220;2132.68864
221;2132.68864
222;2132.68864
223;2132.68864
224;2115.78179
225;2115.78179
226;2115.78179
227;2115.78179
228;2209.03544
229;2209.03544
230;2209.03544
231;2209.03544
232;2041.36263
233;2041.36263
234;2041.36263
235;2041.36263
236;2280.39141
237;2280.39141
238;2280.39141
239;2280.39141
240;2204.8174
241;2204.8174
242;2204.8174
243;2204.8174
244;2248.37203
245;2248.37203
246;2248.37203
247;2248.37203
248;2300.66586
249;2300.66586
250;2300.66586
251;2300.66586
252;2186.04928
253;2186.04928
254;2186.04928
255;2186.04928
256;2214.09649
257;2214.09649
258;2214.09649
259;2214.09649
260;2067.79362
261;2067.79362
262;2067.79362
263;2067.79362
264;2156.66997
265;2156.66997
266;2156.66997
267;2156.66997
268;2106.85567
269;2106.85567
270;2106.85567
271;2106.85567
272;1854.88242
273;1854.88242
274;1854.88242
275;1854.88242
276;1442.6579
277;1442.6579
278;1442.6579
279;1442.6579
280;1506.65924
281;1506.65924
282;1506.65924
283;1506.65924
284;1340.06301
285;1340.06301
286;1340.06301
287;1340.06301
288;1298.52362
289;1298.52362
290;1298.52362
291;1298.52362
292;1285.61234
293;1285.61234
294;1285.61234
295;1285.61234
296;1270.05139
297;1270.05139
298;1270.05139
299;1270.05139
300;1251.67328
301;1251.67328
302;1251.67328
303;1251.67328
304;1304.24656
305;1304.24656
306;1304.24656
307;1304.24656
308;1693.93239
309;1693.93239
310;1693.93239
311;1693.93239
312;2080.03881
313;2080.03881
314;2080.03881
315;2080.03881
316;2114.79384
317;2114.79384
318;2114.79384
319;2114.79384
320;2026.88791
321;2026.88791
322;2026.88791
323;2026.88791
324;2086.46357
325;2086.46357
326;2086.46357
327;2086.46357
328;1993.9792
329;1993.9792
330;1993.9792
331;1993.9792
332;2092.80341
333;2092.80341
334;2092.80341
335;2092.80341
336;2140.30456
337;2140.30456
338;2140.30456
339;2140.30456
340;2039.92759
341;2039.92759
342;2039.92759
343;2039.92759
344;1862.59374
345;1862.59374
346;1862.59374
347;1862.59374
348;1795.21898
349;1795.21898
350;1795.21898
351;1795.21898
352;1816.76992
353;1816.76992
354;1816.76992
355;1816.76992
356;1639.44655
357;1639.44655
358;1639.44655
359;1639.44655
360;1595.11841
361;1595.11841
362;1595.11841
363;1595.11841
364;1312.75933
365;1312.75933
366;1312.75933
367;1312.75933
368;1282.84748
369;1282.84748
370;1282.84748
371;1282.84748
372;1104.25708
373;1104.25708
374;1104.25708
