Index;Wert
0;8.89570163
1;8.89570163
2;8.89570163
3;8.89570163
4;8.89570163
5;10.4655313
6;24.070722
7;31.396594
8;33.4897002
9;33.4897002
10;29.8267643
11;26.1638283
12;23.0241689
13;21.4543392
14;19.361233
15;18.3146798
16;18.8379564
17;21.9776158
18;31.9198705
19;35.5828065
20;34.0129768
21;33.4897002
22;22.5008924
23;9.41897819
24;8.18883089
25;8.18883089
26;8.18883089
27;8.18883089
28;8.18883089
29;9.63391869
30;22.158013
31;28.9017561
32;30.8285398
33;30.8285398
34;27.4566683
35;24.0847967
36;21.1946211
37;19.7495333
38;17.8227496
39;16.8593577
40;17.3410536
41;20.2312293
42;29.383452
43;32.7553236
44;31.3102358
45;30.8285398
46;20.7129252
47;8.67052682
48;6.82304777
49;6.82304777
50;6.82304777
51;6.82304777
52;6.82304777
53;8.02711502
54;18.4623646
55;24.0813451
56;25.6867681
57;25.6867681
58;22.8772778
59;20.0677876
60;17.6596531
61;16.4555858
62;14.8501628
63;14.0474513
64;14.448807
65;16.8569416
66;24.4827008
67;27.2921911
68;26.0881238
69;25.6867681
70;17.2582973
71;7.22440352
72;7.49689651
73;7.49689651
74;7.49689651
75;7.49689651
76;7.49689651
77;8.81987825
78;20.28572
79;26.4596347
80;28.2236104
81;28.2236104
82;25.136653
83;22.0496956
84;19.4037321
85;18.0807504
86;16.3167748
87;15.4347869
88;15.8757808
89;18.5217443
90;26.9006287
91;29.987586
92;28.6646043
93;28.2236104
94;18.9627382
95;7.93789042
96;8.12692249
97;8.12692249
98;8.12692249
99;8.12692249
100;8.12692249
101;9.56108528
102;21.9904961
103;28.6832558
104;30.5954729
105;30.5954729
106;27.249093
107;23.9027132
108;21.0343876
109;19.6002248
110;17.6880078
111;16.7318992
112;17.2099535
113;20.0782791
114;29.1613101
115;32.5076899
116;31.0735272
117;30.5954729
118;20.5563333
119;8.60497675
120;8.2729828
121;8.2729828
122;8.2729828
123;8.2729828
124;8.2729828
125;9.73292094
126;22.3857182
127;29.1987628
128;31.145347
129;31.145347
130;27.7388247
131;24.3323024
132;21.4124261
133;19.9524879
134;18.0059037
135;17.0326117
136;17.5192577
137;20.439134
138;29.6854089
139;33.0919312
140;31.6319931
141;31.145347
142;20.92578
143;8.75962885
144;7.80783628
145;7.80783628
146;7.80783628
147;7.80783628
148;7.80783628
149;9.18568974
150;21.1270864
151;27.5570692
152;29.3942072
153;29.3942072
154;26.1792158
155;22.9642244
156;20.2085174
157;18.830664
158;16.993526
159;16.0749571
160;16.5342415
161;19.2899485
162;28.0163537
163;31.2313451
164;29.8534917
165;29.3942072
166;19.7492329
167;8.26712077
168;6.02791643
169;5.74089015
170;5.74089015
171;5.74089015
172;6.02791643
173;6.88899527
174;16.0738362
175;23.2494931
176;23.2494931
177;23.5365194
178;20.0922041
179;17.7959938
180;16.0738362
181;16.3608624
182;16.0738362
183;15.7868099
184;15.7868099
185;16.6478887
186;20.6662566
187;20.6662566
188;19.2311252
189;18.6570727
190;13.4905997
191;6.31494271
192;7.91177144
193;7.91177144
194;7.91177144
195;7.91177144
196;7.91177144
197;9.3079664
198;21.4083227
199;27.9238992
200;29.7854925
201;29.7854925
202;26.5277043
203;23.269916
204;20.4775261
205;19.0813311
206;17.2197378
207;16.2889412
208;16.7543395
209;19.5467294
210;28.3892975
211;31.6470858
212;30.2508908
213;29.7854925
214;20.0121278
215;8.37716976
216;7.29209154
217;7.29209154
218;7.29209154
219;7.29209154
220;7.29209154
221;8.57893122
222;19.7315418
223;25.7367937
224;27.4525799
225;27.4525799
226;24.449954
227;21.4473281
228;18.8736487
229;17.586809
230;15.8710228
231;15.0131296
232;15.4420762
233;18.0157556
234;26.1657402
235;29.1683662
236;27.8815265
237;27.4525799
238;18.4447021
239;7.7210381
240;7.58978093
241;7.58978093
242;7.58978093
243;7.58978093
244;7.58978093
245;8.92915403
246;20.5370543
247;26.7874621
248;28.5732929
249;28.5732929
250;25.448089
251;22.3228851
252;19.6441389
253;18.3047658
254;16.518935
255;15.6260196
256;16.0724773
257;18.7512235
258;27.2339198
259;30.3591237
260;29.0197506
261;28.5732929
262;19.1976812
263;8.03623863
264;7.80205769
265;7.80205769
266;7.80205769
267;7.80205769
268;7.80205769
269;9.17889141
270;21.1114502
271;27.5366742
272;29.3724525
273;29.3724525
274;26.1598405
275;22.9472285
276;20.1935611
277;18.8167274
278;16.9809491
279;16.06306
280;16.5220045
281;19.275672
282;27.9956188
283;31.2082308
284;29.8313971
285;29.3724525
286;19.7346165
287;8.26100226
288;8.47530183
289;8.47530183
290;8.47530183
291;8.47530183
292;8.47530183
293;9.97094333
294;22.9331696
295;29.91283
296;31.9070186
297;31.9070186
298;28.4171885
299;24.9273583
300;21.9360753
301;20.4404338
302;18.4462452
303;17.4491508
304;17.947698
305;20.938981
306;30.4113771
307;33.9012073
308;32.4055658
309;31.9070186
310;21.4375281
311;8.97384899
312;7.84337948
313;7.46990781
314;7.46990781
315;7.46990781
316;7.84337948
317;8.96379449
318;20.914888
319;30.2516797
320;30.2516797
321;30.6251514
322;26.1434913
323;23.155718
324;20.914888
325;21.2883596
326;20.914888
327;20.5414163
328;20.5414163
329;21.6618313
330;26.8904347
331;26.8904347
332;25.0230763
333;24.276133
334;17.5536429
335;8.21685115
336;10.1879485
337;10.1879485
338;10.1879485
339;10.1879485
340;10.1879485
341;11.9858218
342;27.5673901
343;35.9574653
344;38.3546297
345;38.3546297
346;34.1595921
347;29.9645545
348;26.3688079
349;24.5709347
350;22.1737703
351;20.9751881
352;21.5744792
353;25.1702257
354;36.5567564
355;40.7517941
356;38.9539208
357;38.3546297
358;25.7695168
359;10.7872396
360;10.5898018
361;10.5898018
362;10.5898018
363;10.5898018
364;10.5898018
365;12.4585903
366;28.6547577
367;37.3757709
368;39.867489
369;39.867489
370;35.5069824
371;31.1464757
372;27.4088987
373;25.5401101
374;23.0483921
375;21.802533
376;22.4254625
377;26.1630396
378;37.9987004
379;42.359207
380;40.4904185
381;39.867489
382;26.7859691
383;11.2127313
384;11.4817789
385;11.4817789
386;11.4817789
387;11.4817789
388;11.4817789
389;13.5079751
390;31.0683428
391;40.5239254
392;43.2255204
393;43.2255204
394;38.4977291
395;33.7699378
396;29.7175453
397;27.691349
398;24.989754
399;23.6389565
400;24.3143552
401;28.3667478
402;41.1993241
403;45.9271154
404;43.9009192
405;43.2255204
406;29.0421465
407;12.1571776
408;12.5157548
409;12.5157548
410;12.5157548
411;12.5157548
412;12.5157548
413;14.7244174
414;33.8661601
415;44.1732523
416;47.1181358
417;47.1181358
418;41.9645897
419;36.8110436
420;32.3937183
421;30.1850557
422;27.2401722
423;25.7677305
424;26.5039514
425;30.9212766
426;44.9094731
427;50.0630192
428;47.8543566
429;47.1181358
430;31.6574975
431;13.2519757
432;12.8426311
433;12.8426311
434;12.8426311
435;12.8426311
436;12.8426311
437;15.1089778
438;34.7506488
439;45.3269333
440;48.3487288
441;48.3487288
442;43.0605866
443;37.7724444
444;33.2397511
445;30.9734044
446;27.9516088
447;26.4407111
448;27.19616
449;31.7288533
450;46.0823821
451;51.3705244
452;49.1041777
453;48.3487288
454;32.4843022
455;13.59808
456;12.332425
457;12.332425
458;12.332425
459;12.332425
460;12.332425
461;14.5087353
462;33.3700913
463;43.526206
464;46.4279531
465;46.4279531
466;41.3498957
467;36.2718383
468;31.9192177
469;29.7429074
470;26.8411604
471;25.3902868
472;26.1157236
473;30.4683442
474;44.2516428
475;49.3297001
476;47.1533898
477;46.4279531
478;31.193781
479;13.0578618
480;11.2190068
481;11.2190068
482;11.2190068
483;11.2190068
484;11.2190068
485;13.1988315
486;30.3573125
487;39.5964945
488;42.2362608
489;42.2362608
490;37.6166698
491;32.9970788
492;29.0374293
493;27.0576046
494;24.4178383
495;23.0979551
496;23.7578967
497;27.7175462
498;40.2564361
499;44.8760271
500;42.8962024
501;42.2362608
502;28.3774877
503;11.8789484
504;11.1887475
505;11.1887475
506;11.1887475
507;11.1887475
508;11.1887475
509;13.1632324
510;30.2754345
511;39.4896972
512;42.1223437
513;42.1223437
514;37.5152124
515;32.908081
516;28.9591113
517;26.9846264
518;24.35198
519;23.0356567
520;23.6938183
521;27.6427881
522;40.1478588
523;44.7549902
524;42.7805053
525;42.1223437
526;28.3009497
527;11.8469092
528;8.94497129
529;8.94497129
530;8.94497129
531;8.94497129
532;8.94497129
533;10.5234956
534;24.2040399
535;31.5704869
536;33.675186
537;33.675186
538;29.9919625
539;26.3087391
540;23.1516904
541;21.573166
542;19.4684669
543;18.4161174
544;18.9422921
545;22.0993408
546;32.0966617
547;35.7798851
548;34.2013608
549;33.675186
550;22.6255156
551;9.47114607
552;8.60266198
553;8.60266198
554;8.60266198
555;8.60266198
556;8.60266198
557;10.1207788
558;23.2777912
559;30.3623364
560;32.3864922
561;32.3864922
562;28.8442196
563;25.301947
564;22.2657134
565;20.7475965
566;18.7234408
567;17.7113629
568;18.2174018
569;21.2536355
570;30.8683753
571;34.4106479
572;32.8925311
573;32.3864922
574;21.7596744
575;9.10870092
576;5.36904596
577;5.11339257
578;5.11339257
579;5.11339257
580;5.36904596
581;6.13600613
582;14.3169147
583;20.7082494
584;20.7082494
585;20.9639028
586;17.8960621
587;15.850835
588;14.3169147
589;14.5725681
590;14.3169147
591;14.0612613
592;14.0612613
593;14.8282214
594;18.4073689
595;18.4073689
596;17.129102
597;16.6177952
598;12.0160341
599;5.62469935
600;3.81601972
601;3.63431549
602;3.63431549
603;3.63431549
604;3.81601972
605;4.36113242
606;10.1756679
607;14.7182738
608;14.7182738
609;14.899978
610;12.7195272
611;11.2658933
612;10.1756679
613;10.3573721
