Index;Wert
0;15.5077016
1;8.97882663
2;8.97882663
3;8.97882663
4;8.97882663
5;10.5486563
6;15.89188
7;22.00872
8;21.84792
9;21.61096
10;22.34104
11;22.5185083
12;18.9166889
13;18.19396
14;18.35092
15;18.22884
16;17.81028
17;18.0619758
18;23.84184
19;23.60064
20;23.56312
21;23.58992
22;19.1128124
23;16.0309782
24;8.27195589
25;8.27195589
26;8.27195589
27;8.27195589
28;8.27195589
29;9.71704369
30;16.54152
31;22.95744
32;23.06464
33;23.03784
34;23.18792
35;20.7751967
36;17.6321411
37;17.383
38;17.50508
39;17.58356
40;17.61844
41;17.6228
42;24.34568
43;24.41
44;24.38856
45;24.36176
46;17.6664
47;15.2825268
48;6.90617277
49;6.90617277
50;6.90617277
51;6.90617277
52;6.90617277
53;8.11024002
54;17.43532
55;17.35248
56;21.9629681
57;22.0065681
58;19.0444778
59;17.90184
60;18.21576
61;18.2986
62;18.32912
63;14.89187
64;14.531932
65;16.9400666
66;17.47892
67;23.5683911
68;22.6259238
69;22.3989681
70;16.80312
71;13.8364035
72;7.58002151
73;7.58002151
74;7.58002151
75;7.58002151
76;7.58002151
77;8.90300325
78;16.729
79;17.3458556
80;23.46128
81;23.54704
82;21.417213
83;18.0555756
84;17.82336
85;17.83208
86;17.72308
87;17.71872
88;17.492
89;17.28272
90;17.1214
91;23.45056
92;23.42376
93;23.32192
94;16.7508
95;14.5498904
96;8.21004749
97;8.21004749
98;8.21004749
99;8.21004749
100;8.21004749
101;9.64421028
102;15.87008
103;22.51256
104;22.91456
105;22.85024
106;23.40768
107;20.0306732
108;17.74924
109;17.68384
110;17.67076
111;17.69692
112;17.61408
113;17.19988
114;23.27368
115;23.11288
116;23.43448
117;23.30584
118;17.4167733
119;15.2169768
120;8.3561078
121;8.3561078
122;8.3561078
123;8.3561078
124;8.3561078
125;9.81604594
126;16.0532
127;22.49648
128;22.31424
129;22.36784
130;22.97352
131;20.5431024
132;17.65332
133;17.48764
134;17.3612
135;17.10396
136;16.83364
137;17.469614
138;22.79128
139;22.62512
140;22.4268
141;21.90152
142;18.89366
143;15.3716288
144;7.89096128
145;7.89096128
146;7.89096128
147;7.89096128
148;7.89096128
149;9.26881474
150;15.89624
151;22.04624
152;21.93904
153;21.92296
154;22.7752
155;19.2360644
156;17.77976
157;17.99776
158;17.9498
159;17.3612
160;16.79876
161;16.63308
162;23.75072
163;24.63236
164;24.7806
165;24.70212
166;17.8408
167;14.8791208
168;6.11104143
169;5.82401515
170;5.82401515
171;5.82401515
172;6.11104143
173;6.97212027
174;16.1569612
175;17.0124
176;19.3462258
177;20.4667194
178;16.92956
179;17.63588
180;18.10676
181;18.42068
182;18.53404
183;16.0039727
184;15.8699349
185;16.7310137
186;17.44404
187;17.36556
188;17.492
189;17.37864
190;17.2304
191;9.23415854
192;7.99489644
193;7.99489644
194;7.99489644
195;7.99489644
196;7.99489644
197;9.3910914
198;16.5546
199;21.7333942
200;23.05392
201;22.94136
202;23.1134643
203;19.131916
204;18.13728
205;18.62996
206;18.80872
207;18.8218
208;18.68228
209;18.19832
210;17.85388
211;24.25456
212;23.72392
213;23.38088
214;16.9510478
215;14.9891698
216;7.37521654
217;7.37521654
218;7.37521654
219;7.37521654
220;7.37521654
221;8.66205622
222;17.71
223;17.8844
