Index;Wert
0;8.62481682
1;5.28690007
2;4.96533679
3;4.94432978
4;5.04229652
5;5.39757495
6;6.81622239
7;8.06915462
8;7.09636604
9;6.13306887
10;5.7753315
11;5.77046264
12;6.02759313
13;5.73731896
14;5.60472043
15;5.58629584
16;5.97382683
17;4.7992
18;4.7552
19;4.7192
20;4.7136
21;4.7176
22;4.7024
23;8.53821565
24;6.48714955
25;4.82599174
26;4.81538199
27;4.82910972
28;4.97416826
29;5.38634768
30;6.79464706
31;8.0344608
32;7.0985705
33;6.22640088
34;5.71875307
35;5.69216686
36;5.9080997
37;5.7996271
38;5.66437044
39;5.68306231
40;6.02347169
41;6.6991075
42;4.89887402
43;4.84
44;4.8368
45;4.8328
46;4.832
47;8.72545058
48;6.66978891
49;5.04830967
50;5.00171671
51;4.95365901
52;5.00186355
53;3.04755316
54;5.46582417
55;6.11021163
56;7.29486603
57;8.08434658
58;7.9089697
59;7.22538146
60;6.63171593
61;6.28902324
62;6.11328453
63;6.11672187
64;6.46895648
65;5.56561498
66;4.7976
67;4.764
68;4.716
69;4.684
70;4.6918138
71;8.59773874
72;5.88641333
73;5.11486002
74;5.01959846
75;4.97013288
76;5.00503457
77;4.51277442
78;5.27840708
79;5.78860839
80;6.90831714
81;8.12828798
82;8.38399423
83;8.08901211
84;7.1286321
85;5.86399575
86;5.35039073
87;5.74014747
88;5.44381849
89;4.7616
90;4.732
91;4.6968
92;4.6928
93;4.68442131
94;4.70967742
95;8.65537137
96;6.28424333
97;4.92532221
98;4.87794369
99;4.83911391
100;4.93994457
101;5.30890859
102;6.77424492
103;8.08564787
104;7.17919616
105;6.29209521
106;5.69497783
107;5.80292058
108;6.00874517
109;5.86248421
110;5.70123596
111;5.71098169
112;6.03342299
113;5.22817014
114;4.6977492
115;4.74288039
116;4.6944
117;4.68885325
118;4.72318899
119;8.44392432
120;6.70237427
121;4.94312292
122;4.95926949
123;4.93206162
124;5.02903267
125;5.38657855
126;6.82038692
127;8.10137147
128;7.15004976
129;6.24284696
130;5.79015424
131;5.79041859
132;6.01526967
133;5.82921884
134;5.64674491
135;5.60471778
136;5.35468567
137;4.78289474
138;4.83166667
139;4.80583333
140;4.775
141;4.69333333
142;4.68083333
143;7.99838966
144;7.03910917
145;4.84950845
146;4.86461752
147;4.84069688
148;4.94590607
149;5.35448261
150;6.79300525
151;8.03565386
152;7.09487372
153;6.17460037
154;5.83705391
155;5.77985015
156;6.00198733
157;5.77189044
158;5.62862391
159;5.65094794
160;5.90591712
161;4.97764348
162;4.7416
163;4.76323011
164;4.71373308
165;4.73977406
166;4.7944664
167;8.71665058
168;6.54018056
169;4.89874559
170;4.90507892
171;4.91440588
172;4.47021862
173;2.89039166
174;6.74505756
175;7.94532601
176;7.02312993
177;6.20654081
178;5.69182763
179;5.82851162
180;5.87643299
181;5.75754427
182;5.61995829
183;5.61836992
184;5.89541087
185;6.70022264
186;5.09003054
187;4.7768
188;4.8
189;4.7792
190;5.90070385
191;8.61905058
192;6.44017589
193;4.81731977
194;4.82347056
195;4.82979257
196;4.93344061
197;4.69995621
198;6.78146683
199;8.0472203
200;7.09136451
201;6.25125593
202;5.70217213
203;5.84205578
204;5.86638475
205;5.76662518
206;5.53587965
207;5.53224956
208;5.91818832
209;6.55665148
210;6.44589246
211;4.8168
212;4.7376
213;4.6864
214;4.75050958
215;8.67275971
216;6.70483035
217;5.05296623
218;5.00981489
219;4.88943244
220;4.91557921
