Index;Wert
0;20.9393445
1;11.989695
2;13.1376183
3;14.0318741
4;14.7423615
5;15.3260754
6;29.2419445
7;26.2063186
8;24.4459295
9;21.9218048
10;19.4686612
11;17.729516
12;16.9956172
13;16.319922
14;15.8846419
15;15.2279929
16;16.3950661
17;17.4989367
18;18.2770696
19;18.9033234
20;18.6494123
21;18.7499968
22;0
23;0
24;11.2103466
25;12.8261857
26;14.0301989
27;15.0264393
28;15.8030707
29;16.4089666
30;30.2973866
31;27.228872
32;25.3780584
33;23.6746243
34;22.8907306
35;20.6011245
36;18.5406227
37;18.8952323
38;17.6331907
39;17.8644839
40;18.3070375
41;18.6147466
42;18.877551
43;19.048092
44;19.3992188
45;19.5151546
46;0
47;9.61810963
48;11.7314693
49;13.0757625
50;14.0455907
51;14.7097888
52;15.1853307
53;15.4916876
54;29.1689243
55;25.9374832
56;24.4320019
57;23.1599239
58;21.2791493
59;19.7258442
60;18.9166557
61;18.1973797
62;16.7223605
63;17.1005461
64;17.8976779
65;18.6784498
66;19.2101163
67;19.8068108
68;20.439467
69;20.8214946
70;0
71;11.3296332
72;13.4957258
73;14.939299
74;15.888088
75;16.5307404
76;16.9821067
77;17.3546035
78;30.8
79;28.1137763
80;25.6766719
81;23.027416
82;16.8902923
83;16.1659223
84;15.7980472
85;16.0687822
86;0
87;10.6086511
88;14.5469514
89;16.0776346
90;17.073344
91;17.7848812
92;18.2766658
93;18.7714856
94;0
95;9.7660272
96;12.3585594
97;14.2813479
98;15.6589562
99;16.8511244
100;17.8343395
101;18.5256721
102;30.8
103;30.1436141
104;26.7576416
105;24.5689678
106;21.9711059
107;17.1718357
108;12.400385
109;11.4918499
110;12.1487496
111;10.7158476
112;13.857039
113;16.0445014
114;17.7531122
115;19.2175343
116;20.1757206
117;20.9033026
118;0
119;11.6791153
120;13.9366402
121;15.2413722
122;15.8150867
123;16.6192856
124;17.5702829
125;18.336269
126;30.8
127;30.569569
128;27.1113769
129;21.2897775
130;18.9346059
131;13.5805766
132;14.2533386
133;13.6617282
134;13.0129057
135;12.4743298
136;14.6707947
137;16.2097024
138;17.2083301
139;19.0579446
140;19.6154885
141;19.7859181
142;0
143;10.1967211
144;12.7164504
145;14.4772777
146;15.0817838
147;15.7309569
148;16.5002139
149;17.2009383
150;30.8
151;29.1323268
152;27.1241752
153;20.2548755
154;16.0828727
155;10.5121081
156;0
157;0
158;10.6109839
159;13.3280305
160;14.7419568
161;15.9820369
162;17.1165586
163;17.9208952
164;17.8488826
165;17.7068758
166;0
167;0
168;0
169;10.3907699
170;11.5121075
171;12.5289983
172;13.2316481
173;13.7967264
174;27.7117722
175;24.7089947
176;23.011038
177;16.7546491
178;12.0778195
179;0
180;9.69134518
181;12.0325687
182;12.0718396
183;12.6553884
184;13.1738894
185;14.9332228
186;15.7955739
187;16.4076831
188;16.890432
189;17.2144146
190;0
191;0
192;10.236461
193;11.7954114
194;12.8775214
195;13.6578141
196;14.2049637
197;14.5779562
198;28.3521809
199;25.1338803
200;23.1749991
201;20.8346226
202;18.9876131
203;16.4806918
204;15.3515935
205;14.1422656
206;14.0716432
207;14.2147524
208;14.8867186
209;15.4923271
210;15.7756503
211;16.0050475
212;16.4632599
213;16.8369096
214;0
215;0
216;10.1385686
217;12.0210598
218;13.7430975
219;15.2879434
220;16.593993
221;17.5950937
222;30.8
223;29.651568
224;26.4291652
225;22.6839435
226;20.0109108
227;17.9544718
228;14.8755757
229;13.50146
230;13.4493894
231;14.6853213
232;15.5274925
233;16.413924
234;17.4350897
235;18.0771948
236;18.0886848
237;17.8764951
238;0
239;0
