Index;Wert
0;31.4652805
1;41.7380829
2;50.09012
3;57.0679802
4;62.9891578
5;68.0965879
6;153.395211
7;145.704281
8;138.37752
9;120.39015
10;107.786861
11;92.2284734
12;78.3615083
13;70.8933503
14;64.6129065
15;60.2685469
16;73.4708323
17;83.2789748
18;91.633924
19;97.9861047
20;98.0698611
21;90.5488074
22;5.92860594
23;17.0742061
24;28.6853447
25;37.5629614
26;44.6459076
27;50.46626
28;55.4949255
29;60.1931008
30;144.276593
31;135.002234
32;125.020628
33;117.491027
34;112.782348
35;102.145744
36;89.2498417
37;81.1904173
38;82.7246769
39;81.6618192
40;83.4246792
41;87.8536471
42;91.5607398
43;93.6189239
44;91.914092
45;83.6881564
46;0
47;7.51481072
48;18.7201233
49;27.3850895
50;33.9837849
51;39.3477286
52;43.9895378
53;49.5582074
54;133.06698
55;124.472422
56;120.206696
57;109.671144
58;101.605726
59;87.8186156
60;68.0660148
61;65.5798878
62;53.4529185
63;34.5591502
64;67.3365753
65;77.4457928
66;81.556409
67;80.9785218
68;78.4841453
69;78.1491686
70;0.212330574
71;16.8132277
72;29.9329453
73;41.6085144
74;50.0682484
75;56.2966179
76;60.7175629
77;62.7447903
78;143.945505
79;132.693771
80;126.285726
81;109.253868
82;85.1222479
83;65.3698624
84;69.9459704
85;69.8525185
86;66.0799546
87;72.8436735
88;82.7132585
89;86.8627208
90;86.8127815
91;84.9562908
92;82.1452248
93;82.2863619
94;3.74851953
95;20.8522242
96;35.1302975
97;46.422019
98;56.2535968
99;64.3051493
100;70.2728041
101;74.5044095
102;155.99244
103;143.20792
104;130.007583
105;94.8895311
106;89.8682608
107;80.0178987
108;62.544877
109;68.8546517
110;71.5910303
111;71.8140499
112;77.2755894
113;87.7912246
114;97.9229345
115;103.943418
116;101.217509
117;94.5381073
118;10.0509273
119;21.4745866
120;33.5408839
121;43.403152
122;51.5994557
123;58.4619841
124;64.2015108
125;68.8570397
126;152.360359
127;141.891038
128;134.065705
129;97.6753667
130;87.5557131
131;83.8776633
132;62.3508314
133;67.162451
134;59.0171634
135;72.2963828
136;82.8840155
137;93.9601037
138;102.383436
139;108.733665
140;110.545413
141;108.192674
142;24.6727158
143;36.4661977
144;45.7293144
145;55.1402696
146;60.9299795
147;67.1292491
148;72.1498772
149;73.8677372
150;156.490508
151;147.700839
152;139.3458
153;101.626855
154;74.5361944
155;70.0863818
156;68.050708
157;68.4304274
158;69.1280549
159;68.2809544
160;85.2181012
161;94.2454419
162;95.3654073
163;91.0516727
164;87.0244939
165;78.7852862
166;0
167;6.51245323
168;19.6044048
169;30.3740412
170;36.9107694
171;41.441945
172;46.0162228
173;50.8765628
174;134.865793
175;127.058263
176;119.346175
177;84.7600778
178;62.5963334
179;42.167185
180;42.6409304
181;35.8569076
182;29.994482
183;34.4952986
184;37.0409095
185;65.2185166
186;76.9633836
187;84.8171908
188;85.1137202
189;80.0986691
190;0
191;10.5020371
192;26.1476798
193;35.4865671
194;42.3862787
195;47.4933176
196;52.3864255
197;57.3060953
198;143.073584
199;135.068739
200;124.871635
201;115.303481
202;104.453604
203;91.8489553
204;82.5116217
205;70.8993227
206;64.04539
207;60.5995005
208;63.6986415
209;75.477045
210;84.2310166
211;91.0269211
212;95.0840008
213;91.2522461
214;9.0945814
215;22.6382833
216;35.7698273
217;44.2825459
218;51.2052615
219;54.3409346
220;54.675412
221;54.0553734
222;133.58985
223;121.011619
224;118.039148
225;111.967125
226;104.999426
227;90.4129195
228;79.5680002
229;64.065992
230;65.0176845
231;66.5350008
232;73.8861272
233;84.2473147
234;86.6834664
235;85.7650558
236;78.7101538
237;75.8978275
238;0
239;9.44479218
240;20.3185723
241;29.410341
242;35.5663101
243;41.011129
244;46.5590647
245;51.876889
246;137.042115
247;128.252162
248;126.481177
249;122.570016
250;124.670343
251;119.694999
252;98.2640839
253;90.8131866
254;77.1273207
255;61.5217451
256;76.8175238
257;80.1126052
258;79.7581573
259;76.6363138
260;72.7201627
261;73.1961785
262;0
263;10.2720762
264;22.8210672
265;31.7731999
266;41.8525454
267;48.1038347
268;52.3816845
269;56.5065004
270;141.290399
271;131.507695
272;121.424335
273;111.849211
274;95.6428286
275;90.5289995
276;90.3083737
277;76.8113518
278;65.1993132
279;60.4656605
280;68.4774237
281;85.2172577
282;92.7272923
283;99.1880458
284;98.9945446
285;93.1721274
286;8.87230411
287;20.9846506
288;34.6994156
289;43.6865655
290;50.6373812
291;55.948291
292;60.3619723
293;64.0058968
294;147.91226
295;140.4753
296;130.891929
297;123.163384
298;115.872494
299;76.3368858
300;74.0003139
301;71.7104903
302;79.3245222
303;75.2899128
304;85.793631
305;96.39977
306;104.500767
307;111.00358
308;111.142198
309;106.325161
310;23.42282
311;37.0853669
312;51.8964049
313;63.3995681
314;72.0805365
315;79.3167796
316;86.017099
317;92.7555153
318;178.997104
319;172.64203
320;157.584618
321;112.561001
322;90.5504854
323;68.5691281
324;60.3726676
325;48.8616238
326;33.3100159
327;39.9476339
328;62.3368977
329;81.3186986
330;94.7978857
331;103.258142
332;106.473319
333;101.83887
334;19.3388498
335;32.1367444
336;44.6602296
337;53.773075
338;59.2619797
339;64.6250809
340;69.713556
341;75.923125
342;161.643523
343;153.604014
344;144.727673
345;123.030493
346;117.67876
347;117.674053
348;116.483736
349;115.851034
350;107.003314
351;114.487798
352;105.142916
353;120.286403
354;126.360545
355;130.611071
356;129.757123
357;122.754246
358;37.8337383
359;49.2935257
360;61.3217783
361;70.3638001
362;77.5562915
363;82.2106388
364;86.4439014
365;90.007813
366;173.693894
367;165.342448
368;155.966568
369;136.079317
370;130.422596
371;111.010626
372;115.430513
373;112.338376
374;108.154825
375;109.316825
376;116.428071
377;124.261511
378;130.429682
379;134.984207
380;132.79216
381;125.371457
382;40.9500106
383;53.9234865
384;66.799678
385;76.6638662
386;86.0210311
387;93.5649352
388;98.8159615
389;104.437218
390;189.459429
391;180.225135
392;173.829844
393;165.453746
394;155.086863
395;136.686874
396;138.234419
397;125.889152
398;129.96445
399;127.537562
400;138.757014
401;145.968781
402;148.476066
403;150.061659
404;146.689161
405;135.829484
406;55.6458938
407;71.2510812
408;84.3925114
409;95.7096602
410;109.15123
411;124.271539
412;133.558338
413;137.098252
414;224.134721
415;216.409755
416;213.325182
417;194.937404
418;183.065606
419;165.978079
420;151.109068
421;137.715445
422;129.120161
423;128.863679
424;114.668907
425;149.862962
426;156.322794
427;157.996668
428;166.046592
429;169.170658
430;94.6817486
431;115.363509
432;131.767799
433;143.463555
434;151.564889
435;158.291552
436;163.07123
437;167.269914
438;248.46807
439;237.094554
440;222.097896
441;206.379505
442;179.172617
443;168.694073
444;149.191224
445;135.074127
446;120.464989
447;112.758451
448;112.862973
449;126.523573
450;133.639805
451;140.207487
452;147.478454
453;143.331578
454;60.5394504
455;73.2592324
456;86.5028269
457;97.0896217
458;105.425673
459;112.289457
460;118.467851
461;125.148075
462;208.758838
463;204.608004
464;205.126592
465;192.06819
466;182.777002
467;169.921489
468;141.581614
469;124.267078
470;111.302984
471;108.400368
472;125.014202
473;141.134742
474;153.276561
475;164.473329
476;165.940227
477;158.29246
478;73.4627017
479;85.7868132
480;99.46811
481;107.479201
482;110.830244
483;114.792061
484;116.596343
485;119.512763
486;200.942067
487;190.237482
488;180.531587
489;161.366053
490;149.29452
491;121.401032
492;111.685546
493;102.763063
494;100.238163
495;100.105211
496;93.1914063
497;119.9323
498;130.704545
499;137.690387
500;138.527758
501;136.263829
502;59.8973018
503;79.2657432
504;96.0888257
505;106.91714
506;116.323354
507;125.184266
508;135.800705
509;143.849646
510;234.150217
511;231.875512
512;213.107117
513;191.506412
514;168.807548
515;140.989954
516;119.992273
517;102.911347
518;88.0993078
519;79.7742867
520;76.2262647
521;110.989762
522;126.026119
523;135.968277
524;143.185948
525;138.339624
526;51.2941376
527;57.3535477
528;61.7653525
529;63.1142866
530;63.0590544
531;62.824523
532;61.0777615
533;60.0812284
534;142.091545
535;132.292115
536;124.994082
537;112.423463
538;96.5985526
539;98.7042969
540;95.4554233
541;84.5047975
542;83.9111405
543;85.3954818
544;84.8338643
545;95.4975507
546;102.962337
547;108.475043
548;107.584068
549;103.538713
550;21.8371313
551;35.0876261
552;50.3394922
553;64.0545173
554;75.4900885
555;84.6475766
556;94.215815
557;103.072285
558;189.31535
559;181.427711
560;168.881604
561;155.260543
562;150.752884
563;120.957166
564;96.5978872
565;78.83816
566;74.7773779
567;68.8463913
568;69.1004462
569;86.2306797
570;87.0659454
571;82.9170922
572;76.1135782
573;71.9791347
574;0
575;7.51610388
576;19.0111118
577;29.6771015
578;38.4622554
579;47.1147753
580;55.6347341
581;62.8657247
582;152.538901
583;146.392907
584;138.189328
585;108.140221
586;77.3338277
587;50.4140381
588;32.0519585
589;15.844237
590;0
591;0.580900818
592;2.41394797
593;40.9254942
594;54.0205119
595;59.736063
596;63.8521928
597;68.4093841
598;0
599;12.8140107
600;26.794351
601;37.886226
602;46.7178813
603;52.6555113
604;54.7037055
605;56.7758008
606;138.213367
607;126.571853
608;113.933383
609;64.1933998
610;34.6634335
611;13.5587297
612;1.45859194
613;0
614;0
615;0
616;0
617;4.50259547
618;37.4078712
619;51.6783003
620;55.6403681
621;52.5729719
622;0
623;0
624;0
625;4.7888268
626;15.8079019
627;21.9614701
628;25.5373854
629;28.3523469
630;112.86032
631;102.493308
632;91.1212199
633;78.7067925
634;56.5954336
635;23.5322072
636;18.1320289
637;21.2223136
638;9.80504439
639;17.3037746
640;21.0003713
641;36.0646
642;45.0434012
643;53.7964462
644;51.7590257
645;42.7614814
646;0
647;0
648;0
649;0
650;0
651;0
652;4.52208357
653;9.63324832
654;93.5403175
655;84.356214
656;70.8005061
657;57.7520424
658;53.8122161
659;45.5107246
660;49.2909225
661;50.5181794
662;50.9113655
663;51.0490623
664;55.9840923
665;66.6291834
666;72.3703003
667;79.5413876
668;81.3903342
669;74.3273336
670;0
671;0
672;10.9964669
673;20.3608883
674;28.712577
675;35.8508092
676;41.6105296
677;49.6122537
678;137.731495
679;132.578155
680;125.424265
681;79.2092444
682;52.2073884
683;33.3200037
684;25.1376854
685;15.435148
686;0
687;0
688;0
689;35.2729593
690;53.8290924
691;66.9135557
692;73.5900928
693;71.9138897
694;0
695;6.52255035
696;20.8000572
697;31.9537826
698;40.3423117
699;45.4872454
700;49.1665298
701;52.9342021
702;136.520259
703;127.103244
704;118.11697
705;99.9144904
706;87.103893
707;69.8362236
708;63.2400327
709;55.3528257
710;45.4426404
711;48.8802483
712;51.7274397
713;62.3968792
714;72.1626271
715;78.9235088
716;78.4657789
717;74.1837736
718;0
719;6.71011047
720;20.5351937
721;32.1098443
722;41.0111147
723;47.6403947
724;54.2024236
725;61.5753917
726;148.096787
727;138.399833
728;131.45556
729;117.745669
730;112.682887
731;105.072476
732;94.4760066
733;90.1132203
734;89.8845517
735;91.9213937
736;90.158168
737;76.1746637
738;72.5859657
739;67.3177723
740;60.7893557
741;58.1028159
742;0
743;0
744;10.3235147
745;21.2483271
746;30.3542941
747;38.1303265
748;44.8871347
749;50.8153931
750;137.344216
751;130.274261
752;128.410772
753;123.491913
754;118.9491
755;104.081311
756;91.2357075
757;83.4138562
758;84.2881984
759;79.3044018
760;87.7843742
761;92.6785496
762;94.3574579
763;93.4494567
764;95.3742079
765;97.1206624
766;19.8397977
767;37.3619108
768;50.6991117
769;61.2911386
770;69.7028314
771;77.0051347
772;83.1801451
773;88.4671629
774;173.279782
775;164.240145
776;154.647387
777;103.324448
778;88.1796798
779;90.491779
780;72.1667151
781;69.5774675
782;55.3531301
783;67.158712
784;79.3664257
785;92.7447892
786;104.476576
787;112.813725
788;115.796293
789;111.509568
790;29.2855087
791;42.8129106
792;54.7288964
793;62.7666114
794;68.4230244
795;73.5550904
796;77.1293619
797;80.2654392
