Index;Wert
0;92.8010404
1;104.107169
2;113.013976
3;120.720481
4;127.290934
5;132.991676
6;227.1046
7;217.437533
8;212.486836
9;190.914431
10;175.764096
11;158.181772
12;141.633983
13;133.363951
14;125.612016
15;119.703356
16;131.864781
17;138.849036
18;144.577541
19;149.096999
20;150.706405
21;150.587803
22;62.1147445
23;76.7214538
24;89.412282
25;99.0397345
26;106.704128
27;113.031265
28;118.536376
29;123.73225
30;216.48646
31;204.998631
32;197.001397
33;186.467084
34;179.661016
35;167.728538
36;153.096354
37;144.6581
38;145.821869
39;143.695427
40;143.352008
41;144.137142
42;144.483151
43;144.024168
44;143.384518
45;142.373158
46;52.2151092
47;65.4628812
48;77.6330944
49;87.0045899
50;94.1377977
51;99.9288094
52;104.960262
53;109.857182
54;201.213637
55;187.924068
56;178.592295
57;167.156156
58;154.618584
59;138.581591
60;120.671776
61;118.303915
62;103.460849
63;80.7262585
64;111.204123
65;121.19324
66;129.098589
67;138.560693
68;143.97776
69;147.91927
70;60.6082858
71;76.5811403
72;90.9701198
73;103.778378
74;113.147733
75;120.022415
76;124.877764
77;127.065857
78;216.017492
79;200.181568
80;188.066827
81;169.362955
82;139.862169
83;116.329372
84;124.138094
85;125.805903
86;120.240276
87;125.284262
88;134.358071
89;140.702556
90;145.502549
91;149.960041
92;151.701593
93;152.976118
94;64.6247693
95;81.1793712
96;96.9165876
97;109.378578
98;120.236921
99;129.209614
100;135.915167
101;140.670071
102;230.57094
103;215.061243
104;203.263532
105;162.713915
106;155.308623
107;144.003054
108;123.77676
109;130.96683
110;133.580287
111;132.943289
112;136.66384
113;144.145934
114;151.822991
115;156.162159
116;154.680966
117;155.260192
118;66.9868561
119;81.9309443
120;95.1578121
121;105.921694
122;114.898534
123;122.444674
124;128.795922
125;133.982003
126;226.102276
127;213.269
128;207.533006
129;166.056435
130;153.279356
131;148.646137
132;123.769719
133;129.283173
134;120.108237
135;133.862208
136;143.461644
137;151.870606
138;157.703532
139;162.160987
140;165.585751
141;171.162859
142;84.2724108
143;101.885081
144;109.898216
145;119.912559
146;126.173135
147;132.792894
148;138.276163
149;140.20414
150;231.127679
151;220.825283
152;213.811253
153;170.888957
154;139.804504
155;134.073511
156;130.642384
157;130.921314
158;130.916669
159;129.002232
160;145.613357
161;152.033429
162;149.83983
163;142.154713
164;138.331102
165;136.955912
166;48.24033
167;64.2625766
168;78.6517578
169;90.452256
170;97.6791809
171;102.565664
172;107.440566
173;112.718504
174;205.358628
175;193.321341
176;190.044253
177;150.628021
178;125.065652
179;102.357718
180;101.760579
181;92.3366336
182;85.7624938
183;89.7436242
184;90.1171204
185;116.010367
186;124.283123
187;131.842326
188;136.455692
189;138.865009
190;52.4264566
191;69.2676363
192;86.4278646
193;96.798854
194;104.285406
195;109.768195
196;115.005149
197;120.379141
198;214.9893
199;203.454015
200;196.879582
201;184.144804
202;170.669214
203;156.412192
204;145.111677
205;132.511052
206;124.112046
207;119.196052
208;120.350921
209;129.202831
210;135.458943
211;140.583026
212;146.602645
213;150.846751
214;65.4682068
215;82.9969518
216;97.5927894
217;106.986116
218;114.483171
219;117.825609
220;117.96491
221;115.783458
222;202.292985
223;184.274264
224;177.513075
225;169.404712
226;157.79801
227;140.747542
228;132.852509
229;116.157219
230;115.563288
231;114.844493
232;120.930468
233;131.943054
234;137.977569
235;143.520109
236;144.100796
237;145.117518
238;54.7645212
239;67.885685
240;79.6432369
241;89.4262243
242;96.0920674
243;101.929896
244;107.937078
245;113.807114
246;207.405394
247;194.626549
248;187.833272
249;180.725991
250;183.169676
251;176.209964
252;155.747312
253;149.471134
254;132.797453
255;112.955389
256;127.393587
257;132.530152
258;136.996096
259;140.109185
260;140.590878
261;142.154292
262;53.2713134
263;68.6979638
264;82.439699
265;92.2222446
266;103.151865
267;110.165635
268;114.903259
269;119.392069
270;212.861066
271;199.287788
272;192.724724
273;179.954064
274;160.677546
275;154.844824
276;154.118687
277;139.819588
278;126.92533
279;120.912242
280;127.471345
281;141.812469
282;146.520948
283;150.965991
284;152.172749
285;153.8115
286;65.7772222
287;81.4621553
288;96.5336261
289;106.426488
290;113.961237
291;119.696786
292;124.463691
293;128.42619
294;220.884459
295;211.353536
296;203.945817
297;193.239314
298;183.724572
299;140.28965
300;137.025155
301;135.204097
302;143.018068
303;137.841061
304;147.191485
305;154.940488
306;160.257092
307;164.832173
308;166.450108
309;169.227258
310;82.7957073
311;69.5246619
312;83.7014813
313;129.36479
314;138.969401
315;146.93523
316;154.305224
317;161.803356
318;257.059201
319;248.921663
320;235.725611
321;184.461907
322;158.938929
323;134.263259
324;123.705395
325;110.823317
326;93.3248919
327;99.6285556
328;119.576725
329;135.477596
330;145.549785
331;156.754271
332;161.65898
333;164.687261
334;78.5777422
335;64.2732937
336;108.73751
337;118.615704
338;124.504457
339;130.141216
340;135.586521
341;142.349235
342;236.953735
343;227.333735
344;220.246157
345;194.524861
346;187.058179
347;186.87984
348;185.099105
349;184.877627
350;174.987003
351;182.40346
352;170.324509
353;182.821046
354;185.853316
355;187.878133
356;188.278267
357;188.623825
358;99.842611
359;116.933967
360;128.217231
361;138.051749
362;145.842306
363;150.919854
364;155.758496
365;160.538713
366;254.922074
367;244.092287
368;233.3732
369;209.582653
370;201.700493
371;180.226468
372;184.506549
373;181.516973
374;176.436687
375;176.823134
376;182.423268
377;187.159907
378;190.382561
379;192.78614
380;191.835441
381;191.646124
382;103.35739
383;122.099359
384;134.612382
385;145.373656
386;155.53493
387;163.911267
388;169.938865
389;175.304108
390;269.193143
391;256.681795
392;246.705805
393;232.674411
394;217.411605
395;196.26661
396;201.979631
397;189.029433
398;191.878439
399;186.777228
400;197.004928
401;204.495504
402;210.605161
403;218.891418
404;223.687585
405;216.338664
406;125.867149
407;141.540355
408;155.436303
409;167.760958
410;182.380898
411;199.583119
412;210.609977
413;215.129013
414;311.277161
415;300.921551
416;294.619962
417;270.846198
418;254.646745
419;233.874821
420;219.800045
421;206.569255
422;195.449944
423;192.558567
424;175.615105
425;215.512436
426;228.089481
427;236.817931
428;250.751388
429;256.002331
430;172.24231
431;194.617379
432;211.350138
433;224.39837
434;233.39766
435;240.772015
436;246.352293
437;251.876381
438;343.618455
439;329.352914
440;312.380035
441;292.465488
442;260.423102
443;247.842548
444;225.312255
445;209.416395
446;192.461878
447;182.812887
448;180.516743
449;191.02843
450;194.945492
451;199.397731
452;208.68331
453;212.705952
454;126.506063
455;145.139141
456;157.838427
457;169.431538
458;178.581653
459;186.125519
460;193.246505
461;201.585408
462;296.147622
463;290.144802
464;290.786157
465;275.197661
466;263.807863
467;249.283343
468;217.24887
469;197.780886
470;182.508743
471;177.985688
472;193.687037
473;207.39014
474;217.438489
475;227.416894
476;230.848542
477;230.685111
478;141.931601
479;159.923454
480;173.074875
481;181.878149
482;185.439429
483;189.422725
484;191.517979
485;195.391926
486;287.249809
487;273.710071
488;262.40879
489;239.294413
490;224.320556
491;193.273668
492;181.633167
493;172.090042
494;168.906829
495;167.797615
496;158.305725
497;183.263526
498;191.556174
499;196.726278
500;199.036139
501;204.526437
502;125.288352
503;151.594073
504;168.850557
505;181.060339
506;191.487217
507;201.355363
508;213.63662
509;223.926632
510;325.868044
511;322.149663
512;301.906779
513;275.533726
514;248.770613
515;217.553615
516;193.005999
517;173.636198
518;156.337085
519;145.899241
520;139.710771
521;173.31358
522;186.357174
523;194.95739
524;204.335787
525;207.474352
526;116.486173
527;127.468834
528;130.066789
529;130.827055
530;129.996003
531;129.002641
532;126.75032
533;126.01591
534;218.122037
535;205.533951
536;196.927968
537;181.110749
538;162.255068
539;164.25562
540;160.212881
541;148.752161
542;147.683086
543;148.478898
544;145.801282
545;153.317412
546;157.952846
547;161.538748
548;162.034868
549;165.666136
550;80.6369742
551;67.0604921
552;81.7339961
553;129.827328
554;142.549941
555;152.868356
556;163.58618
557;172.47344
558;267.114637
559;254.85104
560;238.164936
561;221.25976
562;212.255371
563;178.547727
564;155.202136
565;135.173903
566;128.559176
567;119.281428
568;117.472659
569;135.595233
570;139.576998
571;141.277353
572;141.702487
573;141.14216
574;51.3210393
575;65.8353957
576;78.3170094
577;89.8250511
578;99.4351473
579;108.945221
580;118.501655
581;126.745782
582;225.410204
583;215.863805
584;202.311499
585;167.634952
586;132.660109
587;100.777943
588;82.0932399
589;65.0161698
590;39.482752
591;28.5144003
592;41.9170628
593;86.7369533
594;103.695525
595;116.489698
596;126.37409
597;134.132303
598;52.506509
599;72.1525464
600;87.6209161
601;99.7682633
602;109.445649
603;115.957187
604;118.102075
605;120.121121
606;209.709273
607;195.3756
608;184.273988
609;128.044652
610;94.0348466
611;69.793686
612;52.0909358
613;37.4439186
614;18.4287882
615;0
616;0
617;27.690521
618;77.9999537
619;90.962318
620;97.329055
621;103.019131
622;18.4958029
623;3.60983358
624;17.8756192
625;62.639212
626;72.9001598
627;79.6925164
628;83.5973889
629;86.5256986
630;179.542057
631;164.6857
632;157.139618
633;141.082835
634;115.077462
635;78.2316691
636;68.7338594
637;72.4276683
638;59.4935138
639;66.5831756
640;68.1984334
641;79.8934707
642;85.1651325
643;91.7648387
644;91.4465358
645;90.4384245
646;9.46788717
647;0
648;0
649;6.23672321
650;45.5384405
651;51.0902745
652;58.0245282
653;63.7544567
654;156.33848
655;142.801285
656;132.963807
657;116.204361
658;110.366846
659;101.39741
660;102.8854
661;105.354185
662;106.10279
663;105.734544
664;108.957648
665;115.926884
666;117.504992
667;122.34567
668;130.641064
669;131.196203
670;42.2449175
671;56.5242008
672;68.4909487
673;78.6153229
674;87.7175386
675;95.5966794
676;102.003952
677;110.833762
678;208.233824
679;199.527644
680;197.149414
681;145.285616
682;114.278432
683;92.7577099
684;82.3675124
685;69.1995887
686;50.8455305
687;42.7795908
688;41.2209932
689;83.6238847
690;98.03808
691;109.339033
692;118.514642
693;125.839647
694;43.8581904
695;64.8250283
696;80.5635533
697;92.7596782
698;101.929125
699;107.544897
700;111.453924
701;115.435446
702;207.502837
703;193.642731
704;188.828675
705;166.78823
706;150.909853
707;131.337804
708;122.951876
709;114.28248
710;102.875504
711;105.683149
712;104.393446
713;111.115507
714;117.14685
715;121.563717
716;127.620685
717;130.967552
718;45.8538282
719;64.1635247
720;79.5440787
721;92.3133618
722;102.191807
723;109.561785
724;116.821734
725;123.898337
726;218.719691
727;204.476276
728;192.765423
729;176.979156
730;167.392852
731;157.869877
732;150.243978
733;145.766363
734;144.020723
735;143.916232
736;139.993271
737;124.03624
738;121.713821
739;121.87503
740;122.720002
741;123.98852
742;36.1677222
743;52.6646488
744;67.5040052
745;79.5491766
746;89.6240875
747;98.2541364
748;105.796993
749;112.45888
750;207.597498
751;196.809098
752;190.068529
753;182.004446
754;177.067816
755;159.252212
756;148.094398
757;141.466482
758;140.922044
759;132.920308
760;140.350913
761;147.372378
762;154.083725
763;159.842387
764;166.889416
765;170.309925
766;83.4975861
767;102.399144
768;115.296233
769;126.935697
770;136.19378
771;144.234812
772;151.059018
773;156.932799
774;250.503312
775;240.313359
776;231.884081
777;174.302115
778;155.803116
779;157.405911
780;136.199764
781;133.332177
782;117.085016
783;128.962089
784;140.170689
785;151.012667
786;160.376302
787;167.147996
788;171.957769
789;175.509061
790;89.8480095
791;109.384296
