Index;Wert
0;17.0539715
1;16.9920674
2;16.9419453
3;16.8991244
4;16.8610849
5;16.826422
6;18.1563717
7;18.2350627
8;18.2765669
9;18.3396388
10;18.3777264
11;18.4405524
12;18.5363421
13;18.5998818
14;18.6620053
15;18.7096798
16;18.6942924
17;18.6753631
18;18.6547905
19;18.6349471
20;18.6202513
21;18.6134907
22;17.2472031
23;17.1336823
24;17.0601669
25;17.0089095
26;16.9699914
27;16.9377559
28;16.9089306
29;16.8810018
30;18.2176128
31;18.3060273
32;18.3620753
33;18.4051636
34;18.431402
35;18.4748429
36;18.5306102
37;18.5710474
38;18.5853071
39;18.6061547
40;18.6209046
41;18.6316996
42;18.6420238
43;18.6523753
44;18.6611096
45;18.6667774
46;17.3088451
47;17.2039458
48;17.1366675
49;17.0886152
50;17.0522381
51;17.0231455
52;16.9976011
53;16.9725207
54;18.314062
55;18.4066292
56;18.4597677
57;18.5216855
58;18.5651181
59;18.617379
60;18.6911835
61;18.7208032
62;18.7797538
63;18.8561659
64;18.7763868
65;18.7469468
66;18.7167278
67;18.690248
68;18.6653247
69;18.6409495
70;17.2597735
71;17.1377364
72;17.0562731
73;16.9920972
74;16.9384731
75;16.8969608
76;16.8657312
77;16.8455924
78;18.2003039
79;18.3079635
80;18.3776551
81;18.4696563
82;18.5728946
83;18.6619597
84;18.6584529
85;18.6689186
86;18.6973199
87;18.6890044
88;18.6708953
89;18.6537751
90;18.6377593
91;18.6214275
92;18.6080741
93;18.5988628
94;17.2281513
95;17.1088236
96;17.0227431
97;16.9541132
98;16.8959854
99;16.8443183
100;16.8005842
101;16.7662229
102;18.1083074
103;18.2140573
104;18.2931382
105;18.4334667
106;18.4726737
107;18.5265674
108;18.6189993
109;18.6274703
110;18.6337522
111;18.6456156
112;18.6459515
113;18.6347422
114;18.6108175
115;18.5857478
116;18.5770495
117;18.5775048
118;17.2109981
119;17.0960529
120;17.0199225
121;16.9638329
122;16.9176164
123;16.8771738
124;16.8409564
125;16.8087369
126;18.1454265
127;18.2383186
128;18.2934044
129;18.4153777
130;18.4618383
131;18.4929499
132;18.6048012
133;18.6221788
134;18.6619362
135;18.6309848
136;18.6019697
137;18.5738804
138;18.5503422
139;18.5315943
140;18.5145913
141;18.4906043
142;17.1028445
143;16.9778121
144;16.9048929
145;16.8587741
146;16.8235725
147;16.7949353
148;16.7663038
149;16.7459021
150;18.0964599
151;18.1921559
152;18.2451192
153;18.3717406
154;18.4670953
155;18.5104181
156;18.5628547
157;18.6002138
158;18.6309279
159;18.6588348
160;18.611737
161;18.5783083
162;18.5726471
163;18.6051648
164;18.6478409
165;18.6741725
166;17.321795
167;17.2102433
168;17.1305305
169;17.0688944
170;17.023313
171;16.9939794
172;16.9712626
173;16.9468098
174;18.2849136
175;18.3707252
176;18.4165573
177;18.5312676
178;18.603525
179;18.6790407
180;18.7123825
181;18.7614471
182;18.8069368
183;18.8166336
184;18.8283488
185;18.7574699
186;18.7187568
187;18.6917624
188;18.678929
189;18.672515
190;17.3000835
191;17.1781631
192;17.0890082
193;17.0227542
194;16.9794812
195;16.9492478
196;16.9242538
197;16.8980926
198;18.2307605
199;18.3102685
200;18.360543
201;18.4089464
202;18.4497854
203;18.5060737
204;18.5727782
205;18.6403097
206;18.6997453
207;18.7421737
208;18.7587031
209;18.74686
210;18.7254535
211;18.7008556
212;18.6715882
213;18.6388318
214;17.2465677
215;17.1105695
216;17.0184494
217;16.9571877
218;16.9156992
219;16.8894899
220;16.8814639
221;16.888967
222;18.2674691
223;18.392821
224;18.4639155
225;18.5132975
226;18.5634736
227;18.6281804
228;18.6689942
229;18.7372172
230;18.757647
231;18.7725028
232;18.7600749
233;18.7271027
234;18.7001746
235;18.6738315
236;18.6567167
237;18.6496424
238;17.2850086
239;17.1798295
240;17.1148194
241;17.067755
242;17.0319209
243;17.0039959
244;16.9763092
245;16.9458971
246;18.2781954
247;18.3613801
248;18.4044432
249;18.4384472
250;18.4377689
251;18.4540487
252;18.5128211
253;18.5386219
254;18.6069858
255;18.6961438
256;18.6932146
257;18.6983689
258;18.6900411
259;18.6786467
260;18.6718847
261;18.666201
262;17.2966531
263;17.181349
264;17.1036713
265;17.0484769
266;17.000544
267;16.9564497
268;16.9244354
269;16.8990287
270;18.2363585
271;18.3245105
272;18.3820228
273;18.4320774
274;18.4954427
275;18.5220875
276;18.5346791
277;18.5861959
278;18.6291609
279;18.6604225
280;18.6565179
281;18.6212879
282;18.6062582
283;18.5942131
284;18.5854094
285;18.579025
286;17.208956
287;17.0917236
288;17.0096564
289;16.9501215
290;16.9087815
291;16.8776797
292;16.8523994
293;16.830172
294;18.1720649
295;18.2581479
296;18.3075216
297;18.3483172
298;18.3787205
299;18.5126062
300;18.5407328
301;18.552984
302;18.5486649
303;18.5711887
304;18.5531288
305;18.5331132
306;18.519427
307;18.504451
308;18.4924391
309;18.4806484
310;17.101921
311;16.9736712
312;16.880714
313;16.8079384
314;16.7508127
315;16.7046697
316;16.6632802
317;16.6215709
318;17.9424993
319;18.0121732
320;18.0664673
321;18.2320665
322;18.3184786
323;18.413533
324;18.490959
325;18.5745912
326;18.6613789
327;18.6746543
328;18.6313948
329;18.5886404
330;18.5522624
331;18.5214744
332;18.4996832
333;18.482756
334;17.1059666
335;16.9836247
336;16.9039108
337;16.8501813
338;16.8158343
339;16.7920266
340;16.768372
341;16.7391768
342;18.0679478
343;18.1467073
344;18.1936692
345;18.2733785
346;18.3014926
347;18.3059382
348;18.3185671
349;18.3263893
350;18.3580042
351;18.3403317
352;18.3743348
353;18.3461653
354;18.3411528
355;18.3376372
356;18.3358865
357;18.3341034
358;16.9683456
359;16.8544896
360;16.7785999
361;16.7246819
362;16.683861
363;16.6533893
364;16.6300585
365;16.6089664
366;17.9518838
367;18.0411773
368;18.0934964
369;18.169875
370;18.204208
371;18.2783465
372;18.2820922
373;18.3035189
374;18.3342253
375;18.3446214
376;18.3374503
377;18.3255119
378;18.3158728
379;18.3083238
380;18.3067715
381;18.3089124
382;16.9440239
383;16.8251932
384;16.7413423
385;16.6801807
386;16.6291246
387;16.5821438
388;16.5429663
389;16.5111771
390;17.8461358
391;17.9337493
392;17.9917914
393;18.0529826
394;18.113911
395;18.1888755
396;18.187002
397;18.2329795
398;18.2365742
399;18.2614878
400;18.2385108
401;18.2173092
402;18.1900132
403;18.1554505
404;18.1184068
405;18.1140961
406;16.7694347
407;16.6658819
408;16.591246
409;16.5287613
410;16.4629417
411;16.380222
412;16.2976417
413;16.2425337
414;17.5658403
415;17.6376859
416;17.6767051
417;17.7538249
418;17.805573
419;17.8755519
420;17.9551639
421;18.0275628
422;18.0914914
423;18.1260818
424;18.1921994
425;18.0928552
426;18.032852
427;17.9835887
428;17.927951
