Index;Wert
0;13.1196939
1;13.8171092
2;14.4096142
3;14.9248182
4;15.7522371
5;19.7802779
6;29.2390686
7;31.8449534
8;31.6351497
9;30.8196151
10;29.9250215
11;27.0701888
12;23.058942
13;22.4548143
14;22.0570342
15;22.1006667
16;23.5324949
17;24.8236859
18;28.8892971
19;29.7841992
20;30.1586495
21;30.2183759
22;19.1575594
23;20.5751088
24;21.037827
25;21.7728255
26;22.4071139
27;22.9775471
28;23.5792572
29;27.1869843
30;36.0392052
31;38.0018021
32;37.0355344
33;35.9148739
34;35.2257744
35;33.0512581
36;29.2381719
37;28.5476254
38;28.5361769
39;28.5390555
40;28.8048308
41;29.1609376
42;32.3953161
43;32.5296726
44;32.4494322
45;32.2530981
46;20.8763844
47;21.9960169
48;22.299845
49;22.8816645
50;23.3341178
51;23.7246325
52;24.1526831
53;27.5321537
54;35.5963026
55;37.2502986
56;37.4631004
57;36.0774695
58;34.7057424
59;31.461638
60;26.759462
61;26.2954189
62;25.7403431
63;24.8865093
64;27.2592293
65;28.5127006
66;32.3841581
67;32.9755122
68;33.5113457
69;33.7311309
70;22.5354346
71;23.5688748
72;24.3797003
73;25.2438087
74;25.859434
75;26.2922253
76;26.5959609
77;29.5517838
78;37.1952634
79;38.3908108
80;38.1600572
81;37.2181179
82;35.2049041
83;31.4828401
84;28.3996265
85;28.2901409
86;27.9656264
87;28.2469359
88;29.2049245
89;29.9847494
90;33.5028186
91;33.8964685
92;33.9151769
93;33.8337112
94;22.4637412
95;23.6830515
96;24.3438063
97;25.1674136
98;25.9365668
99;26.6022084
100;27.1468377
101;30.4977218
102;38.8220998
103;40.1055407
104;38.4721987
105;35.8922604
106;34.8215475
107;32.2134877
108;27.6249064
109;27.9474589
110;28.0556741
111;28.0265053
112;28.4589378
113;29.3540245
114;33.2969366
115;33.9035989
116;33.6594438
117;33.474259
118;22.1946081
119;23.4157787
120;50.5315471
121;50.3761272
122;50.1970901
123;50.0218519
124;49.888749
125;52.7110755
126;60.7295916
127;61.816705
128;56.2889443
129;50.8013668
130;47.9103849
131;43.9730598
132;38.4158818
133;38.7333705
134;37.7439718
135;42.9685519
136;44.372826
137;45.250578
138;48.8300949
139;49.2632657
140;49.4239841
141;49.7659349
142;38.6466229
143;39.8779751
144;39.9097436
145;40.5257693
146;40.9492009
147;41.3823031
148;41.8668902
149;45.0319055
150;53.5210478
151;55.399038
152;50.4448862
153;45.1367673
154;41.2917047
155;37.8735119
156;33.6354232
157;32.9367213
158;32.7827243
159;37.9275461
160;40.5111828
161;41.673635
162;44.7418365
163;44.081571
164;43.5749017
165;43.3516768
166;32.2291243
167;33.7853928
168;11.5023544
169;12.2529831
170;12.6367432
171;12.8105709
172;13.0951404
173;16.4902711
174;25.1449711
175;27.5442181
176;27.289121
177;25.3434385
178;23.7630514
179;20.5626352
180;17.4142893
181;17.0076556
182;17.0247172
183;17.8992231
184;18.9751853
185;21.369609
186;25.7143746
187;26.6404587
188;26.8929603
189;27.0978387
190;16.203233
191;17.8179254
192;18.7306364
193;19.5684646
194;20.1418505
195;20.5714848
196;21.0926367
197;24.6870907
198;33.7182852
199;35.8539787
200;34.879669
201;34.0180855
202;33.001929
203;30.3893993
204;26.5700619
205;24.3866474
206;23.6632756
207;23.532789
208;24.2278823
209;25.3576044
210;29.3226053
211;30.1391442
212;30.8437829
213;31.3013208
214;20.502044
215;22.139983
216;22.7639533
217;23.3902907
218;23.8928375
219;24.0566392
220;23.9586783
221;26.5479269
222;34.0344807
223;35.1789489
224;35.5217361
225;34.9334284
226;33.7373095
227;30.8315951
228;27.0568931
229;25.8313742
230;25.9254358
231;26.2249123
232;27.2499628
233;28.5137947
234;32.3437825
235;33.030302
236;33.1822103
237;33.1123869
238;21.6476295
239;22.428045
240;23.0039586
241;23.5855077
242;23.9316392
243;24.2665209
244;24.7280485
245;28.1378516
246;36.37068
247;37.9901268
248;38.3909963
249;38.722722
250;38.8864483
251;36.7853286
252;32.3059559
253;31.5093373
254;30.008215
255;28.4298696
256;29.2523531
257;29.9776118
258;33.564322
259;33.9188441
260;33.8716493
261;33.8467302
262;22.4828291
263;23.6245674
264;24.103392
265;24.6648724
266;25.4644483
267;26.003075
268;26.3859292
269;29.7674435
270;38.5609909
271;40.374728
272;39.2892103
273;37.8240399
274;36.7658882
275;34.5519983
276;31.2175225
277;29.9437745
278;29.6565792
279;29.4500828
280;30.2790487
281;31.5413517
282;35.1567061
283;35.7200552
284;35.7915609
285;35.80104
286;24.6221338
287;25.9899343
288;55.1112517
289;55.0067653
290;54.7768603
291;54.4844549
292;54.2596831
293;57.0386298
294;65.1856825
295;66.7427478
296;61.2252974
297;57.0258561
298;54.4142143
299;48.9169848
300;44.2923084
301;43.2355974
302;43.5315037
303;48.1511128
304;49.717816
305;50.4822419
306;54.0229426
307;54.5068093
308;54.5206559
309;54.5519663
310;43.459116
311;44.942095
312;45.5833046
313;46.4732139
314;47.1510818
315;47.6794437
316;48.2777394
317;51.951158
318;60.897551
319;63.062495
320;57.3805068
321;53.2254
322;50.7555739
323;46.28738
324;41.4150302
325;38.5549685
326;37.2314488
327;42.2976655
328;44.7680667
329;46.4467676
330;50.7449618
331;51.6047076
332;52.0626279
333;52.2557247
334;41.3046246
335;42.8049053
336;15.2742032
337;16.1315236
338;16.9147392
339;17.910321
340;19.0702655
341;23.3990534
342;33.0076114
343;35.6651148
344;35.3693889
345;34.268382
346;33.985497
347;33.0314411
348;30.5888511
349;30.4081858
350;30.115849
351;31.086021
352;31.5940328
353;32.9563357
354;36.7565955
355;37.4263044
356;37.7319222
357;37.9079278
358;26.9328016
359;28.4880882
360;29.1147594
361;29.9861375
362;30.7461738
363;31.2963154
364;31.8805675
365;35.4362446
366;44.3158025
367;46.4742226
368;45.734565
369;44.3502011
370;43.8164027
371;41.2668692
372;38.7389034
373;37.2715487
374;36.9710999
375;37.3745529
376;38.7096717
377;39.6118838
378;43.2486662
379;43.7595112
380;43.7157917
381;43.597185
382;32.4462235
383;33.9633117
384;34.5492047
385;35.3134136
386;36.0969176
387;36.7861921
388;37.3168164
389;40.6826294
390;48.8787551
391;50.4563136
392;50.3942814
393;49.7788434
394;48.6244272
395;45.5679865
396;42.7522867
397;41.8488678
398;41.9298908
399;41.7812247
400;42.7597261
401;43.7821966
402;47.5592477
403;48.4829536
404;49.0693959
405;48.1171809
406;36.4093307
407;37.2744674
408;38.0900144
409;38.9303739
410;40.1234314
411;41.7519142
412;42.8902038
413;46.1571511
414;54.5114852
415;56.2593654
416;56.5135245
417;55.7866843
