Index;Wert
0;13.409625
1;14.0345575
2;14.6270625
3;15.1422665
4;15.9506166
5;17.5010889
6;27.7818853
7;30.5219478
8;27.1832469
9;23.7742289
10;21.4303936
11;19.6899831
12;18.5149948
13;17.1174532
14;15.9462592
15;15.5748917
16;17.3235477
17;19.7243943
18;22.4202304
19;23.7309604
20;23.0845828
21;21.4216537
22;14.7162845
23;15.50442
24;13.0997581
25;13.5132738
26;13.9085623
27;14.2509955
28;14.9256367
29;16.4087954
30;26.5420218
31;29.0697966
32;25.3806315
33;22.3034876
34;20.6561464
35;19.9210524
36;19.3342247
37;18.2392643
38;17.7634019
39;17.5682805
40;18.3488836
41;20.056646
42;22.1512494
43;22.9134337
44;22.0093655
45;20.2733759
46;13.4251095
47;14.0783281
48;11.8751708
49;12.2637694
50;12.5180017
51;12.7092954
52;13.187788
53;14.0095188
54;20.647744
55;21.7110261
56;24.7355618
57;25.9183503
58;24.1964135
59;21.0733119
60;18.181666
61;17.0164132
62;15.6572326
63;14.5533987
64;17.4603285
65;19.8841143
66;22.0790418
67;22.6073958
68;22.6641245
69;21.3339322
70;14.3831686
71;13.6951894
72;13.8406226
73;14.5594564
74;14.9405324
75;15.2320492
76;15.5810594
77;15.9088615
78;22.0974046
79;22.4799378
80;24.9514225
81;26.8987216
82;25.5968809
83;21.727747
84;19.9008857
85;18.9796539
86;18.1947664
87;18.0047028
88;19.7394375
89;21.8953816
90;23.9397255
91;24.3473753
92;23.4653376
93;22.0257528
94;14.921078
95;15.3249168
96;13.9967374
97;14.748862
98;15.5150151
99;16.1736567
100;17.0002171
101;18.4355329
102;28.2389164
103;30.2765352
104;26.1092959
105;21.4588742
106;19.4119195
107;18.3742821
108;17.1039592
109;17.1420977
110;16.918899
111;16.8837303
112;17.9779906
113;20.3327329
114;23.2328699
115;24.5593601
116;23.5793772
117;21.9305367
118;15.2583332
119;16.0890899
120;13.7474782
121;14.2895755
122;14.8415385
123;15.3323003
124;16.1121284
125;17.6018865
126;27.6604083
127;30.0286995
128;26.5530414
129;22.0029806
130;19.679757
131;18.8648542
132;17.2219345
133;17.2020094
134;16.3841967
135;17.4007768
136;19.0818787
137;21.5322864
138;24.1750282
139;25.4190268
140;24.9189175
141;23.8592127
142;17.395348
143;18.2692863
144;15.5816747
145;15.9662177
146;16.2036493
147;16.5447515
148;17.2172696
149;18.3507165
150;28.2288645
151;30.7640325
152;27.2789834
153;22.6893811
154;19.2950767
155;18.2013062
156;17.903476
157;17.1763602
158;16.6389492
159;16.8147711
160;19.0572355
161;21.4393434
162;23.2407699
163;23.0753321
164;21.618835
165;19.7399545
166;13.0178494
167;13.977704
168;11.7922856
169;12.4704314
170;12.8541916
171;13.0280192
172;13.6025199
173;15.0810822
174;25.2057878
175;27.9012126
176;24.5162181
177;20.2810522
178;17.5174234
179;15.6644295
180;15.4693421
181;14.3452945
182;13.4929421
183;13.785448
184;15.0422381
185;18.5143174
186;21.4653079
187;22.7842199
188;21.9948936
189;20.4621164
190;13.9119581
191;14.8912366
192;12.9315676
193;13.4449129
194;13.7822989
195;13.9859332
196;14.5830161
197;16.0569018
198;26.3741019
199;29.0829731
200;25.3927662
201;22.2326993
202;20.0273011
203;18.7501936
204;18.0571146
205;16.4592862
206;15.2525005
207;14.8470139
208;15.815935
209;18.2903128
210;21.1055386
211;22.5399054
212;22.4067163
213;21.3075985
214;15.0187692
215;16.1692942
216;14.2602791
217;14.6583956
218;14.9207214
219;14.8363021
220;14.7387831
221;14.717292
222;20.7219222
223;21.2166764
224;24.2971975
225;25.5593092
226;23.7819806
227;20.696269
228;18.5770971
229;16.4663684
230;15.9453252
231;16.0558017
232;17.6540619
233;20.0512084
234;22.1656662
235;22.7461857
236;22.3759891
237;20.7211882
238;13.4553634
239;12.4663596
240;12.3308809
241;12.7251554
242;12.8037376
243;12.9713448
244;13.455147
245;14.2199294
246;20.9838213
247;21.7782538
248;24.8613617
249;27.9213258
250;28.5494251
251;26.0632354
252;22.624215
253;20.9108503
254;18.935355
255;16.8706365
256;18.5668662
257;20.631244
258;22.6982288
259;23.013751
260;22.0138101
261;20.6117717
262;13.480166
263;13.7744327
264;12.2293231
265;12.6753208
266;13.4158966
267;13.8845234
268;14.4833087
269;15.8682545
270;26.0588076
271;28.5427225
272;24.8303075
273;21.6196537
274;19.3132602
275;18.9527927
276;19.2955753
277;18.0454134
278;16.7718041
279;16.3963078
280;17.7741015
281;20.4220601
282;22.9226394
283;24.1298163
284;23.3834942
285;21.8603177
286;15.202859
287;16.0882455
288;13.9321828
289;14.3962137
290;14.7633087
291;15.0229033
292;15.5960626
293;16.9274408
294;27.0034992
295;29.7327423
296;26.1413945
297;23.1094698
298;21.3235863
299;18.7497791
300;18.6893612
301;18.1442362
302;18.2467286
303;18.0493377
304;19.5658688
305;21.8389503
306;24.4008759
307;25.6595705
308;24.9805893
309;23.599244
310;17.1408411
311;18.2494062
312;16.2612357
313;17.0456623
314;17.6765302
315;18.200892
316;19.0781189
317;20.8179691
318;31.2393677
319;34.1494895
320;29.9506039
321;24.8210137
322;21.7419459
323;19.5281744
324;18.3620829
325;16.6036073
326;15.1166738
327;15.6038904
328;17.9151195
329;20.877476
330;23.9688952
331;25.3804687
332;24.9295613
333;23.5040025
334;16.9833497
335;17.9092165
336;15.5641343
337;15.9559719
338;16.1141875
339;16.3107694
340;16.937645
