Index;Wert
0;78.2099939
1;2.58073417
2;3.20323917
3;3.77544315
4;4.35386212
5;5.02205831
6;11.7387156
7;11.641467
8;10.8996633
9;9.75712875
10;8.22453516
11;6.03812469
12;4.28872244
13;3.11759477
14;2.23681465
15;1.92144718
16;3.06027534
17;4.13646633
18;5.13023298
19;5.80613514
20;5.89858535
21;5.67531182
22;0.095184383
23;1.26173382
24;1.47645197
25;1.9724505
26;2.38573894
27;2.74217213
28;3.14588224
29;3.71576477
30;10.2328522
31;9.86431572
32;8.69204798
33;7.79438747
34;7.20628801
35;6.42319395
36;5.35795236
37;4.51140589
38;4.34195734
39;4.11083598
40;4.15061124
41;4.40671805
42;4.67325195
43;4.68660846
44;4.51536809
45;4.23903402
46;0
47;0
48;0
49;0.194289512
50;0.539742789
51;0.830257463
52;1.1723081
53;1.63393411
54;7.40594959
55;6.84281224
56;6.98061401
57;6.51898308
58;5.55925605
59;3.91657388
60;2.18524248
61;1.81419936
62;0.857123587
63;0
64;1.90800979
65;3.17948108
66;4.24009398
67;4.85244807
68;5.44528161
69;5.69306675
70;0.175059627
71;1.16149981
72;1.94032527
73;2.80443368
74;3.40405899
75;3.79885034
76;4.04658591
77;4.04856421
78;9.44991045
79;8.44332438
80;8.12557079
81;7.30263147
82;5.41441769
83;3.24477603
84;3.15140698
85;3.14092133
86;2.83740687
87;3.10471636
88;4.02870498
89;4.91152981
90;5.66075452
91;6.15640437
92;6.19711278
93;6.16164714
94;0.534366184
95;1.7956765
96;2.52743126
97;3.43803862
98;4.31019179
99;5.05483338
100;5.63346266
101;6.13650228
102;12.2057468
103;11.2080543
104;9.44871235
105;6.98477406
106;5.90806107
107;4.61842364
108;2.85468687
109;3.2762393
110;3.4214545
111;3.37428576
112;3.78171823
113;4.87680494
114;6.14287246
115;6.77453483
116;6.44137974
117;6.28419491
118;0.722233074
119;1.92940369
120;2.2111721
121;2.85075216
122;3.44271511
123;3.99147691
124;4.53537395
125;5.12485589
126;11.5432386
127;10.9662186
128;10.0954579
129;7.69988044
130;6.26989856
131;5.14699574
132;3.00766221
133;3.42615099
134;3.0287522
135;4.16333231
136;5.24260641
137;6.31035849
138;7.17703078
139;7.75820157
140;8.05692003
141;8.64287081
142;3.29624784
143;4.54060007
144;4.34236858
145;4.83939433
146;5.03282591
147;5.42392814
148;5.84251515
149;5.95568591
150;12.1836949
151;11.8695517
152;10.9613998
153;8.55228094
154;5.92721828
155;4.51144781
156;3.64720363
157;3.23250177
158;3.06850472
159;3.45932657
160;5.22596323
161;6.19641544
162;5.98477243
163;4.79750689
164;4.03183758
165;3.62061267
166;0
167;0
168;0
169;0.745608077
170;1.10336823
171;1.24119589
172;1.55176541
173;2.16005156
174;8.67461818
175;8.54473173
176;7.7486346
177;5.76095209
178;3.997565
179;1.82057106
180;1.13806977
181;0.241436062
182;0
183;0.00600352875
184;0.705965755
185;2.85438943
186;4.08531046
187;4.71539463
188;4.59289618
189;4.56177456
190;0
191;0.56855039
192;1.35226142
193;1.92408958
194;2.23747554
195;2.41710982
196;2.75026167
197;3.32487115
198;10.0619322
199;9.89449228
200;8.70618262
201;7.74159914
202;6.48144264
203;4.87233518
204;3.7188423
205;2.2814278
206;1.43705603
207;1.03156941
208;1.2756627
209;2.47638485
210;3.5705412
211;4.37108011
212;5.16071883
213;5.63925665
214;0.500669037
215;2.05760802
216;2.58157825
217;3.03291571
218;3.37846249
219;3.32626418
220;2.94930327
221;2.32770732
222;7.35412775
223;6.14446256
224;6.41824969
225;5.92294203
226;4.92882308
227;3.42553097
228;2.43467357
229;1.13415459
230;1.02921626
231;1.19569277
232;2.09574323
233;3.33357515
234;4.29871838
235;5.00323791
236;4.99914621
237;4.87032276
238;0
239;0
240;0.0765836006
241;0.594132735
242;0.835264149
243;1.11214594
244;1.57267349
245;2.14763209
246;8.22532708
247;7.68064042
248;8.11150993
249;8.49823566
250;8.66496191
251;7.98526448
252;6.3077363
253;5.26411776
254;3.51399545
255;1.74465002
256;2.56413358
257;3.38039222
258;4.13225787
259;4.49078001
260;4.39158524
261;4.43666606
262;0
263;0
264;0.436016971
265;0.958497429
266;1.84707325
267;2.33370001
268;2.63055419
269;3.10322391
270;9.70163793
271;9.27524162
272;8.06672392
273;7.03455354
274;5.78940182
275;5.37693424
276;5.30530297
277;4.42955494
278;3.39035961
279;2.96286327
280;3.71382913
281;5.00813214
282;5.72064198
283;6.27699109
284;6.24149676
285;6.21697589
286;0.662758842
287;1.93355927
288;2.43187668
289;2.9623903
290;3.32848533
291;3.58607991
292;3.87430813
293;4.27041021
294;10.7363296
295;10.6602614
296;9.57181099
297;8.7523697
298;7.98772787
299;5.36992069
300;4.91208886
301;4.6043778
302;5.11528412
303;4.93189321
304;5.76859645
305;6.62202239
306;7.42087847
307;8.03674522
308;8.08659182
309;8.25690219
310;2.97174102
311;4.54272001
312;5.28192955
313;6.22283892
314;6.92170683
315;7.52706865
316;8.2373644
317;9.16493848
318;16.044198
319;16.1590086
320;14.1810204
321;11.2899136
322;8.94008749
323;6.29431593
324;4.52781061
325;2.9477489
326;1.72522925
327;2.23844591
328;3.97284716
329;5.63254804
330;7.03289771
331;7.76764346
332;8.10156382
333;8.16366063
334;2.79224956
335;4.11253025
336;4.38082816
337;4.83114858
338;4.91336416
339;5.11394601
340;5.49089052
341;6.29983381
342;13.0922584
343;12.9336284
344;11.9209025
345;10.3578956
346;9.76401059
347;9.71137695
348;9.63263153
349;9.6559662
350;9.13462941
351;9.6548014
352;9.26281323
353;10.1921162
354;10.7435314
355;11.0292403
356;10.9368581
357;10.7918637
358;5.19842658
359;6.43271319
360;6.73538436
361;7.27276252
362;7.71379884
363;7.88194042
364;8.15419245
365;8.55902504
