Index;Wert
0;11.8238017
1;12.8209927
2;13.5975252
3;14.4719604
4;15.060793
5;15.8726077
6;17.0610608
7;18.165498
8;18.0971298
9;17.836179
10;17.7851265
11;17.6900459
12;17.2735145
13;15.9637759
14;15.202977
15;13.9280933
16;14.6268571
17;15.5094795
18;16.1794835
19;16.1010236
20;15.6639678
21;15.703596
22;7.77523792
23;11.0533425
24;12.0763931
25;12.09663
26;12.9134485
27;13.3625859
28;13.8916386
29;14.6828954
30;16.7797467
31;17.2170536
32;17.4351104
33;17.2563837
34;17.235755
35;17.3341466
36;17.153888
37;16.5444541
38;16.5621429
39;16.6434453
40;15.529607
41;15.1303495
42;14.3527745
43;13.9277192
44;13.8358305
45;13.8095907
46;5.20180727
47;8.20044559
48;9.99351457
49;10.24674
50;10.8805756
51;11.3315369
52;11.4278657
53;11.0956959
54;14.5687762
55;14.4101919
56;14.4104754
57;14.2914543
58;14.2708182
59;12.7608064
60;11.5558848
61;11.3915851
62;9.8629428
63;6.46032297
64;9.80434482
65;12.112725
66;13.3533773
67;14.0386514
68;14.5112182
69;14.4724513
70;6.67241752
71;10.2615324
72;10.9643158
73;12.3622211
74;13.3584954
75;13.9888437
76;13.4485761
77;13.5621901
78;14.4732237
79;14.4727051
80;14.412382
81;14.3722456
82;13.2877155
83;10.3696152
84;11.3402427
85;11.6334578
86;11.2862375
87;11.7421118
88;12.7768144
89;13.6811164
90;14.4710003
91;14.4720525
92;14.6907875
93;16.3606609
94;8.8484463
95;11.6561956
96;12.449105
97;13.627561
98;14.6185463
99;15.7380549
100;16.2267623
101;16.387614
102;17.0430146
103;17.7338735
104;18.0122303
105;18.2113127
106;18.4867496
107;17.9604785
108;15.7589644
109;16.2515988
110;16.8883022
111;16.805159
112;16.497135
113;16.7894869
114;16.2019017
115;16.143072
116;16.2011434
117;15.9831362
118;7.98977597
119;11.3544703
120;12.6288493
121;13.1345094
122;13.9353502
123;14.5490756
124;15.0955989
125;16.1928227
126;17.7829599
127;18.9671198
128;19.0588557
129;18.8366298
130;18.5286373
131;18.6432589
132;15.9154568
133;16.6603815
134;15.8285825
135;17.6522816
136;18.3082381
137;16.4617666
138;16.1056602
139;16.0569934
140;16.0105941
141;16.1259065
142;10.3924347
143;14.0638726
144;14.6800289
145;15.1871131
146;15.3539996
147;15.7875807
148;15.9072951
149;16.0916381
150;17.2991807
151;18.6001405
152;18.6075284
153;18.2906608
154;18.2729549
155;16.9250489
156;16.2566255
157;16.6716836
158;17.4012038
159;16.939481
160;18.0500838
161;16.5009349
162;16.1599934
163;15.2894199
164;15.2840278
165;14.2529535
166;5.61759061
167;8.17630965
168;9.63366528
169;10.7260845
170;11.1782652
171;11.6537442
172;12.0453441
173;12.8914915
174;17.014565
175;18.1084878
176;18.0296282
177;17.7529273
178;16.1468758
179;13.2260965
180;12.7186103
181;11.9412302
182;11.3838163
183;11.0917814
184;10.6036323
185;13.5573133
186;15.2231866
187;15.2231466
188;15.4576349
189;15.2840008
190;6.68814388
191;10.2481107
192;11.9379881
193;12.0283539
194;12.7370605
195;12.9789358
196;13.4133613
197;14.2056154
198;16.7796629
199;17.2175381
200;17.4351651
201;17.2568857
202;17.2341871
203;17.3299511
204;16.978172
205;14.1636814
206;13.1657647
207;12.9375325
208;12.0580039
209;12.8689296
210;13.1239263
211;13.6210484
212;14.4907124
213;14.5518708
214;7.52450903
215;11.166985
216;13.2601893
217;13.4826401
218;14.1064568
219;14.1059614
220;13.3452239
221;11.8043589
222;14.5674989
223;14.4077484
224;14.4091652
225;14.288749
226;14.0665158
227;12.5104331
228;12.3358605
229;10.79178
230;10.6378806
231;9.76037773
232;10.4441877
233;12.5353544
234;13.5950366
235;14.3360574
236;14.5094315
237;14.4699871
238;5.39027969
239;8.56848334
240;8.89337269
241;9.84409739
242;10.4881089
243;11.0121682
244;10.7014102
245;11.4280722
246;14.4715184
247;14.4718808
248;14.4137345
249;14.3757941
250;14.3160275
251;14.3353589
252;14.33364
253;14.3306969
254;12.2353104
255;9.65351099
256;10.941622
257;11.8923443
258;13.0265284
259;13.7366533
260;14.1978241
261;15.9268007
262;6.92725357
263;9.57533502
264;10.0918451
265;10.9701735
266;12.1488612
267;13.1113755
268;13.8201902
269;14.1514054
270;16.9970597
271;17.7122299
272;18.0098043
273;18.2085919
274;18.4865021
275;18.5057482
276;18.2865311
277;17.6964564
278;16.4040129
279;15.5653511
280;15.6512784
281;16.6353406
282;16.2003687
283;16.1416463
284;16.2010939
285;15.9832131
286;7.88928146
287;11.3443577
288;12.9025102
289;13.2508138
290;13.8141783
291;14.1924587
292;14.5465954
293;15.5056016
294;17.7562372
295;18.9653313
296;19.0387674
297;18.8269301
298;18.5369592
299;18.5543596
300;17.937135
301;17.8066225
302;18.3875058
303;18.4228548
304;18.3093384
305;16.4619072
306;16.108829
307;16.0637629
308;16.0048566
309;16.1027467
310;10.1358779
311;14.0385776
312;15.3478148
313;16.2352953
314;15.9859071
315;15.9567819
316;15.9929777
317;16.2160282
318;17.4452402
319;18.7588437
320;18.6958086
321;18.3887058
322;18.3773958
323;17.8264713
324;16.4216846
325;15.4037102
326;14.1268791
327;14.0763282
328;16.7380103
329;16.5008807
330;16.1762359
331;16.1052989
332;16.235335
333;16.0236155
334;10.5141187
335;12.9165766
336;14.1117498
337;14.7994271
338;15.0661075
339;15.6152114
340;15.9138749
341;16.194855
342;17.1031241
343;18.2037948
344;18.1223914
345;17.8491274
346;17.8479788
347;17.7776942
348;17.7124021
349;18.0968119
350;18.1411216
351;17.5697462
352;17.0530285
353;16.5596338
354;16.2852462
355;16.2092229
356;15.771614
357;15.817558
358;12.471326
359;15.7597015
360;16.2525191
361;16.0962935
362;16.1797494
363;15.9953442
364;15.9575727
365;16.1793527
366;16.917064
367;17.3654705
368;17.5812756
369;17.3932395
370;17.3579797
371;17.4425555
372;17.2452798
373;17.0887994
374;16.9916802
375;16.8165758
376;16.4193666
377;15.8580825
378;15.0900228
379;14.6205069
380;14.6091491
381;14.6738477
382;12.0198267
383;15.3920842
384;16.2476143
385;16.1365332
386;16.1385692
387;16.095337
388;15.7422736
389;14.8755007
390;14.800719
391;14.6395842
392;14.623833
393;14.4848818
394;14.4497236
395;14.476007
396;14.6670633
397;14.5373921
398;14.4733872
399;14.4655086
400;14.5056572
401;14.6847236
402;14.693993
403;14.727802
404;14.8297309
405;14.7073762
406;14.3036551
407;15.059993
408;15.5567867
409;15.7011625
410;15.8060974
411;15.7799239
412;14.8179197
413;14.8430692
414;14.8162248
415;14.812935
416;14.7511869
417;14.7105036
418;14.6645874
419;14.679379
420;14.6320679
