Index;Wert
0;19.3593411
1;20.3186822
2;21.2780233
3;22.2373645
4;22.9883262
5;23.739288
6;24.4902497
7;25.2412115
8;25.8058054
9;26.3703994
10;26.9349933
11;27.4995873
12;27.8543168
13;28.2090463
14;28.5637758
15;28.9185053
16;29.131915
17;29.3453247
18;29.5587343
19;29.772144
20;29.7907182
21;29.8092923
22;29.8278664
23;29.8464406
24;29.5509457
25;29.2554508
26;28.9599559
27;28.664461
28;28.0752329
29;27.4860047
30;26.8967765
31;26.3075483
32;25.7365032
33;25.165458
34;24.5944128
35;24.0233677
36;23.601138
37;23.1789083
38;22.7566786
39;22.3344489
40;22.0081725
41;21.6818961
42;21.3556198
43;21.0293434
44;20.7285663
45;20.4277893
46;20.1270122
47;19.8262351
48;19.6901653
49;19.5540955
50;19.4180257
51;19.2819559
52;19.4002461
53;19.5185363
54;19.6368265
55;19.7551167
56;20.0559419
57;20.3567671
58;20.6575922
59;20.9584174
60;21.5529608
61;22.1475042
62;22.7420476
63;23.336591
64;23.6715868
65;24.0065825
66;24.3415783
67;24.6765741
68;24.7822991
69;24.888024
70;24.9937489
71;25.0994738
72;25.038441
73;24.9774082
74;24.9163753
75;24.8553425
76;24.8151766
77;24.7750108
78;24.7348449
79;24.694679
80;24.7633268
81;24.8319745
82;24.9006223
83;24.96927
84;25.028407
85;25.0875439
86;25.1466809
87;25.2058179
88;27.1677608
89;29.1297036
90;31.0916465
91;33.0530824
92;34.1915553
93;35.3300281
94;36.468501
95;37.2
96;37.2
97;37.2
98;37.2
99;37.2
100;37.2
101;37.2
102;37.2
103;37.2
104;37.2
105;37.2
106;37.2
107;37.2
108;37.2
109;37.2
110;37.2
111;37.2
112;37.2
113;37.2
114;37.2
115;37.2
116;37.2
117;37.2
118;37.2
119;37.2
120;36.9720476
121;36.7440952
122;36.5161428
123;36.2881904
124;35.9400987
125;35.5920071
126;35.2439154
127;34.8958238
128;34.4878264
129;34.079829
130;33.6718317
131;33.2638343
132;32.9313331
133;32.598832
134;32.2663308
135;31.9338297
136;31.5806003
137;31.2273709
138;30.8741415
139;30.5209121
140;30.225362
141;29.9298119
142;29.6342617
143;29.3387116
144;29.2010403
145;29.0633691
146;28.9256978
147;28.7880265
148;28.7990695
149;28.8101124
150;28.8211554
151;28.8321983
152;28.713182
153;28.5941658
154;28.4751495
155;28.3561332
156;28.2009751
157;28.0458171
158;27.890659
159;27.7355009
160;27.8449678
161;27.9544347
162;28.0639016
163;28.1733685
164;28.3639373
165;28.554506
166;28.7450748
167;28.9356435
168;29.3069984
169;29.6783534
170;30.0497083
171;30.4210632
172;30.8912435
173;31.3614238
174;31.8316041
175;32.3017844
176;32.7933288
177;33.2848732
178;33.7764176
179;34.267962
180;34.7656071
181;35.2632523
182;35.7608975
183;36.2585426
184;37.2
185;37.2
186;37.2
187;37.2
188;37.2
189;37.2
190;37.2
191;37.2
192;37.2
193;37.2
194;37.2
195;37.2
196;37.2
197;37.2
198;37.2
199;37.2
200;37.2
201;37.2
202;37.2
203;37.2
204;37.2
205;37.2
206;37.2
207;37.2
208;37.2
209;37.2
210;37.2
211;37.2
212;37.2
213;37.2
214;37.2
215;37.2
216;37.2
217;37.2
218;37.2
219;37.2
220;37.2
221;37.2
222;37.2
223;37.2
224;37.2
225;37.2
226;37.2
227;37.2
228;37.2
229;37.2
230;37.2
231;37.2
232;37.2
233;37.2
234;37.2
235;37.2
236;37.2
237;37.2
238;37.2
239;37.2
240;37.2
241;37.2
242;37.2
243;37.2
244;37.2
245;37.2
246;37.2
247;37.2
248;37.2
249;37.2
250;37.2
251;37.2
252;37.2
253;37.2
254;37.2
255;37.2
256;37.2
257;37.2
258;37.2
259;37.2
260;37.2
261;37.2
262;37.2
263;37.2
264;37.2
265;37.2
266;37.2
267;37.2
268;37.2
269;37.2
270;37.2
271;37.2
272;37.2
273;37.2
274;37.2
275;37.2
276;37.2
277;37.2
278;37.2
279;37.2
280;37.2
281;37.2
282;37.2
283;37.2
284;37.2
285;37.2
286;37.2
287;37.2
288;37.2
289;37.2
290;37.2
291;37.2
292;37.2
293;37.2
294;37.2
295;37.2
296;37.2
297;37.2
298;37.2
299;37.2
300;37.2
301;37.2
302;37.2
303;37.2
304;37.2
305;37.2
306;37.2
307;37.2
308;37.2
309;37.2
310;37.2
311;37.2
312;37.2
313;37.2
314;37.2
315;37.2
316;37.2
317;37.2
318;37.2
319;37.2
320;37.2
321;37.2
322;37.2
323;37.2
324;37.2
325;37.2
326;37.2
327;37.2
328;37.2
329;37.2
330;37.2
331;37.2
332;37.2
333;37.2
334;37.2
335;37.2
336;37.2
337;37.2
338;37.2
339;37.2
340;37.2
341;37.2
342;37.2
343;37.2
344;37.2
345;37.2
346;37.2
347;37.2
348;37.2
349;37.2
350;37.2
351;37.2
352;37.2
353;37.2
354;37.2
355;37.2
356;37.2
357;37.2
358;37.2
359;37.2
360;37.2
361;37.2
362;37.2
363;37.2
364;37.2
365;37.2
366;37.2
367;37.2
368;37.2
369;37.2
370;37.2
371;37.2
372;37.0871811
373;36.9743621
374;36.8615432
375;36.7487243
376;37.2
377;37.2
378;37.2
379;37.2
380;37.2
381;37.2
382;37.2
383;37.2
384;37.2
385;37.2
386;37.2
387;37.2
388;37.2
389;37.2
390;37.2
391;37.2
392;37.2
393;37.2
394;37.2
395;37.2
396;37.2
397;37.2
398;37.2
399;37.2
400;37.126393
401;37.052786
402;36.979179
403;36.905572
404;36.7891853
405;36.6727986
406;36.5564119
407;36.4400252
408;36.1493298
409;35.8586344
410;35.567939
411;35.2772437
412;34.8028092
413;34.3283748
414;33.8539404
415;33.3795059
416;32.8310404
417;32.2825749
418;31.7341094
419;31.1856439
420;30.6806684
421;30.175693
422;29.6707175
423;29.165742
424;28.6691896
425;28.1726372
426;27.6760848
427;27.1795324
428;26.8476872
429;26.5158419
430;26.1839966
431;25.8521514
432;26.2083997
433;26.564648
434;26.9208963
435;27.2771446
436;27.3374475
437;27.3977504
438;27.4580533
439;27.5183563
440;27.3399123
441;27.1614683
442;26.9830243
443;26.8045803
444;26.64676
445;26.4889398
446;26.3311195
447;26.1732992
448;26.0501213
449;25.9269434
450;25.8037655
451;25.6805876
452;25.4573198
453;25.234052
454;25.0107842
455;24.7875164
456;24.7205213
457;24.6535261
458;24.586531
459;24.5195358
460;24.4681869
461;24.416838
462;24.365489
463;24.3141401
464;24.2473466
465;24.1805532
466;24.1137597
467;24.0469663
468;24.0381535
469;24.0293407
470;24.0205279
471;24.0117151
472;25.9221688
473;27.8326226
474;29.7430764
475;31.6535301
476;32.7564572
477;33.8593844
478;34.9623115
479;36.0652386
480;36.8623148
481;37.2
482;37.2
483;37.2
484;37.2
485;37.2
486;37.2
487;37.2
488;37.2
489;37.2
490;37.2
491;37.2
492;37.2
493;37.2
494;37.2
495;37.2
496;37.2
497;37.2
498;37.2
499;37.2
500;37.1332905
501;37.0665809
502;36.9998714
503;36.9331619
504;36.4296015
505;35.926041
506;35.4224806
507;34.9189202
508;34.0900412
509;33.2611621
510;32.432283
511;31.6034039
512;30.7493227
513;29.8952415
514;29.0411602
515;28.187079
516;27.496119
517;26.8051589
518;26.1141989
519;25.4232389
520;24.9265471
521;24.4298553
522;23.9480626
523;23.4672226
524;22.9098503
525;22.3524781
526;21.7951058
527;21.2377335
528;21.56455
529;21.8913664
530;22.2181829
531;22.5449994
532;22.5604919
533;22.5759844
534;22.591477
535;22.6069695
536;22.8511118
537;23.095254
538;23.3393963
539;23.5835386
540;23.2113877
541;22.8392369
542;22.4670861
543;22.0949352
544;21.4718579
545;20.8611939
546;20.2580019
547;19.65481
548;19.5187018
549;19.3825937
550;19.2464855
551;19.1103774
552;19.0689784
553;19.0275794
554;18.9861804
555;18.9447814
556;18.9163258
557;18.8878701
558;18.8594144
559;18.8309587
560;18.8148433
561;18.7987278
562;18.7826123
563;18.7664969
564;18.7197132
565;18.6729296
566;18.626146
567;18.5793623
568;19.8714963
569;21.1636302
570;22.4557641
571;23.747898
572;24.1864227
573;24.6249473
574;25.0634719
575;25.5019965
576;25.7972648
577;26.0925331
578;26.3878014
579;26.6830696
580;26.8661625
581;27.0492554
582;27.2323482
583;27.4154411
584;27.5584812
585;27.7015213
586;27.8445614
587;27.9876015
588;28.0265821
589;28.0655627
590;28.1045434
591;28.143524
592;28.1537732
593;28.1640223
594;28.1742715
595;28.1845207
596;28.146851
597;28.1091813
598;28.0715115
599;28.0338418
600;27.6750172
601;27.3161925
602;26.9573679
603;26.5985432
604;25.8937186
605;25.188894
606;24.4840695
607;23.7792449
608;23.0724554
609;22.3656659
610;21.6588764
611;20.9520869
612;20.4304296
613;19.9087723
614;19.387115
615;18.8654577
616;18.5030364
617;18.1406152
618;17.7781939
619;17.4157727
620;17.4285952
621;17.4414176
622;17.4542401
623;17.4670626
624;17.5765584
625;17.6860541
626;17.7955499
627;17.9050456
628;17.7971731
629;17.6893005
630;17.581428
631;17.4735554
632;17.1438183
633;16.8140812
634;16.484344
635;16.1546069
636;16.0188309
637;15.8830549
638;15.747279
639;15.611503
640;15.0574796
641;14.5034562
642;13.9494328
643;13.3954094
644;13.2488842
645;13.1023589
646;12.9558337
647;12.8093085
648;12.7534591
649;12.6976098
650;12.6417605
651;12.5859112
652;12.7444504
653;12.9029896
654;13.0615289
655;13.2200681
656;13.3799014
657;13.5397348
658;13.6995681
659;13.8594014
660;14.2666926
661;14.6739837
662;15.0812749
663;15.4885661
664;17.9658513
665;20.4431364
666;22.9204216
667;25.3977068
668;27.2633925
669;29.1290782
670;30.9947639
671;32.858962
672;34.253962
673;35.648962
674;37.043962
675;37.2
676;37.2
677;37.2
678;37.2
679;37.2
680;37.2
681;37.2
682;37.2
683;37.2
684;37.2
685;37.2
686;37.2
687;37.2
688;37.2
689;37.2
690;37.2
691;37.2
692;37.2
693;37.2
694;37.2
695;37.2
696;36.9075371
697;36.6150742
698;36.3226113
699;36.0301484
700;35.4371572
701;34.8441661
702;34.251175
703;33.6581838
704;33.0868574
705;32.5155309
706;31.9442045
707;31.3728781
708;30.9827113
709;30.5925446
710;30.2023779
711;29.8122112
712;29.9900234
713;30.1678356
714;30.3456479
715;30.5234601
716;31.4967124
717;32.4699646
718;33.4432169
719;34.4164692
720;35.4967942
721;36.5771192
722;37.2
723;37.2
724;37.2
725;37.2
726;37.2
727;37.2
728;37.2
729;37.2
730;37.2
731;37.2
732;37.2
733;37.2
734;37.2
735;37.2
736;37.2
737;37.2
738;37.2
739;37.2
740;37.2
741;37.2
742;37.2
743;37.2
744;37.2
745;37.2
746;37.2
747;37.2
748;37.2
749;37.2
750;37.2
751;37.2
752;37.2
753;37.2
754;37.2
755;37.2
756;37.2
757;37.2
758;37.2
759;37.2
760;37.2
761;37.2
762;37.2
763;37.2
764;37.2
765;37.2
766;37.2
767;37.2
768;37.2
769;37.2
770;37.2
771;37.2
772;37.2
773;37.2
774;37.2
775;37.2
776;37.2
777;37.2
778;37.2
779;37.2
780;37.2
781;37.2
782;37.2
783;37.2
784;37.2
785;37.2
786;37.2
787;37.2
788;37.2
789;37.2
790;37.2
791;37.2
792;36.979345
793;36.7586899
794;36.5380349
795;36.3173799
796;35.9802687
797;35.6431575
798;35.3060463
799;34.9689351
800;34.5739444
801;34.1789536
802;33.7839629
803;33.3889722
804;33.0977431
805;32.806514
806;32.5152849
807;32.2240558
808;31.97035
809;31.7166442
810;31.4629385
811;31.2092327
812;30.9191815
813;30.6291302
814;30.339079
815;30.0490278
816;29.8551456
817;29.6612634
818;29.4673812
819;29.273499
820;29.7867896
821;30.3000803
822;30.813371
823;31.3266617
824;32.0845313
825;32.8424009
826;33.6002705
827;34.3581401
828;35.1671065
829;35.976073
830;36.7850395
831;37.2
832;37.2
833;37.2
834;37.2
835;37.2
836;37.2
837;37.2
838;37.2
839;37.2
840;37.2
841;37.2
842;37.2
843;37.2
844;37.2
845;37.2
846;37.2
847;37.2
848;37.2
849;37.2
850;37.2
851;37.2
852;37.2
853;37.2
854;37.2
855;37.2
856;37.2
857;37.2
858;37.2
859;37.2
860;37.2
861;37.2
862;37.2
863;37.2
864;37.2
865;37.2
866;37.2
867;37.2
868;37.2
869;37.2
870;37.2
871;37.2
872;37.2
873;37.2
874;37.2
875;37.2
876;37.2
877;37.2
878;37.2
879;37.2
880;37.2
881;37.2
882;37.2
883;37.2
884;37.2
885;37.2
886;37.2
887;37.2
888;37.2
889;37.2
890;37.2
891;37.2
892;37.2
893;37.2
894;37.2
895;37.2
896;37.2
897;37.2
898;37.2
899;37.2
900;37.2
901;37.2
902;37.2
903;37.2
904;37.2
905;37.2
906;37.2
907;37.2
908;37.2
909;37.2
910;37.2
911;37.2
912;37.2
913;37.2
914;37.2
915;37.2
916;37.2
917;37.2
918;37.2
919;37.2
920;37.2
921;37.2
922;37.2
923;37.2
924;37.2
925;37.2
926;37.2
927;37.2
928;37.2
929;37.2
930;37.2
931;37.2
932;37.2
933;37.2
934;37.2
935;37.2
936;37.2
937;37.2
938;37.2
939;37.2
940;37.2
941;37.2
942;37.2
943;37.2
944;37.2
945;37.2
946;37.2
947;37.2
948;37.2
949;37.2
950;37.2
951;37.2
952;37.2
953;37.2
954;37.2
955;37.2
956;37.2
957;37.2
958;37.2
959;37.2
960;37.2
961;37.2
962;37.2
963;37.2
964;37.2
965;37.2
966;37.2
967;37.2
968;37.2
969;37.2
970;37.2
971;37.2
972;37.2
973;37.2
974;37.2
975;37.2
976;37.2
977;37.2
978;37.2
979;37.2
980;37.2
981;37.2
982;37.2
983;37.2
984;37.2
985;37.2
986;37.2
987;37.2
988;37.2
989;37.2
990;37.2
991;37.2
992;37.2
993;37.2
994;37.2
995;37.2
996;37.2
997;37.2
998;37.2
999;37.2
1000;37.2
1001;37.2
1002;37.2
1003;37.2
1004;37.2
1005;37.2
1006;37.2
1007;37.2
1008;37.2
1009;37.2
1010;37.2
1011;37.2
1012;37.2
1013;37.2
1014;37.2
1015;37.2
1016;37.2
1017;37.2
1018;37.2
1019;37.2
1020;37.2
1021;37.2
1022;37.2
1023;37.2
