Index;Wert
0;0.311122427
1;0.311122427
2;0.311122427
3;0.311122427
4;0.622244855
5;1.55561214
6;3.73346913
7;5.60020369
8;4.97795884
9;3.4223467
10;2.48897942
11;2.17785699
12;2.48897942
13;2.17785699
14;1.86673456
15;1.86673456
16;2.17785699
17;3.11122427
18;4.35571398
19;4.97795884
20;4.66683641
21;3.73346913
22;2.80010185
23;2.17785699
24;0.311122427
25;0.311122427
26;0.311122427
27;0.311122427
28;0.622244855
29;1.55561214
30;3.73346913
31;5.60020369
32;4.97795884
33;3.4223467
34;2.48897942
35;2.17785699
36;2.48897942
37;2.17785699
38;1.86673456
39;1.86673456
40;2.17785699
41;3.11122427
42;4.35571398
43;4.97795884
44;4.66683641
45;3.73346913
46;2.80010185
47;2.17785699
48;0.473447172
49;0.405811862
50;0.338176552
51;0.338176552
52;0.473447172
53;0.811623724
54;1.69088276
55;3.04358896
56;4.73447172
57;5.74900138
58;5.41082482
59;4.39629517
60;3.71994207
61;3.04358896
62;2.70541241
63;2.70541241
64;3.04358896
65;3.71994207
66;4.39629517
67;4.73447172
68;4.39629517
69;3.71994207
70;2.57014179
71;1.01452965
72;0.577154648
73;0.505010317
74;0.360721655
75;0.360721655
76;0.360721655
77;0.577154648
78;1.08216496
79;2.16432993
80;3.9679382
81;5.77154648
82;6.49298979
83;5.77154648
84;4.68938151
85;3.60721655
86;3.24649489
87;2.88577324
88;3.24649489
89;3.9679382
90;4.68938151
91;5.05010317
92;4.68938151
93;3.75150521
94;2.52505158
95;1.80360827
96;0.311122427
97;0.311122427
98;0.311122427
99;0.311122427
100;0.622244855
101;1.55561214
102;3.73346913
103;5.60020369
104;4.97795884
105;3.4223467
106;2.48897942
107;2.17785699
108;2.48897942
109;2.17785699
110;1.86673456
111;1.86673456
112;2.17785699
113;3.11122427
114;4.35571398
115;4.97795884
116;4.66683641
117;3.73346913
118;2.80010185
119;2.17785699
120;0.311122427
121;0.311122427
122;0.311122427
123;0.311122427
124;0.622244855
125;1.55561214
126;3.73346913
127;5.60020369
128;4.97795884
129;3.4223467
130;2.48897942
131;2.17785699
132;2.48897942
133;2.17785699
134;1.86673456
135;1.86673456
136;2.17785699
137;3.11122427
138;4.35571398
139;4.97795884
140;4.66683641
141;3.73346913
142;2.80010185
143;2.17785699
144;0.311122427
145;0.311122427
146;0.311122427
147;0.311122427
148;0.622244855
149;1.55561214
150;3.73346913
151;5.60020369
152;4.97795884
153;3.4223467
154;2.48897942
155;2.17785699
156;2.48897942
157;2.17785699
158;1.86673456
159;1.86673456
160;2.17785699
161;3.11122427
162;4.35571398
163;4.97795884
164;4.66683641
165;3.73346913
166;2.80010185
167;2.17785699
168;0.311122427
169;0.311122427
170;0.311122427
171;0.311122427
172;0.622244855
173;1.55561214
174;3.73346913
175;5.60020369
176;4.97795884
177;3.4223467
178;2.48897942
179;2.17785699
180;2.48897942
181;2.17785699
182;1.86673456
183;1.86673456
184;2.17785699
185;3.11122427
186;4.35571398
187;4.97795884
188;4.66683641
189;3.73346913
190;2.80010185
191;2.17785699
192;0.311122427
193;0.311122427
194;0.311122427
195;0.311122427
196;0.622244855
197;1.55561214
198;3.73346913
199;5.60020369
200;4.97795884
201;3.4223467
202;2.48897942
203;2.17785699
204;2.48897942
205;2.17785699
206;1.86673456
207;1.86673456
208;2.17785699
209;3.11122427
210;4.35571398
211;4.97795884
212;4.66683641
213;3.73346913
214;2.80010185
215;2.17785699
216;0.473447172
217;0.405811862
218;0.338176552
219;0.338176552
220;0.473447172
221;0.811623724
222;1.69088276
223;3.04358896
224;4.73447172
225;5.74900138
226;5.41082482
227;4.39629517
228;3.71994207
229;3.04358896
230;2.70541241
231;2.70541241
232;3.04358896
233;3.71994207
234;4.39629517
235;4.73447172
236;4.39629517
237;3.71994207
238;2.57014179
239;1.01452965
240;0.577154648
241;0.505010317
242;0.360721655
243;0.360721655
244;0.360721655
245;0.577154648
246;1.08216496
247;2.16432993
248;3.9679382
249;5.77154648
250;6.49298979
251;5.77154648
252;4.68938151
253;3.60721655
254;3.24649489
255;2.88577324
256;3.24649489
257;3.9679382
258;4.68938151
259;5.05010317
260;4.68938151
261;3.75150521
262;2.52505158
263;1.80360827
264;0.311122427
265;0.311122427
266;0.311122427
267;0.311122427
268;0.622244855
269;1.55561214
270;3.73346913
271;5.60020369
272;4.97795884
273;3.4223467
274;2.48897942
275;2.17785699
276;2.48897942
277;2.17785699
278;1.86673456
279;1.86673456
280;2.17785699
281;3.11122427
282;4.35571398
283;4.97795884
284;4.66683641
285;3.73346913
286;2.80010185
287;2.17785699
288;0.311122427
289;0.311122427
290;0.311122427
291;0.311122427
292;0.622244855
293;1.55561214
294;3.73346913
295;5.60020369
296;4.97795884
297;3.4223467
298;2.48897942
299;2.17785699
300;2.48897942
301;2.17785699
302;1.86673456
303;1.86673456
304;2.17785699
305;3.11122427
306;4.35571398
307;4.97795884
308;4.66683641
309;3.73346913
310;2.80010185
311;2.17785699
312;0.311122427
313;0.311122427
314;0.311122427
315;0.311122427
316;0.622244855
317;1.55561214
318;3.73346913
319;5.60020369
320;4.97795884
321;3.4223467
322;2.48897942
323;2.17785699
324;2.48897942
325;2.17785699
326;1.86673456
327;1.86673456
