Index;Wert
0;6.96
1;2.99643024
2;2.07090677
3;3.48018411
4;6.7529753
5;6.96
6;6.96
7;6.96
8;6.96
9;6.96
10;6.96
11;6.96
12;6.96
13;6.96
14;6.96
15;6.96
16;6.96
17;6.96
18;6.96
19;6.96
20;6.96
21;6.96
22;6.96
23;6.96
24;0.431125
25;6.96
26;6.96
27;0.431125
28;1.83775922
29;4.5657664
30;6.96
31;6.96
32;6.96
33;6.96
34;6.96
35;6.96
36;6.96
37;6.96
38;6.96
39;6.96
40;6.96
41;6.96
42;6.96
43;6.96
44;6.96
45;6.96
46;6.96
47;0.431125
48;6.96
49;6.96
50;0.431125
51;6.96
52;6.96
53;6.96
54;1.19727438
55;6.96
56;6.96
57;6.96
58;6.96
59;6.96
60;6.96
61;6.96
62;6.96
63;6.58168523
64;2.49662042
65;3.70723981
66;6.96
67;6.96
68;6.96
69;6.96
70;6.96
71;0.431125
72;6.96
73;6.96
74;6.96
75;2.07233047
76;5.27752691
77;6.96
78;6.96
79;6.96
80;6.96
81;6.96
82;6.96
83;6.96
84;6.96
85;6.96
86;6.96
87;6.96
88;6.96
89;6.96
90;6.96
91;6.96
92;6.96
93;6.96
94;6.96
95;6.96
96;6.96
97;6.96
98;0.990819905
99;4.25619388
100;6.96
101;6.96
102;6.96
103;6.96
104;6.96
105;6.96
106;6.96
107;6.96
108;6.96
109;6.96
110;6.96
111;6.96
112;6.96
113;6.96
114;6.96
115;6.96
116;6.96
117;6.96
118;6.96
119;6.96
120;0.431125
121;0.431125
122;6.96
123;2.23151788
124;5.85959147
125;6.96
126;6.96
127;6.96
128;6.96
129;6.96
130;6.96
131;6.96
132;6.96
133;6.96
134;6.96
135;6.96
136;6.96
137;6.96
138;6.96
139;6.96
140;6.96
141;6.96
142;6.96
143;6.96
144;6.96
145;6.96
146;3.08121447
147;6.96
148;6.96
149;6.96
150;6.96
151;6.96
152;6.96
153;6.96
154;6.96
155;6.96
156;6.96
157;6.96
158;6.96
159;6.96
160;6.96
161;6.96
162;6.96
163;6.96
164;6.96
165;6.96
166;6.96
167;6.0777722
168;6.96
169;6.96
170;6.96
171;6.96
172;0.431125
173;0.533024764
174;1.96010834
175;6.96
176;6.96
177;6.96
178;6.96
179;6.96
180;6.96
181;6.67046686
182;4.80901648
183;1.7928086
184;0.431125
185;6.96
186;3.3319759
187;6.96
188;6.96
189;6.96
190;6.96
191;6.96
192;6.96
193;6.96
194;6.96
195;0.431125
196;1.17846967
197;3.1636761
198;6.42235919
199;6.96
200;6.96
201;6.96
202;6.96
203;6.96
204;6.96
205;6.96
206;6.96
207;6.96
208;6.96
209;6.96
210;6.96
211;6.96
212;6.96
213;6.96
214;6.96
215;6.96
216;6.96
217;6.96
218;0.431125
219;2.08152415
220;4.38657896
221;6.53637576
222;6.96
223;6.96
224;6.96
225;6.96
226;6.96
227;6.96
228;6.96
229;6.96
230;6.96
231;6.96
232;6.96
233;6.96
234;6.96
235;6.96
236;6.96
237;6.96
238;6.96
239;6.86055274
240;6.96
241;0.431125
242;0.431125
243;6.96
244;0.431125
245;0.725822372
246;2.47051058
247;6.96
248;6.96
249;6.96
250;6.96
251;6.96
252;6.96
253;6.96
254;6.96
255;6.96
256;6.96
257;6.96
258;6.96
259;6.96
260;6.96
261;6.96
262;6.96
263;6.96
264;6.96
265;6.96
266;6.96
267;6.96
268;1.2693146
269;3.15411224
270;6.06932304
271;6.96
272;6.96
273;6.96
274;6.96
275;6.96
276;6.96
277;6.96
278;6.96
279;6.96
280;6.96
281;6.96
282;6.96
283;6.96
284;6.96
285;6.96
286;6.96
287;6.96
288;6.96
289;6.96
290;6.96
291;1.94571083
292;4.80662733
293;6.96
294;6.96
295;6.96
296;6.96
297;6.96
298;6.96
299;6.96
300;6.96
301;6.96
302;6.96
303;6.96
304;6.96
305;6.96
306;6.96
307;6.96
308;6.96
309;6.96
310;6.96
311;6.96
312;0.431125
313;2.23556629
314;6.96
315;6.96
316;6.96
317;6.96
318;6.96
319;6.96
320;6.96
321;6.96
322;6.96
323;6.96
324;6.96
325;6.96
326;6.96
327;5.82242751
328;5.88056689
329;6.96
330;6.96
331;6.96
332;6.96
333;6.96
334;6.96
335;0.431125
336;0.431125
337;0.461182245
338;2.98390162
339;6.82436666
340;6.96
341;6.96
342;6.96
343;6.96
344;6.96
345;6.96
346;6.96
347;6.96
348;6.96
349;6.96
350;6.96
351;6.96
352;6.96
353;6.96
354;6.96
355;6.96
356;6.96
357;6.96
358;6.96
359;1.37709633
360;1.48671238
361;5.33928203
362;6.96
363;6.96
364;6.96
365;6.96
366;6.96
367;6.96
368;6.96
369;6.96
370;6.96
371;6.96
372;6.96
373;6.96
374;6.96
375;6.96
376;6.96
377;6.96
378;6.96
379;6.96
380;6.96
381;6.96
382;6.96
383;2.11348206
384;3.41418871
385;6.96
386;6.96
387;6.96
388;6.96
389;6.96
390;6.96
391;6.96
392;6.96
393;6.96
394;6.96
395;6.96
396;6.96
397;6.96
398;6.96
399;6.96
400;6.96
401;6.96
402;6.96
403;6.96
404;6.96
405;6.96
406;6.96
407;6.96
408;6.96
409;6.96
410;6.96
411;6.96
412;6.96
413;6.96
414;6.96
415;6.96
416;6.96
417;6.96
418;6.96
419;6.96
420;6.96
421;6.96
422;6.96
423;6.96
424;6.96
425;6.96
426;6.96
427;6.96
428;6.96
429;6.96
430;6.96
431;6.96
432;6.96
433;6.96
434;6.96
435;6.96
436;6.96
437;6.96
438;6.96
439;6.96
440;6.96
441;6.96
442;6.96
443;6.96
444;6.96
445;6.96
446;6.96
447;6.96
448;6.96
449;6.96
450;6.96
451;6.96
452;6.96
453;6.96
454;6.96
455;6.96
456;6.96
457;6.96
458;6.96
459;6.96
460;6.96
461;6.96
462;6.96
463;6.96
464;6.96
465;6.96
466;6.96
467;6.96
468;6.96
469;6.96
470;6.96
471;6.96
472;6.96
473;6.96
474;6.96
475;6.96
476;6.96
477;6.96
478;6.96
479;6.36738511
480;6.96
481;6.96
482;6.96
483;6.96
484;6.96
485;6.96
486;6.96
487;6.96
488;6.96
489;6.96
490;6.96
491;6.96
492;6.96
493;6.96
494;6.96
495;6.96
496;6.96
497;6.96
498;6.96
499;6.96
500;6.96
501;6.96
502;6.96
503;6.77404753
504;6.96
505;6.96
506;6.96
507;6.96
508;6.96
509;6.96
510;6.96
511;6.96
512;6.96
513;6.96
514;6.96
515;6.96
516;6.96
517;6.96
518;6.96
519;6.96
520;6.96
521;6.96
522;6.96
523;6.96
524;6.96
525;6.96
526;6.96
527;5.39069307
528;6.96
529;6.96
530;6.96
531;6.96
532;6.96
533;6.96
534;6.96
535;6.96
536;6.96
537;6.96
538;6.96
539;6.96
540;6.96
541;6.96
542;6.96
543;6.96
544;6.96
545;6.96
546;6.96
547;6.96
548;6.96
549;6.96
550;6.96
551;6.96
552;6.96
553;1.75210294
554;6.96
555;6.96
556;6.96
557;6.96
558;6.96
559;6.96
560;6.96
561;6.96
562;6.96
563;6.96
564;6.96
565;6.96
566;6.96
567;6.96
568;6.96
569;6.96
570;6.96
571;6.96
572;6.96
573;6.96
574;6.96
575;6.42560379
576;6.96
577;0.431125
578;6.96
579;6.96
580;1.06163979
581;4.05936719
582;6.96
583;6.96
584;6.96
585;6.96
586;6.96
587;6.96
588;5.65326338
589;6.96
590;0.431125
591;0.431125
592;6.96
593;0.431125
594;6.96
595;1.39396419
596;4.87253696
597;6.96
598;6.96
599;6.96
600;6.96
601;6.96
602;6.96
603;1.37668603
604;3.72871227
605;6.30600338
606;6.96
607;6.96
608;6.96
609;6.96
610;6.96
611;5.92513706
612;6.96
613;0.431125
614;3.51172226
615;2.72791643
616;4.47309148
617;6.96
618;6.96
619;6.96
620;6.96
621;0.431125
622;0.505440472
623;1.53993706
624;4.99178334
625;6.96
626;6.96
627;6.96
628;6.96
629;6.96
630;6.96
631;6.96
632;6.96
633;6.96
634;6.96
635;6.96
636;0.981960643
637;6.96
638;0.431125
639;6.96
640;0.431125
641;6.96
642;0.431125
643;6.96
644;0.431125
645;6.96
646;0.122118626
647;0.55950863
648;0.932028095
649;2.79185856
650;4.90412983
651;6.57344355
652;6.96
653;6.96
654;6.96
655;6.96
656;6.96
657;6.96
658;6.96
659;6.96
660;5.64378299
661;4.80170981
662;4.46120226
663;4.29240519
664;4.16823469
665;4.56888457
666;6.1145713
667;6.96
668;6.96
669;6.96
670;6.96
671;4.71077833
672;6.96
673;6.96
674;6.96
675;6.96
676;6.96
677;0.431125
678;1.70323245
679;6.96
680;6.96
681;6.96
682;6.96
683;6.96
684;5.6894618
685;1.32903514
686;6.96
687;0.431125
688;6.96
689;0.431125
690;6.96
691;0.431125
692;2.10740696
693;5.50756551
694;6.96
695;6.79548499
696;6.96
697;0.431125
698;6.96
699;0.431125
700;0.801317744
701;1.97253404
702;4.03530745
703;6.96
704;6.96
705;6.96
706;6.96
707;6.96
708;6.96
709;6.96
710;6.96
711;5.44643086
712;4.15075754
713;2.95401659
714;3.10298626
715;4.79072541
716;6.96
717;6.96
718;6.96
719;6.29681036
720;6.96
721;6.96
722;6.96
723;6.96
724;1.17612434
725;3.66148574
726;6.96
727;6.96
728;6.96
729;6.96
730;6.96
731;6.96
732;6.96
733;6.96
734;6.96
735;6.96
736;6.96
737;6.96
738;6.96
739;6.96
740;6.96
741;6.96
742;6.96
743;3.72788166
744;6.96
745;6.96
746;6.96
747;6.96
748;6.96
749;0.431125
750;1.93612644
751;6.96
752;6.96
753;6.96
754;6.96
755;6.96
756;6.96
757;6.96
758;6.96
759;6.96
760;6.96
761;6.96
762;6.96
763;6.96
764;6.96
765;6.96
766;6.96
767;0.431125
768;6.96
769;1.82415463
770;6.17982402
771;6.96
772;6.96
773;6.96
774;6.96
775;6.96
776;6.96
777;6.96
778;6.96
779;6.96
780;6.96
781;6.96
782;6.96
783;6.96
784;6.96
785;6.96
786;6.96
787;6.96
788;6.96
789;6.96
790;6.96
791;0.431125
792;0.431125
793;2.92455902
794;6.96
795;6.96
796;6.96
797;6.96
798;6.96
799;6.96
800;6.96
801;6.96
802;6.96
803;6.96
804;6.96
805;6.96
806;6.96
807;6.96
808;6.96
809;6.96
810;6.96
811;6.96
812;6.96
813;6.96
814;6.96
815;1.52470847
816;1.74317119
817;5.75830038
818;6.96
819;6.96
820;6.96
821;6.96
822;6.96
823;6.96
824;6.96
825;6.96
826;6.96
827;6.96
828;6.96
829;6.96
830;6.96
831;6.96
832;6.96
833;6.96
834;6.96
835;6.96
836;6.96
837;6.96
838;6.96
839;2.42793344
840;3.89463605
841;6.96
842;6.96
843;6.96
844;6.96
845;6.96
846;6.96
847;6.96
848;6.96
849;6.96
850;6.96
851;6.96
852;6.96
853;6.96
854;6.96
855;6.96
856;6.96
857;6.96
858;6.96
859;6.96
860;6.96
861;6.96
862;6.96
863;1.56181532
864;2.15813616
865;6.70294732
866;6.96
