Index;Wert
0;6.14366903
1;7.49985943
2;8.50376961
3;9.28878606
4;9.92412981
5;10
6;10
7;10
8;10
9;10
10;10
11;10
12;10
13;10
14;9.8991255
15;9.44274538
16;10
17;10
18;10
19;10
20;10
21;10
22;0
23;4.03625363
24;5.89202533
25;7.11282342
26;7.99691245
27;8.67961747
28;9.24080908
29;9.74175091
30;10
31;10
32;10
33;10
34;10
35;10
36;10
37;10
38;10
39;10
40;10
41;10
42;10
43;10
44;10
45;10
46;0
47;3.07495359
48;4.93706483
49;6.16867654
50;7.02836415
51;7.68167301
52;8.21622348
53;8.70384442
54;10
55;10
56;10
57;10
58;10
59;10
60;9.34248984
61;9.28595633
62;7.99384563
63;5.98089204
64;8.89705877
65;9.97914582
66;10
67;10
68;10
69;10
70;0
71;4.12445892
72;6.10224478
73;7.57645473
74;8.57560236
75;9.27474414
76;9.75499874
77;9.97876518
78;10
79;10
80;10
81;10
82;10
83;8.43886381
84;9.40629413
85;9.86452415
86;9.50607446
87;9.97234162
88;10
89;10
90;10
91;10
92;10
93;10
94;0
95;4.43862968
96;6.54250481
97;7.98345134
98;9.11465477
99;9.99072116
100;10
101;10
102;10
103;10
104;10
105;10
106;10
107;10
108;9.44036237
109;10
110;10
111;10
112;10
113;10
114;10
115;10
116;10
117;10
118;0
119;4.4590217
120;6.35396672
121;7.667415
122;8.65609811
123;9.43186333
124;10
125;10
126;10
127;10
128;10
129;10
130;10
131;10
132;9.36987951
133;10
134;9.38152075
135;10
136;10
137;10
138;10
139;10
140;10
141;10
142;0
143;5.84982171
144;7.44435693
145;8.68890515
146;9.43944722
147;10
148;10
149;10
150;10
151;10
152;10
153;10
154;10
155;10
156;10
157;10
158;10
159;10
160;10
161;10
162;10
163;10
164;10
165;10
166;0
167;3.01871909
168;5.07658476
169;6.50857561
170;7.35363349
171;7.91251116
172;8.4291406
173;8.94852951
174;10
175;10
176;10
177;10
178;9.89871274
179;7.50641211
180;7.38067541
181;6.96884764
182;6.62758611
183;7.16327582
184;7.34430513
185;9.58336632
186;10
187;10
188;10
189;10
190;0
191;3.57810912
192;5.81637837
193;7.06804792
194;7.91053537
195;8.50298859
196;9.03510525
197;9.54948316
198;10
199;10
200;10
201;10
202;10
203;10
204;10
205;10
206;9.89677083
207;9.52789375
208;9.62847073
209;10
210;10
211;10
212;10
213;10
214;0
215;4.67387775
216;6.64894578
217;7.80845375
218;8.65368944
219;9.05820248
220;9.1530896
221;9.03700312
222;10
223;10
224;10
225;10
226;10
227;10
228;10
229;9.22362609
230;9.22024392
231;9.19984318
232;9.70237374
233;10
234;10
235;10
236;10
237;10
238;0
239;3.38527288
240;5.1817588
241;6.4342437
242;7.2400472
243;7.89149499
244;8.50710741
245;9.07110951
246;10
247;10
248;10
249;10
250;10
251;10
252;10
253;10
254;10
255;8.67995915
256;9.92527447
257;10
258;10
259;10
260;10
261;10
262;0
263;3.46273219
264;5.42657365
265;6.66329966
266;7.83620387
267;8.56149622
268;9.04079816
269;9.47502853
270;10
271;10
272;10
273;10
274;10
275;10
276;10
277;10
278;9.97936752
279;9.45430333
280;10
281;10
282;10
283;10
284;10
285;10
286;0
287;4.48182334
288;6.53133762
289;7.75236011
290;8.60936588
291;9.23043769
292;9.72360505
293;10
294;10
295;10
296;10
297;10
298;10
299;10
300;10
301;10
302;10
303;10
304;10
305;10
306;10
307;10
308;10
309;10
310;0
311;5.9219271
312;8.05860239
313;9.50765245
314;10
315;10
316;10
317;10
318;10
319;10
320;10
321;10
322;10
323;9.71122408
324;8.55781161
325;7.50918149
326;6.31911684
327;7.25456675
328;9.42111785
329;10
330;10
331;10
332;10
333;10
334;0
335;5.54594121
336;7.44885843
337;8.66076213
338;9.36760339
339;9.98633343
340;10
341;10
342;10
343;10
344;10
345;10
346;10
347;10
348;10
349;10
350;10
351;10
352;10
353;10
354;10
355;10
356;10
357;10
358;3.72127265
359;6.88271906
360;8.76888847
361;10
362;10
363;10
364;10
365;10
366;10
367;10
368;10
369;10
370;10
371;10
372;10
373;10
374;10
375;10
376;10
377;10
378;10
379;10
380;10
381;10
382;3.97587053
383;7.28359155
384;9.25516337
385;10
386;10
387;10
388;10
389;10
390;10
391;10
392;10
393;10
394;10
395;10
396;10
397;10
398;10
399;10
400;10
401;10
402;10
403;10
404;10
405;10
406;5.60556937
407;8.73421589
408;10
409;10
410;10
411;10
412;10
413;10
414;10
415;10
416;10
417;10
418;10
419;10
420;10
421;10
422;10
423;10
424;10
425;10
426;10
427;10
428;10
429;10
430;9.27884572
431;10
432;10
433;10
434;10
435;10
436;10
437;10
438;10
439;10
440;10
441;10
442;10
443;10
444;10
445;10
446;10
447;10
448;10
449;10
450;10
451;10
452;10
453;10
454;5.7578399
455;9.0170994
456;10
457;10
458;10
459;10
460;10
461;10
462;10
463;10
464;10
465;10
466;10
467;10
468;10
469;10
470;10
471;10
472;10
473;10
474;10
475;10
476;10
477;10
478;6.84441896
479;10
480;10
481;10
482;10
483;10
484;10
485;10
486;10
487;10
488;10
489;10
490;10
491;10
492;10
493;10
494;10
495;10
496;10
497;10
498;10
499;10
500;10
501;10
502;5.81382469
503;9.70601307
504;10
505;10
506;10
507;10
508;10
509;10
510;10
511;10
512;10
513;10
514;10
515;10
516;10
517;10
518;10
519;10
520;10
521;10
522;10
523;10
524;10
525;10
526;5.01796079
527;7.6144901
528;8.75335474
529;9.24505245
530;9.46280305
531;9.59914187
532;9.55154953
533;9.55700985
534;10
535;10
536;10
537;10
538;10
539;10
540;10
541;10
542;10
543;10
544;10
545;10
546;10
547;10
548;10
549;10
550;0
551;5.7816155
552;7.96006706
553;9.61921449
554;10
555;10
556;10
557;10
558;10
559;10
560;10
561;10
562;10
563;10
564;10
565;10
566;9.8248973
567;9.17276681
568;9.09903119
569;10
570;10
571;10
572;10
573;10
574;0
575;3.22988147
576;5.10520914
577;6.51537918
578;7.5752712
579;8.53146286
580;9.42838053
581;10
582;10
583;10
584;10
585;10
586;10
587;7.05121821
588;5.28664108
589;3.97378864
590;0
591;0
592;3.3968091
593;7.37681767
594;9.01231377
595;10
596;10
597;10
598;0
599;4.01085044
600;6.04424102
601;7.42877186
602;8.43869665
603;9.09304237
604;9.32781353
605;9.54762683
606;10
607;10
608;10
609;10
610;7.31086911
611;4.91104053
612;3.40025497
613;0
614;0
615;0
616;0
617;5.44753146
618;7.12422073
619;8.19714331
620;8.62410195
621;9.00313081
622;0
623;0
624;3.04133067
625;4.51375122
626;5.64388784
627;6.36340588
628;6.77969404
629;7.08865721
630;10
631;10
632;10
633;10
634;9.79531571
635;6.29502861
636;5.61533539
637;6.14080179
638;5.24112551
639;5.89070583
640;6.12610092
641;7.12411723
642;7.5749512
643;8.10459127
644;8.00081945
645;7.86521038
646;0
647;0
648;0
649;0
650;3.34844245
651;4.05342127
652;4.80499674
653;5.38979975
654;10
655;10
656;10
657;10
658;9.67237506
659;8.82365782
660;9.00656684
661;9.16574636
662;9.181241
663;9.1044077
664;9.30355308
665;9.83106728
666;9.93033852
667;10
668;10
669;10
670;0
671;0
672;4.41518168
673;5.70468951
674;6.72645058
675;7.54454692
676;8.17594869
677;8.98701711
678;10
679;10
680;10
681;10
682;9.0079036
683;6.80080773
684;5.65319549
685;4.7461048
686;3.44001239
687;3.06797309
688;3.25166254
689;7.00910895
690;8.48804102
691;9.45680546
692;10
693;10
694;0
695;3.42350222
696;5.50424408
697;6.90418883
698;7.87583395
699;8.45845115
700;8.85895305
701;9.24841733
702;10
703;10
704;10
705;10
706;10
707;10
708;9.93657474
709;9.28892595
710;8.4099979
711;8.64052349
712;8.74297816
713;9.33007697
714;9.86833965
715;10
716;10
717;10
718;0
719;3.26668228
720;5.35249032
721;6.8271447
722;7.87320694
723;8.61462839
724;9.30406709
725;9.94420985
726;10
727;10
728;10
729;10
730;10
731;10
732;10
733;10
734;10
735;10
736;10
737;9.65920683
738;9.52360918
739;9.58971917
740;9.74235082
741;9.93567904
742;0
743;0
744;4.29714181
745;5.76526762
746;6.8685265
747;7.74621887
