Index;Wert
0;21.7056805
1;31.8668829
2;40.11092
3;46.9537802
4;52.7369578
5;57.7063879
6;142.867011
7;135.033481
8;127.56872
9;109.36687
10;97.4012612
11;82.9986734
12;69.6193083
13;62.6538903
14;56.5584865
15;52.0702069
16;64.8560523
17;74.3343748
18;82.436324
19;88.5815047
20;88.6330611
21;81.1350074
22;21.756
23;21.74
24;21.73
25;27.9789614
26;35.0205076
27;40.79306
28;45.7533255
29;50.3471008
30;132.912442
31;120.648582
32;112.87394
33;107.659427
34;103.051548
35;92.5617438
36;79.9326417
37;72.1354173
38;73.7984769
39;72.8184192
40;74.6180792
41;79.0516471
42;82.7955398
43;84.9089239
44;83.185692
45;74.9367564
46;22.08
47;22.086
48;22.068
49;22.05
50;25.1403849
51;30.4675286
52;35.0403378
53;39.3918357
54;120.802064
55;111.307592
56;111.059696
57;100.478144
58;92.5737259
59;79.2907756
60;59.8522548
61;57.4637878
62;45.3727985
63;26.4893102
64;59.0508553
65;68.7689128
66;72.602609
67;71.8315218
68;69.0611453
69;68.5421686
70;21.692
71;21.682
72;21.658
73;31.6329144
74;40.0046484
75;46.2054179
76;50.6493629
77;52.8195903
78;132.392458
79;118.463153
80;114.880002
81;99.8032675
82;75.9706479
83;56.5080624
84;61.3436104
85;61.2584385
86;57.3823746
87;64.1419535
88;73.7732585
89;77.7019208
90;77.4817815
91;75.4228908
92;72.5888248
93;72.6455619
94;21.68
95;21.644
96;25.0850975
97;36.179019
98;45.7667968
99;53.6205493
100;59.4916041
101;63.7002095
102;143.95189
103;128.501468
104;117.837807
105;84.9319311
106;80.2980608
107;71.0272987
108;53.872137
109;60.1170517
110;62.8396303
111;63.0902499
112;68.4643894
113;78.5430246
114;88.2497345
115;94.1622184
116;91.6703094
117;84.8865073
118;21.671
119;21.657
120;23.7056839
121;33.477952
122;41.5588557
123;48.2879841
124;53.9033108
125;58.4622397
126;140.513008
127;127.170786
128;121.401729
129;87.3127667
130;77.6809131
131;74.7996633
132;53.5810314
133;58.217851
134;49.9391634
135;62.9469828
136;73.2504155
137;84.0853037
138;92.3842357
139;98.5918651
140;100.233413
141;97.4298743
142;21.234
143;25.6159977
144;35.1551144
145;44.4740696
146;50.3649795
147;56.4492491
148;61.3870772
149;63.2843372
150;145.966908
151;137.062239
152;128.6152
153;90.8824547
154;64.5231944
155;60.9439818
156;59.406948
157;59.9936674
158;60.6457549
159;59.2029544
160;75.5557012
161;84.4462419
162;86.0896073
163;82.5528127
164;78.6663939
165;70.3526662
166;22.13
167;22.064
168;21.988
169;21.904
170;27.8097694
171;32.423745
172;36.9382228
173;41.6329628
174;124.100643
175;113.144211
176;107.369117
177;74.9680778
178;53.0629334
179;33.378985
180;34.3076704
181;27.8847276
182;22.378
183;26.6207786
184;28.7283495
185;56.4395166
186;67.9727836
187;75.7437908
188;76.1737202
189;71.0390691
190;21.88
191;21.82
192;21.686
193;25.8565671
194;32.8114787
195;37.9737176
196;42.8070255
197;47.6004953
198;131.720234
199;120.653886
200;112.717746
201;105.407081
202;94.9800038
203;83.1389553
204;74.2073417
205;63.1518627
206;56.42667
207;52.9902005
208;55.9888615
209;67.242725
210;75.6576366
211;82.1835211
212;85.7852008
213;81.6590461
214;21.653
215;21.609
216;25.7246273
217;34.3141459
218;41.2368615
219;44.5561346
220;45.206412
221;43.9212017
222;121.614734
223;108.54699
224;109.177348
225;103.368905
226;96.6040656
227;82.2659795
228;71.7294602
229;56.343652
230;57.2890645
231;58.6090808
232;65.6158272
233;75.6242547
234;77.7940664
235;76.5904558
236;69.6505538
237;66.7738275
238;21.962
239;22.004
240;22.012
241;21.98
242;26.6263101
243;32.029729
244;37.4212647
245;42.545889
246;125.776868
247;114.168344
248;114.783284
249;112.598016
250;114.716343
251;109.809399
252;88.6088839
253;81.7259866
254;68.6947007
255;53.5547051
256;68.7579638
257;71.6965452
258;71.1185373
259;67.8665138
260;63.9779627
261;64.2745785
262;21.986
263;21.948
264;21.9
265;22.5939999
266;32.3329454
267;38.5428347
268;42.8482845
269;46.9041004
270;130.099048
271;117.377243
272;109.516446
273;102.265211
274;86.1186286
275;81.1243995
276;81.0233737
277;67.4987518
278;56.1811132
279;51.5670605
280;59.3534237
281;75.8724577
282;83.3272923
283;89.6178458
284;89.4565446
285;83.5097274
286;21.675
287;21.652
288;24.7346156
289;33.7433655
290;40.6977812
291;46.015891
292;50.4115723
293;54.0302968
294;136.409909
295;125.778048
296;118.485552
297;112.924984
298;105.785894
299;66.3540858
300;64.1435139
301;62.2230903
302;69.7313222
303;65.6645128
304;76.008831
305;86.50697
306;94.4601669
307;100.77438
308;100.903798
309;95.8521615
310;21.304
311;26.1845669
312;40.7173649
313;52.0222881
314;60.5726965
315;67.6544996
316;74.120299
317;80.5655153
318;166.613584
319;160.01307
320;145.687818
321;100.526761
322;79.2251254
323;58.2479281
324;50.7210676
325;39.6410238
326;24.3148159
327;30.8926339
328;52.9414977
329;71.5266986
330;84.6560857
331;93.0059418
332;96.0831193
333;91.3612702
334;21.326
335;21.4429444
336;33.9572296
337;43.102275
338;48.7659797
339;54.1198809
340;59.116356
341;65.045325
342;149.102572
343;137.989962
344;131.426958
345;111.846733
346;106.50916
347;106.636613
348;105.517096
349;104.799434
350;95.8950744
351;103.318198
352;93.973316
353;109.074323
354;115.101265
355;119.309311
356;118.460083
357;111.381686
358;26.3830983
359;37.7456457
360;49.6938183
361;58.6958001
362;65.8310915
363;70.5655188
364;74.7701814
365;78.288333
366;161.940094
367;153.428488
