Index;Wert
0;1290
1;1290
2;1131
3;1301
4;1290
5;1222
6;1346
7;1369
8;1357
9;1369
10;1369
11;1448
12;1369
13;1357
14;1312
15;1301
16;1301
17;1210
18;1188
19;1324
20;1199
21;1290
22;1244
23;1324
24;1222
25;1301
26;1324
27;1538
28;1629
29;1369
30;1403
31;1324
32;1312
33;1335
34;1425
35;1527
36;1448
37;1505
38;1471
39;1550
40;1425
41;1448
42;1391
43;1380
44;1391
45;1391
46;1391
47;1391
48;1403
49;1471
50;1425
51;1516
52;1437
53;1471
54;1493
55;1459
56;1448
57;1448
58;1403
59;1471
60;1527
61;1437
62;1516
63;1787
64;1448
65;1516
66;1459
67;1505
68;1425
69;1493
70;1697
71;1572
72;1674
73;1776
74;1663
75;1674
76;1663
77;1652
78;1663
79;1663
80;1685
81;1719
82;1810
83;1731
84;1493
85;1776
86;1595
87;1652
88;1629
89;1572
90;1538
91;1516
92;1550
93;1538
94;1561
95;1561
96;1855
97;1776
98;1663
99;1991
100;1765
101;1810
102;1889
103;1719
104;1674
105;2025
106;1674
107;1674
108;2014
109;1719
110;1640
111;1663
112;1618
113;1561
114;1550
115;1561
116;1561
117;1561
118;1572
119;1550
120;1810
121;1866
122;1606
123;1640
124;1912
125;1606
126;1844
127;1957
128;1572
129;1640
130;1900
131;1844
132;1833
133;1946
134;1663
135;1618
136;1538
137;1640
138;1595
139;1572
140;1572
141;1652
142;1550
143;1538
144;1685
145;1866
146;1606
147;1697
148;1923
149;1471
150;1719
151;1753
152;1674
153;1618
154;1640
155;1674
156;1674
157;1640
158;1618
159;1584
160;1618
161;1448
162;1550
163;1538
164;1459
165;1584
166;1505
167;1493
168;1742
169;1787
170;1550
171;1765
172;1731
173;1685
174;1878
175;1629
176;1753
177;2036
178;1505
179;1810
180;2014
181;1708
182;1697
183;1753
184;1629
185;1821
186;1527
187;1652
188;1753
189;1471
190;1742
191;1663
192;1663
193;1663
194;1674
195;1674
196;1697
197;1719
198;1674
199;1606
200;1810
201;1550
202;1697
203;1878
204;1516
205;1776
206;1719
207;1652
208;1821
209;1493
210;1663
211;1618
212;1595
213;1618
214;1629
215;1550
216;1584
217;1584
218;1584
219;1595
220;1629
221;1674
222;1685
223;1640
224;1663
225;1652
226;1629
227;1505
228;1776
229;1663
230;1640
231;1866
232;1471
233;1663
234;1595
235;1561
236;1572
237;1685
238;1697
239;1618
240;1855
241;1776
242;1833
243;1482
244;1324
245;1312
246;1324
247;1324
248;1572
249;2206
250;1719
251;1765
252;1968
253;1821
254;1776
255;1799
256;1719
257;1697
258;1561
259;1674
260;1595
261;1731
262;1538
263;1606
264;1923
265;1753
266;1753
267;1731
268;1685
269;1652
270;1629
271;1572
272;1674
273;1652
274;1742
275;1719
276;1731
277;1652
278;1584
279;1629
280;1652
281;1505
282;1561
283;1606
284;1561
285;1595
286;1584
287;1606
288;1753
289;1765
290;1708
291;1719
292;1674
293;1652
294;1663
295;1550
296;1584
297;1652
298;1663
299;1753
300;1753
301;1731
302;1584
303;1572
304;1572
305;1505
306;1391
307;1437
308;1391
309;1505
310;1471
311;1493
312;1776
313;1606
314;1618
315;1640
316;1482
317;1448
318;1391
319;1425
320;1493
321;1369
322;1369
323;1652
324;1629
325;1505
326;1403
327;1369
328;1380
329;1301
330;1312
331;1290
332;1312
333;1414
334;1380
335;1403
336;1663
337;1584
338;1516
339;1584
340;1482
341;1663
342;1493
343;1606
344;1595
345;1584
346;1584
347;1674
348;1674
349;1391
350;1459
351;1459
352;1448
353;1391
354;1312
355;1380
356;1312
357;1380
358;1380
359;1324
360;1391
361;1380
362;1459
363;1391
364;1380
365;1312
366;1357
367;1324
368;1324
369;1357
370;1391
371;1482
372;1425
373;1471
374;1425
375;1437
376;1380
377;1391
378;1312
379;1312
380;1312
381;1312
382;1312
383;1312
384;1188
385;1165
386;1312
387;1165
388;1312
389;1301
390;1312
391;1312
392;1301
393;1290
394;1312
395;1312
396;1301
397;1312
398;1301
399;1312
400;1290
401;1176
402;1165
403;1312
404;1165
405;1176
406;1312
407;1165
408;1380
409;1369
410;1380
411;1403
412;1380
413;1324
414;1312
415;1301
416;1324
417;1301
418;1301
419;1312
420;1391
421;1391
422;1312
423;1369
424;1301
425;1312
426;1324
427;1312
428;1312
429;1324
430;1369
431;1346
432;1629
433;1652
434;1516
435;1482
436;1550
437;1505
438;1516
439;1471
440;1538
441;1482
442;1550
443;1561
444;1572
445;1482
446;1380
447;1448
448;1369
449;1369
450;1312
451;1290
452;1312
453;1301
454;1380
455;1380
456;1629
457;1652
458;1572
459;1471
460;1527
461;1380
462;1437
463;1459
464;1471
465;1414
466;1493
467;1595
468;1663
469;1459
470;1471
471;1505
472;1437
473;1380
474;1312
475;1301
476;1369
477;1312
478;1448
479;1380
480;1640
481;1640
482;1527
483;1550
484;1493
485;1527
486;1527
487;1471
488;1550
489;1471
490;1437
491;1516
492;1572
493;1403
494;1391
495;1369
496;1335
497;1301
498;1312
499;1312
500;1176
501;1312
502;1335
503;1312
504;1425
505;1538
506;1425
507;1403
508;1459
509;1369
510;1391
511;1346
512;1301
513;1391
514;1403
515;1459
516;1471
517;1391
518;1312
519;1369
520;1312
521;1369
522;1312
523;1312
524;1312
525;1391
526;1312
527;1312
528;1391
529;1391
530;1357
531;1391
532;1380
533;1380
534;1312
535;1391
536;1380
537;1380
538;1380
539;1380
540;1471
541;1471
542;1448
543;1448
544;1391
545;1369
546;1391
547;1403
548;1391
549;1380
550;1312
551;1380
552;1312
553;1369
554;1391
555;1448
556;1403
557;1380
558;1380
559;1369
560;1391
561;1369
562;1391
563;1471
564;1448
565;1425
566;1459
567;1425
568;1425
569;1335
570;1312
571;1324
572;1312
573;1312
574;1369
575;1425
576;1652
577;1833
578;1595
579;1561
580;1629
581;1618
582;1550
583;1719
584;995
585;1889
586;1674
587;1697
588;1697
589;1538
590;1505
591;1482
592;1538
593;1357
594;1471
595;1301
596;1482
597;1301
598;1538
599;1459
600;1719
601;1719
602;1414
603;1946
604;1222
605;1505
606;1414
607;1527
608;2025
609;1685
610;1742
611;1844
612;1923
613;1697
614;1674
615;1765
616;1618
617;1787
618;1538
619;1652
620;1799
621;1516
622;1799
623;1663
624;1844
625;2070
626;1753
627;1889
628;2036
629;1731
630;1719
631;1799
632;1640
633;1844
634;1810
635;1821
636;1991
637;1833
638;1640
639;1900
640;1550
641;1685
642;1719
643;1527
644;1753
645;1731
646;1652
647;1640
648;1708
649;1991
650;1697
651;1697
652;1889
653;1584
654;1799
655;1708
656;1674
657;1889
658;1821
659;1663
660;1878
661;1753
662;1618
663;1640
664;1606
665;1516
666;1572
667;1459
668;1505
669;1493
670;1663
671;1550
672;1572
673;1776
674;1618
675;1640
676;1855
677;1448
678;1663
679;1753
680;1516
681;1753
682;1652
683;1640
684;1833
685;1629
686;1493
687;1561
688;1493
689;1482
690;1369
691;1459
692;1369
693;1437
694;1437
695;1403
696;1516
697;1618
698;1538
699;1584
700;1459
701;1505
702;1493
703;1561
704;1550
705;1471
706;1516
707;1561
708;1731
709;1527
710;1595
711;1640
712;1697
713;1550
714;1550
715;1550
716;1561
717;1584
718;1731
719;1595
720;1550
721;1595
722;1685
723;1844
724;1629
725;1618
726;1640
727;1606
728;1629
729;1629
730;1618
731;1663
732;1640
733;1640
734;1629
735;1663
736;1584
737;1606
738;1471
739;1618
740;1471
741;1538
742;1685
743;1618
744;1714
745;1770
746;1736
747;1612
748;1815
749;1545
750;1714
751;1951
752;1500
753;1860
754;1973
755;1511
756;1883
757;1872
758;1624
759;1635
760;1635
761;1556
762;1533
763;1567
764;1432
765;1477
766;1590
767;1590
768;1827
769;1759
770;1601
771;1804
772;1579
773;1522
774;1646
775;1635
776;1714
777;1815
778;1635
779;1646
780;1736
781;1793
782;1590
783;1545
784;1556
785;1387
786;1443
787;1421
788;1409
789;1398
790;1466
791;1545
792;1793
793;1646
794;1500
795;1612
796;1579
797;1612
798;1590
799;1545
800;1579
801;1500
802;1590
803;1522
804;1612
805;1421
806;1342
807;1353
808;1297
809;1319
810;1150
811;1319
812;1150
813;1319
814;1297
815;1297
816;1556
817;1488
818;1432
819;1387
820;1330
821;1308
822;1319
823;1161
824;1150
825;1150
826;1308
827;1150
828;1330
829;1297
830;1150
831;1297
832;1161
833;1308
834;1161
835;1297
836;1173
837;1150
838;1308
839;1285
840;1421
841;1409
842;1353
843;1364
844;1376
845;1342
846;1297
847;1297
848;1285
849;1308
850;1330
851;1342
852;1285
853;1342
854;1297
855;1297
856;1161
857;1161
858;1139
859;1150
860;1161
861;1150
862;1150
863;1161
864;1150
865;1161
866;1263
867;1274
868;1150
869;1139
870;1150
871;1049
872;1150
873;1150
874;1150
875;1161
876;1150
877;1161
878;1161
879;1161
880;1161
881;1161
882;1173
883;1161
884;1150
885;1161
886;1161
887;1139
888;1161
889;1161
890;1150
891;1229
892;1285
893;1150
894;1161
895;1139
896;1297
897;1139
898;1173
899;1285
900;1297
901;1297
902;1161
903;1285
904;1161
905;1285
906;1297
907;1173
908;1297
909;1297
910;1297
911;1319
912;1905
913;970
914;1353
915;1545
916;1500
917;1601
918;1060
919;1421
920;2142
921;1703
922;1646
923;1669
924;1680
925;1601
926;1488
927;1545
928;1533
929;1466
930;1443
931;1466
932;1454
933;1432
934;1556
935;1522
936;1680
937;1714
938;1646
939;1635
940;1646
941;1646
942;1624
943;1624
944;1646
945;1624
946;1703
947;1680
948;1657
949;1635
950;1601
951;1624
952;1612
953;1579
954;1567
955;1590
956;1522
957;1545
958;1691
959;1680
960;1770
961;1883
962;1804
963;1804
964;1703
965;1680
966;1793
967;1714
968;1748
969;1770
970;1714
971;1815
972;1759
973;1770
974;1556
975;1691
976;1545
977;1590
978;1500
979;1703
980;1533
981;1567
982;1827
983;1500
984;1962
985;1838
986;1827
987;1793
988;1827
989;1770
990;1759
991;1804
992;1759
993;1781
994;1759
995;1781
996;1860
997;1454
998;1815
999;1657
1000;1522
1001;1533
1002;1466
1003;1409
1004;1488
1005;1657
1006;1533
1007;1781
1008;1691
1009;1759
1010;1511
1011;1815
1012;1601
1013;1691
1014;1680
1015;1511
1016;1781
1017;1669
1018;1669
1019;1691
1020;1804
1021;1624
1022;1488
1023;1691
1024;1342
1025;1624
1026;1432
1027;1579
1028;1364
1029;1635
1030;1342
1031;1624
1032;1680
1033;1353
1034;1680
1035;1601
1036;1556
1037;1522
1038;1657
1039;1601
1040;1466
1041;1601
1042;1646
1043;1624
1044;1624
1045;1579
1046;1579
1047;1669
1048;1703
1049;1533
1050;1443
1051;1579
1052;1567
1053;1477
1054;1533
1055;1466
1056;1511
1057;1567
1058;1657
1059;1533
1060;1500
1061;1579
1062;1454
1063;1454
1064;1477
1065;1522
1066;1556
1067;1612
1068;1579
1069;1646
1070;1703
1071;1635
1072;1533
1073;1579
1074;1635
1075;1545
1076;1590
1077;1533
1078;1736
1079;1533
1080;1815
1081;1928
1082;1590
1083;1736
1084;1748
1085;1612
1086;1567
1087;1511
1088;1500
1089;1511
1090;1488
1091;1624
1092;1669
1093;1522
1094;1533
1095;1533
1096;1466
1097;1466
1098;1409
1099;1387
1100;1421
1101;1421
1102;1556
1103;1556
1104;1669
1105;1714
1106;1646
1107;1342
1108;1466
1109;1804
1110;1319
1111;1353
1112;1477
1113;1443
1114;1319
1115;1387
1116;1973
1117;1364
1118;1364
1119;1624
1120;1511
1121;1364
1122;1342
1123;1691
1124;1319
1125;1342
1126;1556
1127;1827
1128;1511
1129;1703
1130;1860
1131;1376
1132;1432
1133;1556
1134;1624
1135;1398
1136;1511
1137;1917
1138;1376
1139;1612
1140;1827
1141;1398
1142;1342
1143;1736
1144;1206
1145;1229
1146;1488
1147;1263
1148;1229
1149;1387
1150;1443
1151;1285
1152;1815
1153;1612
1154;1454
1155;1443
1156;1759
1157;1387
1158;1376
1159;1500
1160;1657
1161;1218
1162;1218
1163;1680
1164;1319
1165;1308
1166;1409
