Index;Wert
0;100
1;97.5910843
2;94.5324663
3;94.3789801
4;94.2049668
5;92.7873202
6;92.7338111
7;92.5396557
8;91.9075651
9;91.6597311
10;91.1998307
11;90.1188754
12;90.0779797
13;88.6970219
14;88.358402
15;88.2105884
16;87.9939132
17;87.3355512
18;87.1119003
19;87.092958
20;87.0887734
21;86.7577115
22;86.3879175
23;86.307639
24;86.2159954
25;85.6015578
26;85.4746368
27;85.2134854
28;85.0359548
29;84.2941374
30;84.0516829
31;83.7127284
32;83.6372474
33;83.6256652
34;83.5712028
35;83.4528511
36;83.2256857
37;83.136136
38;83.1264128
39;83.1193208
40;82.9790498
41;82.369216
42;82.250196
43;82.0258212
44;81.878256
45;81.868576
46;81.8393873
47;81.652897
48;81.5686001
49;81.5485612
50;81.5419054
51;81.4855293
52;81.4089049
53;81.3516062
54;81.2887915
55;81.0762823
56;80.9948939
57;80.9373128
58;80.9323911
59;80.7848555
60;80.5950257
61;80.5144325
62;80.442119
63;80.3592335
64;80.3312563
65;80.3296569
66;80.1734762
67;80.0958622
68;80.0909605
69;79.9375817
70;79.9333916
71;79.8324282
72;79.6336206
73;79.3907335
74;79.2806972
75;79.2454148
76;79.1728096
77;79.0854154
78;78.748988
79;78.5785423
80;78.5317932
81;78.5055138
82;78.4749303
83;78.4177933
84;78.3763568
85;78.2993072
86;78.2672685
87;78.2472133
88;78.2455117
89;78.1464403
90;78.0872705
91;77.8869421
92;77.8384983
93;77.7985028
94;77.7507118
95;77.5203191
96;77.3455305
97;77.3164173
98;77.2455551
99;77.0038725
100;76.8199653
101;76.7218309
102;76.6425218
103;76.5809171
104;76.5382265
105;76.5245462
106;76.4147301
107;76.1339381
108;75.8829257
109;75.8137922
110;75.4009807
111;75.3047889
112;75.2776231
113;75.2672602
114;75.1982398
115;75.152379
116;75.1278439
117;75.1102139
118;75.0992622
119;75.0570575
120;75.0415445
121;75.0368559
122;75.0294144
123;74.9851317
124;74.9490152
125;74.8479625
126;74.840103
127;74.7751354
128;74.7664308
129;74.7236379
130;74.722248
131;74.7177904
132;74.7096266
133;74.6635052
134;74.6005523
135;74.5908965
136;74.5439915
137;74.4989062
138;74.4561274
139;74.4383639
140;74.3378977
141;74.3285177
142;74.3204536
143;74.28098
144;74.2703499
145;74.2617298
146;74.2390771
147;74.2009615
148;74.1227548
149;74.0442627
150;73.9308622
151;73.8778503
152;73.7588671
153;73.742349
154;73.6962522
155;73.65569
156;73.6357143
157;73.6025758
158;73.5743221
159;73.5669765
160;73.492768
161;73.4868665
162;73.4289844
163;73.3933371
164;73.3508933
165;73.3406381
166;73.3189631
167;73.2934598
168;73.2839721
169;73.2800845
170;73.2481543
171;73.238364
172;73.2324585
173;73.0798331
174;73.0516188
