Index;Wert
0;35.4421134
1;35.4421134
2;35.4421134
3;35.4421134
4;41.4480066
5;41.4480066
6;41.4480066
7;41.4480066
8;41.4952143
9;41.4952143
10;41.4952143
11;41.4952143
12;41.4775
13;41.4775
14;41.4775
15;41.4775
16;41.4525
17;41.4525
18;41.4525
19;41.4525
20;41.4275
21;41.4275
22;41.4275
23;41.4275
24;41.4025
25;41.4025
26;41.4025
27;41.4025
28;41.3766667
29;41.3766667
30;41.3766667
31;41.3766667
32;41.3516667
33;41.3516667
34;41.3516667
35;41.3516667
36;41.3133333
37;41.3133333
38;41.3133333
39;41.3133333
40;41.4283333
41;41.4283333
42;41.4283333
43;41.4283333
44;41.4162667
45;41.4162667
46;41.4162667
47;41.4162667
48;41.5010667
49;41.5010667
50;41.5010667
51;41.5010667
52;41.3674359
53;41.3674359
54;41.3674359
55;41.3674359
56;41.3951282
57;41.3951282
58;41.3951282
59;41.3951282
60;41.3735897
61;41.3735897
62;41.3735897
63;41.3735897
64;41.4716607
65;41.4716607
66;41.4716607
67;41.4716607
68;41.4658667
69;41.4658667
70;41.4658667
71;41.4658667
72;41.4218667
73;41.4218667
74;41.4218667
75;41.4218667
76;41.3858667
77;41.3858667
78;41.3858667
79;41.3858667
80;41.3802667
81;41.3802667
82;41.3802667
83;41.3802667
84;41.3842667
85;41.3842667
86;41.3842667
87;41.3842667
88;42.4043379
89;42.4043379
90;42.4043379
91;42.4043379
92;41.809059
93;41.809059
94;41.809059
95;41.809059
96;36.5102566
97;36.5102566
98;36.5102566
99;36.5102566
100;41.3546667
101;41.3546667
102;41.3546667
103;41.3546667
104;41.3474667
105;41.3474667
106;41.3474667
107;41.3474667
108;41.3644159
109;41.3644159
110;41.3644159
111;41.3644159
112;41.3928716
113;41.3928716
114;41.3928716
115;41.3928716
116;41.4371585
117;41.4371585
118;41.4371585
119;41.4371585
120;41.4495614
121;41.4495614
122;41.4495614
123;41.4495614
124;41.4542336
125;41.4542336
126;41.4542336
127;41.4542336
128;41.423302
129;41.423302
130;41.423302
131;41.423302
132;41.4309875
133;41.4309875
134;41.4309875
135;41.4309875
136;41.3883495
137;41.3883495
138;41.3883495
139;41.3883495
140;41.3546667
141;41.3546667
142;41.3546667
143;41.3546667
144;41.4010667
145;41.4010667
146;41.4010667
147;41.4010667
148;41.4466667
149;41.4466667
150;41.4466667
151;41.4466667
152;41.4690667
153;41.4690667
154;41.4690667
155;41.4690667
156;41.4834667
157;41.4834667
158;41.4834667
159;41.4834667
160;41.4898667
161;41.4898667
162;41.4898667
163;41.4898667
164;41.4906667
165;41.4906667
166;41.4906667
167;41.4906667
168;41.4970667
169;41.4970667
170;41.4970667
171;41.4970667
172;41.5066667
173;41.5066667
174;41.5066667
175;41.5066667
176;41.5034667
177;41.5034667
178;41.5034667
179;41.5034667
180;41.4994667
181;41.4994667
182;41.4994667
183;41.4994667
184;46.594678
185;46.594678
186;46.594678
187;46.594678
188;46.1061873
189;46.1061873
190;46.1061873
191;46.1061873
192;40.9942011
193;40.9942011
194;40.9942011
195;40.9942011
196;37.0419383
197;37.0419383
198;37.0419383
199;37.0419383
200;38.5818516
201;38.5818516
202;38.5818516
203;38.5818516
204;41.4770667
205;41.4770667
206;41.4770667
207;41.4770667
208;41.4650667
209;41.4650667
210;41.4650667
211;41.4650667
212;41.4426667
213;41.4426667
214;41.4426667
215;41.4426667
216;41.4562667
217;41.4562667
218;41.4562667
219;41.4562667
220;41.4410667
221;41.4410667
222;41.4410667
223;41.4410667
224;41.4306667
225;41.4306667
226;41.4306667
227;41.4306667
228;41.4226667
229;41.4226667
230;41.4226667
231;41.4226667
232;41.4506667
233;41.4506667
234;41.4506667
235;41.4506667
236;41.4402516
237;41.4402516
238;41.4402516
239;41.4402516
240;41.3712821
241;41.3712821
242;41.3712821
243;41.3712821
244;41.3858974
245;41.3858974
246;41.3858974
247;41.3858974
248;41.3912821
249;41.3912821
250;41.3912821
251;41.3912821
252;39.5941307
253;39.5941307
254;39.5941307
255;39.5941307
256;41.3605128
257;41.3605128
258;41.3605128
259;41.3605128
260;41.4944179
261;41.4944179
262;41.4944179
263;41.4944179
264;41.4642667
265;41.4642667
266;41.4642667
267;41.4642667
268;41.4306667
269;41.4306667
270;41.4306667
271;41.4306667
272;41.3826667
273;41.3826667
274;41.3826667
275;41.3826667
276;41.3506667
277;41.3506667
278;41.3506667
279;41.3506667
280;45.4661671
281;45.4661671
282;45.4661671
283;45.4661671
284;41.9839938
285;41.9839938
286;41.9839938
287;41.9839938
288;36.0592367
289;36.0592367
290;36.0592367
291;36.0592367
292;41.4936217
293;41.4936217
294;41.4936217
295;41.4936217
296;41.4866667
297;41.4866667
298;41.4866667
299;41.4866667
300;41.4816667
301;41.4816667
302;41.4816667
303;41.4816667
304;41.4858333
305;41.4858333
306;41.4858333
307;41.4858333
308;41.471464
309;41.471464
310;41.471464
311;41.471464
312;41.3838384
313;41.3838384
314;41.3838384
315;41.3838384
316;41.3540414
317;41.3540414
318;41.3540414
319;41.3540414
320;41.3650667
321;41.3650667
322;41.3650667
323;41.3650667
324;41.3778667
325;41.3778667
326;41.3778667
327;41.3778667
328;41.4298667
329;41.4298667
330;41.4298667
331;41.4298667
332;41.4802667
333;41.4802667
334;41.4802667
335;41.4802667
336;41.4671417
337;41.4671417
338;41.4671417
339;41.4671417
340;41.464135
341;41.464135
342;41.464135
343;41.464135
344;41.5020642
345;41.5020642
346;41.5020642
347;41.5020642
348;41.5035971
349;41.5035971
350;41.5035971
351;41.5035971
352;41.4666667
353;41.4666667
354;41.4666667
355;41.4666667
356;41.4282667
357;41.4282667
358;41.4282667
359;41.4282667
360;41.3986667
361;41.3986667
362;41.3986667
363;41.3986667
364;41.3634667
365;41.3634667
366;41.3634667
367;41.3634667
368;41.3594667
369;41.3594667
370;41.3594667
371;41.3594667
372;41.351088
373;41.351088
374;41.351088
375;41.351088
376;43.8874776
377;43.8874776
378;43.8874776
379;43.8874776
380;40.2428411
381;40.2428411
382;40.2428411
383;40.2428411
384;38.9990975
385;38.9990975
386;38.9990975
387;38.9990975
388;41.4541667
389;41.4541667
390;41.4541667
391;41.4541667
392;41.41
393;41.41
394;41.41
395;41.41
396;41.3741667
397;41.3741667
398;41.3741667
399;41.3741667
400;41.3566667
401;41.3566667
402;41.3566667
403;41.3566667
404;41.3525
405;41.3525
406;41.3525
407;41.3525
408;41.3983333
409;41.3983333
410;41.3983333
411;41.3983333
412;41.455
413;41.455
414;41.455
415;41.455
416;41.4667493
417;41.4667493
418;41.4667493
419;41.4667493
420;41.4856787
421;41.4856787
422;41.4856787
423;41.4856787
424;41.3570667
425;41.3570667
426;41.3570667
427;41.3570667
428;41.4578667
429;41.4578667
430;41.4578667
431;41.4578667
432;41.4928923
433;41.4928923
434;41.4928923
435;41.4928923
436;41.5018667
437;41.5018667
438;41.5018667
439;41.5018667
440;41.4994667
441;41.4994667
442;41.4994667
443;41.4994667
444;41.5042667
445;41.5042667
446;41.5042667
447;41.5042667
448;41.4890667
449;41.4890667
450;41.4890667
451;41.4890667
452;41.4130667
453;41.4130667
454;41.4130667
455;41.4130667
456;41.3644159
457;41.3644159
458;41.3644159
459;41.3644159
460;41.4095471
461;41.4095471
462;41.4095471
463;41.4095471
464;41.3610667
465;41.3610667
466;41.3610667
467;41.3610667
468;41.3555199
469;41.3555199
470;41.3555199
471;41.3555199
472;41.0344857
473;41.0344857
474;41.0344857
475;41.0344857
476;39.9233716
477;39.9233716
478;39.9233716
479;39.9233716
480;37.4952122
481;37.4952122
482;37.4952122
483;37.4952122
484;41.471464
485;41.471464
486;41.471464
487;41.471464
488;41.4908333
489;41.4908333
490;41.4908333
491;41.4908333
492;41.4666667
493;41.4666667
494;41.4666667
495;41.4666667
496;41.4441667
497;41.4441667
498;41.4441667
499;41.4441667
500;41.4266667
501;41.4266667
502;41.4266667
503;41.4266667
504;41.4333333
505;41.4333333
506;41.4333333
507;41.4333333
508;41.4525
509;41.4525
510;41.4525
511;41.4525
512;41.4241667
513;41.4241667
514;41.4241667
515;41.4241667
516;41.4325
517;41.4325
518;41.4325
519;41.4325
520;41.4495614
521;41.4495614
522;41.4495614
523;41.4495614
524;41.4426667
525;41.4426667
526;41.4426667
527;41.4426667
528;41.4962667
529;41.4962667
530;41.4962667
531;41.4962667
532;41.4658667
533;41.4658667
534;41.4658667
535;41.4658667
536;41.4426667
537;41.4426667
538;41.4426667
539;41.4426667
540;41.3954667
541;41.3954667
542;41.3954667
543;41.3954667
544;41.3481393
545;41.3481393
546;41.3481393
547;41.3481393
548;41.4495614
549;41.4495614
550;41.4495614
551;41.4495614
552;41.4983333
553;41.4983333
554;41.4983333
555;41.4983333
556;41.4725
557;41.4725
558;41.4725
559;41.4725
560;41.4416667
561;41.4416667
562;41.4416667
563;41.4416667
564;41.36
565;41.36
566;41.36
567;41.36
568;35.3475
569;35.3475
570;35.3475
571;35.3475
572;39.7341644
573;39.7341644
574;39.7341644
575;39.7341644
576;41.3941667
577;41.3941667
578;41.3941667
579;41.3941667
580;41.3775
581;41.3775
582;41.3775
583;41.3775
584;41.3958333
585;41.3958333
586;41.3958333
587;41.3958333
588;41.375
589;41.375
590;41.375
591;41.375
592;41.36
593;41.36
594;41.36
595;41.36
596;41.3925
597;41.3925
598;41.3925
599;41.3925
600;41.4033333
601;41.4033333
602;41.4033333
603;41.4033333
604;41.3825
605;41.3825
606;41.3825
607;41.3825
608;41.3658333
609;41.3658333
610;41.3658333
611;41.3658333
612;41.3633333
613;41.3633333
614;41.3633333
615;41.3633333
616;41.4958333
617;41.4958333
618;41.4958333
619;41.4958333
620;41.4314667
621;41.4314667
622;41.4314667
623;41.4314667
624;41.482247
625;41.482247
626;41.482247
627;41.482247
628;41.4078982
629;41.4078982
630;41.4078982
631;41.4078982
632;41.4240052
633;41.4240052
634;41.4240052
635;41.4240052
636;41.4426667
637;41.4426667
638;41.4426667
639;41.4426667
640;41.3599625
641;41.3599625
642;41.3599625
643;41.3599625
644;41.4171762
645;41.4171762
646;41.4171762
647;41.4171762
648;41.4082667
649;41.4082667
650;41.4082667
651;41.4082667
652;41.4298968
653;41.4298968
654;41.4298968
655;41.4298968
656;41.3803997
657;41.3803997
658;41.3803997
659;41.3803997
660;41.4064407
661;41.4064407
662;41.4064407
663;41.4064407
664;50.7772064
665;50.7772064
666;50.7772064
667;50.7772064
668;46.5680418
669;46.5680418
670;46.5680418
671;46.5680418
672;40.6059857
673;40.6059857
674;40.6059857
675;40.6059857
676;35.7056647
677;35.7056647
678;35.7056647
679;35.7056647
680;41.3184361
681;41.3184361
682;41.3184361
683;41.3184361
684;41.4530667
685;41.4530667
686;41.4530667
687;41.4530667
