Groesse;Wert
Lauf.ID_Projekt;1041
Sim.Restwaerme;0
Sim.Reststrom;18.2493296
Sim.bSimulationWP;True
Sim.bSimulationKessel;True
Sim.bSimulationSolarthermie;False
Sim.bSimulationBHKW;False
Sim.bSimulationPV;True
Sim.bSimulationSSP;False
Sim.PufferWP_vorhanden;False
Sim.Speicher_Anzahl;2
Geb[0].ID_Gebaeude;10646
Geb[0].Modell;VDI6007
Geb[0].JahresheizwaermeMwh;75.9406927
Geb[0].SpitzeKw;39.6751852
Geb[0].SpitzeTagesmittelKw;28.9795791
Geb[0].Spitze95Kw;21.6898285
Geb[0].MittlereRaumtemperaturHeizzeit;20.6574188
Geb[0].Ueberhitzungsstunden;331
Em.Kessel.Co2T;35.9783146
Em.Kessel.So2Kg;0.0449728933
Em.Kessel.NoxKg;16.4900609
Em.Kessel.CoKg;0
Em.Kessel.StaubKg;0.0749548222
Ergebnis.ID_Projekt;1041
Ergebnis.Bezeichner;Simulation Prozesswärme mit eigenem Puffer
Ergebnis.ID_Klimaregion;1020051
Ergebnis.Sim_Energiebedarf;True
Ergebnis.Sim_Waermepumpe;True
Ergebnis.Sim_Heizkessel;True
Ergebnis.Sim_Solarthermie;False
Ergebnis.Sim_BHKW;False
Ergebnis.Sim_PV;True
Ergebnis.Sim_Stromspeicher;False
Energiebedarf.Waermebedarf_Gesamt;176.37
Energiebedarf.Waermelast_Max;77.33
Energiebedarf.Strombedarf_Gesamt;8
Energiebedarf.Strombedarf_Max;3.72
Energiebedarf.Waermerestbedarf;0
Energiebedarf.Stromrestbedarf;18.25
Energiebedarf.Waermebedarf_Heizung;141.37
Energiebedarf.Waermebedarf_Brauchwasser;5
Energiebedarf.Waermebedarf_Prozess;30
Waermepumpe.Waermebedarf;176.37
Waermepumpe.Restwaermebedarf;146.36
Waermepumpe.Waermeproduktion_WP;30.01
Waermepumpe.Stromverbrauch_WP;10.25
Waermepumpe.Stromverbrauch_Heizstab;0
Waermepumpe.Kapazitaet_Pufferspeicher;80.79
Waermepumpe.Min_Spitzenkesselleistung;0
Waermepumpe.Waermebedarfsdeckung;17.02
Waermepumpe.Vollbenutzungsstunden;2487.98
Waermepumpe.Bivalenzpunkt;
Waermepumpe.Deckung_Heizung;0.01
Waermepumpe.Deckung_Brauchwasser;0
Waermepumpe.Deckung_Prozess;17.01
WaermepumpeModul[0].Modul;CS6800iAW MB + AW 10 OR-T
WaermepumpeModul[0].Leistung;11
WaermepumpeModul[0].Waermeproduktion;30.01
WaermepumpeModul[0].Stromverbrauch;10.25
WaermepumpeModul[0].Heizstab;0
WaermepumpeModul[0].Betriebsstunden;2487.98
Heizkessel.Waermebedarf;176.37
Heizkessel.Restwaermebedarf;30.01
Heizkessel.Waermeproduktion;149.91
Heizkessel.Strombedarf;18.25
Heizkessel.Reststrombedarf;18.25
Heizkessel.Waermebedarfsdeckung;82.98
Heizkessel.Stromverbrauch;0
Heizkessel.Maximale_Kesselleistung;80
Heizkessel.Gasspitze;78.21
Heizkessel.Gasverbrauch;149.91
Heizkessel.Oelverbrauch;0
Heizkessel.Koks;0
Heizkessel.Rapsoelverbrauch;0
Heizkessel.Holzverbrauch;0
Heizkessel.Kohle;0
Heizkessel.Sonstigverbrauch;0
Heizkessel.Pellets;0
Heizkessel.TierischeFette;0
Heizkessel.Quellwaerme;0
Heizkessel.Deckung_Heizung;80.15
Heizkessel.Deckung_Brauchwasser;2.83
Heizkessel.Deckung_Prozess;0
HeizkesselModul[0].Modul;Vitocrossal 200 CM2 raumluftabh�ngig
HeizkesselModul[0].Waerme_Gas;149.91
HeizkesselModul[0].Waerme_Oel;0
HeizkesselModul[0].Brennstoff;Gas
HeizkesselModul[0].Verbrauch;149.91
HeizkesselModul[0].Jahresnutzungsgrad;100
HeizkesselModul[0].carrier_id;63
HeizkesselModul[0].Waermeproduktion;149.91
HeizkesselModul[0].Hilfsenergie;0
Photovoltaik.Strombedarf;18.25
Photovoltaik.Reststrombedarf;18.25
Photovoltaik.Stromproduktion;0
Photovoltaik.Strombedarfsdeckung;0
Photovoltaik.Ueberschuss;0
Photovoltaik.MaxSolareLeistung;0
Pufferspeicher[0].ID_Pufferspeicher;1054191
Pufferspeicher[0].Bezeichner;Puffer 3000Ltr
Pufferspeicher[0].Verwendung;Kombi
Pufferspeicher[0].Q_max;45.99
Pufferspeicher[0].Ladung_gesamt;144837.48
Pufferspeicher[0].Entladung_gesamt;142477.76
Pufferspeicher[0].Verluste_gesamt;2316.29
Pufferspeicher[0].SOC_Ende;43.43
Pufferspeicher[0].SOC_Mittel;43.43
Pufferspeicher[0].SOC_Max;43.43
Pufferspeicher[0].Vollzyklen;3149.05
Pufferspeicher[0].Entladung_Heizung;137477.76
Pufferspeicher[0].Entladung_Brauchwasser;5000
Pufferspeicher[0].Entladung_Prozess;0
Pufferspeicher[0].Durchsatz_Geladen;0
Pufferspeicher[0].Durchsatz_Entladen;0
Pufferspeicher[0].ID_Anlage;
Pufferspeicher[0].T_oben_Mittel;9.44
Pufferspeicher[0].T_oben_Min;9.44
Pufferspeicher[1].ID_Pufferspeicher;1054192
Pufferspeicher[1].Bezeichner;Puffer 3000Ltr (2)
Pufferspeicher[1].Verwendung;Kombi
Pufferspeicher[1].Q_max;34.8
Pufferspeicher[1].Ladung_gesamt;5072.17
Pufferspeicher[1].Entladung_gesamt;3881.09
Pufferspeicher[1].Verluste_gesamt;1158.14
Pufferspeicher[1].SOC_Ende;32.93
Pufferspeicher[1].SOC_Mittel;32.93
Pufferspeicher[1].SOC_Max;32.93
Pufferspeicher[1].Vollzyklen;145.75
Pufferspeicher[1].Entladung_Heizung;3881.09
Pufferspeicher[1].Entladung_Brauchwasser;0
Pufferspeicher[1].Entladung_Prozess;0
Pufferspeicher[1].Durchsatz_Geladen;0
Pufferspeicher[1].Durchsatz_Entladen;0
Pufferspeicher[1].ID_Anlage;
Pufferspeicher[1].T_oben_Mittel;9.46
Pufferspeicher[1].T_oben_Min;9.46
Vektor.waermebedarf.Summe;176370.516
Vektor.waermebedarf_gebaeude.Summe;75940692.7
Vektor.waermebedarf_brauchwasser.Summe;5000
Vektor.waermebedarf_prozess.Summe;30000
Vektor.waermebedarf_extern.Summe;65429.823
Vektor.waermebedarf_dauerlinie.Summe;228071.563
Vektor.stundentemperatur.Summe;86493.64
Vektor.raumtemperatur_0.Summe;175172.904
Vektor.operative_temperatur_0.Summe;168865.707
Vektor.restwaerme.Summe;0
Vektor.strombedarf_viertelstunde.Summe;32000
Vektor.reststrom_viertelstunde.Summe;72997.3182
Vektor.wp_waermebedarf.Summe;176370.516
Vektor.wp_produktion.Summe;30011.664
Vektor.wp_strom.Summe;10249.3296
Vektor.heizstab.Summe;0
Vektor.wp_restwaerme.Summe;0
Vektor.wp_quellentemperatur.Summe;86493.64
Vektor.wp_warmwasserbedarf.Summe;5000
Vektor.kessel_waermebedarf.Summe;176370.516
Vektor.kessel_leistung.Summe;149909.644
Vektor.kessel_restwaerme.Summe;1.45569392
Vektor.kessel_strom.Summe;0
Vektor.pv_produktion.Summe;0
Vektor.pv_produktion_theoretisch.Summe;0
Vektor.pv_ueberschuss.Summe;0
Vektor.pv_reststrom.Summe;18249.3296
Vektor.pv_strombedarf.Summe;18249.3296
