Index;Wert
0;13.1196939
1;13.8171092
2;14.4096142
3;14.9248182
4;15.4432371
5;16.0514333
6;22.7080906
7;22.548842
8;21.7470383
9;20.5125038
10;19.2559102
11;17.5154997
12;15.9780974
13;14.9429698
14;14.1341897
15;13.7628222
16;14.7866503
17;15.7378413
18;16.621608
19;17.2075101
20;17.2859604
21;17.0726868
22;11.4545594
23;12.6051088
24;12.809827
25;13.2958255
26;13.6911139
27;14.0335471
28;14.4182572
29;14.9591398
30;21.4682272
31;21.0966907
32;19.944423
33;19.0417625
34;18.481663
35;17.746569
36;16.7973274
37;16.0647809
38;15.9513323
39;15.756211
40;15.8119862
41;16.0700931
42;16.352627
43;16.3899835
44;16.2107431
45;15.924409
46;10.1633844
47;11.1790169
48;11.375845
49;11.8476645
50;12.1851178
51;12.4596325
52;12.7716831
53;13.1773091
54;18.9833246
55;18.3821872
56;18.493989
57;18.0123581
58;17.1226311
59;15.6639489
60;14.0206175
61;13.6875744
62;12.7444986
63;11.6406647
64;13.7153848
65;14.8908561
66;15.837469
67;16.3658231
68;16.8386566
69;17.0064418
70;11.4704346
71;12.4468748
72;13.2017003
73;14.0118087
74;14.575434
75;14.9582253
76;15.2159609
77;15.2699392
78;20.7282855
79;19.7416994
80;19.4749458
81;18.6840065
82;16.9257927
83;14.882151
84;14.880782
85;14.8722963
86;14.5437819
87;14.8100914
88;15.63208
89;16.4189048
90;17.0941295
91;17.5017794
92;17.5324878
93;17.4620221
94;11.8177412
95;13.0430515
96;13.7068063
97;14.5314136
98;15.2975668
99;15.9562084
100;16.4928377
101;16.9858773
102;23.1651218
103;22.3034294
104;20.6730874
105;18.1971491
106;17.2374361
107;16.1997986
108;14.5670619
109;14.9676143
110;15.1068295
111;15.0716608
112;15.4410932
113;16.3461799
114;17.4342475
115;18.0359098
116;17.7807547
117;17.5815699
118;11.9966081
119;13.1897787
120;13.4575471
121;14.0721272
122;14.6240901
123;15.1148519
124;15.604749
125;16.1522309
126;22.5866137
127;22.0555936
128;21.1168329
129;18.7412554
130;17.5052736
131;16.6903707
132;14.6850372
133;15.027526
134;14.5721272
135;15.5887073
136;16.5449814
137;17.5457335
138;18.3764058
139;18.8955766
140;19.120295
141;19.5102458
142;14.1336229
143;15.3699751
144;15.2917436
145;15.7487693
146;15.9862009
147;16.3273031
148;16.7098902
149;16.9010609
150;23.1550699
151;22.7909267
152;21.8427748
153;19.427656
154;17.1205933
155;16.0268228
156;15.3665786
157;15.0018768
158;14.8268797
159;15.0027016
160;16.5203382
161;17.4527904
162;17.4421474
163;16.5518819
164;15.8202126
165;15.3909877
166;9.75612429
167;11.0783928
168;11.5023544
169;12.2529831
170;12.6367432
171;12.8105709
172;13.0951404
173;13.6314266
174;20.1319932
175;19.9281067
176;19.0800096
177;17.0193271
178;15.34294
179;13.4899461
180;12.9324448
181;12.1708111
182;11.6808726
183;11.9733785
184;12.5053408
185;14.5277644
186;15.6666855
187;16.2607696
188;16.1962712
189;16.1131496
190;10.650233
191;11.9919254
192;12.6416364
193;13.2274646
194;13.5648505
195;13.7684848
196;14.0756367
197;14.6072462
198;21.3003072
199;21.1098673
200;19.9565576
201;18.9709741
202;17.8528176
203;16.5757102
204;15.5202173
205;14.2848028
206;13.440431
207;13.0349444
208;13.2790377
209;14.3037599
210;15.3069162
211;16.0164551
212;16.6080938
213;16.9586317
214;11.757044
215;13.269983
216;13.7609533
217;14.2422907
218;14.5878375
219;14.5866392
220;14.3226783
221;13.8850823
222;19.0575028
223;17.8878376
224;18.0556247
225;17.653317
226;16.7081981
227;15.286906
228;14.4160486
229;13.1375296
230;13.0325913
231;13.1430678
232;13.9091182
233;15.0579502
234;15.9240934
235;16.5046129
236;16.5505212
237;16.3936978
238;10.5426295
239;11.218045
240;11.6919586
241;12.1775077
242;12.4386392
243;12.6975209
244;13.0900485
245;13.5810071
246;19.6147021
247;19.0400154
248;19.3848849
249;19.7066107
250;19.8783369
251;19.2176395
252;17.6041113
253;16.8034928
254;15.2843705
255;13.676025
256;14.4595086
257;15.1547672
258;15.8526329
259;16.168155
260;16.0809602
261;16.0480411
262;10.3768291
263;11.4925674
264;11.939392
265;12.4578724
266;13.1984483
267;13.667075
268;13.9759292
269;14.4185989
270;20.9850129
271;20.5696166
272;19.3940989
273;18.3579285
274;17.1387768
275;16.7783092
276;16.758678
277;15.8709299
278;14.9597346
279;14.5842383
280;15.2372041
281;16.4355071
282;17.124017
283;17.6063661
284;17.5848718
285;17.5113509
286;11.9411338
287;13.1889343
288;13.6422517
289;14.1787653
290;14.5458603
291;14.8054549
292;15.0886831
293;15.4777852
294;21.9297046
295;21.7596364
296;20.705186
297;19.8477447
298;19.1491029
299;16.5752957
300;16.1524639
301;15.9697528
302;16.4346591
303;16.2372682
304;17.0289715
305;17.8523974
306;18.6022535
307;19.1361202
308;19.1819668
309;19.2502772
310;13.879116
311;15.350095
312;15.9713046
313;16.8282139
314;17.4590818
315;17.9834437
316;18.5707394
317;19.3683135
318;26.165573
319;26.1763836
320;24.5143954
321;21.5592886
322;19.5674625
323;17.3536909
324;15.8251856
325;14.4291239
326;13.3046043
327;13.7918209
328;15.3782222
329;16.890923
330;18.1702727
331;18.8570185
332;19.1309388
333;19.1550356
334;13.7216246
335;15.0099053
336;15.2742032
337;15.7385236
338;15.8967392
339;16.093321
340;16.4302655
341;17.1172088
342;23.8356334
343;23.6370034
344;22.6342775
345;21.0452707
346;20.4573856
347;20.460752
348;20.4120065
349;20.3993412
350;19.8540044
351;20.3481764
352;19.9561882
353;20.8674912
354;21.3989064
355;21.6666153
356;21.5762331
357;21.3992387
358;15.7658016
359;16.9490882
360;17.2097594
361;17.7261375
362;18.1371738
363;18.3473154
364;18.6045675
365;18.9854001
366;25.4158245
367;25.1371112
368;24.0864536
369;22.4760898
370;21.7342913
371;20.4191801
372;20.5980588
373;20.2507041
374;19.8642554
375;19.9037084
376;20.4978272
377;21.1860393
378;21.7869771
379;22.1298221
380;21.9251026
381;21.6834959
382;16.1062235
383;17.4863117
384;17.9412047
385;18.5844136
386;19.2549176
387;19.8391921
388;20.2698164
389;20.6847849
390;26.6507772
391;26.0052022
392;25.84917
393;25.232732
394;24.1043158
395;22.5022974
396;22.5684422
397;21.6620232
398;21.7230462
399;21.5233802
400;22.4118815
401;23.383352
402;24.2725586
403;25.1642645
404;25.7187068
405;24.7544918
406;18.7383307
407;19.5754674
408;20.3640144
409;21.1803739
410;22.3454314
411;23.9439142
412;25.0502038
413;25.4263065
414;31.6035072
415;31.174254
416;31.3854132
