Groesse;Wert
Lauf.ID_Projekt;1023
Sim.Restwaerme;229.879417
Sim.Reststrom;137.465644
Sim.bSimulationWP;True
Sim.bSimulationKessel;True
Sim.bSimulationSolarthermie;False
Sim.bSimulationBHKW;False
Sim.bSimulationPV;False
Sim.bSimulationSSP;False
Sim.PufferWP_vorhanden;True
Puffer.Q_max;13.92
Puffer.Ladung_gesamt;68954.7663
Puffer.Entladung_gesamt;68606.808
Puffer.Verluste_gesamt;347.958368
Puffer.SOC_Mittel;6.27936612
Puffer.SOC_Max;13.140875
Puffer.Vollzyklen;4953.64701
Sim.Speicher_Anzahl;1
Geb[0].ID_Gebaeude;10628
Geb[0].Modell;VDI6007
Geb[0].JahresheizwaermeMwh;449.903215
Geb[0].SpitzeKw;308.508415
Geb[0].SpitzeTagesmittelKw;186.878919
Geb[0].Spitze95Kw;160.520959
Geb[0].MittlereRaumtemperaturHeizzeit;21.4188339
Geb[0].Ueberhitzungsstunden;840
Em.Kessel.Co2T;22.4351687
Em.Kessel.So2Kg;0.0280439609
Em.Kessel.NoxKg;10.2827857
Em.Kessel.CoKg;0
Em.Kessel.StaubKg;0.0467399348
Ergebnis.ID_Projekt;1023
Ergebnis.Bezeichner;Simulation Wöhler - Test1
Ergebnis.ID_Klimaregion;1020033
Ergebnis.Sim_Energiebedarf;True
Ergebnis.Sim_Waermepumpe;True
Ergebnis.Sim_Heizkessel;True
Ergebnis.Sim_Solarthermie;False
Ergebnis.Sim_BHKW;False
Ergebnis.Sim_PV;False
Ergebnis.Sim_Stromspeicher;False
Energiebedarf.Waermebedarf_Gesamt;509.9
Energiebedarf.Waermelast_Max;311.78
Energiebedarf.Strombedarf_Gesamt;0
Energiebedarf.Strombedarf_Max;0
Energiebedarf.Waermerestbedarf;229.88
Energiebedarf.Stromrestbedarf;137.47
Energiebedarf.Waermebedarf_Heizung;449.9
Energiebedarf.Waermebedarf_Brauchwasser;60
Energiebedarf.Waermebedarf_Prozess;0
