Index;Wert
0;37.4577681
1;37.7704131
2;38.0718265
3;38.3721389
4;38.671375
5;38.9695589
6;43.2229878
7;43.5225772
8;43.8116256
9;44.2531951
10;42.9224594
11;40.2321285
12;39.1641777
13;37.9578831
14;37.585927
15;37.8753911
16;38.8593003
17;39.6092001
18;40.1620347
19;40.6116127
20;40.6813313
21;40.6315381
22;36.8083703
23;36.8898421
24;36.9407182
25;36.9915609
26;37.0829939
27;37.2148749
28;37.4072268
29;37.6999221
30;41.7695763
31;41.799068
32;41.6022723
33;41.651512
34;41.3754167
35;40.9993203
36;40.4220856
37;39.8508991
38;39.5688463
39;39.3870013
40;39.3060474
41;39.2959223
42;39.2148749
43;39.0931465
44;39.1337437
45;39.1844605
46;35.1390919
47;35.1078109
48;35.2016116
49;35.2952866
50;35.3368798
51;35.4199927
52;35.5755674
53;35.865073
54;39.7301401
55;39.9212591
56;40.0517668
57;40.1520164
58;39.8006047
59;38.6451666
60;37.9063365
61;37.7101253
62;37.6377024
63;37.6169967
64;38.0505756
65;39.0118886
66;39.6293694
67;40.0517668
68;40.6514589
69;41.0488998
70;37.1743198
71;37.2756683
72;37.5183754
73;38.0617973
74;38.2621506
75;38.3221622
76;38.2721555
77;37.9212591
78;41.3457837
79;41.1479737
80;40.8702797
81;40.7111931
82;40.0617973
83;39.4274472
84;38.8287463
85;38.8083703
86;39.0626847
87;39.07284
88;39.5991135
89;40.0818545
90;40.4520394
91;40.8901447
92;40.9397872
93;41.128168
94;37.2959223
95;37.6596138
96;38.2221188
97;38.6514589
98;39.1776738
99;39.6022723
100;39.8088965
101;39.8580225
102;43.2713717
103;42.6112313
104;41.8776654
105;41.9954329
106;40.9695589
107;39.709996
108;39.0017254
109;39.1540343
110;39.1844605
111;39.1235963
112;39.3161711
113;40.2721555
114;41.2172583
115;41.5135721
116;40.9199336
117;41.1578749
118;37.3870013
119;37.5284721
120;37.6696928
121;37.9212591
122;38.2121078
123;38.5019385
124;38.7708854
125;38.9794805
126;42.8641825
127;42.6404529
128;42.970996
129;42.8738978
130;41.7695763
131;39.9011624
132;39.2250104
133;39.6092001
134;39.9011624
135;40.4919611
136;41.1083578
137;41.7695763
138;42.103252
139;42.4064227
140;42.7669743
141;43.7153709
142;39.9169383
143;39.9561941
144;39.3655402
145;39.5628609
146;39.3457837
147;39.5924211
148;39.7695763
149;39.3852921
150;43.2133081
151;43.4550091
152;43.6479364
153;43.6768426
154;42.1326351
155;40.0417352
156;38.9305456
157;38.4201874
158;38.5327607
159;39.9011624
160;41.1875716
161;41.5628609
162;40.3321599
163;38.5736549
164;38.2253437
165;38.4099452
166;34.7208416
167;35.2224391
168;35.6169967
169;36.0505756
170;35.9166488
171;35.7308042
172;35.865073
173;36.2356114
174;40.3321599
175;40.7012403
176;40.9596361
177;41.5431487
178;40.8901447
179;39.2655393
180;38.163708
181;37.4199927
182;37.1495157
183;37.2224391
184;38.1123057
185;39.2452774
186;39.709996
187;39.8911122
188;39.5991135
189;39.8609543
190;36.1739842
191;36.4816119
192;37.2351445
193;37.0931465
194;36.9712278
195;36.849117
196;36.981395
197;37.3060474
198;41.7400748
199;41.9660054
200;41.6219715
201;41.8285501
202;40.7609396
203;39.0931465
204;38.0917348
205;36.919828
206;36.4897041
207;36.4581236
208;36.7942199
209;37.9475767
210;38.7574065
211;39.3870013
212;40.3821306
213;41.0191555
214;37.5688463
215;38.0116328
216;38.2221188
217;38.0417352
218;38.0417352
219;37.5284721
220;36.7370115
221;35.7928053
222;39.0931465
223;38.6860002
224;39.4274472
225;38.818559
226;38.3177015
227;37.7721442
228;37.1495157
229;36.8361149
230;36.8570528
231;37.3264838
232;38.0196911
233;38.8796628
234;39.4880775
235;40.1119312
236;39.8609543
237;40.0015962
238;35.7514772
239;35.5341141
240;35.4926366
241;35.6584021
242;35.5548438
243;35.648053
244;35.9990943
245;36.4304283
246;40.671375
247;40.820597
248;41.3951664
249;42.0346547
250;41.9856248
251;41.799068
252;41.1677749
253;39.9212591
254;38.4099452
255;37.409609
256;37.5962851
257;38.368962
258;38.9203718
259;39.2250104
260;39.1641777
261;39.5587546
262;35.6273503
263;35.823786
264;36.0711581
265;36.0917348
266;36.849117
267;36.9407182
268;36.8796628
269;37.032211
270;41.2963732
271;41.1875716
272;40.9794805
273;40.9993203
274;40.8702797
275;40.6116127
276;40.3521518
277;40.4120987
278;39.7704131
279;39.5082774
280;40.0015962
281;40.4819824
282;40.6016482
283;40.9695589
284;40.9000755
285;41.1875716
286;37.3465347
287;37.5789366
288;38.0317023
289;37.971479
290;37.9614375
291;37.9413507
292;37.9915583
293;38.0617973
294;42.1326351
295;42.5917452
296;42.4259478
297;42.6112313
298;42.2891852
299;42.0640599
300;41.7204018
301;40.7907735
302;41.0191555
303;41.088543
304;41.523432
305;41.8187238
306;42.1913728
307;42.5917452
308;42.6112313
309;43.1067666
310;39.5727154
311;40.0640599
312;40.6404529
313;41.048603
314;41.2713717
315;41.5322259
316;41.9270071
317;42.5019189
318;46.7796202
319;47.2648812
320;45.8309761
321;46.0853833
322;44.8643468
323;42.786424
324;41.1578749
325;40.2121078
326;39.7200687
327;39.8508991
328;40.5916825
329;41.5431487
330;42.4064227
331;42.6404529
332;42.9321687
333;43.1164571
334;39.4642557
335;39.6219715
336;39.6416662
337;39.5727154
338;39.1974683
339;39.2172583
340;39.4149118
341;40.0150459
342;44.3106474
343;44.5019189
344;44.4541349
345;44.5783265
346;44.5496804
347;44.2819253
348;44.1381917
349;44.3106474
350;44.4254537
351;44.5496804
352;44.5496804
353;44.6355946
354;44.73097
355;44.8167321
356;44.8072065
357;44.9595103
358;41.1745795
359;41.3390683
360;41.4743191
361;41.5418737
362;41.6382991
363;41.5032768
364;41.5515206
365;41.6286609
366;45.594875
367;45.8592733
368;45.793235
369;45.5759643
370;45.2065275
371;44.8453036
372;44.3871994
373;43.9462243
374;44.0038535
375;44.0998278
376;44.6069645
377;44.9785325
378;45.1495755
379;45.3298172
380;45.0545864
381;45.1780554
382;41.5515206
383;42.0422543
384;42.3106474
385;42.5019189
386;43.0070593
387;43.3771978
388;43.4813602
389;43.651587
390;47.6274694
391;47.5810478
392;47.236942
393;46.7983229
394;46.4518111
395;46.141837
396;45.9629659
397;45.7177127
398;45.6137824
399;45.8969912
400;46.3673597
401;47.2648812
402;47.8963475
403;49.0116328
404;49.4603528
405;47.7573505
406;44.0100659
407;44.2076626
408;44.629885
409;45.1530832
410;46.4506897
411;48.2439914
412;48.8149862
413;48.4436761
414;52.7273047
415;52.9499932
416;53.0923265
417;53.1545516
418;52.2182214
419;50.0166943
420;49.0850059
421;48.3123485
422;47.8315029
423;47.7295311
424;48.4506897
425;50.3075614
426;51.2663667
427;51.7880334
428;53.6247918
429;53.7575951
430;50.5131847
431;51.1634386
432;51.7575951
433;51.9786594
434;51.9609869
435;52.0581592
436;52.0316641
437;52.1111346
438;55
439;55
440;53.9963299
441;52.8698666
442;51.3294358
443;49.5882581
444;47.5810478
445;46.5736821
446;45.8498417
447;45.4150869
448;45.0925925
449;45.2824153
450;45.661036
451;46.2264627
452;47.8315029
453;48.229266
454;44.6860593
455;44.9104737
456;45.1530832
457;45.4230738
458;45.6367514
459;45.8592979
460;46.1738452
461;46.7544759
462;50.4346063
463;51.5004714
464;53.2700392
465;53.677928
466;52.8698666
467;51.2934
468;48.441472
469;46.7328496
470;45.8592733
471;45.9629659
472;46.7796202
473;48.2569667
474;49.2224615
475;50.3166403
476;50.3257185
477;50.0348932
478;46.220031
479;46.4783386
480;46.8739383
481;46.6072821
482;45.8870862
483;45.738805
484;45.3579623
485;45.4230738
486;48.9382152
487;48.8371932
488;48.8463806
489;48.4506897
490;47.3114313
491;45.9535434
492;45.3298172
493;44.9690219
494;44.6546768
495;44.8357807
496;45.0925925
497;45.8215421
498;46.3955174
499;46.6111538
500;46.6205198
501;47.516026
502;45.2555689
503;46.5704553
504;47.1766602
505;47.1674979
506;47.4420698
507;47.9529776
508;49.0498992
509;49.6623015
510;54.455002
511;55
512;53.1634386
513;52.9232895
514;51.7431427
515;48.7544759
516;45.934696
517;44.4732512
518;43.5129275
519;43.1552093
520;43.7442572
521;45.2824153
522;46.4611906
523;46.9945131
524;48.0721724
525;48.0536769
526;43.4718951
527;42.3489307
528;40.9807003
529;39.6908841
530;38.621576
531;37.8609543
532;36.9610593
533;36.4509059
534;40.5518081
535;40.7708854
536;41.3556625
537;41.3556625
538;41.2469348
539;41.0389862
540;40.9100052
541;40.5817157
542;40.6315381
543;40.7509926
544;40.3721389
545;40.8901447
546;41.3852921
547;41.7499097
548;41.6810427
549;42.4844984
550;39.2469348
551;39.6318194
552;40.3282809
553;41.2133081
554;41.9366162
555;42.4732512
556;43.348772
557;43.9629659
558;47.9518997
559;48.0259283
560;46.264053
561;45.6799316
562;44.9404847
563;42.8253113
564;40.1520164
565;39.0931465
566;38.3997015
567;38.4611426
568;39.1844605
569;39.4476624
570;39.5789366
571;39.4678725
572;39.3870013
573;39.255409
574;35.2016116
575;35.2848844
576;35.3264838
577;35.8031337
578;36.2150747
579;36.8898421
580;37.7200687
581;38.3621459
582;43.3584014
583;43.8116256
584;42.7377922
585;42.4357088
586;40.0116328
587;37.1703588
588;34.9022148
589;33.1714659
590;32.2734656
591;31.9438992
592;35.2358212
593;37.3368798
594;38.726812
595;39.6293694
596;40.2721555
597;40.6514589
598;36.8796628
599;37.4072268
600;37.5183754
601;37.709996
602;37.9011624
603;37.8106661
604;37.1641777
605;36.8898421
606;40.4919611
607;40.1319763
608;39.4880775
609;39.1337437
610;37.3264838
611;34.5558926
612;32.0350393
613;30.4131724
614;29.8306205
615;30.1051192
616;31.3586845
617;33.4931961
618;35.3216185
619;36.3632921
620;36.2894405
621;36.5528204
622;32.4472484
623;32.4689934
624;32.5450372
625;32.8266289
626;33.2358212
627;33.2036163
628;32.9022148
629;32.7184828
630;37.0869491
631;36.8465847
632;36.3316515
633;35.7488432
634;34.6643358
635;33.1937167
636;31.8754296
637;30.9410041
638;30.6250963
639;30.7774912
640;31.4970505
641;32.7019932
642;33.2715209
643;34.2402622
644;33.5816118
645;33.1492058
646;28.8826777
647;28.9060177
648;28.9992522
649;28.9526599
650;28.7423716
651;28.7774912
652;29.4048533
653;29.7954231
654;34.0325256
655;34.0763228
656;32.9372614
657;33.504256
658;34.1638159
659;34.6101392
660;35.0638659
661;35.6209802
662;35.9719888
663;36.3316515
664;36.6368833
665;37.0034392
666;36.9720969
667;37.7308042
668;38.2150747
669;38.1945323
670;34.1309075
671;34.1414883
672;34.0461993
673;34.2472024
674;34.6368833
