Index;Wert
0;2.2997
1;13.7736195
2;14.3661245
3;14.8813285
4;15.3417612
5;15.7615022
6;21.6933317
7;20.9542208
8;20.6597966
9;19.8601587
10;18.8210135
11;17.080603
12;15.470718
13;14.5080731
14;13.7717758
15;13.4004083
16;14.2792709
17;14.9405308
18;15.4618835
19;15.9028201
20;16.1262359
21;16.2028935
22;10.8022144
23;12.0252466
24;12.7518408
25;13.2523358
26;13.6476243
27;13.9900575
28;14.3167814
29;14.6692087
30;20.4534683
31;19.5020696
32;18.8571813
33;18.3894175
34;18.0467663
35;17.3116723
36;16.2899479
37;15.6298842
38;15.5889184
39;15.3937971
40;15.3046068
41;15.2727825
42;15.1929025
43;15.0852934
44;15.0510186
45;15.0546157
46;9.5110394
47;10.5991547
48;11.2759798
49;11.7644435
50;12.118541
51;12.4096999
52;12.6884621
53;13.0108672
54;18.6504407
55;17.7164195
56;17.2456745
57;16.4311596
58;15.7078746
59;14.5820763
60;13.1884078
61;13.0218066
62;12.1619518
63;11.058118
64;12.9663961
65;13.8922044
66;14.5891544
67;15.1175085
68;15.673563
69;16.1409437
70;10.8878878
71;12.1972119
72;13.0739158
73;13.9022791
74;14.5024143
75;14.9034606
76;15.1429412
77;15.1421548
78;20.4544616
79;19.1940517
80;18.3796504
81;17.0410635
82;15.1915751
83;13.5130319
84;13.8767612
85;14.0508248
86;13.813585
87;14.1711691
88;14.8106085
89;15.3236095
90;15.7250103
91;16.1326602
92;16.3459178
93;16.549276
94;11.1970738
95;12.5866784
96;13.64882
97;14.487924
98;15.2540771
99;15.9127187
100;16.3913618
101;16.6959462
102;22.1503629
103;20.7088082
104;19.5858456
105;17.544804
106;16.8025394
107;15.764902
108;14.0596824
109;14.5327176
110;14.7444156
111;14.7092469
112;14.9337138
113;15.5488694
114;16.274523
115;16.7312198
116;16.6210303
117;16.7117766
118;11.3442631
119;12.6099164
120;13.3995609
121;14.0286375
122;14.5806004
123;15.0713623
124;15.5032731
125;15.8622998
126;21.5718547
127;20.4609725
128;20.0295912
129;18.0889104
130;17.0703769
131;16.2554741
132;14.1776577
133;14.5926293
134;14.2097133
135;15.2262934
136;16.037602
137;16.7484229
138;17.2166813
139;17.5908865
140;17.9605706
141;18.6404525
142;13.4812778
143;14.7901128
144;15.2337574
145;15.7052797
146;15.9427112
147;16.2838135
148;16.6084143
149;16.6111298
150;22.1403109
151;21.1963055
152;20.7555331
153;18.7753109
154;16.6856966
155;15.5919261
156;14.8591992
157;14.5669801
158;14.4644658
159;14.6402877
160;16.0129588
161;16.6554799
162;16.2824229
163;15.2471918
164;14.6604881
165;14.5211943
166;9.10377926
167;10.4985306
168;11.4443682
169;12.2094934
170;12.5932536
171;12.7670812
172;12.9936645
173;13.3414954
174;19.1172343
175;18.3334856
176;17.9927679
177;16.3669821
178;14.9080433
179;13.0550494
180;12.4250653
181;11.7359144
182;11.3184587
183;11.6109646
184;11.9979613
185;13.7304539
186;14.506961
187;14.9560796
188;15.0365467
189;15.2433562
190;9.99788799
191;11.4120632
192;12.5836502
193;13.1839749
194;13.5213609
195;13.7249952
196;13.9741608
197;14.317315
198;20.2855483
199;19.5152461
