Index;Wert
0;12
1;12
2;12
3;12
4;12.7509618
5;13.5019235
6;14.2528853
7;15.003847
8;15.568441
9;16.1330349
10;16.6976289
11;17.2622228
12;17.6169523
13;17.9716818
14;18.3264114
15;18.6811409
16;18.8945505
17;19.1079602
18;19.3213699
19;19.5347795
20;19.5533537
21;19.5719278
22;19.590502
23;19.6090761
24;19.3135812
25;19.0180864
26;18.7225915
27;18.4270966
28;17.8378684
29;17.2486402
30;16.659412
31;16.0701839
32;15.4991387
33;14.9280935
34;14.3570484
35;13.7860032
36;13.3637735
37;12.9415438
38;12.5193141
39;12.0970844
40;11.7708081
41;11.4445317
42;11.1182553
43;10.791979
44;10.4912019
45;10.1904248
46;9.88964774
47;9.58887067
48;9.45280086
49;9.31673105
50;9.18066123
51;9.04459142
52;9.16288164
53;9.28117185
54;9.39946206
55;9.51775227
56;9.81857744
57;10.1194026
58;10.4202278
59;10.7210529
60;11.3155963
61;11.9101397
62;12.5046831
63;13.0992265
64;13.4342223
65;13.7692181
66;14.1042139
67;14.4392097
68;14.5449346
69;14.6506595
70;14.7563845
71;14.8621094
72;14.8010765
73;14.7400437
74;14.6790109
75;14.617978
76;14.5778122
77;14.5376463
78;14.4974804
79;14.4573146
80;14.5259623
81;14.5946101
82;14.6632578
83;14.7319055
84;14.7910425
85;14.8501795
86;14.9093164
87;14.9684534
88;16.9303963
89;18.8923392
90;20.8542821
91;22.8
92;22.8
93;22.8
94;22.8
95;22.8
96;22.8
97;22.8
98;22.8
99;22.8
100;22.8
101;22.8
102;22.8
103;22.8
104;22.8
105;22.8
106;22.8
107;22.8
108;22.8
109;22.8
110;22.8
111;22.8
112;22.8
113;22.8
114;22.8
115;22.8
116;22.8
117;22.8
118;22.8
119;22.8
120;22.8
121;22.8
122;22.8
123;22.8
124;22.8
125;22.8
126;22.8
127;22.8
128;22.8
129;22.8
130;22.8
131;22.8
132;22.8
133;22.8
134;22.8
135;22.8
136;22.8
137;22.8
138;22.8
139;22.8
140;22.8
141;22.8
142;22.8
143;22.8
144;22.8
145;22.8
146;22.8
147;22.8
148;22.8
149;22.8
150;22.8
151;22.8
152;22.8
153;22.8
154;22.8
155;22.8
156;22.8
157;22.8
158;22.8
159;22.8
160;22.8
161;22.8
162;22.8
163;22.8
164;22.8
165;22.8
166;22.8
167;22.8
168;22.8
169;22.8
170;22.8
171;22.8
172;22.8
173;22.8
174;22.8
175;22.8
176;22.8
177;22.8
178;22.8
179;22.8
180;22.8
181;22.8
182;22.8
183;22.8
184;22.8
185;22.8
186;22.8
187;22.8
188;22.8
189;22.8
190;22.8
191;22.8
192;22.8
193;22.8
194;22.8
195;22.8
196;22.8
197;22.8
198;22.8
199;22.8
200;22.8
201;22.8
202;22.8
203;22.8
204;22.8
205;22.8
206;22.8
207;22.8
208;22.8
209;22.8
210;22.8
211;22.8
212;22.8
213;22.8
214;22.8
215;22.8
216;22.8
217;22.8
218;22.8
219;22.8
220;22.8
221;22.8
222;22.8
223;22.8
224;22.8
225;22.8
226;22.8
227;22.8
228;22.8
229;22.8
230;22.8
231;22.8
232;22.8
233;22.8
234;22.8
235;22.8
236;22.8
237;22.8
238;22.8
239;22.8
240;22.8
241;22.8
242;22.8
243;22.8
244;22.8
245;22.8
246;22.8
247;22.8
248;22.8
249;22.8
250;22.8
251;22.8
252;22.8
253;22.8
254;22.8
255;22.8
256;22.8
257;22.8
258;22.8
259;22.8
260;22.8
261;22.8
262;22.8
263;22.8
264;22.8
265;22.8
266;22.8
267;22.8
268;22.8
269;22.8
270;22.8
271;22.8
272;22.8
273;22.8
274;22.8
275;22.8
276;22.8
277;22.8
278;22.8
279;22.8
280;22.8
281;22.8
282;22.8
283;22.8
284;22.8
285;22.8
286;22.8
287;22.8
288;22.8
289;22.8
290;22.8
291;22.8
292;22.8
293;22.8
294;22.8
295;22.8
296;22.8
297;22.8
298;22.8
299;22.8
300;22.8
301;22.8
302;22.8
303;22.8
304;22.8
305;22.8
306;22.8
307;22.8
308;22.8
309;22.8
310;22.8
311;22.8
312;22.8
313;22.8
314;22.8
315;22.8
316;22.8
317;22.8
318;22.8
319;22.8
320;22.8
321;22.8
322;22.8
323;22.8
324;22.8
325;22.8
326;22.8
327;22.8
328;22.8
329;22.8
330;22.8
331;22.8
332;22.8
333;22.8
334;22.8
335;22.8
336;22.8
337;22.8
338;22.8
339;22.8
340;22.8
341;22.8
342;22.8
343;22.8
344;22.8
345;22.8
346;22.8
347;22.8
348;22.8
349;22.8
350;22.8
351;22.8
352;22.8
353;22.8
354;22.8
355;22.8
356;22.8
357;22.8
358;22.8
359;22.8
360;22.8
361;22.8
362;22.8
363;22.8
364;22.8
365;22.8
366;22.8
367;22.8
368;22.8
369;22.8
370;22.8
371;22.8
372;22.8
373;22.8
374;22.8
375;22.8
376;22.8
377;22.8
378;22.8
379;22.8
380;22.8
381;22.8
382;22.8
383;22.8
384;22.8
385;22.8
386;22.8
387;22.8
388;22.8
389;22.8
390;22.8
391;22.8
392;22.8
393;22.8
394;22.8
395;22.8
396;22.8
397;22.8
398;22.8
399;22.8
400;22.726393
401;22.652786
402;22.579179
403;22.505572
404;22.3891853
405;22.2727986
406;22.1564119
407;22.0400252
408;21.7493298
409;21.4586344
410;21.167939
411;20.8772437
412;20.4028092
413;19.9283748
414;19.4539404
415;18.9795059
416;18.4310404
417;17.8825749
418;17.3341094
419;16.7856439
420;16.2806684
421;15.775693
422;15.2707175
423;14.765742
424;14.2691896
425;13.7726372
426;13.2760848
427;12.7795324
428;12.4476872
429;12.1158419
430;11.7839966
431;11.4521514
432;11.8083997
433;12.164648
434;12.5208963
435;12.8771446
436;12.9374475
437;12.9977504
438;13.0580533
439;13.1183563
440;12.9399123
441;12.7614683
442;12.5830243
443;12.4045803
444;12.24676
445;12.0889398
446;11.9311195
447;11.7732992
448;11.6501213
449;11.5269434
450;11.4037655
451;11.2805876
452;11.0573198
453;10.834052
454;10.6107842
455;10.3875164
456;10.3205213
457;10.2535261
458;10.186531
459;10.1195358
460;10.0681869
461;10.016838
462;9.96548903
463;9.91414009
464;9.84734664
465;9.78055319
466;9.71375974
467;9.64696629
468;9.63815348
469;9.62934067
470;9.62052786
471;9.61171505
472;11.5221688
473;13.4326226
474;15.3430764
475;17.2535301
476;18.3564572
477;19.4593844
478;20.5623115
479;21.6652386
480;22.4623148
481;22.8
482;22.8
483;22.8
484;22.8
485;22.8
486;22.8
487;22.8
488;22.8
489;22.8
490;22.8
491;22.8
492;22.8
493;22.8
494;22.8
495;22.8
496;22.8
497;22.8
498;22.8
499;22.8
500;22.8
501;22.8
502;22.8
503;22.8
504;22.8
505;22.8
506;22.8
507;22.8
508;22.8
509;22.8
510;22.8
511;22.8
512;22.8
513;22.8
514;22.8
515;22.8
516;22.8
517;22.8
518;22.8
519;22.8
520;22.8
521;22.8
522;22.3480626
523;21.8672226
524;21.3098503
525;20.7524781
526;20.1951058
527;19.6377335
528;19.6377335
529;19.6377335
530;19.6377335
531;19.6377335
532;19.6377335
533;19.6377335
534;19.6377335
535;19.6377335
536;19.6377335
537;19.6377335
538;19.6377335
539;19.6377335
540;19.6377335
541;19.6377335
542;19.6377335
543;19.6377335
544;19.6377335
545;19.2611939
546;18.6580019
547;18.05481
548;17.9187018
549;17.7825937
550;17.6464855
551;17.5103774
552;17.4689784
553;17.4275794
554;17.3861804
555;17.3447814
556;17.3163258
557;17.2878701
558;17.2594144
559;17.2309587
560;17.2148433
561;17.1987278
562;17.1826123
563;17.1664969
564;17.1197132
565;17.0729296
566;17.026146
567;16.9793623
568;16.9793623
569;16.9793623
570;16.9793623
571;16.9793623
572;16.9793623
573;16.9793623
574;16.9793623
575;16.9793623
576;16.9793623
577;16.9793623
578;16.9793623
579;16.9793623
580;17.1624552
581;17.345548
582;17.5286409
583;17.7117338
584;17.8547739
