Index;Wert
0;7.72063823
1;8.77660293
2;9.77088848
3;10.5363385
4;11.1741055
5;11.7167678
6;12
7;12
8;12
9;12
10;12
11;12
12;11.6453201
13;9.96014046
14;9.16019548
15;8.46118516
16;9.67494919
17;11.0529477
18;12
19;12
20;12
21;12
22;3.97181545
23;7.13048115
24;7.95467032
25;8.13377255
26;8.87086941
27;9.49853801
28;10.0668409
29;10.6387004
30;12
31;12
32;12
33;12
34;12
35;12
36;12
37;11.5309508
38;11.6485976
39;11.9091316
40;11.212803
41;11.3899044
42;11.3875649
43;11.4397153
44;11.3477485
45;11.2617892
46;1.46156068
47;4.32114177
48;5.91529532
49;6.28758342
50;6.9412122
51;7.45163234
52;7.90537971
53;8.44706205
54;12
55;12
56;12
57;12
58;12
59;10.4525007
60;9.05011554
61;9.00537711
62;7.53647172
63;4.15375852
64;7.47720004
65;9.64474993
66;10.9040533
67;11.6083022
68;12
69;12
70;4.21950933
71;7.45063802
72;7.67581533
73;8.95296249
74;9.9037358
75;10.5518366
76;10.9672773
77;11.0675291
78;12
79;12
80;12
81;12
82;10.9765869
83;8.03994505
84;9.01172731
85;9.30498018
86;8.87778693
87;9.39326316
88;10.387174
89;11.2109536
90;12
91;12
92;12
93;12
94;4.20911417
95;6.99602457
96;8.35979708
97;9.64222037
98;10.8128142
99;11.8569313
100;12
101;12
102;12
103;12
104;12
105;12
106;12
107;11.4567407
108;9.47524736
109;9.86822135
110;10.4651182
111;10.3820928
112;10.6102842
113;11.8346796
114;12
115;12
116;12
117;12
118;4.00604122
119;7.33061388
120;8.4257471
121;9.06982161
122;10.0053849
123;10.7280782
124;11.3444417
125;11.8180098
126;12
127;12
128;12
129;12
130;12
131;12
132;9.61143632
133;10.2164741
134;9.44368247
135;10.9480781
136;12
137;12
138;12
139;12
140;12
141;12
142;6.0224563
143;9.85138959
144;10.4102601
145;11.0093598
146;11.4426911
147;11.9068264
148;12
149;12
150;12
151;12
152;12
153;12
154;12
155;10.5398441
156;10.0922853
157;10.1902899
158;10.8202423
159;10.554581
160;12
161;12
162;12
163;11.2124786
164;11.088454
165;10.2756711
166;1.69925005
167;4.27691441
168;5.53475689
169;6.68589495
170;7.35697159
171;7.73346802
172;8.18441113
173;8.77140463
174;12
175;12
176;12
177;12
178;10.3956535
179;7.53808309
180;7.09223119
181;5.93845566
182;5.34170618
183;5.62590043
184;5.65304785
185;9.10151256
186;11.0446783
187;11.1237501
188;11.7960741
189;11.5821439
190;2.88617227
191;6.32620977
192;7.8155297
193;8.06524446
194;8.69475802
195;9.11579417
196;9.58964516
197;10.1624698
198;12
199;12
200;12
201;12
202;12
203;12
204;11.8288847
205;9.16139021
206;8.28515097
207;8.23736442
208;7.7579597
209;9.13091947
210;10.1595823
211;11.1324692
212;12
213;12
214;3.77877685
215;7.28090177
216;9.17088137
217;9.51697472
218;10.1606651
219;10.2212213
220;9.82020403
221;9.15587538
222;12
223;12
224;12
225;12
226;11.7985373
227;10.2036202
228;9.83127897
229;8.41728119
230;8.32189374
231;7.45426586
232;8.11709452
233;10.0676281
234;11.1460016
235;11.9055757
236;12
237;12
238;2.940619
239;5.76153553
240;5.6095373
241;6.44068663
242;7.04515943
243;7.58890468
244;8.23135743
245;8.93719812
246;12
247;12
248;12
249;12
250;12
251;12
252;12
253;12
254;9.82805484
255;7.30752376
256;8.55559536
257;9.42553907
258;10.558726
259;11.2682679
260;11.5109457
261;11.5697412
262;2.29173284
263;4.91953786
264;6.01186376
265;7.00939042
266;8.38508831
267;9.28775913
268;9.65886847
269;9.83071999
270;12
271;12
272;12
273;12
274;12
275;12
276;12
277;11.3104186
278;9.97964335
279;9.14152381
280;9.76300516
281;11.6800509
282;12
283;12
284;12
285;12
286;3.90565224
287;7.32036571
288;8.69838881
289;9.18598239
290;9.88849197
291;10.3860725
292;10.8195601
293;11.1622765
294;12
295;12
296;12
297;12
298;12
299;11.9056201
300;11.6272486
301;11.3600634
302;12
303;11.7171923
304;12
305;12
306;12
307;12
308;12
309;12
310;5.77889174
311;9.82197391
312;11.0293497
313;12
314;12
315;12
316;12
317;12
318;12
319;12
320;12
321;12
322;12
323;11.4104333
324;10.2524352
325;8.918759
326;7.54362517
327;7.69153568
328;10.6894059
329;12
330;12
331;12
332;12
333;12
334;6.53878571
335;8.9552189
336;9.95091504
337;10.7007998
338;11.2000256
339;11.6490317
340;12
341;12
342;12
343;12
344;12
345;12
346;12
347;12
348;12
349;12
350;12
351;12
352;12
353;12
354;12
355;12
356;12
357;12
358;8.54894916
359;11.7114287
360;12
361;12
362;12
363;12
364;12
365;12
366;12
367;12
368;12
369;12
370;12
371;12
372;12
373;12
374;12
375;12
376;12
377;12
378;12
379;12
380;12
381;12
382;8.14174911
383;11.3545373
384;12
385;12
386;12
387;12
388;12
389;12
390;12
391;12
392;12
393;12
394;12
395;12
396;12
397;12
398;12
399;12
400;12
401;12
402;12
403;12
404;12
405;12
406;11.6105296
