Index;Wert
0;18.0438445
1;17.9681882
2;17.911666
3;17.8682403
4;17.8341882
5;17.8070742
6;19.1883393
7;19.3236303
8;19.4114456
9;19.5183294
10;19.576335
11;19.6156951
12;19.6706477
13;19.6944145
14;19.7218241
15;19.7519287
16;19.736145
17;19.7279965
18;19.7217424
19;19.7162474
20;19.7117161
21;19.7091592
22;18.3179399
23;18.150909
24;18.0465867
25;17.9727707
26;17.9184247
27;17.8771632
28;17.8450868
29;17.8195277
30;19.2019932
31;19.3392051
32;19.4298098
33;19.4982517
34;19.542068
35;19.5921736
36;19.6461982
37;19.6789884
38;19.6834662
39;19.6934159
40;19.6991891
41;19.7029931
42;19.7070403
43;19.7107213
44;19.7139346
45;19.7160753
46;18.3690104
47;18.1673722
48;18.0641528
49;17.9909591
50;17.9370361
51;17.8964034
52;17.8650162
53;17.8400822
54;19.2232856
55;19.3617576
56;19.4520693
57;19.545425
58;19.6094013
59;19.6631691
60;19.7273617
61;19.7450084
62;19.7996886
63;19.8823743
64;19.7995559
65;19.774964
66;19.7575196
67;19.7443562
68;19.7339605
69;19.7246063
70;18.3280291
71;18.1564728
72;18.0491842
73;17.9719489
74;17.9133001
75;17.8690481
76;17.8356073
77;17.8107213
78;19.1965903
79;19.3382769
80;19.432195
81;19.5450044
82;19.6645938
83;19.7619577
84;19.7464958
85;19.7447005
86;19.7682598
87;19.758436
88;19.7418341
89;19.7311826
90;19.7236989
91;19.7174576
92;19.7119928
93;19.7083059
94;18.3088623
95;18.1461793
96;18.0393422
97;17.9615783
98;17.9029755
99;17.8571906
100;17.8213042
101;17.7936973
102;19.1765219
103;19.3170289
104;19.4126734
105;19.5745609
106;19.6203076
107;19.6589731
108;19.7328283
109;19.7259533
110;19.7234998
111;19.7276889
112;19.7237226
113;19.7186529
114;19.7124232
115;19.7053123
116;19.7011524
117;19.7009682
118;18.30067
119;18.1416272
120;18.0370574
121;17.9625308
122;17.906788
123;17.8638011
124;17.8300545
125;17.8033338
126;19.1856168
127;19.3235933
128;19.414945
129;19.575559
130;19.6375683
131;19.6493524
132;19.7365691
133;19.7378059
134;19.7765441
135;19.7503441
136;19.7310107
137;19.7166019
138;19.7065366
139;19.6990684
140;19.6929517
141;19.686606
142;18.2755897
143;18.1171827
144;18.0118656
145;17.9396119
146;17.885612
147;17.8454826
148;17.8134472
149;17.7886996
150;19.1745022
151;19.3140408
152;19.404596
153;19.5713719
154;19.6861113
155;19.7051727
156;19.7157512
157;19.7169233
158;19.7226854
159;19.7500951
160;19.7241078
161;19.7114408
162;19.7050621
163;19.708524
164;19.7174169
165;19.7231435
166;18.3997773
167;18.1752691
168;18.0677947
169;17.9906344
170;17.9332938
171;17.8916053
172;17.8604829
173;17.8354892
174;19.2179406
175;19.3547689
176;19.4432757
177;19.606603
178;19.7162266
179;19.7993438
180;19.8114789
181;19.8330464
182;19.8560839
183;19.8498977
184;19.8623167
185;19.8007913
186;19.774647
187;19.7567117
188;19.7448666
189;19.7376924
190;18.3714248
191;18.1722048
192;18.0619782
193;17.9817602
194;17.9243768
195;17.8820434
196;17.8499832
197;17.8242763
198;19.2058749
199;19.340793
200;19.4294314
201;19.5062817
202;19.5595628
203;19.6025924
204;19.6424998
205;19.6781741
206;19.7082503
207;19.7312407
208;19.7399717
209;19.7347001
210;19.7305629
211;19.7256107
212;19.7200709
213;19.7128642
214;18.3085036
215;18.1439337
216;18.0357164
217;17.9593673
218;17.9045447
219;17.8639701
220;17.8357942
221;17.8174614
222;19.2094864
223;19.3555934
224;19.4517994
225;19.5211707
226;19.5780071
227;19.6405744
228;19.6739668
229;19.7318505
230;19.7461328
231;19.7620035
232;19.7595233
233;19.7418549
234;19.732908
235;19.7253828
236;19.7192762
237;19.7167525
238;18.3484906
239;18.1617738
240;18.0587803
241;17.985804
242;17.9316502
243;17.8912821
244;17.8596586
245;17.8336098
246;19.2151623
247;19.3512065
248;19.4398017
249;19.5177512
250;19.5518189
251;19.5881046
252;19.6529291
253;19.6693192
254;19.7087059
255;19.7670558
256;19.7386921
257;19.7348347
258;19.730417
259;19.7261275
260;19.7230309
261;19.7212948
262;18.3594351
263;18.1643384
264;18.058325
265;17.9828392
266;17.926901
267;17.882187
268;17.8486531
269;17.823348
270;19.2061702
271;19.3429389
272;19.4338281
273;19.5083393
274;19.5914671
275;19.6298254
276;19.6474038
277;19.7007687
278;19.7443737
279;19.7710535
280;19.7667656
281;19.734834
282;19.7231891
283;19.7157563
284;19.7099459
285;19.7063174
286;18.3051994
287;18.143536
288;18.0372683
289;17.9607741
290;17.9053948
291;17.863983
292;17.8324395
293;17.8078664
294;19.1916478
295;19.3289762
296;19.4178744
297;19.4882816
298;19.5392024
299;19.6949585
300;19.7338435
301;19.7369015
302;19.7222174
303;19.740365
304;19.7239888
305;19.707823
306;19.6998133
307;19.6932214
308;19.6876673
309;19.6836323
310;18.2754356
311;18.1169611
312;18.0085254
313;17.9297487
314;17.8709248
315;17.8263241
316;17.7914052
317;17.7628594
318;19.1419043
319;19.2752145
320;19.3631475
321;19.5597977
322;19.6651848
323;19.7467908
324;19.785609
325;19.8276587
326;19.8825718
327;19.8710797
328;19.8141307
329;19.7713877
330;19.7456191
331;19.7257113
332;19.711607
333;19.7007406
334;18.2890655
335;18.1285868
336;18.0203026
337;17.9438274
338;17.8884404
339;17.8481015
340;17.8165483
341;17.7906001
342;19.17109
343;19.3057934
344;19.3941063
345;19.5091418
346;19.5630463
347;19.5821714
348;19.601159
349;19.6143811
350;19.6512784
351;19.6414525
352;19.6822869
353;19.6566395
354;19.652269
355;19.6497809
356;19.6482577
357;19.6473505
358;18.2429417
359;18.0883482
360;17.9841099
361;17.9100358
362;17.8555206
363;17.8144803
364;17.7837751
365;17.7597563
366;19.1439293
367;19.2818884
368;19.3718221
369;19.476059
370;19.5250176
371;19.6070098
372;19.6099956
373;19.6223654
374;19.6445057
375;19.6520247
376;19.6484103
377;19.6443295
378;19.6420295
379;19.6404619
380;19.63958
381;19.6403327
382;18.2368674
383;18.0818709
384;17.9760216
385;17.900465
386;17.8441727
387;17.7998613
388;17.7652202
389;17.7386807
390;19.1209272
391;19.2579059
392;19.3488342
393;19.4284144
394;19.4987694
395;19.5801193
396;19.5806526
397;19.6223567
398;19.6233976
399;19.6477625
400;19.6318826
401;19.625134
402;19.6181818
403;19.6108042
404;19.6016892
405;19.5970499
406;18.198433
407;18.0466463
408;17.9433177
409;17.8679473
410;17.8093326
411;17.7585445
412;17.7136411
413;17.6801819
414;19.0603176
415;19.1937776
416;19.2807592
417;19.3991278
418;19.471995
419;19.5259638
