Index;Wert
0;3.91912262
1;3.94133453
2;3.96342512
3;3.98612566
4;4.65109216
5;5.32856601
6;6.23747767
7;6.27656791
8;6.31543232
9;6.32337264
10;6.20989099
11;6.04190002
12;4.68105159
13;3.6765576
14;3.64881653
15;3.67031507
16;3.86298064
17;4.49045515
18;4.94593846
19;5.34438653
20;5.45923101
21;5.45795504
22;2.21522832
23;1.95344687
24;2.79679738
25;3.39523636
26;3.85630626
27;3.90233968
28;3.9155969
29;3.9362652
30;6.15999235
31;6.16114213
32;6.15358696
33;6.1554516
34;6.14521305
35;6.12437508
36;5.85160563
37;5.07690165
38;4.94988644
39;4.73062316
40;4.63049037
41;4.59326485
42;4.49525305
43;4.37365748
44;4.36197484
45;4.3707135
46;1.77289719
47;1.3367049
48;2.12070335
49;2.68356325
50;3.09121
51;3.41567521
52;3.69906925
53;3.81598382
54;6.01787555
55;6.0232219
56;6.02698626
57;6.03361174
58;5.78233281
59;4.35418881
60;3.67265073
61;3.65796418
62;3.65261614
63;3.65109426
64;3.68363471
65;3.76116594
66;4.15932267
67;4.60581629
68;5.160617
69;5.57796304
70;2.25593928
71;2.0256672
72;2.97451698
73;3.80938868
74;3.97772972
75;3.98229881
76;3.97848949
77;4.54600357
78;6.14414511
79;6.13716595
80;6.11009754
81;6.09272592
82;5.01118757
83;3.7874669
84;3.74578836
85;3.74409581
86;3.76548424
87;3.76635037
88;4.30527879
89;4.77793311
90;5.13806652
91;5.54222592
92;5.65411615
93;5.84413747
94;2.37542656
95;2.23221832
96;3.3167372
97;4.00788573
98;4.05066922
99;4.08700664
100;5.82450442
101;6.20297252
102;6.24371085
103;6.19537467
104;6.16423708
105;6.168959
106;6.12106715
107;5.15089358
108;3.76030474
109;4.06636895
110;4.19584478
111;4.11741421
112;4.33506788
113;5.05713611
114;5.83633436
115;6.14651429
116;5.78008059
117;5.95716905
118;2.44360661
119;2.22960738
120;3.13233849
121;3.83629133
122;3.97394127
123;3.99615839
124;4.15815694
125;5.38326425
126;6.20711043
127;6.19670316
128;6.21222921
129;6.20757195
130;6.15999235
131;5.45771329
132;3.77565896
133;4.16894104
134;3.81598382
135;4.73499669
136;5.50710217
137;6.15999235
138;6.1733724
139;6.18625844
140;6.20253686
141;6.30236176
142;3.58582184
143;3.36110575
144;4.0556554
145;4.0835622
146;4.06485517
147;5.37192364
148;5.8973231
149;5.89001238
150;6.2362343
151;6.26764764
152;6.29328164
153;6.29716618
154;6.10263403
155;4.69280059
156;3.99113895
157;3.74569291
158;3.77938229
159;4.25427552
160;5.65030041
161;6.09880725
162;5.29662519
163;4.06675413
164;3.71533774
165;3.76086664
166;1.66535457
167;1.30252117
168;2.2093643
169;2.92181822
170;3.31342956
171;3.56209592
172;3.81598382
173;3.83858703
174;6.05233269
175;6.09164746
176;6.11996626
177;6.1513704
178;4.81700109
179;3.77800533
180;3.69236354
181;3.6367707
182;3.61755567
183;3.43030251
184;3.33441781
185;3.7768312
186;3.80432336
187;4.35713295
188;4.31121422
189;4.56749879
190;1.92299759
191;1.66172041
192;2.76443724
193;3.35902506
194;3.76692876
195;3.87781521
196;3.88658313
197;3.90859186
198;6.15884842
199;6.16776951
200;6.1543309
201;6.16229781
202;6.09813099
203;5.55500461
204;4.38073323
205;3.60163476
206;3.57275932
207;3.57068599
208;3.59307782
209;3.67577481
210;3.87854555
211;4.37081983
212;5.11631445
213;5.68694339
214;2.44261178
215;2.36194225
216;3.3472855
217;3.91353002
218;3.96118902
219;3.92408488
220;3.87047246
221;3.81166662
222;6.00141844
223;5.93795438
224;6.00980024
225;5.95835431
226;5.25487495
227;4.08952639
228;3.61755567
229;3.59592029
230;3.5973452
231;3.63006953
232;3.68126925
233;3.82279939
234;4.34929407
235;4.86239352
236;4.78011697
237;4.90506722
238;1.91118854
239;1.4882668
240;2.24523524
241;2.83483319
242;3.20393214
243;3.53229648
244;3.8240681
245;3.85079394
246;6.08841717
247;6.10464529
248;6.1459281
249;6.1705544
250;6.16856183
251;6.16114213
252;6.13785297
253;5.28201823
254;3.74464251
255;3.63602349
256;3.6495751
257;3.70846093
258;4.00319902
259;4.26751684
260;4.27116259
261;4.55125406
262;1.86350336
263;1.54125596
264;2.41846645
265;2.99905014
266;3.68930476
267;3.88387482
268;3.87982986
269;3.88998173
270;6.1423775
271;6.1385424
272;6.12216891
273;6.12437508
274;6.11009754
275;6.08197939
276;5.86664519
277;5.12126054
278;4.09910718
279;3.79224386
280;4.11468215
281;5.01259198
282;5.25639637
283;5.62566393
284;5.65105615
285;5.90993393
286;2.40846203
287;2.22890531
288;3.26229235
289;3.8734315
290;3.95525572
291;3.95377909
292;3.95747568
293;4.67273214
294;6.17459034
295;6.19449268
296;6.18711298
297;6.19537467
298;6.18119072
299;5.99198015
300;5.45000649
301;4.94592138
302;5.46657855
303;5.22416707
304;5.85773232
305;6.16191193
306;6.17704472
307;6.19449268
308;6.19537467
309;6.2226284
310;3.43635037
311;3.40414201
312;4.10012217
313;4.07758695
314;6.18518327
315;6.25000192
316;6.24562321
317;6.1982092
318;6.15989121
319;6.12985142
320;6.24562321
321;6.2288696
322;6.2663698
323;5.84030683
324;4.35745903
325;3.83540696
326;3.80493254
327;3.81289757
328;3.85991475
329;5.35487862
330;6.18625844
331;6.19670316
332;6.21035709
333;6.22385993
334;3.27074003
335;3.11501114
336;4.09046455
337;4.08442205
338;4.05232617
339;4.9582387
340;5.57437687
341;6.33525973
342;6.31805242
343;6.30028296
344;6.30473044
345;6.29315987
346;6.29583206
347;6.32071314
348;6.33399847
349;6.31805242
350;6.30739729
351;6.29583206
352;6.29583206
353;6.28781179
354;6.2788873
355;6.27084345
356;6.27173777
357;6.25741206
358;4.07056208
359;4.06133994
360;4.05371462
361;4.72579198
362;6.24879746
363;6.25033409
364;6.24978134
365;6.24890607
366;6.24825708
367;6.24531491
368;6.2460369
369;6.24847269
370;6.25281736
371;6.26815967
372;6.31095118
373;6.33392954
374;6.34192877
375;6.33753609
376;6.29048645
377;6.25561884
378;6.25350883
379;6.25133997
380;6.25467452
381;6.25316234
382;4.04934482
383;4.02127195
384;4.00569925
385;6.1982092
386;6.14994564
387;6.13035573
388;6.12480281
389;6.11569002
390;6.11010511
391;6.11264521
392;6.13136405
393;6.15801561
394;6.19261733
395;6.22330687
396;6.24090415
397;6.24687317
398;6.24804218
399;6.24490647
400;6.20100314
401;6.12985142
402;6.09027524
403;5.99836948
404;5.99123146
405;6.10297948
406;3.90336955
407;5.97602455
408;6.02784432
409;5.99852001
410;5.91596869
411;5.72122423
412;5.65224901
413;5.68867304
414;5.64342929
415;5.62637443
416;5.61539397
417;5.61057388
418;5.6930994
419;5.94573824
420;5.99717207
421;6.04644698
422;6.0970641
423;6.10450806
424;6.03176552
425;5.91288068
426;5.83474008
427;5.76446506
428;5.59229493
429;5.58823699
430;5.54853976
431;5.43731046
432;5.406528
433;5.39881265
434;5.39942675
435;5.3960561
436;5.39697368
437;5.39422478
438;5.41275922
439;5.42378151
440;5.58100925
441;5.63252847
442;5.8301949
443;5.98928105
444;6.11264521
445;6.18048326
446;6.24541749
447;6.25033409
448;6.25420627
449;6.25190481
450;6.24750808
451;6.2149529
452;6.0970641
453;6.05523849
454;4.07731132
455;6.00249875
456;5.99852001
457;5.99423252
458;5.99095033
459;5.9814728
460;5.94676216
461;5.88351318
462;5.898449
463;5.81264076
464;5.60325541
465;5.59066821
466;5.63252847
467;5.83279325
468;6.03274541
469;6.1645776
470;6.24531491
471;6.24090415
472;6.15989121
473;6.05230943
474;5.99496008
475;5.91185099
476;5.91082113
477;5.94368987
478;5.56764021
479;5.91288068
480;5.87524427
481;5.898449
482;5.97841809
483;5.989419
484;5.99525248
485;5.99423252
486;5.99957894
487;6.00126133
488;6.00110747
489;6.03176552
490;6.12732837
491;6.24182886
492;6.25133997
493;6.25651552
494;6.28602799
495;6.2690544
496;6.25420627
497;6.24572635
498;6.1982092
499;6.17674464
500;6.17580961
501;6.11619714
502;4.26216058
503;5.90257587
504;5.85411765
505;5.85476074
506;5.83538865
507;5.76896056
508;5.63457624
509;5.59775053
510;5.51970057
511;5.40777016
512;5.60988449
513;5.62842757
514;5.77195993
515;6.00265424
516;6.24367786
517;6.30295186
518;6.2752902
519;6.22879676
520;6.30627064
521;6.25190481
522;6.19168483
523;6.14443572
524;6.0718093
525;6.07375578
526;3.93648637
527;4.00346522
528;4.84344406
529;4.77558957
530;4.47375451
531;4.26367522
532;3.88522781
533;3.85209029
534;6.07557185
535;6.09921456
536;6.14450047
537;6.14450047
538;6.14062517
539;6.12879797
540;6.11447493
541;5.65353766
542;5.5627544
543;5.61573237
544;5.23835449
545;5.79797252
546;6.14557027
547;6.15922908
548;6.15657808
549;6.18969377
550;3.27895977
551;3.20915337
552;4.11712914
553;4.06839582
554;6.24552026
555;6.20100314
556;6.13186806
557;6.0970641
558;6.08445007
559;6.07667431
560;6.2112362
561;6.24729572
562;6.25920472
563;6.20527194
564;5.66084487
565;4.13219907
566;3.71090118
567;3.715802
568;3.77332012
569;4.17652181
570;4.42526341
571;4.44301199
572;4.43424173
573;4.37066425
574;1.77830131
575;1.3804016
576;2.17147967
577;2.86774496
578;3.435472
579;3.88050257
580;3.93771034
581;3.98535888
582;6.25499954
