Groesse;Wert
Lauf.ID_Projekt;1017
Sim.Restwaerme;0.0971800357
Sim.Reststrom;655.875922
Sim.bSimulationWP;True
Sim.bSimulationKessel;True
Sim.bSimulationSolarthermie;False
Sim.bSimulationBHKW;True
Sim.bSimulationPV;False
Sim.bSimulationSSP;True
Sim.PufferWP_vorhanden;False
Sim.Speicher_Anzahl;0
Geb[0].ID_Gebaeude;10599
Geb[0].Modell;VDI6007
Geb[0].JahresheizwaermeMwh;90.1943045
Geb[0].SpitzeKw;63.1585326
Geb[0].SpitzeTagesmittelKw;35.1810547
Geb[0].Spitze95Kw;32.6868255
Geb[0].KuehlenergieMwh;2.52168642
Geb[0].StundenMitKuehlbedarf;402
Geb[0].MittlereRaumtemperaturHeizzeit;20.7197153
Geb[0].Ueberhitzungsstunden;306
Kaelte.ErzeugungMwh;2.48257186
Kaelte.StromMwh;0.548723019
Kaelte.HilfsstromMwh;0.0261296676
Kaelte.EerJahreswert;4.52427139
Kaelte.DeckungsgradProzent;98.448873
Kaelte.Kuehltage;43
Kaelte[0].ID_Anlage;10211
Kaelte[0].Vorlauf;18
Kaelte[0].ErzeugungMwh;2.48257186
Kaelte[0].StromMwh;0.548723019
Em.Kessel.Co2T;16.4578613
Em.Kessel.So2Kg;5.87780759
Em.Kessel.NoxKg;8.22893063
Em.Kessel.CoKg;0
Em.Kessel.StaubKg;0.352668456
Em.Bhkw.Co2T;27.9956955
Em.Bhkw.So2Kg;0.0349946194
Em.Bhkw.NoxKg;12.8313604
Em.Bhkw.CoKg;0
Em.Bhkw.StaubKg;0.0583243656
Ergebnis.ID_Projekt;1017
Ergebnis.Bezeichner;Simulation WP_PV-Speicher
Ergebnis.ID_Klimaregion;1017001
Ergebnis.Sim_Energiebedarf;True
Ergebnis.Sim_Waermepumpe;True
Ergebnis.Sim_Heizkessel;True
Ergebnis.Sim_Solarthermie;False
Ergebnis.Sim_BHKW;True
Ergebnis.Sim_PV;False
Ergebnis.Sim_Stromspeicher;True
Energiebedarf.Waermebedarf_Gesamt;90.19
Energiebedarf.Waermelast_Max;63.16
Energiebedarf.Strombedarf_Gesamt;672
Energiebedarf.Strombedarf_Max;312.61
Energiebedarf.Waermerestbedarf;0.1
Energiebedarf.Stromrestbedarf;655.88
Energiebedarf.Waermebedarf_Heizung;90.19
Energiebedarf.Waermebedarf_Brauchwasser;0
Energiebedarf.Waermebedarf_Prozess;0
Energiebedarf.Waermebedarf_Kuehlung;2.52
Energiebedarf.Kaeltebedarf_Gesamt;2.52
Energiebedarf.Kaeltelast_Max;14.99
Energiebedarf.Kaelterestbedarf;0.04
Waermepumpe.Waermebedarf;0.14
Waermepumpe.Restwaermebedarf;0.1
Waermepumpe.Waermeproduktion_WP;0.04
Waermepumpe.Stromverbrauch_WP;0.02
Waermepumpe.Stromverbrauch_Heizstab;0
Waermepumpe.Kapazitaet_Pufferspeicher;0
Waermepumpe.Min_Spitzenkesselleistung;16.16
Waermepumpe.Waermebedarfsdeckung;0.05
Waermepumpe.Vollbenutzungsstunden;1.67
Waermepumpe.Bivalenzpunkt;-10.27
Waermepumpe.Deckung_Heizung;0.05
Waermepumpe.Deckung_Brauchwasser;0
Waermepumpe.Deckung_Prozess;0
Waermepumpe.Deckung_Kuehlung;98.45
Waermepumpe.Kaelteproduktion_WP;2.48
Waermepumpe.Stromverbrauch_Kuehlung;0.55
WaermepumpeModul[0].Modul;WPE-I 59 H 400 Premium
WaermepumpeModul[0].Leistung;35
WaermepumpeModul[0].Waermeproduktion;0.04
WaermepumpeModul[0].Stromverbrauch;0.02
WaermepumpeModul[0].Heizstab;0
WaermepumpeModul[0].Betriebsstunden;1.67
WaermepumpeModul[0].Kaelteproduktion;2.48
WaermepumpeModul[0].Stromverbrauch_Kuehlung;0.55
WaermepumpeModul[0].Kaeltestrom_Netzbezug;0.55
BHKW.Waermebedarf;90.19
BHKW.Restwaermebedarf;20.27
BHKW.Strombedarf;672
BHKW.Reststrombedarf;635.2
BHKW.Waermeproduktion;69.93
BHKW.Waermeueberschuss;0
BHKW.Stromproduktion;36.8
BHKW.Betriebsstunden_Gesamt;3680.47
BHKW.Betriebsstunden_Durchschnitt;3680.47
BHKW.Waermebedarfsdeckung;77.53
BHKW.Strombedarfsdeckung;5.31
BHKW.Gasverbrauch;116.65
BHKW.Oelverbrauch;0
BHKW.Koks;0
BHKW.Rapsoelverbrauch;0
BHKW.Holzverbrauch;0
BHKW.Kohle;0
BHKW.Sonstigverbrauch;0
BHKW.Pellets;0
BHKW.TierischeFette;0
BHKW.VbhElektrisch;3680.47
BHKW.Deckung_Heizung;77.53
BHKW.Deckung_Brauchwasser;0
BHKW.Deckung_Prozess;0
BHKW.Deckung_Kuehlung;0
BHKWModul[0].Modul;BHKW EW K 10 S [K] Heizol
BHKWModul[0].Waermeproduktion;69.93
BHKWModul[0].Stromproduktion;36.8
BHKWModul[0].Brennstoff;Gas
BHKWModul[0].Verbrauch;116.65
BHKWModul[0].carrier_id;
BHKWModul[0].VbhThermisch;3680.47
BHKWModul[0].VbhElektrisch;3680.47
BHKWModul[0].Hilfsenergie;0
Heizkessel.Waermebedarf;20.27
Heizkessel.Restwaermebedarf;0.14
Heizkessel.Waermeproduktion;20.12
Heizkessel.Strombedarf;635.2
Heizkessel.Reststrombedarf;655.32
Heizkessel.Waermebedarfsdeckung;22.31
Heizkessel.Stromverbrauch;20.12
Heizkessel.Maximale_Kesselleistung;28
Heizkessel.Gasspitze;0
Heizkessel.Gasverbrauch;0
Heizkessel.Oelverbrauch;0
Heizkessel.Koks;0
Heizkessel.Rapsoelverbrauch;0
Heizkessel.Holzverbrauch;0
Heizkessel.Kohle;0
Heizkessel.Sonstigverbrauch;0
Heizkessel.Pellets;0
Heizkessel.TierischeFette;0
