Index;Wert
0;67.7056805
1;77.8668829
2;86.11092
3;92.9537802
4;98.7369578
5;103.706388
6;188.867011
7;181.033481
8;173.56872
9;155.36687
10;143.401261
11;128.998673
12;115.619308
13;108.65389
14;102.558487
15;98.0702069
16;110.856052
17;120.334375
18;128.436324
19;134.581505
20;134.633061
21;127.135007
22;42.4274059
23;53.5362061
24;65.1243447
25;73.9789614
26;81.0205076
27;86.79306
28;91.7533255
29;96.3471008
30;180.401793
31;171.116634
32;161.207028
33;153.659427
34;149.051548
35;138.561744
36;125.932642
37;118.135417
38;119.798477
39;118.818419
40;120.618079
41;125.051647
42;128.79554
43;130.908924
44;129.185692
45;120.936756
46;34.7844062
47;44.7726107
48;55.9365233
49;64.5600895
50;71.1403849
51;76.4675286
52;81.0403378
53;86.4802074
54;170.06718
55;161.385222
56;157.059696
57;146.478144
58;138.573726
59;125.290776
60;105.852255
61;103.463788
62;91.3727985
63;72.4893102
64;105.050855
65;114.768913
66;118.602609
67;117.831522
68;115.061145
69;114.542169
70;36.5535306
71;53.1184277
72;66.1517453
73;77.6329144
74;86.0046484
75;92.2054179
76;96.6493629
77;98.8195903
78;180.225505
79;169.045771
80;162.761526
81;145.803268
82;121.970648
83;102.508062
84;107.34361
85;107.258438
86;103.382375
87;110.141954
88;119.773258
89;123.701921
90;123.481782
91;121.422891
92;118.588825
93;118.645562
94;40.0465195
95;57.0206242
96;71.0850975
97;82.179019
98;91.7667968
99;99.6205493
100;105.491604
101;109.70021
102;191.44124
103;178.96952
104;166.093183
105;130.931931
106;126.298061
107;117.027299
108;99.872137
109;106.117052
110;108.83963
111;109.09025
112;114.464389
113;124.543025
114;134.249734
115;140.162218
116;137.670309
117;130.886507
118;46.3165273
119;57.6897866
120;69.7056839
121;79.477952
122;87.5588557
123;94.2879841
124;99.9033108
125;104.46224
126;188.002359
127;177.638838
128;169.657105
129;133.312767
130;123.680913
131;120.799663
132;99.5810314
133;104.217851
134;95.9391634
135;108.946983
136;119.250415
137;130.085304
138;138.384236
139;144.591865
140;146.233413
141;143.429874
142;59.8409158
143;71.6159977
144;81.1551144
145;90.4740696
146;96.3649795
147;102.449249
148;107.387077
149;109.284337
150;191.966908
151;183.062239
152;174.6152
153;136.882455
154;110.523194
155;106.943982
156;105.406948
157;105.993667
158;106.645755
159;105.202954
160;121.555701
161;130.446242
162;132.089607
163;128.552813
164;124.666394
165;116.352666
166;31.4616045
167;43.7196532
168;56.6368048
169;67.2132412
170;73.8097694
171;78.423745
172;82.9382228
173;87.6329628
174;171.589993
175;163.612263
176;155.780575
177;120.968078
178;99.0629334
179;79.378985
180;80.3076704
181;73.8847276
182;68.155942
183;72.6207786
184;74.7283495
185;102.439517
186;113.972784
187;121.743791
188;122.17372
189;117.039069
190;34.117082
191;47.1480371
192;62.4672798
193;71.8565671
194;78.8114787
195;83.9737176
196;88.8070255
197;93.6004953
198;179.209584
199;171.121939
200;161.050835
201;151.407081
202;140.980004
203;129.138955
204;120.207342
205;109.151863
206;102.42667
207;98.9902005
208;101.988862
209;113.242725
210;121.657637
211;128.183521
212;131.785201
213;127.659046
214;45.2953814
215;58.6806833
216;71.7246273
217;80.3141459
218;87.2368615
219;90.5561346
220;91.206412
221;91.0095734
222;170.87985
223;158.467219
224;155.177348
225;149.368905
226;142.604066
227;128.265979
228;117.72946
229;102.343652
230;103.289065
231;104.609081
232;111.615827
233;121.624255
234;123.794066
235;122.590456
236;115.650554
237;112.773828
238;32.2800028
239;46.5139922
240;57.4061723
241;66.424341
242;72.6263101
243;78.029729
244;83.4212647
245;88.545889
246;173.609915
247;164.750962
248;162.743177
249;158.598016
250;160.716343
251;155.809399
252;134.608884
253;127.725987
254;114.694701
255;99.5547051
256;114.757964
257;117.696545
258;117.118537
259;113.866514
260;109.977963
261;110.274579
262;31.1818424
263;47.2124762
264;59.6510672
265;68.5939999
266;78.3329454
267;84.5428347
268;88.8482845
269;92.9041004
270;177.588399
271;167.845295
272;157.849535
273;148.265211
274;132.118629
275;127.1244
276;127.023374
277;113.498752
278;102.181113
279;97.5670605
280;105.353424
281;121.872458
282;129.327292
283;135.617846
284;135.456545
285;129.509727
286;45.1523041
287;57.1818506
288;70.7346156
289;79.7433655
290;86.6977812
291;92.015891
292;96.4115723
293;100.030297
294;183.89926
295;176.2461
296;166.740929
297;158.924984
298;151.785894
299;112.354086
300;110.143514
301;108.22309
302;115.731322
303;111.664513
304;122.008831
305;132.50697
306;140.460167
307;146.77438
308;146.903798
309;141.852161
310;58.75202
311;72.1845669
312;86.7173649
313;98.0222881
314;106.572697
315;113.6545
316;120.120299
317;126.565515
318;212.613584
319;206.01307
320;191.687818
321;146.526761
322;125.225125
323;104.247928
324;96.7210676
325;85.6410238
326;70.3148159
327;76.8926339
328;98.9414977
329;117.526699
330;130.656086
331;139.005942
332;142.083119
333;137.36127
334;54.7186498
335;67.4429444
336;79.9572296
337;89.102275
338;94.7659797
339;100.119881
340;105.116356
341;111.045325
342;196.591923
343;188.458014
344;179.605273
345;157.846733
346;152.50916
347;152.636613
348;151.517096
349;150.799434
350;141.895074
351;149.318198
352;139.973316
353;155.074323
354;161.101265
355;165.309311
356;164.460083
357;157.381686
358;72.3830983
359;83.7456457
360;95.6938183
361;104.6958
362;111.831091
363;116.565519
364;120.770181
365;124.288333
366;207.940094
367;199.428488
368;190.092648
369;170.336957
370;164.903316
371;145.694706
372;150.341153
373;147.465176
374;143.254025
375;144.369065
376;151.230151
377;158.879511
378;164.944722
379;169.390567
380;167.3644
381;159.869337
382;75.2762906
383;87.9600465
384;100.704078
385;110.473866
386;119.580871
387;126.940695
388;132.139802
389;137.676098
390;222.646389
391;213.435695
392;207.215044
393;199.060786
394;188.868543
395;170.624314
396;172.261539
397;160.060992
398;164.19921
399;161.600722
400;172.581174
401;179.339821
402;181.526146
403;182.540619
404;178.936841
405;168.950364
406;88.7054138
407;104.211481
408;117.140511
409;128.19334
410;140.97411
411;155.436299
412;164.518738
413;168.181172
414;255.059761
415;247.266795
416;244.138702
417;225.731884
418;214.159686
419;197.937839
420;183.550268
421;170.553125
422;162.203281
423;161.998719
424;147.435787
425;181.671682
426;187.791194
427;189.269308
428;196.608912
429;199.662178
430;124.871069
431;145.135269
432;161.215319
433;172.793075
434;180.903849
435;187.578592
436;192.37243
437;196.528634
438;278.00999
439;266.801674
440;252.461976
441;237.261025
442;210.621977
443;200.875673
444;182.401784
445;168.794447
446;154.556749
447;147.113331
448;147.412333
449;160.958533
450;167.845965
451;174.102447
452;180.561574
453;176.211738
454;93.2591304
455;105.865632
456;118.986507
457;129.436422
458;137.663913
459;144.414417
460;150.432331
461;156.823195
462;240.501478
463;235.999684
464;235.877712
465;222.60219
466;213.658522
467;201.381729
468;174.353214
469;157.907158
470;145.389024
471;142.427488
472;158.630682
473;174.000742
474;185.646961
475;196.277329
476;197.739507
477;190.24278
478;105.403582
479;117.595533
480;131.10787
481;139.221841
482;142.941044
483;146.978381
484;148.976183
485;151.859563
486;233.458787
487;222.806122
488;213.095507
489;194.132933
490;182.64196
491;155.432872
492;146.091906
493;137.385783
494;135.016643
495;134.794011
496;127.740766
497;154.04122
498;164.514545
499;171.391827
500;172.224478
501;169.507429
502;92.3290618
503;111.027263
504;127.638826
505;138.46986
506;147.794474
507;156.468066
508;166.690385
509;174.506366
510;264.230857
511;261.341912
512;243.898877
513;222.371612
514;200.098788
515;173.601074
516;154.033553
517;137.779507
518;123.433108
519;115.278287
520;111.449665
521;145.424722
522;159.803079
523;169.476197
524;176.146348
525;171.309464
526;84.6226976
527;91.2390677
528;96.4211125
529;98.3882866
530;98.8298544
531;98.920923
532;97.5075615
533;96.7410284
534;178.714545
535;168.813915
536;161.270482
537;148.699863
538;132.914553
539;135.101897
540;131.912823
541;121.113997
542;120.497341
543;121.926482
544;121.539664
545;131.964151
546;139.227937
547;144.607443
548;143.741668
549;139.360113
550;57.3181313
551;70.3892261
552;85.3114922
553;98.5809973
554;109.587569
555;118.471737
556;127.605735
557;136.155405
558;222.33711
559;214.411711
560;202.757684
561;189.455263
562;185.389764
563;156.617566
564;133.404887
565;116.12816
566;112.348898
567;106.393071
568;106.349046
569;123.35968
570;124.135145
571;120.036892
572;113.270178
573;109.195535
574;29.276408
575;44.6957039
576;56.1723118
577;66.6267015
578;75.2278554
579;83.5767753
580;91.7815341
581;98.7561247
582;187.946301
583;181.584107
584;173.891128
585;143.984621
586;114.205228
587;88.5652181
588;71.0010985
589;55.330797
590;37.016278
591;29.1431995
592;42.0327706
593;80.8787736
594;91.4595519
595;96.782263
596;100.603993
597;104.986384
598;29.3973941
599;49.0724107
600;63.013151
601;74.036626
602;82.7998813
603;88.7699113
604;91.0485055
605;93.2378008
606;174.863967
607;163.388053
608;151.043983
609;101.465
610;72.7375135
611;52.6083497
612;41.3329919
613;28.8832673
614;12.1526696
615;7.76494796
616;17.1050806
617;57.0186705
618;76.1965512
619;90.0972603
620;94.0813081
621;90.9354119
622;9.06765887
623;20.7446657
624;33.8161263
625;44.6249947
626;53.8717019
627;60.0406901
628;63.7585254
629;66.6268669
630;151.05262
631;140.767828
632;129.5496
633;117.329872
634;95.6136536
635;63.0110872
636;58.0601889
637;61.4065136
638;50.0659244
639;57.5277346
640;61.0482513
641;75.71244
642;84.4954012
643;92.9371262
644;91.1035057
645;82.2557214
646;4.46805244
647;5.84003075
648;17.690495
649;26.3716341
650;32.4110947
651;37.637125
652;43.8396836
653;48.8335883
654;132.740657
655;123.543994
656;110.367706
657;97.1234024
658;92.9748761
659;84.5446446
660;88.1789625
661;89.1909394
662;89.4475055
663;89.4774423
664;94.3214123
665;104.856603
666;110.60714
667;117.415008
668;119.036374
669;111.981654
670;26.8312768
671;37.6801216
672;48.6756269
673;57.9613883
674;66.159897
675;73.1449492
676;78.7809296
677;86.3410537
678;174.087095
679;168.670955
680;161.459465
681;115.248044
682;89.0557884
683;70.9784637
684;63.5064054
685;54.161728
686;37.7648264
687;31.1525707
688;31.616027
689;74.7611157
690;91.7181324
691;104.439536
692;110.852493
