Index;Wert
0;1739.9
1;1189.03854
2;1030.03854
3;1200.03854
4;1189.03854
5;1121.03854
6;1245.03854
7;1268.03854
8;1256.03854
9;1268.03854
10;1268.03854
11;1347.03854
12;1268.03854
13;1256.03854
14;1211.03854
15;1200.03854
16;1200.03854
17;1109.03854
18;1087.03854
19;1223.03854
20;1098.03854
21;1189.03854
22;1143.03854
23;1223.03854
24;1121.03854
25;1200.03854
26;1223.03854
27;1437.03854
28;1528.03854
29;1268.03854
30;1302.03854
31;1223.03854
32;1211.03854
33;1234.03854
34;1324.03854
35;1426.03854
36;1347.03854
37;1404.03854
38;1370.03854
39;1449.03854
40;1324.03854
41;1347.03854
42;1290.03854
43;1279.03854
44;1290.03854
45;1290.03854
46;1290.03854
47;1290.03854
48;1302.03854
49;1370.03854
50;1324.03854
51;1415.03854
52;1336.03854
53;1370.03854
54;1392.03854
55;1358.03854
56;1347.03854
57;1347.03854
58;1302.03854
59;1370.03854
60;1426.03854
61;1336.03854
62;1415.03854
63;1686.03854
64;1347.03854
65;1415.03854
66;1358.03854
67;1404.03854
68;1324.03854
69;1392.03854
70;1596.03854
71;1471.03854
72;1573.03854
73;1675.03854
74;1562.03854
75;1573.03854
76;1562.03854
77;1551.03854
78;1562.03854
79;1562.03854
80;1584.03854
81;1618.03854
82;1709.03854
83;1630.03854
84;1392.03854
85;1675.03854
86;1494.03854
87;1551.03854
88;1528.03854
89;1471.03854
90;1437.03854
91;1415.03854
92;1449.03854
93;1437.03854
94;1460.03854
95;1460.03854
96;1754.03854
97;1675.03854
98;1562.03854
99;1890.03854
100;1664.03854
101;1709.03854
102;1788.03854
103;1618.03854
104;1573.03854
105;1924.03854
106;1573.03854
107;1573.03854
108;1913.03854
109;1618.03854
110;1539.03854
111;1562.03854
112;1517.03854
113;1460.03854
114;1449.03854
115;1460.03854
116;1460.03854
117;1460.03854
118;1471.03854
119;1449.03854
120;1709.03854
121;1765.03854
122;1505.03854
123;1539.03854
124;1811.03854
125;1505.03854
126;1743.03854
127;1856.03854
128;1471.03854
129;1539.03854
130;1799.03854
131;1743.03854
132;1732.03854
133;1845.03854
134;1562.03854
135;1517.03854
136;1437.03854
137;1539.03854
138;1494.03854
139;1471.03854
140;1471.03854
141;1551.03854
142;1449.03854
143;1437.03854
144;1584.03854
145;1765.03854
146;1505.03854
147;1596.03854
148;1822.03854
149;1370.03854
150;1618.03854
151;1652.03854
152;1573.03854
153;1517.03854
154;1539.03854
155;1573.03854
156;1573.03854
157;1539.03854
158;1517.03854
159;1483.03854
160;1517.03854
161;1347.03854
162;1449.03854
163;1437.03854
164;1358.03854
165;1483.03854
166;1404.03854
167;1392.03854
168;1641.03854
169;1686.03854
170;1449.03854
171;1664.03854
172;1630.03854
173;1584.03854
174;1777.03854
175;1528.03854
176;1652.03854
177;1935.03854
178;1404.03854
179;1709.03854
180;1913.03854
181;1607.03854
182;1596.03854
183;1652.03854
184;1528.03854
185;1720.03854
186;1426.03854
187;1551.03854
188;1652.03854
189;1370.03854
190;1641.03854
191;1562.03854
192;1562.03854
193;1562.03854
194;1573.03854
195;1573.03854
196;1596.03854
197;1618.03854
198;1573.03854
199;1505.03854
200;1709.03854
201;1449.03854
202;1596.03854
203;1777.03854
204;1415.03854
205;1675.03854
206;1618.03854
207;1551.03854
208;1720.03854
209;1392.03854
210;1562.03854
211;1517.03854
212;1494.03854
213;1517.03854
214;1528.03854
215;1449.03854
216;1483.03854
217;1483.03854
218;1483.03854
219;1494.03854
220;1528.03854
221;1573.03854
222;1584.03854
223;1539.03854
224;1562.03854
225;1551.03854
226;1528.03854
227;1404.03854
228;1675.03854
229;1562.03854
230;1539.03854
231;1765.03854
232;1370.03854
233;1562.03854
234;1494.03854
235;1460.03854
236;1471.03854
