Index;Wert
0;12121.4578
1;13776.6682
2;15137.2017
3;16297.1018
4;17306.3231
5;18196.7361
6;27862.1572
7;28041.5638
8;28254.3375
9;28409.8393
10;26392.4248
11;22764.104
12;21175.5814
13;19584.1646
14;18797.2715
15;18085.6991
16;19517.5796
17;20385.4701
18;20966.344
19;21423.4212
20;21513.3466
21;21462.7697
22;6777.51551
23;9576.26095
24;11486.6217
25;12909.2715
26;14060.5039
27;15039.7335
28;15920.5535
29;16776.2472
30;25905.6212
31;25738.4283
32;25322.5042
33;25223.5622
34;24757.9773
35;24080.9689
36;23078.5228
37;22174.0199
38;21786.9837
39;21497.7783
40;21350.7271
41;21298.625
42;21108.5282
43;20751.601
44;20574.1834
45;20453.7916
46;5903.27119
47;8343.68091
48;10090.0468
49;11416.9576
50;12437.303
51;13300.274
52;14086.1413
53;14885.2511
54;23222.3834
55;23275.2983
56;23293.6364
57;23115.3741
58;22415.9461
59;20715.0016
60;19233.6972
61;18593.2905
62;16505.8949
63;13521.667
64;16682.9057
65;18298.9804
66;19291.6368
67;19961.9429
68;20717.055
69;21262.4282
70;6620.68171
71;9569.88284
72;11730.7728
73;13655.747
74;15035.5117
75;16057.789
76;16792.9924
77;17107.2927
78;25370.7229
79;24905.3789
80;24386.0548
81;23772.5553
82;22220.5727
83;18508.1671
84;18702.7121
85;18885.9702
86;18277.621
87;18610.3636
88;19632.8508
89;20364.027
90;20861.8767
91;21378.9252
92;21519.5904
93;21752.9003
94;7008.07235
95;10115.2777
96;12539.7315
97;14416.5056
98;16074.4215
99;17448.2091
100;18465.672
101;19187.6332
102;27960.5392
103;26870.1098
104;25739.6573
105;25192.2012
106;23666.2696
107;21896.3596
108;19094.9195
109;19715.0365
110;19908.1261
111;19719.3548
112;20025.2139
113;21031.3916
114;21994.5505
115;22365.9844
116;21858.4567
117;22048.4163
118;7273.59882
119;10197.46
120;12237.1969
121;13873.8358
122;15250.9519
123;16426.6816
124;17431.146
125;18258.0762
126;27398.9158
127;26891.5028
128;27157.9962
129;26301.1859
130;24260.0331
131;22133.5065
132;18847.4325
133;19442.8647
134;18329.6377
135;19839.0914
136;21046.3809
137;22069.0155
138;22613.8017
139;23052.1843
140;23508.0531
141;24510.1376
142;9258.02131
143;12434.3711
144;14059.2862
145;15673.5106
146;16641.894
147;17747.2226
148;18657.1109
149;18940.6995
150;27900.3855
151;27999.7823
152;28084.3004
153;27323.1353
154;22654.6842
155;20294.6343
156;19303.2824
157;19093.6714
158;19178.1136
159;19481.9575
160;21498.2209
161;22151.9288
162;21150.9613
163;19464.2231
164;18988.0841
165;19063.586
166;5110.85445
167;7971.35996
168;10074.9573
169;11802.9598
170;12815.8639
171;13528.022
172;14324.3856
173;15221.4999
174;24000.8531
175;24284.4476
176;24469.4788
177;24487.7551
178;21113.7316
179;16557.2019
180;15311.8066
181;14111.2283
182;13267.2157
183;13653.2162
184;13996.5044
185;17017.5104
186;18242.2734
187;18937.6849
188;19035.9333
189;19510.7115
190;5411.96548
191;8467.6843
192;11046.8996
193;12524.0749
194;13620.5138
195;14456.2076
196;15319.7676
197;16234.7076
198;25840.4802
199;25936.7212
200;25336.2475
201;25391.8394
202;23844.4223
203;21586.8605
204;20201.4596
205;18623.3971
206;17978.5156
207;17830.6739
208;18183.0404
209;19599.6815
210;20582.0328
211;21128.698
212;21931.3702
213;22468.5004
214;7885.59396
215;11032.0062
216;13140.0052
217;14415.3951
218;15476.1403
219;15877.361
220;15816.5694
221;15440.2371
222;22489.5928
223;21781.3831
224;22569.2747
225;21648.6265
226;20865.3164
227;19941.1383
228;19040.3284
229;18355.9429
230;18284.2124
231;18714.0058
232;19273.0604
233;20352.155
234;20906.1857
235;21450.9426
236;21174.6891
237;21221.2492
238;6358.78167
239;8762.41828
240;10445.8754
241;11846.3549
242;12775.1918
243;13652.1588
244;14614.0191
245;15565.7272
246;24466.2791
247;24468.4733
248;25061.5481
249;25653.4564
250;25501.4718
251;25123.1697
252;23964.9108
253;22279.8742
254;20166.067
255;17548.5557
256;18707.0066
257;19504.7115
258;20027.2468
259;20299.3118
260;20213.652
261;20534.363
262;6071.49058
263;8809.87942
264;10800.6565
265;12177.2596
266;13852.2111
267;14854.9707
268;15540.8942
269;16259.8153
270;25299.4641
271;24963.2162
272;24541.9664
273;24377.0492
274;23867.6902
275;23369.9233
276;22965.1864
277;22572.7339
278;20263.1869
279;18951.4679
280;19472.3298
281;20924.5045
282;21300.073
283;21762.5588
284;21774.4988
285;22073.1296
286;7279.2824
287;10284.6033
288;12595.8453
289;14036.4209
290;15156.9045
291;16033.2342
292;16796.7286
293;17451.7189
294;26434.8382
295;26831.1975
296;26456.1366
297;26517.5914
298;25936.8183
299;23654.4585
300;21574.6797
301;20687.6065
302;21515.7544
303;20857.5153
304;21786.4918
305;22548.4351
306;23069.5821
307;23558.7506
308;23666.6157
309;24185.5065
310;9173.29969
311;12655.4191
312;15273.3958
313;17242.6532
314;18707.283
315;19945.7177
316;21123.0336
317;22341.8243
318;32796.3446
319;33220.4226
320;31092.9464
321;29909.0776
322;25070.8156
323;20217.1285
324;17548.7729
325;15432.3516
326;13352.3349
327;14167.181
328;16984.3581
329;19375.2717
330;21008.7335
331;21851.452
332;22567.294
333;23087.2099
334;8224.76609
335;11572.3192
336;13797.8525
337;15359.1316
338;16277.0192
339;17233.9912
340;18181.7432
341;19373.5242
342;29355.135
343;29393.9455
344;29161.7004
345;28860.7491
346;28579.593
347;28145.8747
348;27865.6255
349;27898.7795
350;26516.0272
351;26959.7253
352;25312.5264
353;26332.8626
354;26528.8964
355;26632.7149
356;26616.4146
357;26740.4912
358;11042.9643
359;14340.8354
360;16576.6939
361;18180.2943
362;19446.5466
363;20263.1557
364;21037.4191
365;21706.7188
366;31201.3107
367;31325.3088
368;31054.843
369;30358.2483
370;29672.2201
371;28396.8144
372;27976.0381
373;27149.5192
374;26376.8433
375;26164.2851
376;26735.2676
377;27145.7985
378;27284.5334
379;27415.3936
380;27110.19
381;27156.6237
382;11497.6691
383;15088.9781
384;17497.2058
385;19255.3635
386;20926.3869
387;22270.723
388;23194.1913
389;24009.0058
390;34039.7941
391;33728.8889
392;33064.8618
393;32214.7835
394;31452.4432
395;30330.2583
396;30281.7613
397;28471.7497
398;28342.5449
399;27620.6306
400;28632.6003
401;29626.612
402;30317.0076
403;31467.6987
404;32028.3708
405;30446.5562
406;14096.9743
407;17591.1764
408;20179.7432
409;22293.0289
410;24780.9094
411;27615.9007
412;29252.2288
413;29752.6673
414;41353.6577
415;41382.715
416;41358.3078
417;40830.5161
418;37833.1999
419;33787.7263
420;31485.3443
421;29472.9827
422;27809.9606
423;27347.7944
424;25358.9343
425;30381.0679
426;32335.9614
427;33502.8437
428;35751.9184
429;36383.1341
430;20068.0313
431;24716.14
432;27986.8227
433;30178.5847
434;31643.2871
435;32858.3317
436;33720.5181
437;34493.4791
438;44826.4368
439;44486.1219
440;42790.1414
441;40915.6594
442;38257.8601
443;35669.352
444;32525.5764
445;30237.3974
446;27747.3694
447;26229.8907
448;25687.4174
449;26846.945
450;27402.5019
451;28052.3014
452;29700.5975
453;30293.8876
454;14332.4998
455;18060.8415
456;20614.787
457;22552.1081
458;24051.3655
459;25288.4073
460;26416.1897
461;27657.6556
462;38052.5195
463;39274.8434
464;41564.4752
465;41734.4862
466;40005.8565
467;37006.4106
468;31400.042
469;28111.7405
470;25888.879
471;25331.042
472;27426.8918
473;29568.8192
474;30940.7721
475;32337.5402
476;32648.1866
477;32529.8773
478;15987.8314
479;19810.3929
480;22557.4151
481;24068.9731
482;24675.7091
483;25439.5557
484;25808.7972
485;26423.5082
486;35954.4239
487;35550.9868
488;35356.8177
489;34424.2054
490;32623.9436
491;29709.5593
492;27273.1938
493;25536.2538
494;24875.6514
495;24645.0712
496;23395.8342
497;26179.493
498;27310.5133
499;27879.1964
500;28114.1754
501;29119.959
502;14376.7551
503;19266.7448
504;22446.4419
505;24353.3924
506;26005.7629
507;27591.8412
508;29558.8956
509;31000.2555
510;43851.0558
511;44398.3329
512;41513.9376
513;40682.1518
514;37501.8628
515;31690.6054
516;27196.6459
517;24240.8212
518;21914.0797
519;20590.0585
520;20045.2339
521;24255.3112
522;26322.3112
523;27487.0345
524;28969.3418
525;29356.8343
526;12729.1092
527;15242.1849
528;16210.8617
529;16495.3753
530;16534.0475
531;16577.4493
532;16337.9758
533;16295.0071
534;24403.4824
535;24492.3051
536;25097.4495
537;24854.1104
538;24359.0513
539;24044.9432
540;23771.0613
541;23137.6559
542;23096.324
543;23082.4462
544;22226.4225
545;22859.7514
546;23247.0648
547;23521.146
548;23391.6373
549;24079.1035
550;9329.32878
551;12660.985
552;15301.2883
553;17634.9156
554;19561.8889
555;21109.2405
556;22783.8903
557;24125.8032
558;34474.932
559;34332.533
560;31742.3279
561;30626.8158
562;29487.9251
563;26259.0536
564;22555.0691
565;20383.7106
566;19148.3812
567;17998.6764
568;17823.8552
569;19551.7598
570;20031.2878
571;20102.8096
572;20105.6063
573;20020.0798
574;5615.53612
575;8252.86969
576;10075.4612
577;11789.2938
578;13229.7916
579;14717.4655
580;16238.3141
581;17523.4576
582;28034.3164
583;28437.1129
584;26868.1388
585;25812.3513
586;21103.026
587;15368.7895
588;11783.8264
589;9196.50308
590;6838.14913
591;5690.20312
592;7751.7574
593;12748.0258
594;15389.1224
595;17212.7982
596;18551.2
597;19484.6306
598;5391.4264
599;8840.29453
600;11137.322
601;12940.0734
602;14400.8325
603;15381.0079
604;15662.8978
605;16040.0938
606;24245.6946
607;23592.0878
608;22625.3429
609;21267.4678
610;16556.1737
611;11748.7127
612;8506.24134
613;6266.38385
614;4481.12861
615;3955.66174
616;4898.10978
617;8966.17916
618;11668.8648
619;13509.6468
620;14186.5445
621;14931.854
622;1999.85173
623;4477.23232
624;6307.05815
625;7887.357
626;9335.37237
627;10287.0376
628;10836.9844
629;11310.365
630;19747.8137
631;19294.9461
632;18544.7705
633;17678.5292
634;16051.3038
635;13716.4249
636;12025.2378
637;11085.6357
638;10511.8678
639;10785.4669
640;11494.9908
641;12960.306
642;13633.3253
643;14602.0663
644;14045.8363
645;13544.666
646;1547.69993
647;3222.08607
648;4501.78222
649;5444.6175
650;6088.47786
651;6751.07528
652;7767.43964
653;8592.52801
654;15970.3546
655;15890.7665
656;14451.3722
657;14888.5572
658;15519.4824
659;15835.5079
660;16319.9494
661;16929.0992
662;17279.0786
663;17616.9698
664;17939.7455
665;18407.1494
666;18355.6523
667;19266.6162
668;19798.9257
669;19660.477
670;5412.27169
671;7780.07006
672;9333.24034
673;10685.4993
674;11962.4015
675;13098.6867
676;14032.2743
677;15472.6293
678;25082.2141
679;25835.8087
680;25898.9335
681;24781.7743
682;19504.4136
683;15174.113
684;12541.1337
685;10625.4625
686;8533.44046
687;7615.39969
688;7528.47075
689;11939.5375
690;14309.991
691;15989
692;17289.0253
693;18293.5703
694;4629.82966
695;7913.42778
696;10204.0312
697;11982.4621
698;13337.4677
699;14160.1945
700;14777.4766
701;15475.2426
702;24228.4307
703;24055.2927
704;23951.5259
705;22772.502
706;20608.8677
707;18685.2796
708;17117.9697
709;16671.8127
710;16448.6396
711;16324.3495
712;16405.3621
713;17209.9627
714;18479.9811
715;19131.3115
716;19006.5643
717;19574.0428
718;5829.15306
719;8826.44936
720;10915.0311
721;12673.0156
722;14033.0777
723;15052.2748
724;16148.061
725;17245.7741
726;26494.3373
727;25955.2089
728;25112.7355
729;23984.4441
730;22905.8068
731;22300.2064
732;21460.6068
733;21719.5586
734;21793.7413
735;21757.2534
736;21348.6411
737;16020.3097
738;16543.2788
739;17075.8946
740;17612.7092
741;18151.2442
742;5171.22326
743;7651.6309
744;9550.58328
745;11117.7901
746;12472.3044
747;13674.8214
748;14759.7656
749;15740.4119
750;24699.8335
751;25080.6373
752;25500.2457
753;25823.3235
754;25382.1404
755;24343.9053
756;23570.2153
757;22379.1746
758;21619.9714
759;20433.5854
760;20919.5176
761;21705.8428
762;22594.3586
763;23279.906
764;24350.1873
765;24776.0524
766;9601.57064
767;12940.2298
768;15259.9611
769;17042.4215
770;18454.6604
771;19707.8781
772;20779.7003
773;21710.1008
774;31395.7806
775;31182.3756
776;30814.4577
777;28493.426
778;24721.3888
779;23730.7568
780;20584.3988
781;19886.0502
782;17855.9708
783;19130.4391
784;20544.6329
785;21878.1136
786;23120.9353
787;23920.9064
788;24560.4157
789;25119.5334
790;10006.2888
791;13542.4865
792;15673.9671
793;17033.4004
794;17981.6
795;18888.8328
796;19534.0054
797;20128.8101
798;29474.2332
799;29653.0546
800;28738.3807
801;28702.4175
802;27172.103
803;26205.5865
804;24969.9542
805;23648.3033
806;23282.7309
807;23050.937
808;23154.7087
809;24000.8072
810;25084.5156
811;26203.5442
812;26876.0485
813;27172.3546
814;11327.8174
815;14591.4041
816;16845.1686
817;18595.5272
818;19808.891
819;20601.4659
820;21199.5191
821;21785.6512
822;30935.4241
823;31344.2023
824;31915.0398
825;30096.3277
826;26950.6557
827;25148.4114
828;24740.0305
829;23957.704
830;23710.6432
831;23692.2532
832;23925.1268
833;25108.1523
834;25839.3987
835;26155.5685
836;27017.5485
837;27104.665
838;11791.2984
839;15307.6961
840;17706.8207
841;19326.8988
842;20501.9136
843;21855.8539
844;22860.5521
845;23518.321
846;33128.4958
847;32927.4778
848;30385.9019
849;29821.9467
850;28078.9831
851;24833.1995
852;21582.0323
853;19414.8521
854;16558.3286
855;15691.4126
856;17449.7668
857;20280.0565
858;22248.9013
859;23737.79
860;25246.741
861;26080.3336
862;10734.887
863;14316.0908
864;16758.9051
865;18672.0182
866;20223.5095
867;21432.7567
868;22368.1673
869;22997.6381
870;32784.5796
871;32611.1981
872;32105.9758
873;29258.1101
874;25479.0311
875;23741.5049
876;19651.7065
877;16694.2962
878;14877.1127
879;12226.5978
880;12233.509
881;17100.3651
882;20112.1414
883;22363.9642
884;24363.8532
885;25669.1869
886;10827.57
887;14669.429
888;17323.681
889;19011.4503
890;19685.8044
891;20617.9416
892;21542.2529
893;22412.1268
894;32296.2375
895;32432.205
896;32703.2609
897;31804.1876
898;29642.1827
899;27689.2923
900;25342.8436
901;22950.1672
902;22477.1242
903;23121.0352
904;22453.6777
905;24253.5993
906;25256.1366
907;25977.943
908;26708.048
909;27172.0255
910;11465.8037
911;15054.3368
912;17489.8953
913;19110.4157
914;20173.3733
915;20882.5018
916;21821.162
917;22860.3212
918;32995.9871
919;32724.756
920;31343.3387
921;30038.3595
922;28933.6864
923;27414.622
924;24689.0723
925;22228.1918
926;21885.4835
927;20995.8826
928;18903.0035
929;22193.6444
930;23571.6381
931;24338.5227
932;25502.7077
933;26570.22
934;11340.3463
935;14940.3083
936;17536.3972
937;19290.4232
938;20689.7318
939;21492.975
940;22825.8299
941;23560.8836
942;32973.434
943;33228.3507
944;31204.9855
945;30254.0238
946;27197.4559
947;24739.1246
948;23298.6506
949;22345.1463
950;21392.6569
951;20609.2592
952;20487.4138
953;22020.9621
954;23159.9927
955;24479.4486
956;25424.1991
957;26224.63
958;10901.8931
959;14775.9945
960;17638.6628
961;19827.0428
962;21342.9462
963;22438.8125
964;23313.354
965;23781.1652
966;32781.4985
967;31763.1742
968;30835.7662
969;28870.9284
970;26874.745
971;25004.0536
972;24146.0558
973;23646.1574
974;23713.9664
975;23434.1602
976;23539.692
977;24302.5271
978;25343.7771
979;26420.1254
980;26812.809
981;26799.9316
982;10873.5391
983;13963.8242
984;16209.4115
985;17865.6077
986;19087.3351
987;20303.4628
988;20988.2526
989;21377.2112
990;29940.9973
991;29447.9243
992;28376.0082
993;27287.5503
994;25841.9408
995;25076.7864
996;24247.5706
997;23058.4953
998;22498.5147
999;21928.2396
1000;21859.7579
1001;22410.2292
1002;23014.8825
1003;23443.2399
1004;24138.6224
1005;24344.3721
1006;8988.77118
1007;12023.3528
1008;14218.6076
1009;15845.2908
1010;17427.2456
1011;18516.7024
1012;19260.1425
1013;19939.8186
1014;29176.1496
1015;29713.8879
1016;29962.3521
1017;27684.3796
1018;25543.5192
1019;22851.2955
1020;23021.2691
1021;20717.7197
1022;21871.4773
1023;22203.0179
1024;23072.8447
1025;24020.6357
1026;25118.5101
1027;26255.3673
1028;27223.5136
1029;27643.6258
1030;12189.5267
1031;15958.0544
1032;18375.2179
1033;20325.7287
1034;21868.1771
1035;23090.9845
1036;24226.5186
1037;25093.6065
1038;35356.9014
1039;35335.1118
1040;35302.1923
1041;30530.1017
1042;24087.5697
1043;19767.3889
1044;17581.6428
1045;15846.5647
