Groesse;Wert
Lauf.ID_Projekt;1008
Sim.Restwaerme;1.62223112
Sim.Reststrom;10329.944
Sim.bSimulationWP;True
Sim.bSimulationKessel;True
Sim.bSimulationSolarthermie;False
Sim.bSimulationBHKW;False
Sim.bSimulationPV;False
Sim.bSimulationSSP;False
Sim.PufferWP_vorhanden;True
Puffer.Q_max;6.96
Puffer.Ladung_gesamt;30542.1546
Puffer.Entladung_gesamt;30034.3822
Puffer.Verluste_gesamt;501.243453
Puffer.SOC_Mittel;4.49418869
Puffer.SOC_Max;6.528875
Puffer.Vollzyklen;4388.2406
Sim.Speicher_Anzahl;1
Geb[0].ID_Gebaeude;10576
Geb[0].Modell;VDI6007
Geb[0].JahresheizwaermeMwh;89.1295624
Geb[0].SpitzeKw;63.0676894
Geb[0].SpitzeTagesmittelKw;36.0749811
Geb[0].Spitze95Kw;32.6303702
Geb[0].MittlereRaumtemperaturHeizzeit;20.9026548
Geb[0].Ueberhitzungsstunden;440
Geb[1].ID_Gebaeude;10577
Geb[1].Modell;VDI6007
Geb[1].JahresheizwaermeMwh;15.0119474
Geb[1].SpitzeKw;9.62416049
Geb[1].SpitzeTagesmittelKw;6.11973865
Geb[1].Spitze95Kw;4.91639817
Geb[1].MittlereRaumtemperaturHeizzeit;21.0814509
Geb[1].Ueberhitzungsstunden;600
Em.Kessel.Co2T;5.72328888
Em.Kessel.So2Kg;0.0071541111
Em.Kessel.NoxKg;2.62317407
Em.Kessel.CoKg;0
Em.Kessel.StaubKg;0.0119235185
Ergebnis.ID_Projekt;1008
Ergebnis.Bezeichner;Simulation Heinestr 15
Ergebnis.ID_Klimaregion;1008001
Ergebnis.Sim_Energiebedarf;True
Ergebnis.Sim_Waermepumpe;True
Ergebnis.Sim_Heizkessel;True
Ergebnis.Sim_Solarthermie;False
Ergebnis.Sim_BHKW;False
Ergebnis.Sim_PV;False
Ergebnis.Sim_Stromspeicher;False
Energiebedarf.Waermebedarf_Gesamt;104.14
Energiebedarf.Waermelast_Max;72.69
Energiebedarf.Strombedarf_Gesamt;10310.17
Energiebedarf.Strombedarf_Max;4178.2
Energiebedarf.Waermerestbedarf;1.62
Energiebedarf.Stromrestbedarf;10329.94
Energiebedarf.Waermebedarf_Heizung;104.14
Energiebedarf.Waermebedarf_Brauchwasser;0
Energiebedarf.Waermebedarf_Prozess;0
Waermepumpe.Waermebedarf;104.14
Waermepumpe.Restwaermebedarf;22.24
Waermepumpe.Waermeproduktion_WP;82.41
Waermepumpe.Stromverbrauch_WP;19.77
Waermepumpe.Stromverbrauch_Heizstab;0
Waermepumpe.Kapazitaet_Pufferspeicher;6.96
Waermepumpe.Min_Spitzenkesselleistung;60.06
Waermepumpe.Waermebedarfsdeckung;78.65
Waermepumpe.Vollbenutzungsstunden;2995.61
